,UKF243,UKF248,UKF259,UKF269,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
IGFL3,,,,-0.01323178005952227,,,,,,0.040557805922073,
BMP1,0.039082618188338816,-0.008412362980121522,-0.016375202573040808,0.04769546594853654,-0.016736506263120395,0.01975751545057298,-0.05401934189098816,-0.058662141556937386,-0.03281439733558279,0.05948319801718999,0.12395439773174702
NDP,0.09585256760306213,-0.004503243681777532,-0.04236043016646155,-0.005375673901300957,0.020451159101540897,0.03139646806136856,-0.059990987835605726,0.046973890168732164,0.05300531667535245,0.05494967095788954,-0.0035202819165636775
TNFSF18,-0.02817055299044572,-0.03236771889566877,,-0.019648796159467907,-0.015456149812003326,,,-0.00109812845893901,,0.03939940242674117,0.011901614184871305
RTN4,-0.12683028920732178,0.04279191002848924,-0.017714961744660484,-0.06891068309538106,-0.014305777521163215,-0.04753304187368048,0.02481440841080875,0.06047488035141298,-0.04008481616539992,0.030456589418555603,-0.08157137525643633
HEBP1,0.016864116706944654,-0.023479829592962582,0.031629077489393836,0.05021735046097194,0.008047200558615955,-0.009331849240797354,-0.04299963199128554,-0.07819328306032956,0.01649872883933938,0.035533484468977854,0.02982520477867447
WNT7B,-0.05594671231332012,-0.03393449923428922,-0.011680793359229488,-0.05476592900599987,-0.003892133934033676,-0.013741240694651215,-0.0586184716489548,,-0.033623428539225335,-0.012083834234801357,0.10539708060100546
PTMA,-0.10005522859436966,-0.0757752577506768,-0.07105431731930233,-0.05578690635456047,-0.010734586448844952,0.03502178949098943,-0.15189632014011983,0.04954212704650372,0.04228379036525373,-0.02641798623740678,0.010502020731170812
FASLG,,,,,,,,,,-0.021970524587066526,
CEACAM1,,-0.02060116601719488,0.015908457681095948,0.0032377348577470183,-0.02430884147330856,,,-0.04397969953386249,-0.030154029272140892,0.010875811251981714,
PDAP1,0.04957675612742785,0.03834960604471725,0.040324785280774725,0.053390825633560006,0.0420918155576914,-0.051963917014745606,-0.07641057133714614,-0.025498924617565068,0.06622696781580742,0.016657114794309136,-0.046140474565079
QDPR,0.006493185644166954,0.004565983809873254,0.023627453169775943,-0.13222341003986612,0.05104725480350036,0.026325925633686135,-0.05738548821432978,-0.07051592026043926,0.0016359147197865151,0.05246442593362586,-0.08536549365561354
POMC,-0.008359495958231964,0.013683231576037062,-0.023190273019424366,-0.010197670973799502,-0.017934093998312316,0.035376266238466264,-0.029189845980251823,-0.02130242263468834,0.018714095965494823,0.08168908835344948,-0.018437397328418845
CCL18,-0.03777902786211932,0.0545717980763071,,,,,-0.08557999469216954,,-0.021379702533747387,,
CCL17,,,-0.005772723006999847,,-0.005055339264968878,-0.017007803926033776,,,,-0.019913812817226675,
VEGFD,-0.042565922166747906,-0.012286865073490891,-0.018739092067448452,0.029187073922606745,0.006420109773802138,-0.012475429862356207,-0.03035238813657448,0.0041545412760603416,,,
TNFSF13,,-0.019400320886601354,0.03033668828740729,,,,,,,-0.03244789584725107,0.04087916333081861
WNT5A,0.06358802675970497,0.03208278984394869,0.02247292459585772,0.10376501582384991,0.013121905560801346,0.008641635173427573,-0.002950197552445218,-0.046314916668023315,0.10134735765464402,0.015503270041713936,0.0537042922328935
CXCL8,-0.048365019383917164,-0.02091463937118605,-0.036977004207100816,0.003151910563642676,-0.008610563950158983,-0.011617662737550404,0.0063450976253361,0.008184560261380782,-0.03764233240015456,-0.08915442912278934,0.000332051899366667
GRN,-0.00242938325916834,-0.049048310896218424,0.007930602039514727,0.07793291294603882,-0.006316030833922625,-0.027435636048008687,-0.04903001546216527,-0.05094763146841907,-0.014298011060867274,-0.04004815413770825,-0.0428998041943155
MIA,0.003185238901376398,-0.03773503034369276,-0.04520604518849,0.0742642197393071,0.0236370459822377,-0.014188174167364686,-0.005343057011057119,-0.06724388906667257,-0.018518900284814014,0.0669460318266776,0.12087993191566716
COL4A4,0.1064033366659185,0.014080782549090497,-0.003604114348590924,-0.013038937117572836,0.09010383458174008,0.001067757780501415,,0.03635149577855368,0.052555226899319865,-0.029290868304395413,0.03174574440540967
TAC1,0.03117886871680357,-0.033440107392404134,0.04083559236917407,-0.050397832689452284,-0.038612193029461006,0.04143466907200798,,,,-0.026178731869960847,0.03352113620458352
RARRES2,0.03920305739449195,0.008246143104647028,0.00501769456494821,0.09409682704623863,0.06330136212561105,0.04444245574300771,0.09443327895108192,0.08446653243229775,-0.04504039644796709,0.03981562151674242,0.09373364941327733
FGF7,0.06867973166126996,,0.04358835996507054,0.01102931661566572,0.010313475087579852,-0.0024752064214769963,-0.01788150964185271,0.08704204815849383,0.008477621878071662,0.044845876465586486,-0.025276413933387365
HBEGF,0.05396996510518082,-0.034562373082420446,0.015339136508690092,0.07973133156881473,-0.008606791839223901,-0.03203810006327269,-0.07918268947426874,-0.01943406729436926,-0.059754338388026774,0.0009680876611790998,0.07283490234823095
CSF3,-0.04284999538209536,,-0.0010379837746784261,-0.013794944502017096,,,0.052622637476397574,,,-0.02096617282832013,0.058603758398969794
PI3,-0.05076220936353862,0.022927083371945534,-0.011166888243246955,-0.015533289582830928,,,,,,-0.045552528227857526,-0.05501210441266585
PCSK1N,-0.023381710114443045,0.004011136477139987,-0.016921947131698648,-0.0011575312601430632,-0.02601355424364785,-0.011506863371682144,-0.0292053867246984,0.02674216281013777,0.0742932716896553,0.03760692310055763,-0.11192829229530385
NTS,,,,-0.016955646205680446,-0.022991164110589334,0.0036353948619774587,,,,0.13648619193704103,
