,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0621977548138433,,,,,,,,,-0.02368340909479695,,,-0.04757353480381882,,
BMP1,-0.04337563455850356,-0.03410889880222564,-0.030437707298768383,-0.023342721239057933,-0.02907292155543254,-0.08790508956565825,-0.0885260335723463,-0.3479371989732722,-0.1180853190477373,-0.05962935659034831,-0.2030958834190339,-0.176595648730033,0.08860485532378354,0.09784983216112718,0.07451850200133238,0.0006223588745757442,0.019015093448889665,-0.013520081314560789,-0.008319080663811063,0.22386738611686513,-0.019356730037095263,-0.009382641038121154
NDP,0.01682590112182991,-0.030752172252529568,0.025020638484263405,0.01563459802737033,0.016730588267899683,0.10192869802914246,0.07377048418431724,-0.11723977797903737,0.01858816510067911,0.024248610309850753,-0.1173702814407915,0.03599112969137524,0.06183700060708532,0.11148184288674366,0.05716878306439135,0.06830597030397229,0.06791741820019698,0.05270657444668685,-0.03069341386035986,0.01186285036062277,0.02528364722405371,-0.04484073602157722
TNFSF18,0.07328022694839431,-0.017765520314268167,0.015877414651544942,-0.028198866781754966,,,-0.01959915345873138,-0.08404649571435213,-0.028012486144945163,,,,-0.040368138124210196,,,,0.08069877614455347,,-0.029185344606105345,0.08897102755246233,-0.08815803415029336,
IL36G,,,,,,,,,,,,0.005787366832113616,,,,,,,,,,
RTN4,-0.0576255460615002,0.31410541759986643,0.05809947888029207,0.110877486819362,0.06449771407860079,0.23515218931493573,0.2610907620240016,0.44996349555171716,0.19000379045096075,0.16296396321691492,0.4664347682965312,0.3183249705193659,0.010941751462670412,-0.02802372104233449,-0.07254728906720759,0.024434796832715246,-0.14248597489675452,0.048153102896779695,-0.03612608324162894,-0.05442450679086627,0.27691122554483594,0.004557991350389438
HEBP1,0.0076534065019153545,-0.07823084477873089,-0.008714750121606007,-0.012826410606338275,-0.015211822333687551,-0.046664814052697345,-0.10033395200337747,-0.16595865987665687,0.007040099471113845,-0.035389072204261976,-0.2205645047868009,0.03543460612174594,0.042355744988119684,0.03171409033765159,0.04275782711921834,0.015094334067558814,0.06462812994191838,0.0547919587921775,-0.05046664118178564,0.10496991391519564,-0.008522732468317943,-0.06437613944325714
WNT7B,0.05498500726749148,0.40528934195794875,0.025686014331920578,-0.02751254229283609,0.02853801888939532,0.07474634182394475,0.07044241583824419,0.29291977668367347,-0.05260756798621768,0.04176302157839812,,0.07174448383807777,-0.009576650596094971,-0.0960501392293509,-0.03156752488978,-0.025867425070360876,0.022023905437435293,0.04677389773393399,-0.011448855535672757,0.06448100180781327,0.06857393204224084,0.05935705770599543
PTMA,-0.05405260819490537,-0.009561816008173317,0.008781265520733408,-0.11058708613841972,0.02323866412701849,-0.14926172612298366,-0.24053938155736238,0.0815019067154525,0.1546904527656012,-0.14988022381445532,-0.6060289637231899,-0.3321973180999379,-0.023384870075078487,0.016609489817641328,0.015695214060134376,0.004311586416023883,-0.14314981324322482,-0.06818396765725648,-0.1261749676840178,0.13451651031396417,-0.16762426012247347,-0.17609864406996073
FASLG,0.07384346771327148,,,,,,,,,,,,,,,,,,,0.010439274593454981,,
CEACAM1,0.010154872578148247,,0.04234003850686133,0.010520943291401842,0.007306015245712798,0.026733100270881303,,-0.0926618651663132,-0.035408454852724335,,,,,0.08019758337491596,-0.04036767433119394,0.007384711473911367,-0.021016851083817997,0.021844472211494985,,0.08283208597573058,,
PDAP1,0.08590862343935009,-0.055715588026445634,0.0646293954340839,-0.022326952076785367,0.03406767497489137,-0.033234069312068064,-0.10947625423069032,-0.2878083753893496,0.0033525947098090917,-0.004784550774691796,0.003317042676568445,-0.14125227066394855,0.04088740030351175,0.02687656643071799,-0.03504319456653695,-0.04032818158408478,-0.02549901750129139,-0.05679516922721807,0.11913988038297602,-0.03722104739437847,0.003034166377002273,-0.06659663650784282
