,UKF259,UKF304,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.017760870939295906,
BMP1,-0.02179835535661279,-0.04699501480742065,0.05887695886694245,0.027575539964333175,0.048812538907653344,0.039797893493130225,-0.018270465489035857,0.07514720344632542
NDP,-0.05980504029523426,-0.031247089245417227,0.04506428655549905,0.02898933167422872,0.007382515319559246,-0.018477853248144875,0.05333975901238589,0.09666374324785737
TNFSF18,,,,0.01203088374009744,,,-0.029959413956807283,-0.024308728173287022
RTN4,0.010992199251715788,-0.00010758187887853978,0.037740343881901284,0.071627172296966,-0.02233631069528574,-0.06744667416368418,0.04208272013643971,-0.09644135602118162
HEBP1,0.0005548301036321133,-0.05427731237523847,-0.031777866359936124,-0.07959430255619811,0.04523295581010428,0.017541829923584475,0.03772182704495884,0.03804815321938176
WNT7B,0.04237712125027585,,0.13068799165299533,,-0.031487790789250764,0.041967290538865706,-0.026048102146464257,-0.05285472208931014
PTMA,0.03853047292674364,-0.030540699230496134,-0.03132324009831846,-0.02374242062133939,-0.014635205701327255,-0.08880593522845497,-0.0070379893303477966,-0.027181462869594556
FASLG,,,,,,,-0.01540399730644266,
CEACAM1,-0.012929328934493839,,-0.05130766703917282,-0.033632030186094286,-0.017644162215842425,-0.014716200693901064,0.017217808401416033,
PDAP1,-0.03807583214201792,0.05004383178477032,0.07542923909021876,-0.04695608844250142,-0.01997753554701121,-0.030723517221105785,0.038715309403040764,-0.05661284621891432
QDPR,-0.005960086241092476,0.007255514711830846,-0.09176530715836688,0.030917932149105994,-0.016099251376354293,0.025393429878068665,0.014514404193597008,-0.053848266545955446
POMC,0.03357420773437093,0.09274598769886509,0.0446233578980351,-0.037844471451236206,0.0825174506063247,-0.011110516026502634,0.08675806847850086,0.010112919628845037
CCL18,,0.0019503661669146312,0.062276440197941554,,0.02253560497449534,0.03214834926136865,,
CCL17,-0.01805477937253916,,,,-0.012517679090683579,-0.021243759576394797,-0.01396199338718294,
VEGFD,-0.02011501800524791,-0.019823593132476232,-0.049563755526450766,-0.04572200803147665,,0.14896288806943075,,
TNFSF13,-0.012453782733283373,,,,0.08328270750224584,-0.02309124035850858,0.013846689172306937,0.10560051978992084
WNT5A,-0.010835097605871674,-0.05689297700639983,0.044974723843591385,-0.02130179910766603,-0.021298079390457015,0.019199847889459734,0.026002548653818958,-0.008671364698753278
CXCL8,0.03333122084506493,0.01750160016239542,0.05941680248732959,-0.010003589214086868,-0.03745553700112047,0.05771833961075653,0.0002137900633940166,0.008571276653846539
GRN,-0.007909147616682904,-0.07316012375617055,-0.015696861174062215,-0.019525892035591002,0.02136731678173643,0.09512770028271773,-0.01491247829978758,-0.0059878946388034265
MIA,0.07716431651284499,,-0.027023572206087976,-0.02304355457300207,0.0689251334364467,-0.00873813186869088,0.015377399363520347,-0.026048239356149153
COL4A4,-0.035580777213343524,,,-0.008278405071261452,0.0463223017320542,-0.02356293832007479,-0.0003676851180535749,-0.029555653413092572
TAC1,0.04166173605120058,0.004900814836390031,,,,,-0.018354460022695515,-0.03405921826193126
RARRES2,-0.002648494244356315,0.007009293227579665,0.010523359561296469,-0.0213181009228901,-0.015915452146833268,0.0029868856636181738,-0.002396098755232779,-0.021290118791266615
FGF7,0.04376716244694562,0.017108154871943948,0.07223755498216497,-0.03925108384317862,-0.040604850039068364,0.0373420203695125,-0.0368177657254659,0.06592433935574755
EFNA2,,,,,,-0.013986763906118166,,
HBEGF,-0.011492798178047348,0.009740600372166492,0.008234002056652394,0.03263400331662233,-0.031030261553305502,0.03687675102489826,0.011247369221839405,0.03738668586837185
CSF3,-0.02151972276101444,,,,-0.020860867891711533,-0.005091450730846663,-0.014699825145002426,-0.031089165754314498
PI3,0.029494728594605828,,-0.07042232007783378,,-0.03017355171021663,0.04573226624386953,-0.03193783650193941,-0.0392599043497429
PCSK1N,0.0009217692411467674,0.042226994230116346,-0.13145333094223055,0.028982087115888247,-0.033872276141553706,-0.08335000160995237,0.08554713556937958,-0.03282019137540056
NTS,,-0.017847601694503643,,,-0.029202442276194,-0.017040217643397887,0.05661365376182718,
SFRP1,-0.015753492884588653,0.04787570012739817,0.04779192986540309,-0.02393514296361995,0.02570302716850994,0.028104758890204206,-0.0212625932372559,0.012817082753460463
CXCL13,,,,,-0.012459322080966862,-0.023874884986073944,,-0.025217536545531955
MICA,0.018202338457879188,0.01143800214234424,-0.03693552143849005,0.05248812429123344,0.019309744809306233,0.02611664214989555,0.03168498201933476,0.031574442794464114
TG,-0.017000514715199665,,0.06286712853460706,-0.0730232460759104,-0.016632865912382774,0.03801235488051704,0.11995108946323037,-0.027789855772390328
ADA,0.03886806480203798,-0.04453604402509539,0.0306904201982351,-0.08320878620402286,0.03495048273318793,0.0071462489260962206,0.07710167493952036,-0.013001932202086664
