,MGH258,UKF243,UKF255,UKF259,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk
BMP1,0.02001401287700359,0.02030516634359727,-0.08913703198155833,-0.025040420914656664,-0.014656346463185005,-0.04822857368943821,0.010146032239909957,0.012848350503493101,0.06070956953772344,-0.048963287594656575,-0.03888825781956123
NDP,0.02514213108486392,-0.003083960918293295,-0.0011576620551182702,0.05083751269719017,0.02760949768124475,-0.030335088949570443,0.0006717586377209008,0.032038346517881934,0.03146488548874045,0.04333638858477537,0.035146507214917286
TNFSF18,-0.022885152519951636,-0.020362312771039965,,,-0.01553397543176507,-0.012490943851086324,,,,0.10249558684562929,
IL36G,,,,,,,,,0.00020010011268209183,,
RTN4,-0.05280181791037821,-0.08391777306646081,-0.050076241269584744,-0.02206941129017291,0.005470579678984834,0.013422238416980614,0.0019190906119595998,-0.035438421204923624,-0.002834902738921773,-0.008992374162700538,-0.0034179467161873623
HEBP1,-0.019615595034225154,0.06492127926691649,0.04813152341233944,0.05331170557022175,-0.011130048300453629,-0.004430415459083895,-0.0005202537322294418,0.015807534182225823,-0.011308633652564916,-0.010313005080384876,0.08659537700516906
WNT7B,-0.020161102587168217,-0.013614840186431205,-0.045406224609028455,0.009580585712987692,-0.025778110740287727,-0.0012245607410606002,-0.001291151710906871,0.044630492402626884,-0.01987315290765503,,0.045206907218781636
PTMA,-0.05937125070024187,-0.10070777285338091,-0.024040599966887524,0.07397286237267732,0.03403472577947726,0.016334230222869447,0.028188864694467512,-0.05356872311570767,0.053057700058253325,0.046109105633914516,-0.001988883823020632
FASLG,-0.020161108286660272,,,,,,,,,,
CEACAM1,-0.027993875299741268,,,0.04511551798317649,,0.00882735916181312,,,,0.3244872908916928,0.014987650659848278
PDAP1,0.052372103425759,0.06300087848451309,-0.03650792937021444,-0.0301958008765508,0.0595456675440916,-0.002880464127443555,0.0026986470824280676,0.000856945247550864,-0.03079450516756461,-0.014419351725680202,-0.014019810524818743
QDPR,-0.025250698409525353,0.0036785802441108672,0.0217873736611089,-0.020912696724637553,-0.004268882475956095,0.05830049185133114,0.027755382544478867,-0.011159830878429446,0.011215050417868515,-0.04520653858376865,0.03430292822649695
POMC,-0.029287329671501994,-0.03374369785623329,,0.028733112321773085,-0.004265493559671111,-0.014493503484228206,-0.04747015651046746,-0.027761834663090634,-0.020842584036562924,0.021974663305172806,-0.04744201214094332
CCL18,,0.13518743668822716,,,,,,-0.0009828539425330188,,,0.06136499977054649
CCL17,,,,-0.02226621101482845,,0.07404537931976318,-0.02184513541242322,,-0.016517548566287333,,-0.016601534483407225
