,MGH258,UKF248,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.017700315947889806,,,,,,,,,,-0.01929670797598372,,-0.029827634314591775,,
BMP1,-0.06085585291082404,0.08929569773488916,0.039688440441504796,0.041047025927160016,0.11889333375374296,0.00010051011700884624,-0.005421070977178112,-0.00521135725953926,0.1455249171426036,-0.03859928372090724,0.02060269510982486,0.10817960551178071,0.03747366549978607,0.03981421327324412,-0.032889023713812714,0.03410204591489688,0.16843829933783552,-0.01950205525720072,0.0233187030617169
NDP,0.019071384506160822,0.03582239607531773,0.09708540517937542,-0.012759063805801092,0.04811087036886317,0.008054756935856982,-0.018535810012650138,-0.05872679482617612,0.04698417307098579,-0.018633655824168156,-0.1153608764093645,-0.013294598529987359,0.02042858173107831,-0.009629227284676928,0.05000754213831199,-0.0031779914320214727,-0.062301899624661636,-0.014750886566621135,0.059466493632062245
TNFSF18,0.002414140993626485,0.020945672489949916,,0.082946524336266,0.031917836632632014,-0.010647509681371023,,,0.1061687371441249,,0.02580304126980913,,,,-0.019900354328734084,-0.02270748769808116,0.05126923055366736,-0.006075570286069796,
RTN4,0.020487438411768404,-0.05210711011206584,0.10079613578519989,0.01512901615695134,-0.07931538348727706,0.01026554150778723,-0.038256238599902084,0.04649550413517253,-0.04361495806064012,-0.023893880000868638,0.055620014617239075,-0.015803352345748735,-0.037607952555771984,-0.04787773430126858,-0.08661717728788099,0.011080855606510346,-0.0631262584478202,0.05218555834145959,-0.06526405671302872
HEBP1,-0.00706114125143246,0.03691420409555938,0.0027835856172579885,0.04240313801351254,-0.005263732043899916,0.03490740260301882,0.04204792546563766,0.026066552293675885,0.06543261219540186,0.0036278531357396542,0.02695256169303709,0.006425799267116928,-0.036734268502269775,-0.01669108135849863,-0.04689496254109813,-0.11438410115297115,0.06842137552462672,0.008339123763984966,-0.01675307296041942
WNT7B,0.033723604847722397,-0.00090503572013317,-0.024720186064715766,-0.002907812056775274,0.00466323015108372,0.05711941721757728,,0.025624176169993327,0.037351626209207324,-0.006548935075002222,,0.07781845404450365,-0.028219404410928094,0.003156723993685644,-0.041613250798158107,0.1255963686198244,0.011523140162692118,-0.046473699107729964,-0.046226207901753275
PTMA,-0.006065417523135115,0.08469151355643793,-0.07452263969522936,-0.013993417488971115,-0.007013191104950275,-0.04310223088536661,0.00830218851948812,0.07873182090948559,0.10172848181693887,0.13281022690295366,0.02644961138812152,0.01722923174348234,0.0826183519191595,-0.05445441740834979,-0.07683693921009589,-0.13754664817072965,0.16671331464409633,0.07491274397344594,0.1173508790322382
FASLG,-0.01817844198117284,,,,,,,,,,,,,,,,-0.02586949706520096,,
CEACAM1,-0.02524092578289663,-0.018743062859971224,-0.013897365328332452,,0.07575968301721132,-0.016745996129576765,,,,0.021653664577617113,-0.036829886803350254,0.01433403109906552,0.018600342298936423,-0.01668742965100292,-0.028594731545278404,,0.05778260502753346,,
PDAP1,-0.004313132763787409,0.02628850575377265,-0.013283143502186533,0.023841259857511368,0.06472363637695058,-0.0044898806052357815,-0.07676585927204918,-0.06484497913402852,0.01853255560805194,0.01971507743404939,-0.007240753527119787,0.03400132221223918,-0.026705706149499995,-0.06605417179584264,-0.03730182536390289,-0.03664461926914532,-0.0045285294547609215,-0.0547856202114674,0.010623127895287094
QDPR,-0.015360846846976365,-0.007656855037131326,0.028537692490096134,0.030381226365733618,-0.12215221863322484,-0.038617292200459334,0.0364920904310216,0.0907942858194915,-0.13937732170553452,0.06488917311296505,-0.039435386184611926,-0.09531288980670843,0.06996113211560302,0.05774403736196848,-0.04959761390320175,-0.011161676397488244,-0.0606842025815571,0.031112047671638096,0.057701054311851525
POMC,-0.02210827697958657,0.0058285397832177855,-0.015157475690501637,0.04164021073327809,0.014842201885184526,-0.012354528249030876,0.00794436628569224,-0.0029478563317479295,0.022884932624066847,-0.08086276644871479,0.018010683414703767,-0.00039312430946824683,0.024310788936587342,-0.01644929536949862,-0.05238937004944534,,0.052389501090404515,0.014525947444469538,-0.0692119117602167
CCL18,,-0.023389571529183608,,,,,-0.005879165056348363,-0.029920801272932947,,0.18984565799116593,,-0.037371386738020956,0.024407631819757195,-0.019235534465610684,,,,,
CCL17,,,,,,-0.013279517579130084,,,,,,,-0.015632240101462278,-0.006440512163964082,-0.004964061785998708,,-0.023447793437552603,,
VEGFD,,-0.02338957895646807,0.014007927382425603,,0.03756590631609352,-0.014148202783512946,-0.018886354900332154,-0.02020485565191355,,-0.01205939703210392,-0.05006942402535686,,,-0.01668742965100292,-0.007468899242759558,,,,
TNFSF13,,-0.017650526847736825,,-0.014474588249614999,,,,,,,,,-0.0010442662956511328,0.03669783539265204,-0.02728282022785213,,-0.01604036884600645,-0.04291123277974212,
WNT5A,-0.050162661996176375,-0.018832964431473708,-0.0527558532709828,0.03205618993506581,0.024911991910830548,0.03336170830614893,-0.05098839849413178,0.046852044910493655,0.015209348856188076,0.05195352704049279,0.06826898440150389,0.08840258746207236,0.0013684197352777229,0.03210471264087541,0.011504327403178584,-0.01643357374650449,0.01233600134673736,-0.05515713714417907,-0.05476110411507709
CXCL8,,-0.058943950172269194,-0.02880054826806438,-0.0028400463514483996,0.07905219249189269,0.01689864594297149,0.006776307316334683,0.01236255309888564,,-0.20871152708548676,0.19381666070320838,0.08134776129373564,-0.0574681856505835,-0.07262793079971916,0.0943529525251948,0.031293115381859915,-0.023776459430084707,-0.04328586105163933,0.07943953061037522
GRN,0.02302564737747578,0.06074580532360995,-0.043970848087542674,-0.005624667836300871,0.10218674043627116,0.011431037236925694,0.07007591519245641,-0.06789275123532389,0.14034926438598858,0.16844272490945272,0.17026667996698364,0.12015933454098401,-0.019299450963454937,-0.026203482434392186,0.13055429482132658,0.029413460926463682,0.12887602911741627,0.03234159925834094,-0.07655772368190775
