,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.031656754366662924,,,,,,,,,0.12672492058889917,,,
BMP1,-0.006116176277915461,0.021538579254500038,0.0962607719779942,-0.04819884615649103,-0.03272578130424253,0.009354665082078531,-0.2017812291121347,-0.005515718393508855,-0.03466605570050098,-0.12866337707984793,-0.24144813767899845,-0.05876532111764768,0.13239908123788052,0.10736911605598626,0.0379978517242077,0.021144371011784277,0.10911529923090368,0.017470903043652956,-0.0033325029825018926
NDP,-0.061703003719555304,-0.001651989441289218,0.09876037492330522,-0.00957518705192568,0.1441178312971723,0.034915060152221206,-0.07826662911736554,0.00510084450329454,0.05598782388539161,-0.00028890335860569513,-0.06824278265048225,-0.022228540436682324,-0.04895826543500907,0.1542072889343628,0.11265595620275788,-0.024194157924621765,-0.15777368823629204,0.04310877710765492,0.023566624361876495
TNFSF18,-0.03140812215909884,-0.02237822944576477,-0.023677384807956697,,,0.008298744757904493,-0.047009329872685565,0.013753574170848718,,,,-0.02488530984369066,,,,-0.024060951805530254,,-0.03759868169892977,
IL36G,,,,,,,,,,,-0.03342596519494625,,,,,,,,
RTN4,0.24824199036308997,0.05021325441958908,0.0006257278528450084,0.034133980964513234,0.1869777132476816,0.07847642125981438,0.3021205668252549,0.09044548244516654,0.11341424561957748,0.2332292825621969,0.3226385084202023,-0.10615526324443092,-0.008167773839731711,0.10937983164654415,0.13017777361188446,-0.07751966858495576,0.17188791565447825,0.15442037261348932,0.10936547002640187
HEBP1,-0.06360600651979155,0.03987105684694108,0.043382706746302076,-0.002416775667657614,-0.03966221771964229,-0.04197653808921122,-0.10079556577901536,0.029846185857465332,-0.02584753218697838,-0.11072455726204596,0.02616345156928047,-0.0035093853563388532,0.01739198032026088,0.01497370514532532,0.004408497246325815,0.00875062153952252,-0.026017650160231068,-0.020801169088756316,-0.017223440522919315
WNT7B,0.36001386514615746,0.0607666270381657,0.07004773476723306,0.04998624935838986,0.06441235581884305,0.08509972278459205,0.18780998118471753,0.02951854456718049,0.03183892126521316,,0.0478320898464952,0.02522188807086716,-0.04288072913218434,-0.02924918770592631,0.0364167924134981,-0.030552535256909725,0.04249521997064864,0.08332054382757102,-0.04381233329369356
PTMA,-0.04743357023839141,0.03876141950712666,-0.019758307021628403,0.012282194280985453,-0.13034473801484261,-0.07840029693371942,0.04467343881612356,-0.00414525746737177,-0.09152575791641109,-0.3217499986570134,-0.323237694915855,-0.10233581019652392,0.0012938151642231277,-0.12287704669720315,-0.07387009702114299,-0.03666607950102127,0.10024614422628905,-0.03443540129645827,0.00903597501318059
CEACAM1,,0.00765772906303244,-0.016114408482125323,0.05828573965373403,-0.03241952644039117,,-0.06186160066122491,0.017839784625450748,,,,,0.017729042403554853,-0.014122315923328303,-0.011071720560531257,-0.020015391611000685,-0.051876219545491854,,
PDAP1,-0.1362645317568688,0.03961665284910266,-0.01473148308192845,0.02753105623544082,-0.06665632725131809,0.02242452371635107,-0.16492282439194494,-0.05178729253979256,-0.05418080775741107,0.07932385471730986,-0.18610004940594826,0.035826744774814866,-0.04989289062959228,-0.006290888721433146,0.017877532576093272,0.008450371843885907,0.10113878143199218,-0.0021569141959437324,0.035376082245873734
QDPR,0.14690199468249282,0.01275222811427345,-0.025483745901957407,0.01741830843948819,0.16954577889855257,-0.022289383849296948,0.06680618781684446,-0.040691536992775126,0.05785254330029602,-0.274257878616784,0.010628191465331213,0.051884688063274835,0.00750967892115046,0.054945321884258345,0.04722554601668104,-0.0028187257691054983,-0.09015556200141467,-0.031138809701789734,0.11104886909469736
POMC,0.1807645403214158,0.0010328258794976763,0.061210439094636,0.004058996699477678,0.13939620064740912,-0.007591950975924667,-0.004410627860002583,-0.03168561604337194,0.03321350952096785,-0.08168749663039566,0.09911129393894881,-0.010443776868985882,-0.009345173308358781,0.06548148339022476,0.04909899996694475,-0.026379690132560352,-0.027915438383658734,-0.002449921482820891,-0.02687358344715971
CCL18,0.018473334728655616,-0.024778335886573872,,,,,,,,-0.09344553619362883,,,-0.02726602470675405,0.0641771268251318,-0.0395476258832699,,0.002362154839902536,,
CCL17,,,,0.009291848960152033,,,,-0.03405793299202099,0.02556300728608966,,-0.030535568168413532,,,-0.05234074698923273,0.021097558719608635,-0.03076070787610812,,,
VEGFD,-0.03501580909803142,0.05031716868613783,-0.008615671191829346,-0.022481449181617517,0.07709284155660114,,-0.05303355529112854,-0.03628584694339283,-0.022861813420817678,-0.009792568455616461,-0.010317852843793015,,,,-0.0006726871483524571,0.044894929263392655,,,
TNFSF13,,0.13024707665878552,,-0.013918907930590502,,-0.005676837625070994,,,,,,,,0.02121414737425674,0.07560390791423612,0.043958175507830634,0.014559373110305189,0.05511973218470666,
WNT5A,-0.12788526991071925,0.05604278969666988,-0.014640431262247577,0.0479240922900563,-0.06363140948749031,-0.0613410465230657,-0.18976241882923808,-0.007940025821141618,-0.02911154150082801,0.08346728512453903,-0.07724527403445335,-0.05801291302462984,0.007847136809175967,0.0856885044093487,0.09231088287690717,0.03595403825973155,0.08321921935533422,-0.01972575365285059,-0.10193249074755029
CXCL8,-0.1096887609038222,-0.02208022293064428,-0.02161135929962577,-0.0009539500850599921,-0.08631853800362234,-0.027488619059285894,-0.09549808699857178,-0.08909232297201487,0.03505103435907975,-0.1103176301144611,-0.08973569362099022,,-0.03354310784958226,-0.06508563992202977,-0.21489124087760159,-0.00955655440223313,-0.032280446920522635,-0.06427067776888931,-0.02894823134888566
GRN,-0.09145544269854947,0.06438372082934489,0.04702276628979672,0.005915199189636593,-0.05088455577441299,-0.05622491496953542,-0.2300635801889482,0.05755768810509531,-0.026511087851189746,-0.18649651682852098,0.02599663858476066,0.03498544129982677,0.031113251431958377,0.12421350761968908,0.14128899678975987,0.063399527752746,-0.03898400000137457,0.05690393033008266,-0.03164132966137699
MIA,-0.013822948283989023,0.029097575555144674,0.01121212358409226,0.00012458039192827047,-0.07794279322811762,-0.003267951994698774,-0.06950107702117164,-0.02222660212880222,-0.026000498113104228,,-0.044819639238206296,0.11675407911141485,-0.01145186476606212,0.09229307548846162,0.001465851157719932,0.0017181793927116306,0.1110851233894757,0.005900668539430356,
COL4A4,-0.020069645657631485,0.0007037418474320876,-0.006242005732176385,0.03082767872909881,-0.08307970034318408,-0.010093137052198522,0.04911123208478026,0.08375495735750976,0.02414270924750768,,0.011711423502961447,,-0.034472774587957014,0.06744136982574438,0.049953252141250244,-0.0006788911698285086,0.03689189342088409,-0.05181627910300085,
TAC1,0.35064352594090614,0.019023464963600016,0.024588257993148163,0.05921766527644622,0.22995487563026462,0.14317676849157182,0.2588502178071633,0.058430325461295216,0.09115555629887474,0.24876206296798348,0.3324847145315205,,,,,,-0.07023519299474658,0.14334393396544054,0.0066738968368252405
RARRES2,0.027932386963572836,0.026595519225213953,-0.003573832139989743,-0.007784137476289435,-0.21088523519924174,-0.08592560344785861,-0.2448743151627562,0.0028218460340178712,-0.026247174616509925,-0.03158631504565267,-0.1628728540714078,-0.006516851944876617,-0.004721595788472203,0.019133429948236795,-0.06671761891993595,-0.022705935308023666,-0.00885753530628934,-0.1095384745709081,-0.014505868020252844
FGF7,-0.03582232794415068,,0.025701512630300027,0.0070713422648803915,0.07231260049916809,0.06098100306727245,-0.03135353768847492,-0.004262281496961252,-0.05186393887883692,-0.04529218165647285,-0.016226898434100703,0.00949250052724304,0.024093226884841643,0.022980892436284303,0.11231117784439712,-0.030608195140870164,0.03197834342364993,0.04933051322360691,0.027631792323701748
EFNA2,,,,,,,,,,,,,,,-0.00021081743450395668,,,,
HBEGF,0.011599962763895074,-0.0003129584953075482,0.008411609867632779,-0.030540008848781382,-0.09902702671044404,-0.008481139276664185,-0.11173788304998564,-0.07729559188235452,-0.033277440753967345,-0.11654070525656632,-0.04756453381902952,0.061963866287761675,0.015538051030680537,-0.0134172966431997,-0.05065525073255021,-0.01395839260515601,0.025517290498310183,-0.047246895351683325,0.004376177152260747
CSF3,-0.04777463509268434,,,-0.012024496533727416,-0.010331791796950996,,-0.007678752728136451,,,,,,,-0.033680582978396365,-0.07285146536541169,,0.018429076248865663,-0.06857932868896209,
PI3,-0.05659617946784742,-0.0017260334224974572,,0.012852610140735127,-0.059863600522869015,,-0.037163067298420366,,,,,,,-0.005148641801496471,-0.12843574775433453,-0.026136238298865522,0.03395457246309459,-0.007660599719137575,
PCSK1N,0.288536236378343,-0.015065233133103595,0.05837138718551326,0.023842488719297495,0.10751172750310302,0.007249934378127285,0.13098949321214534,-0.037790205964980964,0.07923221018502863,0.29992511322919635,0.3238384255364568,-0.0030368858354030614,0.05387451000512241,0.15001939181579318,0.22070472444261005,0.06171475102774136,0.2661599355072674,0.17730931688989618,-0.012980120506910862
NTS,,,,,-0.0675315289091837,-0.008185437252909262,-0.04056602548158178,-0.04062035129663317,-0.0383978720355378,-0.03099022290131711,,,,-0.028160644318869797,0.03878834665489395,,0.021824067975380945,,
SFRP1,0.11259435513153498,-0.01945674823595103,0.00845582188372849,-0.01760681246347649,0.08026638600514052,0.013177538369172723,-0.07575934018653811,-0.06327766320150914,0.04401003564077862,-0.01593718384638789,0.08741596809895051,0.06993910163498822,0.16993276377295574,0.18108370385166397,0.15515282144963252,0.07655544189982058,-0.008981169520791615,0.009203736926893231,-0.043311151809531004
CXCL13,,,-0.03016764964804654,,-0.0037251229738071477,,,,,,,,,-0.05119529540199556,-0.0006508264640061857,,-0.0164838923926021,0.028346746542943477,
MICA,-0.09142354623583374,0.07476856303621664,0.01225172607833007,0.04129589632334983,-0.019984170448802397,-0.008629987939375947,-0.06331633131537388,-0.029038327793493475,0.029034777143894526,-0.03286673872908688,-0.09823751428747429,-0.02582964369523705,0.012014261540494802,0.05033549123117569,0.09103053358195733,0.06974545222572487,0.026190177197127747,0.016681800156677952,-0.06514306421954655
TG,0.022109002034174395,-0.0008233625053346722,-0.02191234873529388,0.010848087605004242,0.011957320760611147,-0.005561207829343893,-0.03983301206567555,-0.03431207861830082,0.041712001686409,,-0.04586873204736333,0.06490798752969003,-0.027781975978743743,-0.013512135847425912,0.009591808750871816,,0.034995446942087366,-0.001210703096540698,
