,UKF255,UKF259,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.052823232969038736,
BMP1,0.01946120809017951,-0.06894422202427586,0.0651902482833795,0.12017273184020826,0.016051444578112223,0.01601712604490381,0.04234116934717342,0.18123188278242044,0.09869330690946126
NDP,0.004995906099997235,-0.05376688365536207,-0.0499625760608091,0.08876424919320294,0.0505053093282192,-0.05745398702450875,0.051189710790546086,-0.023105305983539378,0.04330702578785903
TNFSF18,,,,,,,-0.011340282490563982,0.05580818508123323,0.09888882740042088
RTN4,-0.0678829943631017,-0.05836250568808729,-0.11017961094892592,-0.03252821552606459,-0.006093187466641017,0.010057547006577459,-0.006002742374315831,-0.016561774712830636,-0.048650518401996135
HEBP1,-0.018117915724144038,0.029437585416700978,0.07032735582772287,0.04251512635603082,-0.059278770070783415,0.029631095600881605,0.028847502652791852,0.025372451524840387,0.005014910555935261
WNT7B,-0.03528709554920829,0.09324405995906528,,-0.04664464141692916,0.0037313937286794618,0.11976134841554743,-0.038196041219977266,0.07889952939538743,0.08652667309735043
PTMA,0.0345180680521308,0.09626708794177777,0.16297992255964452,-0.03590853378173872,-0.006862738093737792,0.016541347042863353,-0.011715729573471959,0.10470344641097126,0.13910956394513072
FASLG,,,,,,,,-0.005133575159964381,
CEACAM1,,-0.028108280942359763,,-0.0261372931866994,-0.02349195655017679,-0.014092736675365003,,-0.05654404186821583,
PDAP1,-0.03183664880719934,0.002292206717311144,0.04716304608563286,0.006481707467821667,0.0042904783072891,-0.052307500942117294,0.10076624151814284,-0.021909609231110627,0.021452762000813554
QDPR,-0.022910011784968876,-0.01978591712330102,0.03049155263596511,-0.014930160245858047,-0.012536086972756466,-0.05946548782427187,0.05220622936151561,-0.01939218962542506,-0.10291229220064156
POMC,,0.03946183969861833,0.03521260051216166,0.04661777121918875,0.024587503159926565,-0.023053865899643814,,0.050277888200984784,0.015244033345513197
CCL18,,,-0.006801468266240079,0.06796810492081042,0.03229122492421011,-0.032836785703597056,,,
CCL17,,-0.01629190728925626,,-0.018543144435412467,-0.03391211409191345,,,0.05252651674372287,
VEGFD,,0.09296839945783607,-0.024001516631351718,,-0.02349195655017679,,,,
TNFSF13,,0.09076177923916293,,0.09887978787948018,0.12182968878124442,0.031063749482578732,,-0.007243049935843408,-0.009383401110000567
WNT5A,0.013101576740121745,-0.03297712690839186,0.037753119946907714,0.09716043194981923,-0.026931107185814176,0.01150209183455457,-0.04454769917602886,0.1269816875499196,0.11290944588129162
CXCL8,0.013396576945145997,0.19260933575071024,-0.01010790504435654,0.07046536376999119,-0.000240324762658299,-0.006876181883031474,-0.014116241131768539,0.00747648799308658,0.036245256291939726
GRN,0.04434121871153313,-0.06403002345441682,0.15706880760908568,0.09090161660790451,0.01495551276226464,0.053834489645172436,-0.0055177826489190744,0.16085685525993565,0.03893813654306601
MIA,-0.04702568343301026,0.11154663188707878,,0.018276098435532826,-0.04995833163915303,0.0687158371562993,,-0.028291310963933964,0.10818274739197763
COL4A4,0.09898066126304075,-0.002324739663587826,,-0.010513666037407127,-0.0376142956136158,-0.015349636924715344,,0.05630061385039583,0.014861857417782169
TAC1,-0.003136239870671241,-0.040994261573989735,-0.026039141146483896,,,-0.024313985538953083,0.2370255008351836,-0.030751456284209115,-0.0033332381864088767
RARRES2,-0.03510106806225075,-0.08913460680340468,0.05624005936293309,0.11462419927821518,0.04746942979058178,0.006348381590138219,0.06495169359831206,0.01349992634018889,0.04663364679123379
FGF7,0.0752674436261432,-0.008714867412116778,0.03560807934243836,0.03531405031065907,-0.006355923795933798,0.004182508926105297,0.05924271368238486,0.052464403071377494,0.03612765478946599
EFNA2,,,,,-0.022327532546921783,,,,
HBEGF,0.009920418881016854,0.03947274591358029,0.02811608999110233,0.03406690695680886,0.0459582791599094,-0.04145873283143646,-0.02547552269829678,0.1319005745678174,0.10736610521601024
