,UKF243,UKF260,UKF296,UKF304,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,-0.016360133192648358,,0.14115016920950643
BMP1,0.027572469320733917,-0.01826183636654919,0.05472971904224522,-0.0027337718532808937,-0.016340171604043312,0.00641051399018301,-0.014738944273240273,0.08564737931263945,0.03978487332869579,-0.011617511814392821,-0.02745548812717918
NDP,-0.037156346361895354,0.01244097838434326,-0.009938079192109994,-0.029933916715232257,0.0052144875765717715,-0.0023842534665179634,-0.015924620404447375,0.053528343106025784,0.012278345805505434,0.012584436144407851,0.005189280162821251
TNFSF18,-0.0223379146771581,,,,,-0.01430797527533824,,,-0.016871916588269177,,-0.031029719912144822
IL36G,,,,,-0.019418558872752914,,,,,,
RTN4,0.025980223206076392,0.045634794868468394,0.06577888688325967,0.043140868575351037,0.04651471888257687,-0.072854576776549,0.011711092452230093,-0.0661982744537058,-0.03659596463502834,0.07532592771727208,0.05924715461805685
HEBP1,-0.027252536677672492,0.01716192202180271,-0.011915449657420692,0.005651142091534552,0.015386496225529619,-0.1332029205836116,0.04465404421894434,-0.037485645973486276,0.022069372608882677,0.06921033721231472,0.05606899029718029
WNT7B,0.09077478180129978,0.06806385206314639,-0.010578798815199323,,0.026896693488036593,,0.02608485123907892,-0.038503708030601574,0.06372504900548683,0.06539632782365631,-0.03926339128726882
PTMA,0.00874686246368875,0.012155981130490209,0.008804817763873768,-0.052935168949445104,-0.06409607630653208,0.08903400344021731,0.014125928262814336,-0.08818291014214238,-0.0056570829842097735,0.032680881200991455,-0.0627352881868611
FASLG,,,,,,,,,,,-0.015954308139520316
CEACAM1,,-0.02474224791178885,,,,-0.036052795487469175,0.09337521576640112,-0.026913954981951475,0.2040689355022548,-0.028071647017119873,0.18549039544782703
PDAP1,-0.005054706562597312,0.00860404739821535,0.02458848355823325,0.0676924863639647,-0.07493488058873819,0.05451076696623223,-0.06626082012626104,0.027171611916933288,0.07147543554402064,-0.010370298183934852,0.03218529141471122
QDPR,0.015562818573388561,0.07133170444913249,0.054139362580364295,-0.11666777939510757,0.03844728914727708,-0.007506402973995607,0.008823631064502648,0.025581387853070583,-0.0475502131730622,0.01906790059261052,0.054940443650231735
POMC,-0.026578679795929188,0.0689967590033029,-0.028452771357735527,0.06648367236735112,-0.007053371768921896,-0.05822658600746932,0.06703387508177298,0.006331007955858868,-0.013547113229611746,0.040495491184602224,-0.032882128102543734
CCL18,-0.009503756812567836,,,0.013723094903752812,,,0.021261263640536942,0.026707483267540695,,-0.035312431965857684,
CCL17,,,-0.01309358740014672,,0.0008565666676723732,,-0.01825654327204467,0.04026752803628136,0.0713539127215571,,-0.014460788346664774
VEGFD,-0.03375276082929045,0.04128231072151752,-0.009604304704331932,-0.021584117230417903,-0.019011869597324958,-0.027832347551144023,,0.03797912233556197,-0.022749577020479615,,
TNFSF13,,,,,,,-0.03503156436418407,0.03779386768852295,0.041221334912832,-0.03152257816727384,-0.02356264761792953
WNT5A,0.04067993491959203,-0.015752327050184402,0.016564571469214945,-0.016108496908289104,0.0036537348390980164,0.12394100088494743,-0.0018192682986034035,-0.022681520113405455,-3.376301297224293e-05,-0.008535949354073525,0.044974765146434774
