,UKF259,UKF266,UKF275,UKF296,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.02279376497580231,,,0.05641747003376987,
BMP1,-0.04431032259875212,0.10036183251366955,0.011886795104842671,0.013886706099698795,-0.05068807956324662,0.10933812392601797,0.03847789485942553,0.06593026704332342,0.06730778650320748,0.1522621538227731
NDP,-0.03932355396966221,0.062592941185985,0.02637442440731568,0.00940414774955367,0.024934273160582367,0.0996165923627394,0.01966947910019277,0.09462113981854307,0.142201930175237,0.0764835151681663
TNFSF18,,-0.015976254452741614,-0.011674763952453069,,,-0.023506807485966046,,-0.03314018299682983,0.012710361555043246,0.17118795426821212
RTN4,0.01730961433191132,-0.08941511339431468,0.021357671697023947,0.014800926300751647,-0.05292104169398438,-0.1788937674369801,0.010767422985465302,0.009634423493637584,0.03694202226251362,-0.1642158199732115
HEBP1,0.07834841430683362,0.013203324323983547,-0.013098001721381442,0.009013334341988512,0.033064331239916124,0.025704941201276175,-0.017940383442660725,0.03180455117774989,0.06712502234733041,0.06035850697168493
WNT7B,0.0326112792945001,0.059164368259132856,-0.024599909257600566,-0.010917753163163386,-0.02209700520480413,0.024005200097574515,-0.03646269867336188,-0.03314014863294955,0.008064628308145656,0.025682275215391424
PTMA,-0.003713650670802401,0.14597457708959982,0.01797771315763123,-0.006253133116047798,-0.03421122095101873,-0.20292793594612446,0.01704852412090434,0.12078380771440254,-0.16805318434503608,0.00880827658413105
FASLG,,,,,,,,,0.008640399514258417,
CEACAM1,-0.030588262758323197,,0.055206171195943725,,-0.02409134891860567,-0.033776828213414954,-0.010968037909222687,,0.06895357959080015,
PDAP1,-0.032013015765881135,0.032788910562187,0.02944559002592801,-0.03314708924185258,-0.03878554647371733,0.07465001076788216,0.040822012799673554,-0.04904313159604057,0.02035767539839012,-0.07452207918530519
QDPR,-0.004632021140837764,-0.019627347840968166,0.03368564749377423,0.028866553704292496,0.0650063437315663,-0.18033440270967485,-0.02917927992665157,0.15343002121162838,0.09287102293972252,-0.10238887693700262
POMC,0.014193292333575398,0.05051202561035797,-0.013546472871840229,0.030421214544538052,-0.025012340019985684,-0.03831068493354914,-0.004251301265827385,,0.04467728195142033,-0.03112525645472424
CCL18,,,,,0.02615549404356876,,0.01628486003658165,,,
CCL17,0.032099316080734984,,0.06058731976249182,-0.01351311786454601,-0.034777374605254104,0.0757895480035874,,,0.03038703401007837,
VEGFD,-0.024635343231181748,,0.05521175390424721,-0.009912035373529247,0.042643762965849416,0.0009593747825661227,,,,
TNFSF13,-0.015252445316278474,-0.01549363398447528,,,0.06107634005341824,0.25585620630343603,0.02754344181528989,,0.04409759801745549,-0.048269627680085206
WNT5A,0.016266859587882182,0.15842937131369944,0.039292082844459994,0.03778488172598503,0.006713248201345671,0.09465538954863748,0.03841434716952221,0.02143207279930022,0.02614728098823659,0.010200973535228546
CXCL8,0.0032150888293738075,0.043641315951745197,-0.022883478310174968,-0.009230518329456844,-0.016186298823464534,0.0806463859377279,0.03987834380045636,0.01804524682496303,-0.03479578025065441,0.05380700683666517
