,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.08239791438867057,,,,,,,,,,,-0.0064672554948237765,,0.01928171288880382,,
BMP1,0.019187256120735623,0.038927687456692575,0.003320448703679911,0.06252726842494384,0.035912675493116025,-0.006897130510733063,0.0421232925680173,0.07553441223737198,0.011559835056540473,0.04108144890221213,0.006391820644271936,-0.07661635462680187,-0.02950804383806291,-0.0015996537317356637,-0.0037799411697379145,0.07213251468308168,0.012563422505366103,-0.058176839438949704,0.08312143834999457,-0.04417782531515644,-0.04522260273372318,0.06724424498753356,0.04965469412289708
NDP,0.0025931053301739234,0.05755126318162322,0.03120019129936273,0.010743531746363286,-0.012928357959061769,0.06968249663600933,-0.02653261070804732,0.03391892206616496,-0.006589041707879537,0.0066313911422863255,0.013272983765021245,0.004244854075911157,0.06663956220480209,0.061440803744229375,0.10986277543990167,0.035867829757496285,0.13535220524607794,0.05593500384604333,0.14344183707513816,0.008976374965982336,0.23761588431887234,0.0064385944576491804,0.06892885467369694
TNFSF18,-0.034211941691127186,-0.0003759334274866075,0.04002390181807705,,,,0.022935966203717375,-0.008743576065630768,0.024769615413264726,,,,-0.05593242002785642,,0.007584874941245171,,,,-0.009342737296093214,,0.020495534117233927,-0.02907577380899973,
IL36G,,,,,,,,,,,,0.037205656642883334,,,,,,,,,,,
RTN4,-0.02839524397103027,0.04697204920203935,0.039961942426278894,0.043312172344114185,0.04080977564195166,0.06408847630768823,0.05560139627910083,-0.06861152600433935,-0.0014101350231421196,-0.15042045201686088,0.06483339745158463,0.1298981675162572,-0.020475471759088797,-0.08980556112893509,0.007621026717376557,-0.04800711363674973,0.01623878978125382,-0.07585756529804073,-0.06007712830490843,0.09339794706807034,-0.06532810800875513,-0.12623644738431408,0.05405766304527507
HEBP1,0.07030799537343597,-0.04985633537815799,0.026975648629792997,0.0020823273766658744,0.01559885609466574,-0.03965224354016198,-0.0234601601265947,0.04956150859443543,0.05692671166834283,0.00928208344401603,0.006927943572900839,0.016897383760049307,0.14164930013982446,-0.015588602973914085,0.0033420778512523734,-0.07113042691116789,0.07100087233373115,0.06569751497047897,0.015494464632409393,0.04707118903678733,0.1794202652982138,-0.05137228153584153,-0.0267201281341354
WNT7B,-0.04468442105927082,0.03532247874241016,-0.017638615040964575,0.004606540670358847,0.03280074490399585,-0.019510401789772,0.053675222593033964,-0.029048380197094652,0.03451366920896439,-0.09988394939351487,,0.006542999445517103,0.005883726188759378,-0.023745732477368373,,0.04768052095625267,-0.02106034361575408,0.06804344547627786,0.06028025206485265,-0.033377774018072695,-0.006156002393535314,-0.024429786629124452,0.0009287840797788165
PTMA,0.013318068364742107,-0.058091281226120436,-0.017401042934949415,-0.03826170396816531,0.021300705993423905,-0.05512706817469923,-0.05177688809118579,-0.06282538655169491,0.009013544484893022,0.14184850398938592,-0.15463690656519083,-0.12410916320699587,-0.054119435981822915,-0.00746844662240373,-0.08810782289083417,-0.11751603562659368,-0.0782780463964737,-0.04137413663383004,-0.10255271397010042,-0.009523823440866145,-0.1653909715454077,-0.035067142683905574,0.05075683876581599
FASLG,,,,,,,,,,,,,,,,,,,,,-0.04092416090954513,,
