,UKF243,UKF266,UKF275,UKF296,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,0.0815392762686699,-0.019802427062584515,,
BMP1,0.02583257236063828,-0.006862771886121355,0.002350775229150073,0.018409893762495903,0.003792529142707791,0.08358200870664728,0.08941752033555611,0.04278341767056729,-0.06313738999622812
NDP,0.11875272809836772,0.003330787762095913,0.052724015511882195,-0.016108564491977482,0.02163216060246934,0.006327714376158566,0.05552834222828507,0.06455489559735209,0.09909105652006199
TNFSF18,-0.021274488246141147,-0.01597625282828734,-0.010336036015386987,,,0.05553833718038593,-0.021194470387652774,-0.041089012995471894,
RTN4,0.025639556606279812,0.10582926300001179,0.05377548204411554,-0.00036617688334569803,-0.060259641970054366,-0.043340968764203784,-0.009714030422750184,0.050378018568130394,-0.056427692702597905
HEBP1,0.012446772304256254,0.028097857031907297,-0.013179296047459205,0.05408579038708681,0.004595533369395337,-0.019869345462069997,0.03944590301398827,0.03129635828003888,0.0942709712218294
WNT7B,0.011307666325922778,0.08913055700566994,0.022330982298422015,-0.004982708990848398,0.09429895201865796,-0.03162832978698088,0.07175054157089683,0.017322434212221557,-0.039292467866659395
PTMA,-0.037408760200493905,-0.0911949380507063,0.005521401023098618,0.04240191462125311,-0.07123193822735416,-0.012791489013101927,0.006662800819546439,-0.02362988039173248,0.006352355681376752
FASLG,,,,,,,-0.017174638235683937,,
CEACAM1,,,-0.01625612225661287,,0.08246540142823405,0.018639881669968817,-0.02389598660974723,,
PDAP1,0.06612060285658157,0.008917618233949591,-0.026335136933096404,0.02534838099519608,-0.0042355903828037705,0.040521439700475954,0.014200536278617552,-0.023533125266459114,0.0332093231546867
QDPR,0.034984395308770025,-0.053889484657887045,-0.03290751896231426,0.050393583082743366,-0.03137597860225635,-0.050602607629920394,0.006055664744597035,0.006255486092261834,0.0012095624659041139
POMC,-0.010582149300197602,0.09552560321808214,-0.011993118837780311,0.024750010587351542,-0.01132231787997897,0.09149522759311217,0.06989970844206037,0.024346470870711956,-0.05883041119462524
CCL18,-0.0070342241525832875,,,,-0.018136157036579163,,,,
CCL17,,,-0.012891049275587908,-0.0010092237591004308,,0.002268829182456266,-0.015566880511825736,,
VEGFD,0.039906548927120034,,0.026963372114722654,0.01372408437173464,,-0.028413797571439837,,,
TNFSF13,,-0.015493632409093518,,,,0.007328750975450869,-0.025364932479297515,0.0008875377087481876,
