,ZH1007nec,ZH916bulk
BMP1,-0.013481821717511893,0.04194196050965641
NDP,-0.027401000366090708,-0.02037658369015559
TNFSF18,,-0.027315565500572146
RTN4,0.15958969870843936,-0.10360921522328746
HEBP1,0.12330354369952083,0.05441325179738804
WNT7B,0.027200609641921697,0.046451732207604214
PTMA,-0.06560032632611504,0.08465238052444254
CEACAM1,-0.04449315381240865,
PDAP1,-0.034838650914691544,0.06230424037484939
QDPR,-0.06928524851778728,-0.1187290313129513
POMC,0.05828722338446215,0.0018977060577755219
CCL18,-0.03815055329778557,
VEGFD,0.11182031060493376,
TNFSF13,,-0.029715438980931298
WNT5A,0.03134270286941069,0.08114651412132591
CXCL8,0.2160250126534117,0.04183751315963998
GRN,0.05417268348367289,-0.06477034949840382
MIA,0.10076412431366243,-0.010867550131483935
COL4A4,,0.0734879117167928
TAC1,,-0.07612467376645338
RARRES2,-0.05330668994188032,0.08523353134095013
FGF7,0.05947652464488438,-0.017062565767994076
HBEGF,0.014009898638141458,0.09631570383205784
CSF3,,-0.006619598992102036
PI3,-0.039698211159188077,-0.0242896553567921
PCSK1N,-0.017887147417208604,-0.08590314135788052
SFRP1,-0.11613367031892585,0.040923416378678266
CXCL13,,0.0073793493103092135
MICA,-0.07118611773999173,0.03275822349093218
TG,-0.042655174437901934,0.05420651411583511
ADA,-0.09152519733060527,0.006876199249015544
LAMC3,-0.06994339579484492,-0.036746468408787494
CCL7,,0.004781038162584838
NGF,,0.025446746573350942
TNFSF15,,-0.012263500970722173
HMGB1,-0.13064420502933852,-0.0231763039131658
ITGB3BP,-0.014982870071536031,0.07926152123769205
AANAT,-0.05195580995158294,-0.021331085229905813
RELN,,-0.009049942491648465
IL15,-0.018779102354072222,0.11399903848166547
UTS2,-0.00906120876550978,
BSG,0.16039511542146737,0.014756594170075603
ADAMTS3,-0.09048329103134274,0.022320309301540827
CD34,-0.07910639329239771,-0.0001485643610796153
PLAT,-0.10719926654609814,-0.04580019254183332
CKLF,-0.03728693939967906,-0.032825555483736654
CD24,-0.07818048145524845,-0.03155523511535277
HSP90AA1,0.06091432362428833,-0.0486159923044558
BMP4,0.07211240253985199,0.02512380221244253
SCGB3A1,-0.04298082102964119,-0.007347162903627248
IGFBP4,-0.0795650519549022,-0.06310683569437592
RSPO4,,0.06807470987550503
LEFTY2,-0.04173070711398426,-0.041385849482513844
PF4,,-0.02107045400647798
ANGPTL2,-0.05329630254574933,-0.016510911011011785
LRIG2,-0.04283100295695387,0.03892515646541566
ICOSLG,0.05453565853441561,-0.061800048595531586
WIF1,,0.05171995532690106
NPPC,0.05786790006715836,0.02933697734962942
LYZ,-0.01319730829831064,-0.03143152201861959
EREG,,-0.024258334320833096
SPTAN1,-0.09355871078766556,-0.07608092668649916
LIPC,0.1034423694720842,0.07287744169510929
COL8A1,-0.040742710919647374,0.04732694707600982
GSTM2,-0.026620630338577277,0.003577133459219869
IL4,0.08118538711066067,
SPX,,0.0025123268064437573
MFGE8,-0.07289089817274122,-0.06496693440440882
TGFA,0.016492872053144154,0.02275608098933303
SLIT2,0.0011524759056991058,0.020335557681305207
PLTP,0.1604281776292905,-0.013364200090502206
APOD,0.03470673582934585,-0.11817451313503244
B2M,0.0006835344836723178,-0.02354959721721506
OMG,-0.02190639000385968,-0.04704898427209538
CXCL3,0.06465353119682882,-0.01624975184674306
CXCL10,-0.023281738538462576,-0.01741637893413016
RSPO3,,-0.056583949516179226
