,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.015200535808279564,,,,,,,,,0.03263159118705964,
BMP1,8.519705042211779e-05,0.05529185636817242,0.06408151724248061,0.0527932254499621,0.01866964042569822,0.0216037534572543,-0.0319548342201079,0.010370293438613447,0.10926411262052932,-0.0014482211409307917,0.0030624515955759175,-0.030397198587290754,0.12032371938887251,0.01614198511136942,0.046366712201686526,-0.04446206204388561,0.007971702784797315,0.09056008032176632,0.0392560436605738
NDP,-0.025919732893326396,-0.0052680940275157745,-0.007093054313479184,0.08588360180280516,-0.039841735751749534,-0.015558970906497169,0.010090255942554643,-0.054295196688026875,0.07908521471974715,0.06799770786267617,0.00744623802693103,0.04599569131040612,0.05335501893903738,-0.003241190586558574,0.047943702618191635,0.035990656636129256,-0.04240488307227785,0.0556493561132647,0.01752197196079402
TNFSF18,0.09489962707658726,-0.008328425607742936,0.05314539706529415,-0.00400903164291637,,,,0.08557668967362249,-0.02257233934270529,-0.010647509681371023,,,,0.03249925880371319,,,,0.16892263756123785,0.01543263161966944
RTN4,0.05237090420161242,0.03187467044114841,-0.03014917913034544,0.045925666371103714,-0.028023411325521747,-0.0042114420463575785,0.0079757455298578,-0.1122629152446128,-0.10388602200010605,0.0672829081460381,-0.04913130579776353,-0.010513600873870209,-0.02863917734216436,-0.10576643598681038,0.04281810570814032,-0.009949547670652936,0.06856512088595611,0.0009150898298974352,-0.07545991733290394
HEBP1,-0.00454410144148541,0.05048017497675879,0.030805730348682437,-0.022329880203922934,0.05130141334826751,-0.010529643603670544,0.025092108964794767,-0.0029747199332172086,0.0020525488733197554,0.07221976733566689,-0.011235681962801237,0.019711420894797344,0.037945841874256134,-0.07460336239779083,0.09301247786686671,0.02724642146695528,0.015778640348141994,0.07844143656564258,0.038562014862947136
WNT7B,0.07247202936147262,-0.06624382527052051,-0.0026819832978372446,-0.021611488519978964,-0.019049268646968858,0.0016560801017598027,0.042445366726317636,-0.02727248504126571,-0.06291454824555584,0.006370276549312464,-0.01807010397529778,,0.07911137461538231,,-0.028725023458709933,0.03144933967857078,0.04560716826983703,0.017194337640313286,0.0726855594526394
PTMA,-0.010050529539489286,0.04053976515477702,0.05266546941269315,0.03877326483213905,-0.042345678427183286,0.018898231857527703,-0.002578479978873971,0.11148829786551658,-0.05650534570261943,0.028354923581226717,0.014464984020446388,0.00810098984628026,0.09396921885094914,-0.0069205589468365756,-0.029262718400764616,0.00914530560502282,-0.023216913836970623,0.05037340362942495,0.018499707680667662
FASLG,-0.04399100254326289,,,,,,,,,,,,,,,,,0.04345016016176269,
CEACAM1,-0.011152341367652694,,0.06543764890297436,0.002787232692152389,,0.05539414968694532,0.0679044961174635,,0.022931090869007003,-0.016745996129576765,,,,-0.01509039784219044,0.03411824395833813,-0.03420798056148229,0.006080050912922731,0.015023361739555532,
PDAP1,-0.014686880255826222,-0.03470399272131078,-0.04089853563925878,0.04559037877885675,0.03336630222772871,-0.02725668593983486,-0.011452796867178996,0.03513964615716767,0.0884925215478094,0.0253525521269906,0.026141456896920493,-0.025733140325568622,0.08491579650129048,0.053806698306772434,0.015762182451084704,-0.027649152541133128,0.0024379630634264416,0.045212987884012415,0.00657272549729648
QDPR,0.0014325136611989622,-0.017479328261287258,-0.09338336862687184,0.016944425902213223,-0.001894529587399048,-0.006424010011053524,0.049718172339968066,-0.024300431431516126,-0.08431305346406415,-0.023458014201882624,-0.03058270046182546,0.06396144432477546,0.05614045474127254,0.01834953727804354,0.05920009713657501,0.04147232189341834,0.01837649733069913,0.018353332575937645,0.036923839080925086
POMC,-0.03700304486413514,-0.053589889292645645,0.046254409186607566,0.04125035072718755,,0.11002076948550088,0.006948241487036327,-0.008187592880953365,-0.03828999057076945,-0.012354528249030876,-0.005054840889613106,0.03813670398511938,0.11453774957155274,-0.07784514849402198,-0.03508452713950791,0.02382548059936616,0.027320101079690375,0.06967803673336105,0.015072307901774674
CCL18,,0.0790523615704703,-0.03777618431472177,,,,,,,,,0.028783808823600383,0.07521917433932813,,-0.02590553160578286,0.06507488370253689,0.00036951193245684453,,
CCL17,,,,,,0.13075061169192462,,,,0.0075771365010330475,0.0033403352780494553,,,,-0.005534759768122708,-0.049381367498153944,,-0.022024374680268417,
VEGFD,,0.05435826953123703,-0.02556553154284186,-0.01602701621633262,,0.03409915794795262,-0.01659530844613145,,-0.02546497492781829,0.02525235343744561,-0.016405528420520368,-0.02871679173019624,0.0121089245364767,0.017345128449292507,,0.04833539751967999,,,
TNFSF13,,,0.027959819469942287,,,-0.019258203755190367,,-0.01736647460354064,,,,,,,0.03316042441382736,-0.013667373967917243,-0.015566116447266081,0.022552642046838687,-0.015182626648795203
WNT5A,-0.006281717321378373,0.09724405241831655,0.011423677871349808,0.054820597364705036,0.010926199388342522,-0.06461362423014753,0.029709409607626965,0.050248014677278394,0.02473120406819484,0.025223782595561763,0.0230348579211633,-0.04719414063126366,0.025332982984815112,0.015181474570096264,0.0027392322978965706,-0.00014750604563604778,-0.02769826338217232,-0.014950505293541923,-0.04756455472982894
CXCL8,,0.0572314210563868,-0.020038534270359717,-0.022338536727366687,-0.014297896432459161,0.0021411875170326577,0.027585254168819365,-0.02470268374865814,0.0226163412195154,-0.017689753325437506,-0.015277541401279343,-0.022556715722812194,-0.06876569289672776,-0.028521284894700842,-0.005132108195936282,-0.09459955107488886,0.006463943000771652,0.0006952016099542684,0.014557892200192756
GRN,0.06290438289968221,0.04007333325884138,0.1046175431188244,-0.007709683638954521,-0.03273471143401743,0.028733808754858252,-0.056894610127430044,-0.017850046191880617,0.03928333921324485,0.04965423544964549,-0.004791978638164477,0.020487529247486914,0.011581865698007189,-0.01758824977313226,0.003915971583295414,-0.06485145059343901,-0.07617482283832186,0.04606999573106787,-0.015165109508270807
MIA,0.04847171891119098,0.002843866745411587,0.0037381740318774013,-0.03099552046155855,-0.036862920671128986,-0.01689808933983636,0.0632806183631073,0.017287829584963697,-0.012977510309543383,-0.026101067462027047,-0.01865783360622674,,-0.04689955587593625,0.056218984791594366,0.04174494263103199,0.15443603499775732,-0.13508269164008999,0.04372674093685413,-0.01816862535859517
COL4A4,-0.02114531752496471,-0.014173864242988181,0.027234223685789323,-0.03101120460600953,0.009834027849393778,-0.006566096600755117,-0.07447573394071356,0.027227541017583935,-0.014978999776748658,-0.013864227203243833,0.023986986877795276,,,-0.04160530386460148,0.028214733053896816,-0.023556341665055745,-0.02115045288243529,-0.012361391138617133,0.04142142325731326
TAC1,0.010618807097407397,-0.05406907441957036,-0.016789625127968583,-0.0043223335959844105,0.04764587348817422,-0.005466455794802084,0.05879947443824395,-0.05809297421571186,-0.04469392668532527,0.08789891120700408,-0.061114228036821754,-0.02694855513374465,,,,,-0.012730183775973174,-0.02895328004989245,-0.0378420787581016
RARRES2,-0.004076961503095278,-0.06294396915460679,-0.008283666088779616,0.0035886204230469658,0.007784576976863006,0.008166793201639447,0.009571412495168456,-0.011813273328140857,0.07094948946639855,-0.029269080799929553,-0.0032169262348339055,-0.030484016136978563,-0.1453377506509539,-0.02847072272651936,-0.0037738494167326164,-0.014885031809999264,-0.02711965630550441,-0.019674382226950216,-0.025379563450560954
FGF7,-0.03222729544898136,-0.016232366591399615,,0.04423267883367843,-0.019724241698521244,0.04162261396817606,0.01672341308854286,0.012801440024821838,0.03535710021565113,0.01701867045190725,-0.007708494065713808,-0.04904541623654717,0.040101004307091306,0.0976416412522258,-0.05393322969247993,-0.021928331240731173,0.07559026800925873,0.049120968399426035,-0.0001925854526885075
EFNA2,,,,,,,,,,,,,,,,-0.03251239622036572,,,
HBEGF,-0.008521714159651287,-0.0009912498506950698,0.05477280143487895,-0.026374686166808593,-0.023634415130630256,0.014030837619255115,-0.011645873839227789,0.05679749620771699,0.024165846062159754,-0.07186466464508993,0.09072539785476948,-0.07277647253772968,0.14484382198568876,-0.02002575362638996,0.0509661714779064,0.03198145300984461,-0.055270160404673106,-0.010692572626722395,-0.02395596475453946
CSF3,,0.06881992499037626,,,0.09386931666046351,0.028444354410036406,0.06478017983280658,,-0.015847493453855898,,,,0.005826957402936941,,0.013388813539384524,-0.10097262624635917,-0.011236182488219205,-0.023188268877506413,-0.061835093393710634
