,MGH258,UKF259,UKF260,UKF275,UKF304,ZH1007inf,ZH881T1,ZH916T1
IGFL3,,,,,,,,-0.01901017580474771
BMP1,0.058333612931567774,-0.018908602805337182,-0.06740597937123596,0.015445973450743557,-0.017881543286144014,0.044394090556146334,-0.007580000592302175,-0.021497889834669524
NDP,-0.017225461648585,0.0050780770294797765,0.04460900451852962,-0.060669100654435364,0.034362992556501847,0.10932785346060818,-0.015515285174396591,0.02099254772616709
TNFSF18,-0.020634595884362852,,,-0.012622089446573373,,-0.024124885479025592,,-0.03206676791204119
RTN4,-0.06145006879857228,-0.0009850476633203621,-0.005160085998081427,0.014874836951184517,0.031068458948743646,0.07682393186080504,0.02419898616368676,0.007048107871334221
HEBP1,-0.01625746317669854,-0.00040982989351266073,0.013232994305621186,-0.00194714888704608,0.005516815538125196,0.08678937076335691,-0.07861362513943013,0.0020577342095194615
WNT7B,-0.018178432680608488,-0.03138330110721561,0.0012665683960305602,-0.028409134441738336,,0.028314523170118545,0.10817219836965666,0.03644890984216984
PTMA,0.05189855900229433,-0.028331024039140975,-0.01945949604792692,0.025722710862233652,0.013124889040706899,0.07548425940646075,-0.0026597351623274678,-0.06851594569240332
FASLG,-0.01817843781960484,,,,,,,-0.0164875189900425
CEACAM1,-0.02524092000452304,-0.00221919635833489,0.02587680123121419,-0.01985153968813039,,,-0.01909738606535624,-0.022939961098884784
PDAP1,0.026090644986094823,-0.0033258540655434063,-0.015345829648653797,0.014768022523326667,-0.017631263478773057,0.016880779238182413,0.05460753994059693,0.0241538762371659
QDPR,-0.06609685785379943,0.005051839738602476,-0.009968185606255474,0.0034702140080112437,0.038508984679740725,0.038272218941923064,-0.0464065756680963,-0.02779819693251952
POMC,-0.02686121580690912,-0.03374696204264639,0.12607301388723838,-0.014645674462481979,-0.00017131488071007718,0.05008229412053891,-0.018520029180364096,0.009140936497858998
CCL18,,,,,-0.01037358249763411,,-0.013080292361620895,
CCL17,,-0.007326249180120505,,-0.01574220298520926,,,,-0.014944084092623598
VEGFD,,0.027132643469381473,-0.016240094010785237,-0.00021547781866739621,-0.020426088086110083,,,
TNFSF13,,-0.014488370282267328,,,,,-0.021445084596164277,-0.024350137696912574
WNT5A,0.009297635431811587,0.004647607059410735,0.035222131979730474,0.0036232360157703457,0.032008488351738903,0.004729607155145058,0.01583089203969806,0.03429405611288677
CXCL8,,0.024675744318099855,-0.085494023384762,0.043867471779643556,0.02789158947418325,,-0.02132892309171285,0.06657681792967307
GRN,-0.0905773689152646,0.001960352061442227,-0.05323482447292697,0.006530003802937542,-0.03183793365589681,0.03488695612958985,0.02207102030281954,-0.003946754293137923
MIA,0.0972541824156561,0.006892481656772293,-0.018700466686722622,-0.030941508203853517,,-0.0515373598483792,0.02300376363705384,-0.02906433617258186
COL4A4,0.0010734939973219698,0.02947710395670303,0.016416087286271752,0.01777820041505633,,,-0.028776297370969192,0.01832687503595545
