,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IL15,0.013568624072550247,-0.0021770815064291993,0.011175283953596507,-0.026847135218476606,,0.06350062166095799,-0.02385308406818591,0.05787975010980827,0.04682050286237592,0.08594190782536008,0.00829609536146111,-0.05729856207742576,0.051267851567095145,-0.04760773608330449,0.0016686832222713346,0.1277121775199652,0.01565406459822174,0.06089296085708231,-0.025128491635129733,0.06673112453866059,0.005393502773166866,-0.02570860674473661,-0.037528800792561504,0.1735128730642599,-0.0012542967084196643
UTS2,,,,,,,,,-0.003011313391947346,,,,,,0.02814757026216098,-0.033356329118668336,,,0.04253091407807691,,,,,,
BSG,0.09564588211856334,-0.033354759240700846,0.15169227787135442,0.004128790599869039,0.012729378626450683,-0.009075333122285985,0.0018666499659052572,0.04942597200532763,0.10091790496165728,0.04882749238160791,0.047401606552156784,0.17608467215422935,-0.012036332382818512,-0.05414002024481424,0.07851028355395975,-0.09528589684263761,0.0014043186788088187,0.10688101682144302,0.03411432420916142,-0.03710989897118667,0.14129024762705236,0.007319555766474806,-0.021239137129611493,0.10730756567564897,0.0655013956124093
ADAMTS3,0.057513132808883365,-0.000384438204105385,0.08556968331014117,-0.043360154319497475,,-0.03310808616529538,0.006383321112342961,0.010084955331627921,0.04667413494819968,-0.03381784633243496,0.018424451914225547,0.04017806604937573,0.023274404982724765,-0.02586147097949089,0.0742011766006476,0.15744348848004114,,0.01710307541307862,0.01336763167311367,0.17384364665326918,0.09349001434123891,0.0563007526884259,-0.043147143157764536,0.1370013498778344,0.062440791896698815
CD34,0.06190910730696162,0.09062356751533057,0.22253070725009752,-0.045977950822750975,0.18475001856465428,0.03660010412889031,0.16767857591000315,0.12540189928480602,0.12800405759084876,0.02846333079717524,-0.019069208777524566,-0.029813983825940537,0.1478171703963167,0.027289649876027708,0.11703842086263655,0.11306202803290542,0.09368095158012453,0.1789945363391554,0.14726844332533356,0.05726233076367426,0.05703059536254018,0.057774892524996554,-0.056454755298403325,0.2242517270732869,0.06324609577613054
CCL23,,,,,,,,,0.08859990980695306,,,,,,-0.040062987928334716,,,,,,,,,,
PLAT,0.11929826536064624,0.05387964661030426,0.20020071170985887,0.009111504352839249,0.03461279671079196,0.08524126505198704,0.036510567410278943,0.057231704565930804,0.05651025479743053,0.0013575132116571598,0.01696073043817106,-0.030772933233573566,0.05695824766772258,-0.04836525005254701,0.19817169867104417,0.06243181392777946,0.08888801258737614,0.15602867836221512,0.011327467247081422,0.0627032781562885,0.04978175422467608,-0.044477252019445655,0.04237490982858195,0.19256909032067332,0.15315325728651924
NTF3,,,,,,,,,,,-0.032978092714126474,,0.030922750191464454,,,,,,0.06057228390028895,0.08694838917817446,,0.027217018843359052,,,
LTA,,,,-0.020905523595345792,,0.0051718482255261634,,,,-0.04453063896456758,,,,-0.026247439504828263,,,,,,,,,,-0.020664581912266167,
CKLF,-0.03308110989035394,0.0872022081480693,0.12849094828804286,0.06461190661204062,0.06045664623453016,0.001430985057429732,0.05469817703215726,0.021962555010450472,0.06749195051367118,-0.006094316167873677,-0.012443154030400973,-0.12709420573708236,0.105451444952381,-0.0426718884486073,-0.0187428404917444,-0.013834279084814698,0.059291323645222875,0.17854505732201417,0.09037081736382349,0.08864664689445419,-0.07413409397031191,0.06103441701262908,0.08651468514636133,0.03676852179355429,0.04353871404168387
APELA,,,,,,,,,,,,,-0.006382451435246261,,,,,,,,,,,,
CD24,0.08216139561363611,-0.07967205751961333,0.03823059449815953,0.021323367898212743,-0.0673373367095348,-0.05420609841476317,0.06055550193294867,0.08225490265380346,0.017038370641312993,-0.051149602120251964,-0.05781745148357596,0.017434027748072626,0.18535586865502832,-0.03858220757037518,-0.01817419891567552,0.10091455351785654,-0.15372221293787072,0.07616044182987855,-0.0825075239293148,0.05318997087367598,0.055108118341470315,-0.034055356818184,-0.0047455020289916714,-0.02974157241004405,-0.054716841454909626
HSP90AA1,-0.04034105098662544,0.0007295079859999906,-0.04411253580886449,-0.038221463801439266,-0.0851724580246834,-0.08393129698023691,0.0027581719569987916,-0.04365928019048873,-0.03469575542602151,0.03150340591240907,-0.02327407729728894,0.22486513895425256,0.046898390435125885,0.12705025554023033,0.03969801191650086,-0.05530221737824367,-0.040759588587932244,-0.2684730448591484,-0.15924882167273108,-0.17259776262582796,-0.021717056282019268,-0.09153028390858696,-0.06868263899746734,-0.20145836402244804,-0.01997195038185832
BMP4,-0.0385554245713099,0.037109336298696644,0.12959863797141183,-0.02216108049297872,0.10706234446861333,-0.018908761506183203,0.029643575870083653,0.07878296510886384,0.04226544127537266,-0.006881551666685576,-0.048701319570662,0.06686007681435915,0.00024015794340172996,0.025342636258703387,0.12923599876784192,0.17056608413307514,-0.07655845123311202,0.011409154582897933,0.13691189148447613,0.08631488353166525,0.13060675563331253,0.08155269332820071,,0.13902413014971834,-0.04249575090840339
SCGB3A1,,,0.06370132030221334,,0.14267010791562756,,-0.03405571999225358,0.1625792585083539,,,0.001718974146961393,-0.03867239433934375,0.028504161726717697,0.09865356087460159,-0.015568449750992204,0.07046739201199896,0.06491824474490804,,0.03834823630289415,0.021697709625512374,,-0.010499131417838944,,0.12180909731913941,0.08562002403552561
IGFBP4,0.07870709491676986,0.05612530312795363,0.2366002816212921,-0.0027313442413345068,0.10808620254314474,0.016978396810451785,-0.019164777933926173,0.10188039540834011,0.12258466969344685,0.013810398177534586,0.02556619792199745,-0.08498808590568394,0.18133721882821424,-0.017177948935971896,0.22671574650620033,0.08599498182050114,0.19567501976141205,0.1914815240564889,0.1524507128667119,0.04375724600292206,0.11887715639663479,0.02081649013817618,0.06702683217601553,0.272308076423314,0.11303390875495183
RSPO4,,0.07262864208756245,,-0.02405478268254011,,-0.013072965978719849,0.04842277684581016,,,-0.023076861888566974,-0.028786929009075774,,,0.004757074885103944,,,0.024277727455518778,,,,,-0.016000649083617913,,0.07378108593437407,0.08653324377185424
LEFTY2,0.012664203737177498,0.07665982614704521,0.09080571526427487,0.04240933075406147,0.03884858224065163,0.023504166469413876,-0.02029890033114217,0.13398885902143462,0.0866099929231447,0.047214439657778856,0.04832968444847371,-0.012276629752599154,-0.04098647401504056,0.04657631252523056,0.027441290928172827,0.012209314011795234,,0.11035117707005936,0.05315713651326774,-0.02879120468297432,0.17596985844851148,-0.00024148547968953565,0.04990425197487555,0.1625924364773886,0.07062136324001221
PF4,,,0.05181347226102465,-0.01901641506780309,,0.025021000647286303,,,,,,,,,,,,,,-0.031133783942915317,,,,0.013053216144437524,0.02288200687760051
ANGPTL2,0.07549786578986735,-0.049672538971702644,0.07191749686566853,0.03826567575413355,0.08224565675556611,-0.03409021644749292,-0.033887950222644896,0.04352033554135874,0.06044052463608855,-0.029613051880144285,-0.03418982534953842,-0.0409341770717018,-0.0409949233679468,-0.10159866202212665,0.14738816950338585,0.07226007247196307,0.12767152906713206,0.07571565479265059,0.09741196910598858,0.09900610884371647,0.03731612736601856,0.037459226356814986,0.0059596042232325916,0.19803653754968772,0.10557879130997096
LRIG2,0.05669410196907147,-0.0306836355231241,0.03230679671094091,0.011236449898560586,0.05833795010424387,-0.004695969334499226,-0.034251366813613474,0.052811629658325185,0.11683205889298498,0.048494034069143724,-0.05679801505036155,-0.010089830797867658,0.05863417995733268,-0.023533357200242033,0.008967960964883193,0.07910126311962568,-0.017812101949839294,0.07056977106208102,0.0457791614324441,0.08597613087306684,0.036669615713906485,0.003376371356510245,0.06325408485341459,0.11099218537568437,-0.003980605762780454
ICOSLG,-0.00972183200919518,-6.0219231531460725e-05,0.08979225363529497,-0.0398978459831204,0.06109802240071055,-0.0004912522538452593,-0.037333805337741534,0.06180825226573541,0.0033211835652504538,-0.011340131563956662,0.016729756303363267,-0.022976141119160833,0.05873386520416952,-0.015136645617053732,-0.01600337065180575,0.07364844000988074,0.017791215583360897,0.04064707836484792,-0.002841072340354706,0.12970444885734989,-0.0057248411024058135,-0.011268870006300733,-0.05042618244398434,0.1679590900260119,-0.0033543080941087983
WIF1,,0.12269044992905968,-0.015386740134494755,,0.003860563290057733,,0.04134063746720237,-0.06806056764036378,0.11018832210467841,0.1342328773464761,0.039624087114310834,0.11879251694386443,,0.09362769532444304,,,,,,,,0.05605294766221278,0.17580988680992354,,-0.05714262745403506
NPPC,0.11468788112428327,0.013377379441562413,0.028476875274197403,,0.005802780148080653,0.06425375993488049,-0.007235420044791438,-0.011133246227911361,-0.00328422252934093,0.002175325345510139,0.005341884206967874,0.04503103736841987,,-0.09062133035457696,0.020032454053723867,-0.11719057808221557,-0.025619677424370928,-0.0156952549790622,0.021473686829246684,0.022669117497438718,0.006939552368692089,-0.0074239497676709945,0.10047527275988699,,0.02367165514915544
LYZ,-0.06763757688618256,-0.0432738118641372,0.055710150176064246,-0.03930533514236109,-0.03543505397634487,-0.0146657598046904,-0.044079420441762704,-0.01913806387882984,0.02960279732849317,0.05312844510962123,-0.040351042143655313,-0.12070030680772448,0.05046140005164223,0.028671661752903987,0.05946761014314025,-0.016982608674378275,-0.04519636399491159,0.09651543524303376,0.10543721061052179,0.04253802452757263,0.07585188630271267,0.053832792859060716,-0.012344844557315184,0.03749318995113011,-0.009916210525500404
EREG,,,,,-0.029793102853048387,,-0.034673119176813885,,,,,-0.030595013255178004,-0.004607390761629081,,,,,,-0.003180763913607904,0.0007165202658340539,,-0.04630883214811392,,0.00494843208629492,0.03679332786656843
SPTAN1,0.10049182858717892,0.12943690963002763,0.06818890538324843,-0.03826384546033026,0.02869719580970928,0.020559019060475674,0.045351927755722096,0.014976904252692859,0.017427430686798074,0.047413093216114324,-0.024165405172104176,0.16668298183899613,0.12141464542066364,0.09772486172099315,-0.049614011070726875,0.11578035168727328,0.008753194555215062,0.08034753010529466,-0.06671833246849221,0.0636633817575388,0.0499575599733371,-0.025566383174312653,0.076698829335189,0.053199794050105824,0.023405906762505493
PTH2,,,,,,,,,,,,,,,,,,,,,,0.00872163872649056,,,
LIPC,-0.015377249585698562,-0.03155304517174622,0.00401569361965399,0.01916232432353818,,-0.027334214393004753,-0.000422462021543267,-0.044714588678725166,0.04887465541448841,-0.02283556836417371,,0.08148553950173959,-0.018577620303831532,-0.0637462123438268,-0.019855552676225102,0.027147834924023756,0.018066763303466155,0.13586005324276773,,,-0.03637351346983553,,,-0.006118743422528329,0.05771266121074533
