,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015367750654522781,,,,,,,,,-0.01887239089540689,,-0.006584934185096925,
BMP1,-0.025004769377056025,-0.06270761971499988,-0.03731021112555981,-0.03522276247811545,0.015527563680785764,0.006586054635251358,0.013586836180040264,0.07174711945396894,0.062290801109817225,0.05554106612282328,0.026813946998657787,0.017132252415715997,-0.002758223271065431,0.027896802384955354,0.00794649142226244,0.0066310124999140775,0.04244817360044767,-0.03588198515912463,0.010860564416456643
NDP,-0.006595296325204301,-0.05828743644751925,-0.008343413771863572,-0.015060867876927635,-0.03205830999153139,-0.006032782651119844,0.015813817629360356,-0.025996452395603886,0.08968509474184001,-0.029887239169725195,-0.11025563658078685,0.09347033099525189,-0.019847723169234777,0.026343019375924658,0.06323338127587944,0.03661150069699763,0.0219924064779896,-0.06862797632703084,-0.003633142635152409
TNFSF18,-0.004717903882296486,-0.022306930787329537,,,,0.029713433324107252,0.16442450028108868,-0.014339158375271666,,,,0.07639978814776058,,,,0.031477990660107556,,-0.014916786977200945,0.019417629319623313
IL36G,,,,,,,,,,0.011556049810342198,,,,,,,,,
RTN4,-0.06715842714109409,0.0764820661465528,-0.08123184881928767,-0.012031393110842978,-0.02067210568670543,-0.00030067498490614103,0.011093389737005174,-0.03868100813838837,-0.07072777446584119,-0.0688537410932629,-0.045991264399237876,-0.048311875031036074,-0.10907153497815994,0.04668397702012255,-0.025776379370246256,-0.009630371784395405,0.035051708233645305,0.0632230577162301,-0.1531892465025373
HEBP1,0.03972711731115976,-0.07677692525873328,0.03935570251343494,0.02858692726902653,0.05371498514310527,0.00511881559911969,0.023453384642838835,-0.0023636739474425616,0.05058936943142629,0.04467512105610618,0.11648554637630006,0.045135359296052814,-0.024760863859574805,0.06367713539456665,0.03190059063376662,0.019741162874084037,-0.033488782610427474,0.02097073019530992,0.05713457519017614
WNT7B,-0.009997033549835282,-0.03720978412216721,-0.043691912374759584,-0.034620464054535054,-0.00014247567143800942,-0.008676939718234552,0.06907574482979627,0.05734129835486598,0.007288455779623349,-0.017008652165067386,0.006086452214415285,,-0.04493803949507069,-0.06395691931927007,-0.010560957711640801,0.05341310284075023,-0.03762898695259805,-0.020754707307201414,0.053302812997115576
PTMA,-0.0009032029971538094,-0.02895027068152285,-0.21291612060120776,-0.020223598098197414,0.02776261217547411,0.028390261378221763,-0.07568783246835037,-0.04830738225540075,0.06339408556288784,0.056367148035594374,-0.05657247873488217,0.01589564654779439,-0.055791374107774204,-0.061602676190921676,0.0360203121225916,-0.003736603328745451,0.0159573567620901,-0.03411782726218492,0.017660692182275645
FASLG,,,,,,,,,,,,,,,,,,-0.02814352454112636,
CEACAM1,,-0.010723717373430575,,0.04944687222932636,-0.03199111171088899,,-0.017393603207992537,0.025900648632467136,,,-0.05582865705344073,0.12354050087618916,-0.006030454508524109,0.018094285556168335,-0.02496686599059873,-0.027965959372104013,-0.024974905905153697,-0.039157580867616254,
PDAP1,0.014053931482406367,-0.05940635697230289,0.10234832674939202,0.01724932438902663,0.0453815380332624,-0.024019255472949454,-0.01720624757066048,-0.06968550273053276,0.03935231230242419,0.023237050893384143,-0.16655422985530807,-0.014787803644691271,0.0681162674847079,-0.02174652658458674,-0.05734290326535665,0.04783258895650549,0.010389385664148307,0.10155851117276332,-0.019249404315665148
QDPR,-0.04010292360478161,-0.043482073443252695,-0.13340298253308722,-0.024971829878290414,-0.04793151395242268,-0.07345897974443574,-0.07578249246266447,-0.08251622336891923,0.054477933710923576,-0.028292704728770858,-0.05699470142293499,-0.017122118668410687,-0.04706555959765498,0.07741537570223923,0.05310633252069198,-0.026865233462742086,-0.03218049595142856,0.04846055763965277,-0.14142375417497072
POMC,0.0055843496546366675,0.04937853901259609,,0.04159320437445934,-0.006019238737091701,0.05807596204374954,0.09327730478912956,-0.01663802546473105,0.0925698174107991,0.032259376791279576,0.010141308821548045,0.06288892154953064,-0.009478555660980404,0.021627257758533736,0.0328235522470074,-0.023630628583608267,-0.004989170380598721,0.03188241398675263,0.05130020016560093
CCL18,0.03463112283800293,-0.014096867447661319,,,,,,,0.048920257260419195,,-0.047870154708320074,,-0.028574180522178794,0.021892606969056493,0.07616515379548891,,-0.05530494074748303,,
CCL17,,,,-0.023170995824696203,,,,-0.017883722242347983,,-0.009808895544389951,,,,-0.02542547989554949,-0.03604123846314223,-0.024882157231573453,,-0.02550894392657946,
VEGFD,-0.007031961540615512,0.05561102126975374,,-0.014641992577964094,-0.00653421251280884,,-0.025745104649615543,-0.019053593423183315,0.0678421690013778,0.02685383040752274,0.028580001997397308,-0.03576672147784146,,,0.040246749757320975,-0.006650280490462488,,,
