,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF313,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,-0.02345100555935396,,,,,,,0.0041148182328058945,0.11914880553455225,
BMP1,0.024574156733580012,0.01502832342421584,-0.008678348645412231,0.0698341497495882,0.08343209831551256,-0.06395942650039142,0.009022434956595334,-0.005842456317149943,-0.003599763697457136,0.051551554840430155,-0.03051812823391417,0.03996884840154553,0.07596266597340241,0.0625827190494512
NDP,0.05504375016370222,-0.007238356457303327,0.009045118717576616,-0.048384275412385214,-0.019368483254738632,0.005979204617120122,0.05814955670008177,0.03321462281451673,-0.010908976981483832,-0.025380845462059255,-0.005325614567814038,-0.019405136392427434,0.18564491631083072,0.07230624020891276
TNFSF18,0.012410822092648268,0.010665984978227617,,,0.03651702965076614,-0.035260148965340514,,,,-0.04155499082256863,,-0.020957906592170207,0.020123642188818534,0.001950121282122434
RTN4,0.015147769035032302,0.012476368192170373,0.02597384623896693,-0.009734892951581666,-0.16683846228646942,-0.015830300835065363,-0.0013195843040041111,-0.005842957796836558,0.027917110692188416,0.05555663570982306,0.03736787007073204,-0.04078647496756963,-0.008488510829467956,-0.1923305419170841
HEBP1,0.05040307782365785,0.016156610238486673,-0.04080615048224212,0.006842953871032291,0.06774707001216096,-0.01771563903759336,0.031803765177058435,0.04835133480059807,-0.02422829193811676,-0.0019581754883036167,0.05175074676615601,0.012655298934299288,0.13413118571761407,-0.019442226799849888
WNT7B,0.043495745438924434,-0.022175837002074865,-0.003389408981371706,-0.027280634305451405,-0.032461794791737136,0.0335300179107375,-0.03887497922855678,,-0.04053339923879861,,0.010856526335915172,-0.005438760528363403,0.006744647040167183,0.01245665877821013
PTMA,-0.03098961130345741,0.0330155885116441,-0.09004283036399226,-0.026038496692597224,-0.06179841319003967,0.026440199074097843,-0.04656287084916702,0.03536618608312156,0.0474335723903979,0.03738090908281583,-0.003667336341532654,0.027649998028054564,-0.13587599254497437,-0.006005228711953829
FASLG,,,,,,,,,,,,,-0.007414575899864408,
CEACAM1,-0.00865838787712121,-0.017018621112309618,0.029021634823487664,-0.02692591239920689,0.024216667148183747,0.05864293685307901,,,,0.0527975540213228,0.027084007893080828,0.0033799523170163588,0.06437786353943135,
