,UKF248,UKF259,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,,,-0.01950571252507947,
BMP1,-0.06445585972813728,-0.05799727536498893,-0.023621183490812565,-0.00598997007155626,-0.07626176427675471,0.03748196438534444,-0.011617280886861387
NDP,-0.016422276087182608,0.004877800860564141,0.0185107922333704,-0.010578840505875159,0.028393984330324286,0.044315322722700425,0.05971078373616705
TNFSF18,0.03634689092633061,,0.04397151053855394,,,-0.020115897031069592,
RTN4,-0.06766884123275141,-0.004432996296616699,-0.012323255118080531,0.04466151506001482,0.0004440159840331225,0.023087173190585498,0.047896968673129835
HEBP1,-0.0017802540403438476,0.025030549811641475,0.058777744636135595,-0.000829834000630413,0.005054501276498488,0.02139823349781597,0.023360042186449236
WNT7B,0.010476576629417244,0.12246170277146251,-0.011588276558765626,-0.011729257239777479,-0.01819872883639871,0.008500559424799445,-0.044143051647547615
PTMA,-0.06857461589141008,0.012665353498355259,0.03557170664087226,0.012095267484049365,0.0015690002046372957,0.04362873721402559,0.01481988489745212
CEACAM1,-0.02438031540802808,-0.0044016342016998215,0.07665764536923038,-0.027700652267377807,-0.027580967833869274,0.039037078763494396,0.021434877589195257
PDAP1,-0.01924253145857104,0.06081179178973397,-0.014113621994419262,-0.027835579569512835,0.00630854987108477,0.0024590570878727735,0.055235535757057336
QDPR,0.011105699589576344,-0.0023062636888344108,0.03215825358129994,0.004381785936109874,0.02566126774011834,0.03785892374916839,-0.0405000173239619
POMC,-0.03138704800513787,-0.024467732455495543,0.10259680108523461,-0.007768961541772876,0.018729676184909085,0.06530385587564926,-0.019944023724152087
CCL18,0.02552324786631771,,,0.0018183062528624643,0.05767998038232479,,-0.04843502463606704
CCL17,,0.023751080030217874,0.0756739505839765,0.0688856923121938,-0.029095031061213618,-0.006614759480739505,
VEGFD,-0.018968160589734325,-0.01696671315743807,0.010064739352413777,,0.08886021867309907,0.04816338373319615,
TNFSF13,-0.02295918307912841,-0.01050457719230214,,0.0069935381391945375,0.10686037472046772,0.19658562896483728,-0.03878558813231487
WNT5A,0.0042399730788982406,-0.04260178014735648,0.020265985952320816,0.04479491741924283,0.026021531769574977,-0.006147998010362816,-0.01952069974663618
CXCL8,0.08020518673758276,0.05052344833528744,0.04137168791630055,0.006378569890607875,-0.027055689843065143,-0.03651275446313272,-0.05050153271301373
GRN,-0.03624586189123682,0.015054068472006932,0.01852458397649179,0.05770198971030233,-0.025591047887306886,0.030663876124392968,-0.003901826320028643
MIA,-0.04793439819640734,0.009420804458893395,-0.03515069451291068,0.018951133401866844,0.04772496359448153,0.009270322982880726,-0.10891777576170175
COL4A4,0.0026729241072813007,0.0086096961758834,0.04162354207767889,0.043181269683303415,0.012607633677031684,0.11281735854133965,-0.00592128100362734
TAC1,-0.025578989284814238,0.015040113292886634,-0.046505965007796135,,,,-0.004187187874422712
RARRES2,0.02965211033989142,-0.022672706616384992,0.047752215665364674,-0.02337854378492295,-0.05369519446240287,-0.00880377090334191,-0.006192230842949745
FGF7,,-0.026994696835559745,0.029043905864082696,0.026577959328047025,0.012340463709722657,0.06540613936625103,-0.018936248346868016
EFNA2,,,,,-0.009686829834777196,,
HBEGF,0.10068858201177329,-0.01686040738670307,0.03245288568652754,0.05405932610656331,0.008436831119079068,0.07537102561825682,-0.019283607064399716
CSF3,,-0.0025546788411868683,,0.02116484959430228,-0.020077293531830437,,0.003158163357467942
PI3,-0.009305106188928536,0.005450950306775118,,-0.009915707424529406,-0.048459936064069904,0.023117823062134574,-0.05822780094366981
