,UKF243,UKF251,UKF266,UKF275,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916T1
IGFL3,,,,,,,,,0.20460941996798995
BMP1,-0.013175714289777592,-0.0045498653843327715,0.03874531117397943,0.024299239522322824,0.03865465009945506,-0.04891166097457953,0.014708741671348991,-0.060127503621730354,0.014883620053343358
NDP,0.03085574138898937,-0.023295629503978753,0.01783282217851619,0.03405102432292784,-0.02665844031855092,-0.01713552584161376,0.06506819553114036,0.041876427966514015,0.08665521971800981
TNFSF18,0.03830595012470649,-0.02528979954525549,-0.013966648541182701,-0.012622089051545443,,-0.04602619749391515,,,-0.025681817337938378
IL36G,,,,,-0.013349797732800296,,,,
RTN4,-0.08838089030920425,-0.01781004626809042,-0.048384659692505216,0.014089275625241338,-0.04524382730331138,0.0720243757855885,-0.029137191651875144,-0.007974692046357278,0.0063074939054549705
HEBP1,-0.005230456125708576,0.06049620323968438,0.06184375321342807,0.03258592761586015,-0.003280261053492636,0.07068369666751763,0.015331261160452038,-0.007992631763750348,0.06845486804804643
WNT7B,-0.04479253383064119,-0.015709239525174813,0.006395605706276846,-0.0027176449408655512,-0.014672966157721097,,-0.031398771084306,-0.02539698595888925,-0.032496433933745426
PTMA,0.005173541406201755,-0.0860355634004847,0.028841614094196437,0.023799634497378933,-0.028729203799727817,-0.04684577742691157,-0.01804332919287509,-0.010605956393207633,-0.02558442703257183
FASLG,,,,,,,,,-0.013204618944432577
CEACAM1,,-0.012055896488437145,,-0.019851539066845565,,-0.03236422814543354,0.030584861795738234,-0.0019649673019205816,0.07306102662023076
PDAP1,-0.003663566921173834,-0.01077043256383809,0.022782502095137096,0.05784962599726192,0.034968129533566795,-0.05288463646486363,0.006400084548830161,0.022220893511414243,-0.003292854086483806
QDPR,0.11766767142454179,0.012508660589753246,-0.03508271008626308,0.01407858332280365,-0.08403491408364644,0.014774137014991374,0.019815620506901395,0.0028100548283564223,0.055276496378021255
POMC,-0.02235118725352761,0.041273488749258486,-0.036846835790740114,0.0613000127263515,-0.028602084727437863,-0.0007638781921744724,0.022860854756082426,0.05812724574932091,-0.04777143093247697
CCL18,-0.04390789455400308,,,,,,0.035804137094401355,-0.03637627422452102,
CCL17,,,,-0.015742202492532522,-0.012195419229542202,,-0.016913320782532576,-0.03071621878605142,-0.011968503935360282
VEGFD,-0.0026143624453879295,0.001489251186003225,,-0.016771985261987456,-0.013070208521127112,0.05244951005873367,,0.09743550343298091,
TNFSF13,,,-0.01354473547770491,,,,0.007602909744563253,0.04428618743048922,-0.01950167819223629
WNT5A,0.03320094131367121,-0.03744271432424546,0.044064093310967126,0.001990775618143284,0.038846440911338605,0.02081715420473632,-0.037077467601592334,-0.018021205931303796,0.035639124403003104
CXCL8,-0.05457015597752039,-0.016168406738585335,-0.01926650771692941,-0.010289029385603136,0.005091985751385401,-0.033860682167334843,0.007083335003758618,-0.06549499411773783,0.01638880768461889
GRN,0.00838615261334068,-0.08065889363706268,-0.02077883451874273,-0.011107440886958643,0.020722305278507287,-0.07284494814991384,-0.06041844184481583,-0.0645802705838599,-0.06640647362548113
MIA,-0.005166171362323471,-0.015356642960508524,-0.024491493997799256,-0.021318067025921872,-0.01790024954545208,0.038503457523827056,0.04095904435899551,0.004540298424082087,0.04376174013356624
COL4A4,0.03558831700609603,-0.025825299536687808,0.015430669944257349,-0.01643534644503552,-0.01736390614220792,-0.034451659865534764,0.11397551676167986,-0.03406950479169749,-0.03514773360029546
TAC1,-0.0023286446195366164,-0.03495927709664148,0.0004246503645438752,0.016328120413180797,-0.03077247564141714,,,,-0.01573381543173524
RARRES2,-0.01394311683959884,-0.01717304260799999,-0.031699157370078286,-0.005416469533484855,0.043064970855070335,0.055431254616627186,0.028247116283426053,-0.08852618457875162,0.016776530786912044
FGF7,0.011272727178851197,-0.01948973928325289,-0.03693693229975268,-0.020515436043000983,-0.02938915153866166,0.05834309231074148,0.020583954668861683,0.0637850882664047,0.06987881646457587
EFNA2,,,,,,,,0.06371330767392504,
HBEGF,-0.12296502333289948,-0.002216715568524225,0.0007860806703307106,-0.060666335017307206,0.04310178385653972,-0.05446373130828435,-0.005028906211054275,0.01771748942835925,-0.09002631744309451
CSF3,-0.049801521779311776,,,,,,-0.011208578770062835,-0.08057513118962677,-0.012600988284278749
PI3,-0.048098904743460374,,,,,,0.025494078421852525,-0.07699258499847435,-0.027377761273777536
PCSK1N,-0.01406073770385156,0.006714157385290276,-0.03337845234235918,-0.026342963726660475,-0.07292461635100343,0.011251305049464897,-0.005956350375934492,0.03725170226534068,0.054260495146350896
NTS,,,-0.015732364358102286,0.04083984650596087,,,0.0671903324983213,0.04370208352858859,-0.018660345362912854
SFRP1,-0.034997997717448354,-0.001196385590237886,0.06936682793802236,0.0257163404539131,-0.0348233230983652,-0.06572660915472471,0.03697517383200558,0.013880119079845512,-0.018226726211579156
CXCL13,,0.01592407052535669,,,,,-0.037990786194200335,-0.05195961350952335,
MICA,-0.08558520623137612,-0.026731063130336526,-0.009715739773558534,-0.02142267423250191,0.05324294103674625,-0.02537078931306515,-0.0188051308666212,-0.05898038169445554,0.007366097715363394
TG,0.017714163546591152,-0.016393590150347106,-0.01815929572934001,-0.015859673271291348,9.693363681419377e-05,-0.04157258069301724,-0.002835162450337552,0.00926141947346946,0.04392477573835141
ADA,0.10657797714459086,0.0068167709108806,0.037433202069174866,0.03225040281995547,-0.029072955977566435,-0.06728293861363269,-0.08817272781964951,-0.020148382296698707,0.05374007566832902
LAMC3,0.003950873291254391,0.029148770889459833,0.029503490202180575,0.012066047969866326,0.007950958882425292,-0.10204877339388384,-0.08066218409977426,0.0012607146092331232,-0.03148157661788892
CCL7,,,,,,,0.042732907871399245,,-0.013204614249027692
NGF,0.010803016116328919,,0.06620286003809286,,,-0.08705078060774778,-0.013532794656357306,-0.019951538070007692,-0.017285973776993653
TNFSF15,0.0805680537916303,,-0.021041009306571185,,,-0.049509171306755695,0.03077492281462177,,-0.03488887700244958
HMGB1,-0.01481995557560738,0.06023449779846146,0.0028971557515323184,0.03316758987176388,-0.016290511798561984,0.10486603863577959,-0.004695378492549595,-0.04125528587816158,0.04202068126176473
ITGB3BP,-0.024784818354905386,-0.05325297754577508,0.11153619546502926,-0.009336730835345149,0.06043927121796384,0.049129272706108076,0.13678104367509372,0.03798801474330576,0.024275295239231935
AANAT,-0.05142600296103345,,,-0.014262696857091398,-0.016358988391981858,,-0.02223837414196225,0.03246440188177515,-0.013971032536647724
RELN,-0.001596782247787346,-0.03847037691425044,-0.05385433438906421,0.012802269152073078,-0.01811081215212232,-0.01735714605094366,,,
IL15,-0.05045648845740911,-0.020885183044233493,-0.014971928995174737,0.004310966540480736,0.02831313341834969,-0.029832986475977808,0.022494993233680188,-0.006187160893284613,-0.04003764866941184
UTS2,,,,,,,-0.018937603154852028,,
BSG,0.10209031585029198,0.048798695593048946,0.07382045235730064,-0.032192347448148674,-0.01576839751179596,0.021997361991102835,0.08868066380381956,-0.04245109963700346,0.025912405069683453
ADAMTS3,0.046556216309141966,-0.028804726455766993,-0.02411544642068717,0.044638938725458724,-0.025211309049553484,,-0.043377298122916984,0.0413589248155885,0.05005635091975764
CD34,-0.05579072869779455,0.004147089919257719,-0.024673920120376905,0.028233022093969527,-0.01296466060599754,-0.03243230592031338,-0.003099666280579446,-0.01883496472939645,-0.0005921823786110586
PLAT,0.0013606182953665592,0.038995227744690206,0.027377681451558757,-0.020255718013798097,-0.024742247686972557,0.02314999882781848,-0.005047107302872661,0.03414685829412384,0.002730127692919152
NTF3,,,,,,,0.03231995904497136,0.016693738508593473,
LTA,,-0.012055897725588065,,-0.013736463478853522,-0.01517220750628341,,,,-0.01880290430919275
CKLF,0.03571802538714066,0.00971429904991331,0.01732501445223197,0.0018167540187958332,-0.05108764549967178,-0.05412996281168014,0.0019045841592795652,0.036169883816911975,0.10762357641119608
CD24,0.006831780251521767,0.004781629840160836,0.008647495284477886,-0.024685161813697707,0.04792390059148284,0.040593789579188425,-0.031061463305290124,0.08050345226590061,0.03237589838920039
