,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
DCN,0.041827955649231474,-0.005378589685548058,0.009178483042865747,0.030443668206113404,0.07108674506929255,-0.011135506594336805,-0.07302656638315776,-0.0008670524843853094,-0.003866709109605443,0.016919073889501778,0.013712527926699766,0.05267579878435865,-0.03154264221974013,0.05090476477530784,-0.042197310823084914,-0.05749085414075841,-0.0029939685235077086,0.07502922596218153,-0.010599105244117507
RARRES2,0.04730630509500877,-0.010828468500982147,-0.06696623204519618,0.008942276987452345,-0.19917746334900874,-0.03485614713155708,-0.15170210518409027,0.06309219916713255,0.031339789903620525,-0.006064554724307381,0.020973591451623724,-0.030004200721903056,-0.011860463780221991,-0.0393984336620758,0.03322330534363377,-0.0040632185826186,0.12096406517531047,-0.029544732281696948,0.11833506764451805
SEMA4A,0.1461166588003269,0.0037047886996616685,0.08295924432172015,0.015797628410858577,0.154263703236687,0.07981858341619004,0.159862813961743,0.05379262323370797,-0.05586618434678792,0.06456982116947618,-0.03201615493061704,0.09741931538775217,0.05889248135760799,0.05720619577040452,0.043278092701870344,-0.02853911327765693,-0.08853315394639232,0.09458962897449308,0.12960079027529736
GDF11,0.03889403744608739,0.03814615320619083,0.021742583044674756,-0.00418010705912793,0.009960478251379254,0.006063734346329155,-0.1135419991262748,-0.03477671565138577,-0.03860349170689106,0.01648333728549987,0.025088993450746635,-0.02715866494825282,-0.03450833542995122,0.014495429852734009,0.006758983651141171,0.0025669002994003166,0.045294850635231705,-0.026557543062858693,-0.012738601922448899
GPC3,0.045087387175455435,-0.027756741264852003,0.12205920302159083,0.003634591209788748,0.07494018743960842,-8.416434883696084e-05,-0.029517535598905513,-0.012750397429305827,0.006023158693066624,-0.04234873093054531,0.05716022006257183,,0.02987510114746624,0.1454253262503867,-0.015114451193637213,-0.03852155864756143,,0.014472648315738818,
OSTN,,,0.06796073266531397,0.1345002522895113,-0.03320064377708461,,0.01984746791965701,0.04411135594509951,-0.03996027192187611,,,,,,-0.01686462590305351,,,0.015350385282489032,
GRN,-0.08806140851612655,-0.02081369428673969,-0.002475243216720648,-0.01153672343667595,-0.10785880775209218,-0.012499217563942537,-0.12860407932132076,-0.016117172659134697,-0.06725322162132993,-0.08359630096120327,0.00022323510373262214,0.023592207059175953,0.003004298649902812,-0.08200716121213773,-0.05249634114283054,-0.05496994887476633,0.1121751690179595,0.04874819170596784,-0.005043238705087974
CALM1,0.18671401472679647,0.029636010892028965,0.023225988648234216,0.019471220106919308,0.3016368448036046,0.054205446171779526,0.18952767962646316,0.06506927029074921,0.040990375929248764,0.14048632888437673,-0.014302713363946276,0.11307931465021605,-0.0065881757888950915,0.004426395744720583,0.051301918568103136,0.02553060750681508,-0.07716182716129598,0.09853445435029862,0.22317887021342397
ANGPTL4,-0.1625858188949281,-0.0320295679776495,-0.1271618124070219,0.005743891715557285,-0.11194916295068173,-0.04888348052353389,0.0425634481143791,-0.034368543078225046,-0.02513092528840759,0.06499451785254702,-0.049817331747899804,-0.08495876642788493,-0.05288200980619146,-0.11163439059037064,0.05143987402034834,-0.07846767861639936,-0.02977071428534401,-0.13987948835811295,-0.017873503685706112
BMP8B,0.05804282032289884,0.06871241518963472,0.06962916960045337,0.0033192808454093796,-0.05510604452714038,0.015332541720030563,-0.060249656653229476,0.04311403713862114,0.06897141774135095,-0.02578262787457318,0.019935379985482563,0.038546557453400784,0.03758364352602938,-0.023707904836877212,-0.01936280669424471,0.03926958023147327,-0.047098783657657725,-0.05466875805443955,0.13312708640352824
