,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.008151729674087442,,,,,,,,-0.016360146360959907,,,
BMP1,0.024559016106447246,0.04091506944316136,-0.019027593171305326,-0.06976465401960485,0.020233402221538094,-0.07516288284768818,-0.05508667468715046,0.05789011900489952,0.03448821177342639,-0.12708909423202308,-0.017789082239516477,-0.04381453713085319,-0.04160144300382574,-0.05069000221490698,-0.04961284523179835,0.013768997083048351,-0.03901355314900553
NDP,0.046517656335315766,0.08024536389454315,0.044495223316058735,0.11841699052108248,0.07077297726712695,0.007185178293983839,-0.0070235790333733,0.05620823159175624,-0.011387024344881706,-0.05613746623506543,0.0925868703008633,0.10735249801569761,0.12185834271275921,-0.03522667235800182,0.011730361744156027,0.05758474648761895,-0.10830040531669756
TNFSF18,0.012044773733117933,-0.022599387748962713,,,-0.014918322383981138,-0.014105818690668251,-0.0356981091465613,,,,,,,-0.016871930168516444,,-0.02245771287671145,
IL36G,,,,,,,,,,-0.021346931380222173,,,,,,,
RTN4,0.0468638316473901,0.0327571248813331,-0.036375029102686286,0.20680877338375697,-0.03339993353680769,0.12442692282132406,0.05589787326875656,0.042463218012743116,0.1270305616184545,0.18291619061953937,-0.07269113225459661,-0.012889178599284328,-0.04950001178015561,0.036379622538855794,0.07243156197999277,0.10151590270171,0.09765234821102281
HEBP1,0.07397700222827343,0.0017625420275719963,-0.04253025884382161,-0.07142505524195611,-0.001705432241810588,-0.030366753982308002,-0.02826951641625859,-0.03085164090722952,-0.051339460025112096,-0.03715097562263288,-0.04488544691037195,0.09796404800609769,0.09852338076778579,0.022772712445866164,0.0495584263376878,0.0494951079860555,0.007571193798049261
WNT7B,-0.020616217413233644,-0.03054728471685036,0.02656037270084965,-0.010734316132028235,0.051207960581402874,0.1486887595941143,0.03467182769515502,-0.022226276295537375,,0.06414627709950937,0.02466366395094448,-0.02429184775963936,0.0011791344434601814,0.12876382989438395,0.03950762727814448,0.07438372117409192,0.05483821366942431
PTMA,0.028605579763759954,0.09915891692224046,0.14198994146601496,-0.1311520460306811,0.04902560201402478,0.0437168491004261,0.013420678469959119,-0.12263121722604552,-0.13978846185065782,-0.16034291145391294,-0.08953110406225662,-0.05755851910018953,-0.018264193499241892,0.0651405341943731,0.08084724166700101,-0.13545796644141908,0.004817375581187551
CEACAM1,0.009722638589222907,-0.045092386009367894,,0.09821458141952179,,-0.04692927171991621,-0.0449121675360847,,,,0.017926562310467766,0.03620375591472978,-0.007794690278989139,-0.02424320219880735,-0.02492861563314294,,
PDAP1,0.0574794806746489,0.10927661030605744,0.008067344583583895,-0.0887370796354593,0.03258069751092795,-0.06630512241647409,0.05152947238508441,0.01726835026466854,0.0073521921818554895,-0.12022611459022575,-0.019865446048940805,-0.03764634973526576,-0.07769657740289128,0.03535243909336542,0.03403205960091877,0.004623581167223509,-0.037306452519562404
QDPR,0.0660157525432825,-0.03941965974957422,0.019053077321130176,0.14424871400892264,-0.018105665146925052,-0.014630251820898197,0.0695704022065112,-0.01279009649170255,-0.12205136735149097,0.057738235323895507,-0.08356186364379208,0.09269019258064286,0.16118230480374104,0.027021788132288352,0.03156319749067525,0.15096268671321034,-0.0013289451121891811
POMC,0.028114252769978334,0.07045050622310729,,0.11037605861197992,-0.04877162056256878,0.05656916098936352,-0.03401816041370973,0.04158265222537002,-0.02346704852262293,0.01847653832952368,-0.06406894810981814,0.034388269783840644,0.07884444272246191,0.02946877379332769,0.02947144688812109,0.04358422945404404,-0.006921087182264325
CCL18,-0.03028292865004026,,,,,,,,-0.055271582696272865,,0.029215099165654672,0.010351300261417798,0.007188842239647083,,-0.010635992278998146,,
CCL17,,,,,,,-0.011117768446589174,0.01356716108331168,,-0.01950102785500936,,-0.0005185654501838227,0.007951985672872645,-0.021569907932758623,,,
VEGFD,0.00012827572670672321,-0.01723638281307589,,0.014008515180259909,,-0.040232165025283234,0.016602529192939978,-0.0063519137284841895,0.10416523636122206,-0.020899855564116457,-0.0614554737088202,,-0.005581280301289141,-0.022749595331670258,,,
TNFSF13,0.05396639787184209,,,,-0.013006401956823288,,,,,,,0.12066058632434404,0.06102762961228751,-0.023130936770299752,-0.012645106839054144,0.013110345840971841,
WNT5A,0.002399687668735496,0.0667562826444309,0.10170259006986973,-0.0824163178474178,0.04476587310029581,-0.04201003565519282,0.00860209157614058,-0.0017472191828423111,0.013058824673967422,-0.03752475825906578,-0.009220216521663301,-0.0077603516951289695,0.13236984979221017,-0.04790912964325429,0.01069217001038487,-0.09759144128706407,0.044737666701674395
CXCL8,-0.07395341825005139,-0.019753868003099452,-0.08405197915424616,-0.09150780843485008,0.08627877570865024,-0.008073398825521366,-0.013607411907098846,-0.01879141684882033,-0.05444479933237317,-0.051755773713283555,-0.016932147081248367,-0.17331390804656224,-0.27383360494154474,0.039003242618147325,-0.09500764852315471,-0.15504113686226126,0.20717858063872352
