,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.040819641633162665,,,,,,,,,
BMP1,-0.010747254619143738,0.070261668912678,-0.011189397814495506,0.012205409357259429,-0.07541673164178343,-0.02168131177583586,-0.2629068487753356,-0.05778985835735023,-0.016347263426174857,-0.11882701246827584,-0.2907228712456489,0.008505288064352077,-0.0689923033583206,-0.11131873232952968,-0.030350741460543215,0.024594342528958316
NDP,-0.053752569348717964,0.06981262320526262,0.04602402460990798,0.039310270387153776,0.19222081443191916,-0.02785491376493346,-0.07184384608323646,0.011503696367106703,-0.011830552284153938,-0.0034792989202928138,-0.06215303863284685,-0.04174721145151073,0.06322746677755368,0.026895261492983012,0.03965942411631286,-0.04585113126406028
TNFSF18,0.01498309334199388,-0.031800944934867466,0.00958445529525613,,,0.009412152733372087,-0.05410227511890302,-0.026301839593568403,,,,,,0.0680562520806245,-0.09474876184609429,
IL36G,,,,,,,,,,,-0.028071702473242068,,,,,
RTN4,0.2814300874711163,0.10246488157685046,0.1103313885903053,0.0186740626883608,0.1769977290181618,0.1406882000776132,0.3800106450841414,0.10554471662114188,0.1714318339269319,0.3913492500817473,0.48681755911941943,0.024725619585705853,-0.03150493403884427,-0.02843768219967367,0.2616603438347583,-0.03630612980699877
HEBP1,-0.049946687376215826,0.0401623095357898,-0.01703621701712897,0.0533992667719904,-0.012782838743878557,-0.020806586501896884,-0.09519805645543344,0.0303379427474538,-0.04857806465956871,-0.05826895988764097,-0.034585973973322706,0.026974765586321735,0.03819168961967823,0.05786978035263083,0.035921547092586284,-0.06865872141350086
WNT7B,0.3218815780310687,-0.04245380364889302,-0.016068978383830094,5.580807591132095e-06,0.07628771333697265,0.0477071564325575,0.3974308996722128,0.01622201250608185,0.04480369346125002,,0.12703007967097815,-0.031787880121371494,-0.021514598057624023,0.009084557661105785,-0.0489985410772977,0.009952697623727273
PTMA,-0.053521986390909805,0.03481450788919021,-0.05735291198028681,-0.020137782469064842,-0.14384120027039834,-0.14868118341919476,0.07267491236028531,0.029045866797053847,-0.06125415880554556,-0.48023466623745364,-0.48322761745045795,-0.020028792098572522,-0.10441156185136774,0.011900638245119305,-0.16748403396494896,-0.15565169916300284
CEACAM1,,0.06723899781147748,-0.00637979022910431,-0.03334407796351406,0.0004645422201760937,,-0.07976712775407645,-0.04136652768724516,,,,-0.015399747994405058,-0.014279551632714455,,,
PDAP1,-0.10929488977411898,0.009904708380987087,0.03678961278559454,-0.06507430512771763,-0.06012051706830524,-0.031043145524909624,-0.21614859782019943,0.027706204273835053,0.004736022908476071,-0.005988749956231766,-0.24476048186172653,-0.05227352236285311,-0.0788651408483837,-0.01619786657199572,-0.003314729329060504,-0.011543540225122323
QDPR,0.20000177016372533,0.012949745202990796,0.07432305283360731,0.03295920671723138,0.22618322110067227,0.11000667714045505,0.030603535620144645,0.012392854699132627,0.08876412139327702,-0.23561034729344413,0.09704693489267416,0.04858274272534847,0.06985008355955694,-0.01415761694842438,0.20649802155353653,-0.041356536942747
POMC,0.17180417728536818,0.05433459570560046,-0.01967671914703733,0.04453710999028714,0.1457219673160114,0.0807708533509783,0.030940125364100436,-0.0305185747638952,0.01478539376517128,-0.060800355336938186,0.0640985818897239,-0.02457428118451658,-0.023359470628802663,,0.09726720620252348,0.004533988602244877
CCL18,0.005562268925263151,-0.06470604854097278,,,,,,,,-0.14991421446274952,,0.03233881205396405,-0.04917514467300429,,,
CCL17,,,,-0.02375667294804135,,,,0.018854457678353847,-0.056613664224297755,,0.04272047492559623,-0.02223050301738488,,,,
VEGFD,-0.019095850470836347,0.005805124662250576,0.06937038455280162,0.07264914523966945,0.024207258791817277,,-0.04379196126057922,-0.02643327535032942,-0.0031574104326889344,0.025611925523883868,-0.006366557674050912,0.09200527258073837,,,,
TNFSF13,,0.05625677044330934,,-0.016386821309518376,,-0.009055384577752465,,,,,,-0.024163796743179856,0.09894312982748658,,-0.023371011753800564,
WNT5A,-0.11911937086192055,0.02431452109927643,0.013040580961979685,-0.02462189377081121,-0.04378487782325262,-0.09444169708188109,-0.23681480728212506,0.030413193064799664,-0.06060423085583025,0.1295096883731406,-0.12921478505610096,-0.04092631575245187,0.03262455337408242,-0.0503433457301948,-0.1556636383698571,0.1669931956597339
CXCL8,-0.17818258421468616,-0.03677254702894725,0.017453972428705392,0.025417312424994332,-0.1901843800463264,0.019816414108970885,-0.10550203400197307,-0.04805131697148065,-0.0287025392555413,-0.14940233436917266,-0.15019047620032855,-0.1060541399665827,-0.024178785300051027,-0.018417021128101636,-0.232551043116422,0.09225812796158668
GRN,-0.1188494503955226,0.027593613686320028,-0.11771572466031728,0.04953035291967531,-0.09338935325897402,-0.12703122399881378,-0.2998857294762496,0.020616475708460803,-0.10325474514133534,-0.2518288531639658,0.04696979579497564,-0.025047456148903992,0.029539317733111282,0.0038295918518940885,0.15726507712147053,0.005265068711503312
MIA,0.012879314325902877,-0.032014949858878324,0.020976492304650964,0.027913730655174614,-0.06343292105127533,-0.009714358105839803,-0.11225513672474388,-0.01961326590396361,0.01338991371501752,,-0.007580922477140281,0.027468770452550136,-0.03466007188647268,,-0.04257188111822171,
COL4A4,-0.03342545621454235,-0.01929398904846512,0.019163650766212643,-0.03286829020883395,0.001546419296395619,0.007168009517979644,0.03151116263935631,-0.01792666619988075,-0.009135757193167247,,-0.01225892118503464,-0.024657404426894357,0.02755108031377002,,-0.10437168893208841,
TAC1,0.44077135468369827,0.13881385069639546,0.02837202320455453,0.09239117418963046,0.26547417656259553,0.11333524258057852,0.3344767151790666,0.0989692794347451,0.06003977745861033,0.17053723654776407,0.4172154563720941,,-0.008904413060721351,0.01367903929310809,0.15376927472630808,0.059451505219202776
RARRES2,0.10314737009583085,-0.013570373017892117,-0.025234334533613137,-0.03738988402974119,-0.23460040374444482,-0.03716939451990514,-0.28400400957367017,0.04335233612144583,-0.00977406108252454,-0.17973707914035755,-0.2752371188439558,-0.026247633760590805,-0.0017774657877164422,0.03300707146349674,-0.23511207171343568,-0.06512818295053009
FGF7,-0.043596314076226876,,-0.015321451954168246,0.019811145008008388,0.0398059884280577,0.023400699742610782,-0.05411796539664208,-0.016702184993355292,0.02930542887408739,0.03502878411374226,-0.01997447218873247,-0.05006810197149386,-0.015658587479404216,-0.017076192019861186,0.12699169529745252,0.03133704618179888
EFNA2,,,,,,,,,,,,0.18365416295430942,,,,
HBEGF,-0.09026270343506368,0.0415505674685948,-0.023859720065328764,-0.023245589476241762,-0.12898034709789372,-0.04553021072647684,-0.12434545761973313,-0.1513784154529266,-0.014776869486005768,-0.21970501298994075,-0.11903977747413066,-0.025870506652604753,-0.07877073586619407,0.061146034128618756,-0.1582428035805064,0.014038898054698724
CSF3,-0.061797069137471634,,,-0.02831588273759354,-0.0799333071123554,,-0.042556986920022626,,,,,-0.06916686573243865,-0.02047168783319866,0.08763973932091794,-0.06594455794021449,
PI3,-0.07320784363305127,-0.05467510738459033,,-0.025082614410824256,-0.0739538283619402,,-0.04791972896337501,,,,,-0.11179123777361342,-0.032423933898980954,,-0.11652853993834741,
