,UKF243,UKF251,UKF255,UKF259,UKF260,UKF275,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,0.09679009280951587
BMP1,-0.038273858759552276,0.02060191617033183,-0.011691383556365972,-0.06521313374757991,0.008124032573010033,0.00437910745869454,0.02554396831443801,-0.05751650529058754,0.015166485568372681,0.052816582021917385
NDP,0.06264490333222753,-0.017914211282859426,0.036245679642647174,-0.017042988348513553,-0.015553035181291829,-0.00021705271733654365,0.017952353988412894,0.010208551984577452,0.03562685335425377,0.06815258020143754
TNFSF18,0.04771644557719176,-0.02417022385525837,,,,-0.012622089446573373,,,,0.08534786593140722
IL36G,,,,,,,-0.013752911436744552,,,
RTN4,0.020221722257943,0.0190622777001223,0.058276114225461015,-0.05625246941710622,-0.044624681676423666,-0.034562647815878325,-0.02064788450800718,-0.04710649470128308,0.0018751143320985383,-0.030422391590867362
HEBP1,-0.008848422769909825,0.04685342103292714,-0.0019374824150566764,-0.05535082729250757,0.04666919252528029,0.022309165974863987,0.01639742222188033,0.05014637581774722,0.02261608218046419,0.039740770539173825
WNT7B,0.007595847576205352,-0.015013793812002794,0.041392863334968666,0.020338714261293234,-0.006208017544164789,-0.02080821679993021,-0.015116034573743229,0.06467101423429235,0.019749880993368597,-0.018931342895404785
PTMA,0.02070521598983811,-0.021208834452665828,0.0793115799125879,0.06502908879809718,0.07239889821995424,-0.032476693461941764,-0.0024151431623727895,-0.040719305077657336,-0.05302008452156581,-0.0722220147626896
FASLG,,,,,,,,,,-0.020722329275297532
CEACAM1,,0.09874914884836505,,0.04309320624119493,-0.01788904501535672,-0.01985153968813039,,-0.001107785298230156,-0.016848514863091125,0.08823699009319469
PDAP1,-0.022627370215315804,0.015091024222024683,-0.009469636193661644,-0.009158943371707801,0.01595180022787172,-0.02554315476545281,0.034121946097901666,-0.09740703742983386,-0.002895454811344669,0.018726511946157286
QDPR,0.005327191242159192,-0.002291318061424409,0.09176926293540015,0.0068364321298449455,-0.09034150555565859,-0.02976106441862813,0.00974064816800109,0.03751280369049996,0.043631993797621886,0.05340641887793437
POMC,0.06521652287478172,-0.020473082212323055,,0.0906119111866837,-0.035996988831560155,-0.014645674462481979,0.05169817881313694,0.01414041892562482,0.04189310122203056,-0.006780576851742924
CCL18,-0.04107144268255947,,,,,,,-0.0008998019630151877,-0.013072069598709503,
CCL17,,,,-0.019320480932237927,,0.12580810650693594,-0.012563675042489455,-0.01595485638213545,,-0.018782463963929838
VEGFD,0.02050426548283462,0.003354322210976076,,0.031378996332032845,-0.0171152254259065,0.016094902077824415,-0.013464879681973988,0.05743949608758392,,
TNFSF13,,,,-0.013326835341926219,,,,0.10024029273186276,0.021108154292461018,-0.001969018085598877
WNT5A,-0.08077573048621264,0.039430747196965384,0.012334558002011194,0.010189187085769491,0.0750493581053099,0.04060336304337545,0.009062063227259259,-0.06602297434376468,0.025021793049142167,0.02866697509187311
CXCL8,-0.012210470074704882,-0.01545263376070494,-0.08253408373606234,0.06769375896970112,0.032357198469154774,-0.012696636405992065,0.05154250061726299,-0.06402052028433595,0.03276256339768667,-0.050041879638184295
GRN,0.007551012980917906,0.011720128371325758,0.027082177250006566,-0.03704853124380325,-0.015705627273503258,0.01964054993493579,0.039649360073208746,-0.04038938175493696,0.012591689734112144,-0.030046440197905644
MIA,0.0662131948967478,-0.01467680664516785,-0.0116724223647641,0.0017891791783492623,0.03737428518518952,-0.030941508203853517,-0.01844076978704828,0.14323480435354716,0.006271483236251178,0.04481501938726904
COL4A4,0.0063228038555140165,0.01601162194820242,-0.013831448472243556,0.033343054428713145,0.04132113422876735,-0.016435346959405277,-0.017888230829369873,0.015034710041342802,-0.033955580834850986,0.033637321272208996
TAC1,0.0031322219264055626,0.01027468794026899,0.08751252240603279,0.020169417915112592,-0.06475449417290176,-0.005360139627499489,-0.019987362828283565,,-0.02906848798573919,-0.024691458761908695
RARRES2,-0.06595591728805707,0.031899857184834145,-0.0402347758387319,0.058209646554634134,0.08865369885649846,-0.021615952702138917,0.043028738423041564,-0.035074265227523695,0.0290363405052446,0.01525663163542967
FGF7,0.07765798561891131,-0.018626931404255472,0.08206627254231054,-0.03424734506176533,-0.032770679104290976,-0.021517224610857054,0.044170368899029755,0.08345712340895386,0.08581099922409598,0.05118777047872008
EFNA2,,,,,,,,0.023100711045406112,,
HBEGF,0.030655095946307515,0.020567017115477815,0.0028799184922125823,-0.0016337526886531547,0.017141464503049448,0.024098364366223018,0.039722276535542965,-0.01816578956157538,0.09373720638325118,-0.01086864855372031
CSF3,0.032640927994703965,,-0.03886498292083423,0.14414588313729285,0.03825200910039497,,,-0.06120400835002882,-0.024154647540893602,0.04371400132351609
PI3,0.02438091802038714,,-0.04248402287406415,0.07468307917916474,0.021779956633587786,,,-0.10775698602977492,0.0026336071897848875,-0.04296458582584918
PCSK1N,-0.029033310937678806,-0.01628267869700833,0.0823685745054284,-0.09398633885037037,0.010014099337455245,0.09745199520131038,0.016253215668561753,-0.031570111674286076,-0.027604673335086295,0.03162060503916405
NTS,,,,,-0.010995158417626364,-0.004426431652096104,,-0.024057471071819662,0.1108203565180777,0.0730214199335105
SFRP1,-0.019132872132519595,0.02384411865721667,,0.018578143719811535,-0.00040286010347000335,0.013685848805877136,-0.03587485654020446,0.04094590702038236,-0.022913118111988876,-0.02860364420635465
CXCL13,,0.08149255409685228,-0.010223303870057186,,-0.019350028028387166,,,0.032096656090928356,-0.039401256621577244,
MICA,-0.01499627321334913,-0.02350911940617709,-0.031765567498499306,0.055924239349641025,0.013047196773654133,0.05683068991395149,0.017864871813517303,0.08996335815881838,0.06341055737901277,0.07813570016767922
