,UKF243,UKF248,UKF251,UKF255,UKF266,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH881T1
IGFL3,,,,,,-0.015367754500089136,,,,
BMP1,-0.013585472757795489,-0.03988240997460643,-0.009509297983766193,0.032325768267421916,0.02722785636120751,0.09283081697452643,0.01244127885343877,0.01194092391980516,-0.06104616677308006,-0.04003149451564023
NDP,0.0680714336739061,-0.029176185711023622,0.007237538255433638,0.09615446168491348,0.06943314765198505,-0.006158448828394734,0.018401134545568763,0.06470605367950151,0.00276558338627239,0.03345247260743048
TNFSF18,-0.02528570689076996,-0.025885689060505295,0.046275565095265356,,-0.012024544652729658,0.04421137711658309,0.011735333131009527,,,
IL36G,,,,,,,,-0.017297026381748022,,
RTN4,-0.03669401573745401,0.04672114708419017,-0.04192221139507921,-0.017282266159978105,-0.016643927760771254,-0.07793412651511779,-0.02084200164366971,-0.03579194770665988,-0.02259569489568892,0.07687825155077085
HEBP1,0.028208989398317074,0.009755755860819199,-0.010200274887639775,-0.00819090244753281,0.06108007065942317,0.08852178781986632,0.020896340433579498,-0.0015828919461564755,0.05025555049857826,-0.0275583899941376
WNT7B,0.054683510573391964,0.08157538913417366,-0.02696625921605923,0.044237159616672274,-0.04317698387429791,-0.03859192533177322,-0.030357862061326006,0.035412395892221595,0.006314455807613905,0.09170311842438729
PTMA,-0.11671473499579556,-0.0021228243382046337,0.06469100076797563,0.062140349648357185,0.07488725429977329,0.02060667259142611,0.017664386874594904,0.04897390016961179,0.021156205341822863,0.02781308465512946
CEACAM1,,-0.01647553167165927,0.010869863936019778,,,0.02426973093578477,0.05897513878571899,,0.027219583807664822,-0.01351765766452986
PDAP1,0.05307404745464855,0.009265894941144201,0.06497335550846649,-0.006170366611189072,0.04061241473014209,0.06595872362161181,0.08037203814345387,-0.023968477790891764,-0.021204721213600192,-0.01385931739108747
QDPR,0.03237063020970737,0.09579348613871416,0.03165467637194686,0.05340228888837266,-0.06623666449469534,-0.03399495598292237,0.018010398427326043,-0.03734617695354943,0.04740759908137827,0.01050886707745027
POMC,0.014052992045108686,0.021255117642445528,-0.018965774536853167,,0.026708947234295066,0.07334010382138642,0.004571071534570891,-0.01838720316077918,0.024623543783921113,-0.0054570453315670306
CCL18,-0.033910212038214815,-0.020559906851648692,,,,,,,-0.025959461385075096,0.03204656891253172
CCL17,,,,,,,0.13252616107102985,-0.015801324662139304,-0.02637682631512607,
VEGFD,0.054341499436508275,0.013883100109055161,0.013099798006065996,,,0.22079223978206364,-0.002587204647381787,-0.01693476906016471,-0.018272032703330023,
TNFSF13,,-0.01551517040058664,,,-0.011661299851630865,,,,-0.014095439207493576,-0.015179423569579693
WNT5A,0.11722373267803148,0.05779112039052992,0.03701836926754876,0.042837386752714826,0.05265566101181348,0.08298914057719717,0.02263947999439167,0.0635848950305546,0.016445975382947273,0.003800443330067346
CXCL8,-0.037366632648602884,-0.026472673608158342,0.04161768496858186,0.005262762977678877,-0.016587442696883403,0.07396103493794932,0.0035803873572477257,0.0038006127797520924,-0.1070726787759902,-0.057019607254183924
GRN,0.01153735922159846,-0.03341908023404064,-0.007375294274790947,-0.023963870880773504,0.006159457833104561,0.025956628376013768,0.01318853108337923,0.009900743856898828,-0.03187193963827784,0.010563190090575067
MIA,0.06866950120401903,-0.040962440923687005,-0.014240994263122433,-0.029231645296449612,-0.0036917644296049013,-0.009423730112143156,0.005633429919247275,0.034654010739084556,0.11080370164967301,-0.10804375112169068
COL4A4,0.10563939906249421,-0.02469228108439782,0.0237897251980894,-0.03608629176750883,0.05416563049641699,0.08693950041566995,0.020377902718001818,0.037812911741285954,-0.00039567068506605904,-4.5980140056295205e-05
TAC1,-0.011090244554839531,-0.0777086980291478,-0.002660074862970604,-0.03106258702665911,-0.08706049580577785,-0.07337382825671307,-0.026295483355868846,-0.03987119008503806,,0.1046259414975567
RARRES2,0.05682269973678656,0.018380479495305354,-0.0015864201121401445,0.035732842814018985,0.08114667596908078,0.08321883917884684,0.10222713798365533,0.09884587770861046,-0.0762874424629755,-0.04961381471888382
FGF7,0.024904034177482135,,-0.033455811831207105,0.00396779468997903,0.031272878548857186,-0.004908353932890068,0.003431078255939799,0.07287862948159508,0.012349144962984643,-0.007721280878386859
EFNA2,,,,,,,,,-0.017366344263860394,
