,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.016701642084928955,,,,,,,,-0.0046288330097996235,,0.06409210019409954,,
BMP1,0.025346581585922706,0.05873909128437739,-0.04822416552251358,-0.009062763100723088,0.03412674254458061,0.01707751112062767,0.026005266604018702,0.0012281843980423391,-0.10356378235039077,-0.00015154394981953246,0.01366155591196758,0.05340797375996887,-0.05923028733683561,0.062473255336782954,0.04337296464715509,0.0350507669727382,0.12834158425082368,-0.0175670912712172,0.021798072119822952,0.13334962772952944
NDP,0.08187427807176383,0.005323370556251176,-0.09167996889399341,0.009007828661458236,-0.006522297143742809,-0.04623908651880271,-0.005582062132159797,0.06803913613372492,0.02420553824310614,0.008260237970459659,-0.017656323856015177,-0.05893274070636182,0.05031321571424462,0.015896927657200362,0.02366781701708984,-0.030355699468353654,0.04556580113960302,0.0962520778609307,0.13939421705884922,0.06007758606897652
TNFSF18,0.09620997931886084,0.03278967818191923,0.03412047186512805,-0.007977958921132285,,,0.042656149748765367,-0.021671182578218907,-0.04724142276328752,,,,-0.029717805770977462,-0.03256441979624029,,-0.0010356097796794562,-0.031128581585212662,0.015214713518346117,0.05284714339489243,
IL36G,,,,,,,,,,,,0.07446108974210823,,,,,,,,
RTN4,0.04265653214914746,0.04829780588855218,0.04340033022756236,-0.004631392396256778,-0.017666270166764374,-0.02208793965989262,-0.05282004286819014,-0.02179040317972597,0.04161343861532699,-0.11227539388184853,-0.04616095811985143,0.040440892671519284,0.07781170585627362,0.043261628458395,-0.06629289078394764,0.0027107965460652344,0.04180864893033956,-0.030180042860490433,-0.04770633490543939,-0.018264902124071225
HEBP1,0.0039617834940470385,-0.03993916406929357,-0.058283999919099466,0.07061317498982159,-0.02134843569715587,-0.05752008855510372,-0.022228118597931952,-0.005591643720012932,0.04165141080105142,0.06039657601191071,-0.014379653006592028,0.09133446131974186,-0.04706421088314977,0.038214612275840075,0.038330577516817003,0.0013016776156629679,-0.002681731543134217,0.042128600530493866,0.001309746874776333,-0.004580334664363907
WNT7B,0.04484215719815187,0.18839361915507521,0.01150343276923503,-0.025411047297740873,0.002857847061416184,-0.01688375885680685,-0.06323951272283504,0.009441653846916831,-0.09003684130762776,-0.11208028683198241,,-0.02331711891858524,-0.03271640353523367,,0.03367324381784137,0.014645944722296094,0.03230087619876315,-0.04308917749953006,0.044311774459908505,-0.06236870353410046
PTMA,0.10238529673153497,-0.046393749637395156,0.025144859388622973,0.03222811648426445,-0.0007379974444129737,-0.0015491966034916948,0.07606509340442766,0.04408116613936843,0.07847672311542724,0.06449298585471461,0.038592463652670266,0.037662574509078076,0.03236604284587496,-0.05850062451400343,-0.1396657152536435,0.0636962766762727,0.10983496715134765,-0.00114990748629874,-0.051889322593212786,0.0724071771752968
FASLG,-0.006815737665294579,,,,,,,,,,,,,,,,,-0.01750888022576126,,
CEACAM1,0.028451972625414938,,-0.017949797342448587,0.06635060635587248,0.03788386077565129,0.046086913894791054,,-0.0015577464023322325,-0.010149804264330506,,,,,-0.013944300965548242,0.01142875069312056,-0.006831014479630882,,0.17961848804440358,,
PDAP1,-0.06758226522975157,0.02615817699481928,0.03687288612809549,-0.0021480090638642236,0.04567753804292167,0.018427465246228347,-0.028634053436278097,0.012952674666010784,0.010038666728503969,-0.032471730415443,-0.026916144404940324,0.03769869923608823,-0.11065793462061792,-0.0024913497060334083,0.08271621227932759,0.014400261333704291,-0.0003317070329979075,0.011200731022917817,-0.06560926243577088,-0.08191068457662894
QDPR,0.10512041348235286,0.15802012743234803,0.019378101653918452,0.021912470912862008,-0.009103188464301753,-0.05036384283369681,0.07186676235371192,0.02093632824795803,0.11890195991789576,-0.028663965124388444,0.06997598860777254,-0.023571006722768656,0.02232487001999734,0.006495106612292963,-0.06256314337827272,0.07276569184340091,0.08210309357513257,0.03797210027589305,0.036863254344632904,-0.0034034848661396947
POMC,0.0626967238198301,0.07931683945488802,0.047714104279382975,0.004750591220977155,0.024875554347094136,-0.039816890858434976,0.028964448955787675,-0.00164686488431789,0.01122506824488908,-0.0334463760805429,0.026945689067064228,-0.029363398399223965,-0.04157518444520493,0.05897152146198752,-0.034272424808936185,0.027484694855091044,,0.019073722724117382,0.08276563084808472,0.16483391627477606
CCL18,,-0.04588100820093078,-0.02239965111423607,,,,,,,,0.03364522754833621,,,,0.014726918146198873,,,,,
CCL17,,,,,-0.025440228786999752,,,,0.011090311939663082,0.026544015965326382,,-0.019379997021774766,,,,0.032792850467840494,,-0.015869833333897874,,
VEGFD,,-0.002855507045366939,0.05660745016187995,0.029767694343297114,0.012548160371909076,0.026535489712979088,,-0.03692890780402359,0.06712640707584311,0.006778347790152438,-0.037899034453159265,-0.020770143071410185,,-0.0034341124822108173,,0.08538832672826013,,,,
TNFSF13,,,0.10587827760565739,,-0.017548100448139602,,0.08291955515815988,,,,,,,,,0.07122751799751324,,0.005832539273171478,0.11451337572723505,
