,MGH258,UKF248,UKF251,UKF296,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.02111010110403628,,-0.026703427024508366,
BMP1,-0.10349326239465657,-0.026442272131869057,0.02526627101067895,0.009624448513595603,-0.013343177265949852,0.14343409700448362,-0.0193458991206513,0.05257122184286424,-0.07814856411533798,-0.016041619951844943,0.03421493020453257,0.03575635943646942,-0.0010780887330331381,0.015188136614376029,0.006350208582848697
NDP,-0.05559605538589434,-0.005126190022583782,-0.03652293450957039,-0.03855729663300232,-0.046315101815961705,0.004183174127786169,0.033987603022514926,0.0767142694803754,0.05752044795419504,-0.056693184200113794,0.049215169843416964,0.018767971773087536,-0.054138078327001134,-0.006007607254147995,-0.07982837754875867
TNFSF18,0.060555274591762596,-0.05276825250570846,0.014270061859541822,,,0.046905172010180615,,0.061114744367292036,,,,-0.02177047465342629,,-0.0030529088066347837,-0.01344797852490401
RTN4,0.01664388039222291,-0.05424887985086339,0.021254676898847073,0.035005741395629564,-0.03719164505056692,0.028948617494967036,-0.14379666553441012,-0.07100001235319249,0.003195218529867573,0.09403532643151767,-0.000329631551764967,-0.053856554955319026,-0.023255111184039463,-0.052146295930183495,0.035293804318699724
HEBP1,-0.03786918924091344,-0.06919142410015072,-0.01625598785301514,0.021343837626219723,-0.058258835722892116,0.01399693683166575,-0.14182809885935152,-0.09270656290109683,0.024299373669143642,0.028850648348167942,0.020152492409573078,-0.05280759102028978,-0.008299013768228093,-0.013643684415200093,0.12994620164191922
WNT7B,-0.026594733878556317,-0.0446058179399942,-0.015709239525174813,-0.012182919158375032,-0.03519676983007681,-0.013738049750108235,-0.09378292765368179,,-0.0259374144875118,-0.00936612370548206,-0.008596765098478213,-0.011845161552236583,0.05361250009342336,-0.025841112312212505,0.058015243795508334
PTMA,0.0034616023768306403,0.03511696295688422,0.06765155094559941,0.02369126099622685,0.012059046112686267,0.09253370505727425,0.20288786736350206,0.03354574067211779,-0.05865258502874961,0.10739894791659943,0.05353160590981902,0.03571355050023423,0.08134869276782455,0.014669904124836998,0.051116493375656415
FASLG,-0.0008566925710098899,,,,,,,,,,,,,-0.023159873148350333,
CEACAM1,0.03050732940869163,0.02178046767372718,-0.012055896488437145,,,,-0.07790721779393744,-0.040885649546989866,-0.03782451078555462,-0.024935438642753587,0.08309266398903449,0.0017331894256434406,-0.024522573314498933,-0.03222356191972419,
PDAP1,-0.04835617967462387,0.022582101450537614,0.008921334650228669,-0.08158161824927858,0.027899594137691053,0.009614655697026065,0.18073091908243383,0.08543403126789845,-0.02556646530633092,0.07656011872807614,0.07108684855261362,-0.03702219635350161,0.014172087040876895,0.06044446329186256,0.10888343578374594
QDPR,0.07903324647699644,0.006880889744307608,0.027562842131343617,0.06599328272110795,0.03931589619396514,0.06642239258012969,0.07710707436649096,-0.06935542274405404,-0.06843801820393292,0.007783334035484321,-0.028928284032506017,0.02270004150675456,-0.020647215298358446,0.029885066677635137,0.024360292345510993
POMC,-0.03794405503189729,-0.024967171519744116,-0.021421404630910947,0.005107530275003275,0.08842881986035918,0.01566021870854994,-0.08321577659555116,0.04101763775996127,0.05458779344315913,-0.02531667735763996,0.00013797998566480473,-0.0016952642306840705,0.016851561967830223,0.04605781420043471,0.06537447938083725
CCL18,,0.009018915917286525,,,0.09554667973854904,,-0.08587700237585202,,0.02748683935780478,-0.034662591213523705,0.011482412949644345,,0.024996060033977596,,
CCL17,,,,-0.015079038705218047,,,,,,-0.04063061145703207,0.021091961337192763,-0.008762238748047171,,-0.0008712888177204648,
VEGFD,,-0.04191160212948638,-0.01726765295281577,-0.011060657247509278,0.199945578252388,,0.027098399345854503,0.01820074115267799,,,-0.04036963186893337,0.12987781290317035,,,
TNFSF13,,-0.03162783990233361,,,,,,,,0.02290039239636616,0.019415376117865563,0.09074563036823911,0.04030509456947747,0.04047340910095116,0.007809459690589666
WNT5A,-0.022231990206202635,-0.025890500359431218,0.07708289838472329,-0.03042985799846141,0.06979162599836038,0.07921875319167887,-0.16203560566233313,-0.0406738364260814,-0.014638078434345102,-0.018677781019772785,0.008541224226219385,0.07248237627488331,0.003546667096332944,0.06102210628648185,0.07497173671281024
CXCL8,,-0.020411881144211948,-0.016168406738585335,-0.010300164962246524,0.043773326638034335,,-0.17856620847840265,0.07464386176505396,-0.047217663517310444,-0.1163935459648223,0.06889545989944257,0.014465210431712124,-0.05779327721793437,-0.038854527930242196,0.01226941334624688
GRN,0.04740535992789857,-0.07660995925724856,-0.020200224938268497,-0.009573611575640895,0.03171899192978931,0.029420036987360818,-0.1406766492814036,-0.011100922583154602,0.00015777736473422162,0.04709644720826315,0.00578985831110708,-0.01275171038533117,0.03521682487550525,0.022502328595087284,0.007573409305507517
