,UKF243,UKF255,UKF260,UKF275,UKF296,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.00032607463095616897,,,-0.026253180420139292,
BMP1,-0.08154383457027634,-0.011767125502394445,-0.06764842468330633,-0.009756447846102596,-0.04828280168556441,-0.15768494086407037,0.0250853740421299,0.018042143100797145,0.010791506119311258,-0.0250779650279821,0.028358329585911463,-0.01860134679328124,-0.07608625104099323,0.029892266543839988
NDP,0.0884821723276764,-0.016608135750767115,-0.05335772900174449,-0.03832871136315458,-0.042909054384981736,-0.06543903698462157,-0.04215002746023038,0.0026105701850053014,0.006259925095437324,0.02993461159702144,-0.013977643632194427,-0.02025725183595195,0.009958112770329394,-0.049663458976688626
TNFSF18,0.011383675033481571,,,-0.014339159142729778,,,,,,-0.023773828404977236,,0.1655941435643257,-0.0054828550197177,0.011313402779005284
RTN4,-0.1297445928380619,-0.003792135463676373,-0.06531464115067702,0.008792043696377129,0.017306276244672403,-0.03308676149273501,-0.07341476412787011,-0.048674263952179504,-0.03187201112268013,-0.0015111465021385075,0.05192569322412204,0.06638093757843459,0.0065857162319936,-0.18569016490298687
HEBP1,-0.013428600777660005,0.02517011507945627,-0.03540705217445168,-0.010952506545973616,-0.03791735688631517,0.021903916079538198,-0.049780587578815996,-0.03896893977898272,0.04067328731120148,0.004253457262379353,-0.062112802044839446,0.026496546535802263,0.031820458463489486,0.04378740866856778
WNT7B,-0.05127755377135173,0.09639315124181386,-0.03219268866322557,-0.02777267285727363,0.11458330884416665,0.09018246685507282,-0.004674716936976244,0.029740160294393823,-0.05033349206969473,-0.007503898725945988,0.015875010222981975,-0.03947953658197185,-0.0330042997997358,0.07098796841727374
PTMA,-0.07227571761128711,-0.04880586066985079,0.0360354483040112,0.05595168953052643,-0.009579371321098066,0.07820721357356011,-0.041556258722085376,-0.006310498520686202,-0.09049932155109726,0.08120684214979731,0.1264707376564126,0.007520442466957878,-0.04241822049398912,0.08339138333246221
FASLG,,,,,,,,,,,,,0.05256349243766591,
CEACAM1,,,-0.0024218079577870057,-0.022552081255738165,,-0.05691404302926495,0.07896779474931111,-0.04881188436805774,0.03169029781130845,-0.0423872335451446,0.0325225265301376,,-0.03168024029580991,
