,MGH258,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,,0.08969898705841813,,,,,,-0.01636014403028298,,-0.01732583002352814,
BMP1,0.006675851260504723,0.006256982157044911,0.04983502225508455,-0.020382215441695873,0.04339861023045849,0.13570110775248775,-0.03503072215748544,-0.0033454790374524376,-0.032524883925526285,0.05838374947734055,-0.013763475759427976,0.05009505388793979,-0.013983596904608825,-0.03533113698787827,-0.010173352567887964
NDP,0.03719281997582208,0.009947545539504781,0.03040656409182194,-0.004274584161044358,-0.03660662709212543,0.014806493491826915,2.690043447708588e-05,0.03570328058332947,-0.012549530420408652,0.023171392696468934,0.027835536374703505,0.0104482549344665,0.081666520456535,0.07344551825369854,-0.023115998850162398
TNFSF18,-0.02115380653898456,0.06204936602741791,,,-0.01202454297556757,0.06917582350154416,-0.016604481117435038,,,,,-0.016871927764930468,,0.04503395945442619,
IL36G,,,,,,,,,,-0.0024443766568293932,,,,,
RTN4,-0.02304536309007199,-0.04632262704682544,-0.017592700612992694,0.020346937069118356,-0.08111625084380797,-0.10257591024747889,0.025648166626304994,-0.01580191229126665,-0.023713864503643753,-0.0252623906243235,-0.04998133798310429,-0.09497258219094307,0.021888914857250284,-0.07175282637322818,0.07969130855102266
HEBP1,0.05137103602661852,-0.03852803751845838,-0.010407366275499033,-0.02097163775447956,0.03368282810085413,0.0318777699176262,-0.054016709343868013,0.043616517540410314,-0.02984807244631183,-0.030765225246003673,0.050356302584750996,-0.049152924795963004,0.07278338053193904,0.10401937406783729,0.10453008773015919
WNT7B,0.03085840190929257,0.0458201401516634,-0.03865438597142025,0.01608194166355801,0.012450692232402976,-0.06340598459086992,0.014177260081868842,-0.020336292978195784,,-0.021967667356844824,-0.007476556339649956,-0.035280565859910545,-0.011321568191882743,-0.03698052371865647,0.01719847230104466
PTMA,-0.061500223511188154,-0.0005782724405295944,0.08940394784185673,0.015310385727154952,0.10611167495469692,-0.03840887507207431,-0.028811322791044928,-0.020513856474808675,0.0017408594293717914,0.10470828231665763,-0.0213999953441984,-0.060133205247077035,0.06870776965164137,-0.0989259894370511,-0.015004431524368929
FASLG,-0.018635846273504803,,,,,,,,,,,,,-0.015026686468613633,
CEACAM1,0.010783420415008012,-0.015019854177228982,,-0.0355270826362496,,0.058061296682119366,0.15194642294362798,,,,0.01638791262298867,0.018341610363864273,-0.017163928396483053,-0.020907427202559756,
PDAP1,0.03192624471809093,-0.0022621297541377647,0.10344685073657751,0.02135403841047188,0.05570699895747311,0.09953000653636315,0.006503355137807653,-0.012758907926284164,-0.013796769832446822,-0.009569641876670375,-0.022202243148002312,0.011989566096974316,0.03778578079558896,0.05023436962223311,-0.03084941756978251
QDPR,-0.01598238519569576,0.03535235248005769,0.04652228452495059,0.010527800810278517,-0.0018117941047142328,-0.03637593390273189,0.01095119533519106,0.030307611991168614,0.061127545080935146,0.02056005659838621,0.058336109431416705,-0.01732723545445714,-0.020012602774087136,0.034097744461018,0.062188519932840275
POMC,-0.04248999813895729,-0.002921767269915054,,0.010694257710202944,0.017785205547100776,-0.045523930105959655,-0.01926652683723468,0.02245932370237031,-0.005770669682293227,0.02642271857418704,-0.026436330454303065,-0.01432577156143749,0.025741121227723394,0.019673081518299784,-0.06372685552636437
CCL18,,,,,,,,,0.08022779896825069,,-0.045014336009383996,,0.014424448572382818,,
CCL17,,,,0.03394152800096673,,,0.11426419534016896,-0.025170629875522352,,-0.01825840188221772,0.020622828291529113,-0.02156990485989573,,-0.013620003492100444,
VEGFD,,-0.021512927685057786,,-0.012176378627009933,,0.034163150190148865,-0.022063710012446093,-0.018462961412833916,-0.02425656698975758,-0.019568094820802937,0.015204023405290592,0.19765010122275717,,,
TNFSF13,,,,0.011918945772745715,-0.011661298225133516,,,,,,-0.009722560273381609,0.061780336844953536,-0.01927394121925446,0.015178001480760522,
WNT5A,0.03128499970506581,-0.003206302100399722,0.039520377324932014,0.020767658153955922,0.060679596004702636,0.08694811145262164,0.0009128486185391976,-0.031835401132456045,0.009500874332875331,-0.021619209047121578,0.04144406439038865,0.00446242602504246,-0.031324300449387714,-0.063206113811225,0.1477323339637861
CXCL8,,0.043005740809995564,-0.10172077867135867,0.03262034962591043,-0.016587440383296417,0.010538948524882706,-0.01569466901281642,-0.017193512463882357,0.05312015723820924,0.07591503974404258,-0.1117881463798662,0.05453585959488707,-0.006356299221193772,0.027748692814626212,0.059401293021949166
GRN,0.02861288896706828,0.06568606353533854,0.04469997599494086,0.003958270380961865,-0.00970282118782566,0.053097325294653414,-0.026721397816764247,-0.02225170642099926,0.021216958739993415,0.05876278764002601,0.0030450565595601655,0.003457491982378858,0.011198215269813586,-0.13649022570204378,-0.04537469629908063
