,UKF243,UKF248,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,-0.013038935642920926,,,,,,,,,,,0.052956032365531605,,,-0.018147906115538414,,
BMP1,-0.021889057810634823,0.0918831414284177,-0.02185836657459477,0.045755904488749125,-0.0056547980430943865,0.02315009761354394,0.011753759125497582,0.12669624703807314,-0.0521200039559511,-0.0069224750982510505,0.044240165355808776,-0.07361268830447952,0.07769796049790238,0.11253754931730812,0.03802125652428603,-0.03170860887068105,0.21316728420060263,-0.003925928075272359,0.22392991830263104,0.23726055246284192,0.10966663644671366
NDP,-0.03496169458596279,0.05946284119054441,0.03191992939069724,-0.04613835034232274,-0.041051304717270226,0.018009171641286813,-0.0020252064904576366,0.005291301985343926,0.030260149799604938,-0.011647765010366472,0.07457576522115456,0.02702502991121765,-0.01481366415834838,0.08857725414547615,0.11304222373355617,-0.038029577272771904,-0.09376768173812876,0.0753640745420407,0.04371071969328045,0.13514342279398028,-0.052446534985688825
TNFSF18,0.06773415506687405,-0.03532089061969589,,0.061931692459270674,0.021275268520008793,-0.01690524584064925,,,,,-0.00905678894971979,,,,,-0.00395660378571843,,-0.033214951068557284,0.11105367965477085,0.07732749904299516,
IL36G,,,,,,,,,,0.014445450417543608,,,,,,,,,,,
RTN4,0.07512732746306224,0.09430890444594164,0.011869437724017407,-0.1086800270679904,0.004104482323943346,-0.06542814917722159,0.033423497334128305,-0.2100458995545962,0.020000988719515625,-0.07723761863867266,0.0910819380757541,0.09119142946306436,-0.046147882491002636,0.04863539408963048,0.06693007116204078,0.03679070760656614,-0.09868723572500739,-0.02663451795814572,-0.11158900235741155,-0.06693096198292789,-0.06440506310132668
HEBP1,-0.053709234946522855,0.05798060851484588,0.07545629354674564,0.04818545691298435,-0.010093156087932768,0.05149022527566317,-0.03797349556560545,0.135187316672513,-0.042855317741371586,-0.0364625446044346,0.15509943108710383,-0.023812425193571633,0.04921423472391411,0.00685808144908535,0.05247877443329525,0.02787724755851515,-0.018773063128632316,0.08499197420391291,0.12994927901271539,-0.00021390491829421037,0.13012391643620852
WNT7B,0.13659550106137008,0.004980244361178355,0.035110646287082076,-0.060155715373769424,-0.030231535396719106,-0.029265805186158365,0.020621623064672686,,0.024892615782312364,-0.027889538450464317,0.04743677088800556,0.12136253992320545,0.05561488221530469,0.07074258389070856,-0.05212146182833245,-0.08498185370863329,-0.003717851273420709,0.02393101623044583,-0.009847049516623123,-0.06492698651148741,-0.02183800118509795
PTMA,0.034632296955349036,0.01088160826913498,-0.004969419157130301,0.030989374088660607,-0.06296097396242639,-0.05351876671075548,0.026239280331338835,0.2991678411415648,-0.04410824065746072,-0.07267862692353665,0.05643566638429631,-0.052276811417913086,-0.04085608121382942,-0.11166551423321044,0.044126992865039495,0.060864579258050125,0.16992176925153857,0.03074353358987878,0.14593522126285344,0.12035214568648885,0.06891181927536258
FASLG,,,,,,,,,,,,,,,,,,,0.001311647526146086,,
CEACAM1,,-0.022480778885808534,0.004308368669576922,,-0.02547985243361556,0.026349336268091033,,,,,,0.06524511539826035,-0.033111849891488014,-0.07360899928472629,0.011534526883496992,-0.021175348635560153,0.016575796152352443,,0.019524170994976834,,
PDAP1,0.006308132216106791,-0.016083409236547323,0.027518572209378575,0.08440256378387702,-0.04042649107786663,0.06910009965629518,0.000636758300073371,0.0627494549774328,0.06581488100952577,-0.048033416383598544,-0.10176121666078018,-0.09495477793083762,0.0005236749345909993,0.02341100586827688,0.037240141873708964,-0.0491988416696641,0.14150938254610715,-0.05252972016193446,-0.016563373861125438,0.01635099687497483,0.03111894388009708
QDPR,0.08484188256649158,-0.01811484945879115,-0.033399826346154265,-0.1378388796523001,-0.05033146145139318,-0.01149090849612342,0.046369753571843926,0.03077829405941652,-0.022291304797390936,-0.0751253079288598,0.007323710104404195,-0.030641409109570878,-0.01885417162656643,0.004018507789442531,-0.0385056553300957,0.025842280504148357,-0.12622255721413392,0.10614044974721173,-0.01670578132687395,-0.07020473511431184,0.07805061639553346
POMC,0.11019492747253208,-0.032420963461844386,0.008323031376316334,-0.041370246644173686,0.030224597399555617,0.03776627647777031,-0.035900153140410514,0.05759732569762958,0.007983143030907833,0.020098130664931522,0.03940936899135438,-0.005485786923918117,-0.010893190691533158,0.06663344310030392,0.10624321179170668,0.09026608252935063,-0.011350850826770047,,0.13640278829966027,0.04128563803797403,0.09699175183853243
CCL18,0.008616373399983076,-0.02805388797496604,,,,,,0.10734029073224692,-0.06919600346718549,,,-0.007869093050136193,0.17906623866174926,0.05052560870922108,-0.014042791727324958,,0.10946653845400507,,,,
CCL17,,,0.028086409095853415,,,0.005625022512485492,-0.028104451622468368,,,-0.02318035834512379,,,,0.011480031933839492,0.028444459254746843,0.006377884530866011,,,0.005388242842840353,,
VEGFD,-0.030983841548191098,-0.028053896883389436,-0.007330694589367398,,0.06614861284839287,0.02605939376556256,0.010903249863715355,-0.018795046120955457,-0.016151546732466368,-0.024843108011514417,,0.11715830001822204,,,0.035097049537668734,0.027342150282121978,,,,,
TNFSF13,,-0.005236746520228117,-0.012959455392318396,0.005037047554785944,,,,,,,,,,0.02195586885112846,0.08168248045420298,-0.015756870360242006,0.06920245692687851,,-0.004983761400976171,0.006887539344753686,
WNT5A,0.05706343892491765,0.014276771570525152,-0.05042787737119612,0.005176033956137345,0.03404985443573597,0.005496418969181801,-0.05554620915618491,0.027177855514095087,-0.05516143894953125,0.013048274189680381,-0.024892029044163558,-0.06899653719812078,-0.014274962806598,0.024046131102927814,0.10875270574435351,0.02946176232938393,0.05423190757785903,0.06595047130774787,0.24617103365565327,0.09476152698896259,0.07404510398232186
CXCL8,-0.034490778085952294,0.024626480732880394,-0.01626055433974249,0.038698848178753124,-0.043433722840612025,0.028619852329400158,-0.005545143378676391,0.20087831979207388,0.06926862764019526,0.014175597384424518,,0.155115196351546,0.053130438996495215,-0.11397561621823053,-0.20669061062302463,-0.07268769903039476,0.010720778887821813,0.004841839012166244,-0.05353404672588822,-0.059625212679322984,-0.010170520903159784
GRN,0.07253270164679272,0.07619060337170148,0.001094872998931719,-0.010044267572491295,-0.010473098104246731,-0.03353096238797732,-0.04499487695421274,0.2177080718893622,0.0003770213257603537,0.0984261308899608,0.11112921278450791,-0.012987807151297548,0.017805797380031928,0.13148270887085253,0.10137442884708892,-0.053184610633701994,0.1420775445541772,0.015749749565422324,0.14079605164533587,0.1792216693819358,0.09020500516449381
MIA,-0.013533304711237717,-0.02522171685677739,-0.001065801371813184,-0.024060166869289287,0.014730133783578719,0.016804881787189085,-0.00783517690772577,,0.17092218265663306,-0.03402377492079822,0.12540935129255631,-0.004527337465408272,0.015795341141956323,0.1568121534336806,0.12273787363884511,0.017398885634342998,0.16099132706383293,,-0.031726002575970906,0.035994504982205744,
COL4A4,0.009374919646397306,0.02035496098705602,-0.012892117572994882,0.03618609105469627,-0.012848903258921265,-0.022012487076816103,0.006784442145374454,,,-0.03300432392454826,,,-0.03345537592664097,0.10539401901961604,0.0010340496649143026,0.006751941723602603,0.025348625689660398,,0.17886263367609262,-0.01287992026725135,
TAC1,0.13381933819277758,-0.010752790739576683,-0.03406159389077031,-0.09544615113218766,-0.025976355420667865,-0.04358529343609318,-0.04754223909397118,-0.20405783294343627,,0.039730273451048466,,,,,,,-0.11263456094783994,-0.006529051595600768,0.1306761792851577,-0.022615241818300793,-0.0765063064927256
RARRES2,0.012642335221555327,0.021555553863759368,0.039836213549097645,0.007827968374289646,0.0075259811949852035,0.02865724524728676,0.052749085319461035,0.1049692561819218,0.11773369590694302,-0.10004247668965355,-0.04910920313620493,0.1169690907937162,0.07639813763603152,-0.019250712764236313,0.02970463655895218,-0.030934756828944275,0.10455417734039449,0.05731797735205761,0.1278264322681929,-0.17082793217133913,0.16051574464786436
FGF7,0.06309208800619993,,0.0029194324269719595,-0.0037106204605707733,0.008968784093705358,-0.02659665943103455,0.0026850779292755195,0.013932818491925986,0.0007718279496665597,-0.03640239953523629,0.014506171480442916,-0.04167976135905292,0.03263864010485576,-0.005912666121752486,0.0647994712443582,0.08127466701435775,0.014634724318001157,0.012576711349512298,0.01108003864704828,0.04097131963040118,-0.027486697671486884
EFNA2,,,,,,,,,,,,,,,0.024957262392008656,,,,,,
HBEGF,-0.022626737941852895,-0.0012865636456529193,0.000709590918727967,-0.0113062869201137,0.0024275236080505865,0.08918354026346971,-0.024074056054936836,0.19637337260441418,0.10324572575983411,0.02730835587163093,0.11765180601950838,-0.020293524960511834,0.0639913039256346,0.034145237940192766,0.061712628660920206,0.013132916929690763,0.05154630423818537,0.04980912680679716,0.010068947712850709,0.12646022713080704,0.07789267813996997
CSF3,-0.017965552544306727,,0.044411363513716925,,0.09768749994783597,,,,0.11998544519195359,,,,,-0.058144136523789684,-0.02481320604218004,,0.07689818757425314,-0.0012702000810383858,-0.02229866548426226,-0.014764545889398665,
PI3,0.006913373449103089,0.018792314496545823,0.018873321054388013,,-0.015306902191714569,,,,,,,0.08714562986775747,,-0.06434923330495831,-0.10338981028580493,-0.04803074049530733,0.1636557723310037,,-0.11838420873911484,-0.08006844969857248,
PCSK1N,0.08347351385033587,0.005982947510511865,-0.0049170323774438765,-0.08695013981954833,0.006455894353968331,0.042384843010086715,-0.018249994782348313,-0.23929260118693518,-0.02769856788187816,-0.01946638964891511,0.004156393512242538,-0.039244050350880334,0.06613790031853002,0.010171278136083876,0.15601106185423672,0.05961802000645913,-0.05497821511004717,-0.015315996421930081,-0.012947330255927168,0.03053244355029251,-0.032473518654421565
