,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
IGFL3,,,,,,,-0.04400359907903841,,,,,,
BMP1,-0.002025188291077701,0.02791106859359631,0.013711381926305262,-0.02818746724072834,-0.10820003663433639,-0.04325247867282558,-0.27039291261285303,-0.06054765916776378,-0.05070297345462506,-0.03450882499467177,-0.21558998765427242,-0.005268466319176643,-0.09309418026983947
NDP,-0.08488995108691577,0.0172161950609933,-0.0006850074108341747,-0.014956173748189534,0.17805961772053572,0.02240613952267337,-0.1114669710121666,0.0027013206218721385,-0.029772118607386718,-0.03964050174231889,-0.05938061156561872,-0.011610209482306028,0.06611649156906779
TNFSF18,-0.044470649168026496,0.012369856140456919,-0.02773420863509078,,,-0.013981256932063008,-0.06534402360812762,0.0011056933382503945,,,,-0.026370446169961672,
IL36G,,,,,,,,,,,-0.010349508832213111,,
RTN4,0.34035596791888684,0.05661285167585266,0.010724782348013764,0.014639013569500026,0.19735450124543322,0.2607405255486124,0.3682862548014133,0.1797460584461584,0.16514074980834062,0.11493623460145629,0.3210012758722091,0.208404159312471,0.11680884334162919
HEBP1,-0.08518728172744507,0.027760325673605802,0.0057461888711036625,-0.041417318683300196,-0.0762053512943946,-0.12220133326445747,-0.10903486918707063,-0.025048075319390167,-0.07598543132125146,-0.07614987748024138,-0.012812642834516816,-0.01183229320119721,-0.01315173116351992
WNT7B,0.4045022847385879,0.031526659373753964,-0.017227630678138352,0.14750159026233886,0.03544933902835659,0.08731214414242588,0.3295680747394214,0.03620201056425792,0.1210834315702693,,0.15022156017409277,0.003670424739667705,0.06088709446042918
PTMA,-0.04434390226390541,0.06039935451214301,-0.008865247776120688,-0.008303763792941248,-0.12446322281216202,-0.27531542716652146,0.07008847078018199,0.07976988007881924,-0.12904976370701135,-0.19173701079124686,-0.32523250965719525,-0.11345481119945576,-0.16376188881221154
CEACAM1,,-0.044077313301007795,-0.013221170373258338,0.025639369115350974,-0.031134439040158664,,-0.06792444939002674,-0.039807611187948566,,,,,
PDAP1,-0.08596039663168142,-0.012940570720221417,0.06415705967887038,-0.033687619519226795,-0.08039870734017225,-0.09903791073844452,-0.26951079726076904,-0.004751421980883255,-0.032526236204115634,-0.04552233393000331,-0.16796948456605088,-0.005829203843349695,0.028769212083418507
QDPR,0.22024633979190275,0.019024072105892978,0.004786735218096051,0.011740300020838255,0.19752637177150897,0.11152944114450167,0.08073216120856738,0.047543949186491054,0.03773533609036221,-0.17734403892422698,0.020465345558234403,0.1366410147118083,-0.015922463484278913
