,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,-0.01660307221009506,-0.01522498339727255,
BMP1,-0.05493782234436174,-0.030964149386756862,0.012640477471032318,-0.023174040778033467,0.09499321903432917,0.0005398983087208512
NDP,-0.022168826928263136,0.07903481945902892,0.07826556429536116,-4.5110940440092934e-05,0.007627181949231347,0.02649305160266598
TNFSF18,,,,0.04152496140827132,0.037570085315430116,-0.023953089779311654
RTN4,0.0926953379115376,-0.012812301688718308,-0.03293202409816873,0.028348579218430085,-0.00613534685694168,-1.5301725477226905e-05
HEBP1,0.051429767016347556,0.001883213551712884,0.04540951249503824,0.025156313490374164,0.034387691586633566,0.043045342206522216
WNT7B,-0.02658654107558422,0.04651476318720129,-0.03487035871295932,0.09381727143741876,0.15698274320511785,-0.0028071558569039952
PTMA,-0.04071117417432055,0.03740824620385467,0.005275869490512048,0.03762710271180706,0.04090263797659517,-0.08800204054214662
FASLG,,,,,-0.013204622906376343,
CEACAM1,,-0.023621185595870845,-0.01689306536339459,-0.02460318067026859,-0.018372293368132484,
PDAP1,-0.05838353151841857,-0.0032129819557834586,-0.04871304827208916,0.023470932042529532,0.025584527170561325,0.030984951456889426
QDPR,-0.024777114323347053,-0.007063163581004142,0.01005682202936595,0.014577461091619592,-0.05100068328286557,-0.020063712625789307
POMC,-0.021208895493027194,-0.03981690442674252,0.002949830180615448,-0.04351382614244226,0.040340056609970885,0.11243056365430448
CCL18,-0.06614315036688827,-0.043226479888946547,-0.021587812906186915,,,
CCL17,,-0.01675808788275024,0.01053654578502296,-0.021890191632227007,-0.011968507526417302,
VEGFD,-0.014329587131879372,,-0.01689306536339459,0.020881387002228698,,
TNFSF13,,-0.01845091062824017,0.06817571934433077,-0.02347439961789538,0.045223881434715826,-0.026057545018681596
WNT5A,0.0523290827532197,-0.014894328656305262,-0.017373848978106787,0.029787716190365052,0.02514857076235592,0.010180498514643132
CXCL8,0.0076365133436005865,-0.03252283819688959,2.6881936663883773e-05,0.00306005844186225,-0.041430227961976554,0.06951231056249949
GRN,0.0022086874824428435,0.010701860390587507,-0.07084277064788906,0.03708543743715226,0.0391150229899504,0.01548326437131571
MIA,0.02080359622564084,-0.030735336725338697,0.09491974512129701,0.058400046114571814,-0.008026051142939314,-0.009580829943854712
COL4A4,,-0.0229505342463774,0.032643110005023845,-0.03372007071523806,0.014739750092581523,-0.029123252135749088
TAC1,,,,,0.036712026292857136,0.004134184127399636
RARRES2,0.014136541532455736,-0.023901925575387003,-0.013782635799586749,-0.07195984775375631,-0.011853571390450597,0.06438418037843119
FGF7,-0.004541985631572596,-0.03548523362657191,-0.03982774965343841,-0.013991978659150896,0.0010917319405136865,0.03194472277163016
EFNA2,,,-0.01605572809198948,,,
HBEGF,-0.026255027254480565,-0.042353221742942294,0.025583285529086494,-0.007682397268262355,0.013824897251322826,0.006998741863488594
CSF3,0.10621723452132163,0.0028938190262684047,0.015655037403857208,,-0.012600992065107805,0.001798308028000728
PI3,,0.028850433080687715,-0.02417928881593532,-0.018599288001174025,-0.027377769488263017,0.06613351823145999
PCSK1N,0.006387115000430443,-0.0833892963864045,-0.05517675798650184,0.030992100649210503,-0.036533621819096355,0.05019908608779093
NTS,,-0.039094874577798075,-0.019560857890154396,,-0.018660350961805128,
SFRP1,0.0056620347350414,0.03667591961874801,0.028317463633743333,0.059160434564710734,0.07258918156984016,-0.03821879207672762
CXCL13,-0.04052067744123822,-0.03764210127408534,0.005786110044156173,,,0.07662719177271862
MICA,-0.017790233436783938,-0.060276808651367544,0.04042097966893915,-0.00623857664363584,0.07100797467459534,-0.0516926424885989
TG,0.07867061786253587,-0.02226730903408148,0.010552727509076194,,-0.024574338070170735,0.08166613391756106
ADA,-0.06017439833667659,-0.01316826500708705,0.03863055570476928,0.09615233384633583,0.09391264700757894,0.0314547019536136
LAMC3,-0.027244931989405665,-0.04854965289085279,-0.02257933799943567,-0.03551341739718729,0.05104248747093318,-0.040718463386635206
CCL7,,0.18632284472385205,,,-0.01320461821097005,0.07776357255820321
NGF,-0.02399311136198049,-0.02900755946074745,-0.015839912094509294,,0.15603638702068953,0.05374472006637378
TNFSF15,-0.013709271891247338,-0.024485777870962996,,,0.002095224260429451,-0.019480563252153277
HMGB1,-0.03428201312934806,0.03792601302655423,-0.02487673314832696,0.006402560417794736,-0.052176515080723455,-0.04327005906905069
ITGB3BP,-0.003923538915292264,0.054098333106103395,-0.002139390613973909,0.015355912560304297,0.007687426606469231,-0.01921499708149571
AANAT,,-0.022034267133711885,0.10897595109887441,0.05171624749132342,-0.013971036728547959,-0.01870528360803588
RELN,,,,0.011529914323908218,,0.02836468235706961
IL15,-0.032235775356383854,0.04973548130838679,0.017409306593358122,-0.0009033424770837334,-0.029496823352352902,-0.003314485699801777
UTS2,,0.02683265383172801,,,,
BSG,-0.058175271945976215,-0.05815059939840477,0.05968494807379567,-0.007631615866667663,0.020672136221035753,-0.010876816947648795
ADAMTS3,-0.026896969305456646,0.0650706606136065,0.0057313877905769625,-0.01499895528971295,0.0019168274207022624,0.004984051279467388
CD34,-0.0076119933009409745,0.014416326242600811,-0.03150680631775205,-0.027028894759770977,0.06269236094437718,-0.02348066697711211
PLAT,-0.01017790952575463,-0.06692574797924296,0.029095836928812846,0.04935781157484722,0.07031095340479976,-0.005898840182459791
NTF3,0.041719005332609846,-0.02506271241085273,0.03456763896321318,,,
LTA,,,,,-0.01880290995085873,
CKLF,0.022050029076133012,0.07213520152490045,0.027216915274710547,0.019963282408381727,0.020861743355802386,-0.0018062043065042892
APELA,-0.025272307992733056,,,,,
CD24,-0.06807491499530643,0.021197865989445782,0.023772316289180046,0.027434112539842598,0.003650866313211028,0.10176163885699928
HSP90AA1,-0.041445439139855246,-0.042753370636073165,-0.03664407684702312,0.019224660938840548,-0.06586643651461387,0.054155057283480086
BMP4,-0.033335942463364666,0.016562510032611964,-0.05317606782984249,-0.001267375428574981,0.02610976612812343,0.10255912905741353
