,MGH258,UKF248,UKF260,UKF266,UKF269,UKF296,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
IGFL3,,,,,-0.017700308096192465,,,,,,
BMP1,0.014197030090217508,0.0940346870048504,0.008233611949162735,-0.012005321574160633,0.03278057790267812,0.040523439391001885,0.017336362202673566,0.08054058902060256,0.01218430195427905,-0.036454210029841776,-0.009838174079391603
NDP,0.006560697247138891,0.009887733330485452,-0.03782097315568834,0.00899615177276737,-0.012063113546442399,0.01669038894211356,-0.053285909665407,0.1226139309655334,0.03182239209570868,0.05285591177309588,-0.06445883550493466
TNFSF18,-0.021153798040775343,-0.028831492172078817,,-0.013800792216548912,0.0041289962454949414,,,-0.029776068703023385,,,0.054751960429588575
IL36G,,,,,,,0.020590060143350315,,,,
RTN4,-0.051472190369180354,0.06850757755297729,0.054631300227666,0.025029595018783143,-0.07319838036617146,0.014169521243050761,-0.011248074690216905,-0.02606338411767962,-0.030889023236612672,-0.02397537951742083,-0.0370756559632862
HEBP1,0.01556098081969624,0.0791737820423606,0.009968113098516319,0.04199737593316864,0.028414709771790402,0.04134584085523131,0.022796316415183246,-0.010359060653064082,-0.013105521045664023,0.002371567870928222,-0.010929530256897576
WNT7B,0.006551778840889514,0.0016244377665237764,-0.013080124320255425,0.0028560329227518342,-0.05171374879104371,0.056068944467487246,0.051144316048155586,,-0.008110313448085668,-0.0465819201498143,0.059253250696959005
PTMA,0.029304945586903237,-0.007469843041884529,0.0413395181341388,0.05499305961137112,-0.08844816954951709,-0.007099525831436152,0.05935765501579752,-0.1546867249747371,-0.001247425215192411,-0.028458743831603173,0.054824556424438335
FASLG,-0.01863583878684654,,,,,,,,,,
CEACAM1,-0.025876025250568337,0.12940759592664677,-0.01752851007327118,,0.021302133615269118,,,-0.04330690705712919,-0.025936011097185307,0.01449144207830256,
PDAP1,0.0503082373618863,0.037687018797076775,0.011816385936966343,-0.00394565423814869,0.055621240598694784,0.0015604464717588063,-0.020014935612939596,0.0032587363407903833,-0.028597546597038614,-0.007354522811695552,-0.030046269395480982
QDPR,-0.08876610022838012,-0.009143337197129653,-0.06654181333518663,-0.045703386416331176,-0.04953056690242647,0.018161839429290245,-0.008643213921470763,-0.06379563731843094,0.04345193734204001,0.1131945971615825,-0.02431572376070677
POMC,0.028093606271585376,-0.0009161579911523207,-0.003779727614728596,0.003875338624480892,0.04243914911187626,-0.02224639807182099,0.007772630168186369,0.018396837118423718,0.04655687492111994,0.022086213601210446,0.020932537225153047
CCL18,,-0.022899633541391528,,,,,,,0.016676712111972483,0.047474758331125536,
CCL17,,,,,,0.010451768096381762,-0.015946953244816472,,-0.018400344535229204,-0.020094962809562904,
VEGFD,,-0.022899640813097734,0.06881912343019946,,-0.016639030145975786,-0.014298044140645491,-0.017090843722822966,-0.05887479112406273,,-0.022566771633203492,
TNFSF13,,0.060075090485870286,,0.09477563137109725,,,,,0.012481790064883853,0.0347272710199424,-0.026826096336193643
WNT5A,0.02233411670982583,-0.000986101490204674,0.03970232456546009,0.041126997462761127,0.011026382085083867,-0.0026960926957471385,0.05638448706042439,-0.03555056082773536,-0.029619065573938824,0.0172389315216718,0.017806418778263458
CXCL8,,-0.00951977072765698,0.044506159318195244,-0.01903771466403371,-0.008690867870185236,-0.013314960403396891,0.10736844501182073,-0.04520350845238449,-0.042878813835431545,-0.08296966472609393,0.0037164206005630366
GRN,-0.03667571685134619,0.09773018697324179,0.00312864824950627,-0.05136541343739188,0.03719797138888187,0.020859172147540555,-0.018698308953390974,0.046642205455615544,0.017880952873416355,-0.02802152876519328,0.056816268424610024
MIA,0.05297483731433352,0.08628483333893235,0.052356266167728496,-0.009201698085507947,0.012967234291933704,0.05317731806378328,0.07686519124008508,-0.04381960060732388,0.06440022526110797,0.077998723915183,0.025241253319182325
COL4A4,-0.021582572080028964,-0.027502273829047092,0.04542036920755836,-0.012734179498633908,-0.017442339820470963,-0.027317210441925366,-0.022705361266007557,-0.04610012094390257,0.04238146335030695,-0.0009397053223357665,0.005193051624612969
TAC1,-0.018635828647853448,-0.057750578213772684,-0.011807221267240584,-0.004141643537032363,-0.04076388827924331,0.010739083370556629,-0.04023865199256082,,,,-0.057316115580797806
RARRES2,0.06783021050060552,-0.02556357644190821,0.010914086646938765,0.03574770532013295,0.020284290211660665,0.01950420144136789,0.03427663166767263,-0.11086843087139643,-0.05295313971088581,-0.04327169952753623,-0.019603945788068396
FGF7,-0.009569116792004617,,-0.03211022043347726,-0.026487497641841672,0.0020657156213431936,0.03323733991336253,-0.030364313076679996,0.02013520276931218,-0.03614984605119198,0.006626643258316175,0.02298474805600031
EFNA2,,,,,,,,,,-0.02144820619956027,
HBEGF,-0.01186264153238685,0.02856905750527381,0.054691755873808,0.060007878760949256,0.018793490569714542,-0.036718748286928615,0.04201911705639453,0.03543352838138442,0.013085570494585615,0.11764545862423252,-0.018594868465194755
CSF3,,,0.03427490443572542,,-0.01845365980670592,,,,0.008808985037591924,-0.03977236230620117,-0.03153786984215886
PI3,,-0.02409137997426458,-0.019776867798289306,,-0.020779064504297028,,,,-0.06291415732535971,-0.058353797085078735,-0.05338975916798494
PCSK1N,0.02109231995527006,0.01693452885929617,-0.02836604129640213,-0.02093668812943628,0.01666815171974761,-0.01892144595830369,-0.08712023027453927,0.04876281005070751,-0.05591179709993446,0.015340197189402818,-0.01163159420329113
NTS,,,0.0442932635690774,-0.01554553985811286,-0.022681767718365206,0.023501329990804794,,,-0.04292608839541429,0.03681894951297031,
SFRP1,0.00980440693546245,0.03026685468300997,-0.019131992108075868,0.04168970781246728,0.04310949551179401,-0.019492581530409215,0.025727223812096394,-0.02069999804746737,-0.01999669797474943,0.021185895939930467,-0.010800953298591457
CXCL13,,,-0.018960048505803413,,,,,,-0.04133094642534423,-0.017716245621634184,-0.025581496512253624
MICA,-0.01638376028721976,0.027045234796270967,0.07805112710696635,0.04396410559309669,0.007855410358663205,0.07220011762867165,0.024716570943012647,0.07882539680810252,0.07151522328707612,0.023748798101928228,-0.04821430513690496
TG,0.06545508687641836,0.01487710958800213,-0.010709826689417336,-0.01794365100693395,0.0970058742640995,0.08451360320068096,0.03253009045352261,-0.024583098021347317,-0.02444945753753137,0.019331120633658102,0.008685373429583646
ADA,-0.00798193220043648,0.03477835148635963,-0.0041590029669802235,0.017332636584594364,0.0007747849075459579,0.02588886671760275,0.04576422901199609,0.002096994639265208,0.005275076448405683,0.07807281142941183,0.03659490561279333
LAMC3,-0.005655945401181069,0.02872912000753659,-0.03780648833535351,0.012743412122622966,0.06025025348078399,-0.03351813790571691,-0.018316787183255027,0.02207165230735684,0.04997799292086406,0.036210348300305145,0.09207739003860387
CCL7,,-0.01456610144219104,-0.02513752377978859,,,,,,0.03511369009075239,,-0.04389290820119194
NGF,,0.017639422508059322,-0.02683169028810227,0.00398771570771141,,,,0.049555330153303774,0.07915641098318942,-0.0016937061904685948,-0.03574208626342487
TNFSF15,,,-0.018611737304314438,-0.0034198588039796585,,,,0.019613055334915398,0.10479654522977153,,-0.034904407515316586
HMGB1,0.008649876747204799,0.009704510802459194,0.00943042438648072,0.08508691913167285,0.009132533312759265,-0.007583455303598535,-0.030897244808603837,-0.021840283996955107,0.01874475969746296,-0.039353635717248855,0.004592969924789751
ITGB3BP,-0.0003358677951050184,0.06925893550817559,0.018638668081862278,0.07437536474087092,0.07681399107818448,0.02303660426076777,0.03803952356797922,0.006262688553209942,0.023869930440367754,-0.02594780756991617,0.08068058287897328
AANAT,,-0.02113319711500649,-0.0167702884001964,,-0.016645700537124563,-0.01626101497440489,0.07471074062788903,,0.05157798624228638,-0.0004342603497888514,0.006145082018977035
RELN,-0.017892520422633156,-0.03746007255505473,-0.032095009488302455,0.015571570615450248,0.02012371849753581,-0.0045230086392110845,0.03239770088530475,-0.021806243728497623,,,-0.02839302438651637
IL15,-0.009536940880395056,-0.006789980684594574,0.05159430164830754,-0.014794134794332945,-0.03447390041079757,0.03001834011924603,-0.019839453593426037,0.10392857156381784,0.015801329777579386,-0.0033591395253261937,0.08005349393016595
UTS2,,,,,-0.03305584038976197,,,,0.06260111168290304,,
BSG,0.09165936375670136,-0.020258292876130336,0.00807913312263936,0.050561436030909096,-0.00339658800573191,0.015244741547038702,0.09229500714843643,0.01326350225906888,0.032253428636813034,0.000331784195784601,0.020870524279100577
