,MGH258,UKF248,UKF269,UKF313,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,-0.015533294143233341,,,,-0.020753584625709802
BMP1,-0.008308475349969835,0.1342957041399216,0.08725822477999125,0.26135668907875936,0.14061616320417775,0.10000087448831337,0.059529897705922485
NDP,0.02451563422330802,0.0053758109812649495,0.0704487577311293,0.11151535590990068,-0.003665919053918449,0.014681649107353754,-0.02445348972049005
TNFSF18,-0.01927998481725503,0.11225286225787803,0.01092606951074411,,0.14485577089744092,,-0.011108617338095844
RTN4,-0.06278230213505288,-0.042518392299728536,-0.03867289957754312,-0.12333111693092422,0.04963190251594828,-0.031357401447361974,-0.06484307402953547
HEBP1,-0.023515270208308525,0.013192018887891501,0.04060004670151424,0.03094626090486444,-0.03784851913089033,-0.03771596020340145,0.05465696153110111
WNT7B,0.09606903785389541,-0.014239995357819033,-0.017274509450171036,0.06385119627516696,,0.12284609126618856,0.015543858672806015
PTMA,0.008826263353560067,0.06580845168134904,-0.07802291305312777,0.3665032662263946,0.0014593888639871724,0.004596564768861936,0.048446725607108256
FASLG,-0.016985067559718677,,,,,,-0.017999576865690408
CEACAM1,-0.023583914954667863,-0.01733250418104153,0.024135991571071064,,0.009707578044294892,-0.002234552698821814,-0.007852868000994944
PDAP1,-0.01465662115301915,0.0100922017070091,0.03646383112077294,0.2229767438598924,0.0909411379571723,-0.09130429058656035,-0.004132475824061408
QDPR,0.0011219646939015803,-0.056519285935419904,-0.03960085120446978,0.11469819651619192,0.08010572797484675,-0.04787961566846223,-0.06008373905238995
POMC,-0.007448077915145942,0.03295155527091193,-0.028843540805268224,0.0847058786271474,-0.08492877544424109,0.12413977639857764,0.05252398883279548
CCL18,,-0.021629327573143894,,0.19955654305875883,,0.02720133166647345,
CCL17,,,,,,,-0.016314594723134044
VEGFD,,0.040160817870103296,0.06543355694477823,0.0470731216653152,-0.05363122134908815,,
TNFSF13,,-0.016322189850802967,,,,,-0.026583270377454993
WNT5A,0.007338541731448756,0.011728372943236516,0.02789144669581051,0.07806285552670865,0.006518571747745592,0.0113042803615187,0.10927827860731794
CXCL8,,-0.044773696225244804,0.028777599856902477,-0.02782671102920119,0.03858105427007179,-0.04800610041411601,-0.027685902508246096
GRN,-0.07441878528033267,0.08209930511938676,0.039145309522779365,0.04521370741734396,0.15044344514041558,0.1397321120519938,0.11296662599041608
MIA,0.06157928212647409,-0.026366747883420968,-0.026527828965119248,-0.03800159088511366,-0.032378898514175705,0.002685263460774502,0.004009453736349685
COL4A4,0.07848330778390501,-0.02597664668212043,0.009678329142672693,,-0.04199430254202084,0.0312711200777267,0.03584648776520157
TAC1,0.01028790345577505,-0.06051089802998385,-0.04255782442864832,,,,-0.021447193701375978
RARRES2,0.010459921804709317,-0.08071054140561207,0.0858595164614073,-0.18655516207937126,0.029083270961387495,-0.022087799916018072,0.005469520325308483
FGF7,0.004090436854104419,,0.07509096354878005,0.043009152766696944,0.000418936018292693,0.02570577737116821,0.06109971418376606
HBEGF,0.08429247766985165,0.11638794259143122,0.03493574168103901,0.2378854628505259,0.044542814553209756,0.1637289981357045,0.01585567779006094
CSF3,,,-0.016194414483575365,0.04103207759843426,,,0.030208317044524098
PI3,,-0.008001026111978633,-0.01823512445164137,,,,-0.03731937441978616
PCSK1N,0.02702622304322679,-0.02268488203173942,-0.050081326027544885,0.034232423975016954,0.034269666401963286,-0.011616275882146965,-0.05844562654550793
NTS,,,-0.019904883448534427,,,,-0.025436426610530465
SFRP1,-0.024713688892869907,-0.038394160159739565,0.09510891225124095,0.12715005139612207,-0.005956927333728865,0.0027140934576022407,0.008223125162064875
CXCL13,,,,0.09398801988297774,,,
MICA,-0.030384254452205113,0.09142278848930854,0.034588706430582636,0.11403405066012014,-0.03325101017938251,0.08339137406604905,0.08061428201677844
TG,-0.01967077342072677,0.00511338206110983,-0.01954520940019932,0.07697473342338192,-0.08565515913539812,0.04340091814091952,0.003729091884366426
ADA,-0.056664358252060766,0.17013741259461107,0.07966184082187734,0.27618848149692204,0.055435200265585106,0.09012119873071149,0.040845620509230775
LAMC3,0.07034536581921708,0.15671906757601053,0.06256467537313701,0.14441625301793368,0.10668648730616986,0.15423096403438077,0.08327403376772291
CCL7,,-0.013758079533776196,,,,,-0.01799957046525572
NGF,,-0.023621939345835744,,0.27488021880029856,0.0967758882979902,-0.040519009738290625,0.17584108224332864
TNFSF15,,,,0.028061751876297683,0.008838652011151396,-0.04092077401461771,-0.018185836664814582
HMGB1,0.013438037627876378,0.018074469319058765,0.0382825583008212,0.2637777481414589,-0.05793923378145881,0.08526122894358615,-0.05127776906961115
ITGB3BP,0.007780947461266684,-0.022373752959309733,0.015154085797595553,0.12050133647780588,0.09585212000131678,0.042725978382446184,-0.029787634421522418
AANAT,,0.013678655581695051,-0.014607800116143333,,,-0.02839869055728206,-0.019044296173535553
RELN,-0.01630759268032365,0.016156683693054542,-0.014210752287068192,,0.07953431010752413,,
IL15,-0.04545315808526437,0.014108592209421122,-0.03810309532020351,0.021525235885962404,-0.03161232552666125,-0.033563096858320006,0.0540244002704057
UTS2,,,0.015530541334432957,,,,
BSG,0.005737869894972941,0.004605789027408858,0.020637047464091948,-0.0864745203861398,0.05686260138629661,0.09187490321211042,0.007695368555162407
ADAMTS3,0.023451530322146596,0.07945052882442641,0.0394626650270336,0.1241094255986628,,0.1862824420058384,-0.013483796169274562
CD34,0.07086750581252721,0.15573819493996316,-0.006429289479895831,0.3348534814587138,0.07178888130282643,0.10186633341526292,0.09076153930031625
CCL23,,,-0.016621357696526458,,,,
PLAT,0.10041757407194632,0.12916340808697832,0.04757243261326885,0.08132959905390601,-0.036726620487928394,0.08490774996484579,-0.01658343538559253
NTF3,,,,0.020148888529302144,,,
LTA,,,,,,,-0.0256307526052642
CKLF,-0.01629357421658537,0.11007868482546744,0.032197151371973654,0.17853230481351404,-0.0467123776914459,0.0907397790134114,-0.021716210418542766
APELA,,,,-0.010462969444919023,,,
CD24,0.02087988398206309,-0.0004938354132410582,0.005880592437367284,0.24774075786274172,0.10273341177974511,-0.09004568276288162,-0.04919634208422246
HSP90AA1,-0.018139497223846234,-0.04249893376348826,-0.0654211959818466,-0.04454366664675377,-0.026074126179587764,-0.08713958734113517,-0.05004103473512685
BMP4,-0.020244081562036526,0.07517445176004423,-0.005609856649847458,-0.03792262950427472,0.10204857937638982,-0.013232922653254604,0.02554760824288196
SCGB3A1,,-0.013758078157986625,,0.11317956065096732,0.06483219013799675,,0.007618189448112443
IGFBP4,0.0850057314427449,0.137300768163902,0.06653137352882224,0.28885109255910096,0.041453282424241074,0.13127896153433216,0.13276780794290405
RSPO4,,,,,-0.016123551811639717,,0.04239729672439406
LEFTY2,-0.019476283008395216,0.09242794855958203,0.05709429576991931,-0.06489522547413568,,0.0865396500061215,0.022467861351714403
PF4,,-0.014271797594324735,,,,,-0.025630746674117934
ANGPTL2,0.08025576728139107,0.08322147586141697,0.009987232798383486,-0.10276498071236752,0.031280180152373556,0.07083214968211024,0.02810260123394796
LRIG2,0.026939343480570605,-0.006984037442589695,0.04454864803023808,0.0660151256918546,-0.003907072810502199,0.027923882979869145,0.019551915130218478
ICOSLG,-0.011594719203991272,0.0532762231798628,0.05860980504498817,0.10980348344428485,0.12332249476207954,0.11749644976455045,0.06122453743532959
WIF1,,-0.025679783268265022,-0.014255157686854309,,,,
NPPC,0.007655327180665227,0.018063428863404712,-0.02977416328710994,,0.02055852735729473,-0.034004475528047855,
LYZ,-0.0007573443789878281,0.08309975457281436,0.05485907839155135,0.0868406740138299,0.04143819490449562,0.07571025372774862,0.09466404939471836
EREG,,,,0.050562753840786276,,,0.05918486312634353
SPTAN1,0.026091908447040246,0.05617530477428194,-0.0512935453317232,0.12866047114090293,0.05722930823462086,-0.0009088736793514088,0.013544483273068666
LIPC,0.011804153483857311,0.021944692638464547,-0.0382064965803034,0.05728021378039812,0.057957590298208676,-0.059216601806281924,-0.006519549856136565
COL8A1,0.13204919374937327,0.023777211561371418,0.03616110140304503,-0.2578822496135939,0.03131103718905467,-0.04497864091692079,0.04171970508103668
GSTM2,-0.05624018648896935,0.06755060701791255,0.04274717294199743,-0.009505273999574985,-0.03248267775234759,0.036979113185475664,0.08127529811818837
SPX,-0.05042617230239634,0.008363916227681404,-0.002850349935527738,,,-0.01864873564410765,-0.04032849650359989
MFGE8,-0.06827573544668465,0.11703682301300787,0.021960782704954166,-0.017939070599664247,0.03263421535928143,0.20105000176170515,0.06460688963081129
TGFA,-0.014726230217557755,0.0025140165750427664,0.02804606584251804,0.0770858444826788,-0.02150695925587628,-0.04008923740835979,0.05094242200771965
SLIT2,-0.02024407832267989,0.054884528402467346,0.0074526396576113695,-0.005329245932640917,0.021386111276996595,-0.02018987580116428,0.05243314762571036
PLTP,0.004577668250417499,-0.02620531757209009,0.046274416738120557,0.1038018121292282,0.028960736130654932,-0.053830455248058705,0.07536548387137097
APOD,-0.05836983713205362,-0.016264440342839293,0.0550909511020379,0.13197277336698074,-0.057923151653593935,-0.03200401528839772,0.07489485799963772
B2M,0.02480376310921325,0.07520701167372484,0.06245072568511066,0.2820854493101304,0.06353453678989654,0.16407079280075357,0.0702582274286601
OMG,-0.054393413801424116,0.007613962998039122,-0.0273949050871214,-0.039285598224995714,0.031233761458331472,-0.04703969154654698,-0.013346355713031386
CXCL3,-0.01584093622431927,-0.035243774481903356,-0.01917934326192625,0.13275840759762134,,,0.025414239430460853
CXCL10,-0.002389910493329228,0.010854928399747003,0.012789557849864394,-0.023909031282813558,-0.06736388568213282,0.14593741351952896,0.027762905397501477
RSPO3,,0.018412328550573145,-0.007945758094190776,,,,-0.018266044377970168
CORT,-0.019670777536977515,-0.04079762100932274,-0.022584382176681246,,,,
NCAN,0.005453753152623605,0.04911989843368536,0.0036794959919611695,,-0.11601727284202255,-0.04808104562934337,-0.08000828018657494
PRG4,,-0.020690508553055598,-0.02077907041804198,,,,0.05718927437843936
ZG16B,,-0.019078301952058035,-0.0224343456972136,0.09877825037576884,,0.326919474478084,-0.022775791549802995
TGM2,0.08140669809543598,0.06511305414911513,0.022194658166272845,0.1589314629978812,-0.007875745906982002,0.14818137816304808,0.0850368749001217
VEGFC,-0.019670778803516725,0.026219912944297534,0.001215374806904527,-0.06628605955525005,0.051875007544687525,0.2324669390441075,0.05542090217151657
WNT6,,-0.022198357177930762,-0.001546657035712721,-0.04491346679667839,,-0.004939522872233009,-0.011596808173704844
NRG4,,-0.012671674262871656,0.0651785170165242,,-0.04199425621859141,,-0.018266046425157948
PMCH,,-0.014604786525855886,,,,,-0.028718983049692226
COL9A1,0.021705635715787108,0.12172167710301546,0.029778657933159446,,-0.01055188632615053,0.11347781853562137,-0.03261546910340334
GDF11,-0.03918661897503334,0.031223793656870547,0.010574766379740249,0.09498078032721242,0.021948930088476953,-0.01685538163617635,-0.030266763916141297
RAET1E,,,,,,,0.20849987170697212
IL24,,,,-0.005924625393336085,,,
SORBS1,0.008307588381884156,0.04102455419770399,-0.03884735214165202,-0.006495137547013134,-0.05630562972096529,0.029736322982511238,-0.06752395185874575
DLL1,-0.01911571137253063,0.079904337888351,0.0405270027624208,0.07451249371633364,-0.07632612358973166,0.032134646002413565,0.030248573997458613
TLN1,-0.04149147717133818,0.09805045325952771,0.06927067775777819,0.146737599329117,0.0985516513710579,-0.033868288338013565,0.10075409389801543
COL2A1,0.03381836311148044,0.08824445389345884,-0.019179349788869322,,,,-0.026583268322476403
SHH,,,0.16248941805370634,,,,-0.057263937767669644
PON2,-0.02234291690712786,0.07010359001117568,0.06705163749463068,0.3191344219870897,-0.014112499674290319,-0.009145738741830351,-0.029387046315946717
ICAM5,,-0.009100974729493437,-0.015116697901087457,-0.051102945958835126,,,-0.015971676437433406
HPX,-0.020986433737578532,0.03905191602197821,0.01405497144295866,0.07278807894160688,0.07307066805026963,-0.05173817670026689,0.09874588068427675
SFRP2,,-0.018291401575496465,-0.015306903909474196,-0.053277916028280116,,0.0258762274853151,0.07284202025949171
CD70,,0.038364552215765665,,0.11729768154601997,0.06604125277626118,,0.03236528889650868
HP,0.07486358993842664,-0.025168842814599843,0.02809103917876426,,0.014378189032451593,0.011446066243713714,0.0183140771053661
CXCL2,0.01308765136799388,-0.0040221877682440855,0.030571840253940955,0.1376285653911985,-0.04137108711605521,,0.0035399545603962547
NPPB,,-0.01774925239405106,,,,,-0.018528869804706312
CCK,0.10247404295900688,0.006613592954912096,-0.05325535053103327,,,-0.039292563289844366,0.11930860237535368
SEMA6A,0.012897999800367932,-0.01660739484873716,0.011305030122089636,0.036436213827906294,-0.18467791500219116,-0.08470165162848649,-0.01648837343144277
IRAK4,0.03219875205997745,0.023419731553106192,0.01611008200085745,0.09522143948487109,0.10432043639992826,0.10546794128457027,0.07288136018011608
GSTP1,0.05659029236662953,-0.004049440705215193,0.042347632193520786,0.024209335633732013,-0.010189359532133698,-0.0315309444402546,0.031958943149658296
VCAM1,0.005055502815473348,-0.016439692026197016,0.031727323791818286,-0.08548617646951683,0.03243090751412756,-0.05127971027998304,0.0606146480514855
NXPH3,-0.06953740807723394,0.017173429094745916,0.05862205193756258,0.10737258099615708,0.009252969890797954,-0.03260129741264515,0.027775942666664628
MTMR4,-0.0056785019562994,-0.0021103830164015793,0.053394865281480415,0.0664322831521547,-0.08345350328805524,0.04737673980179479,0.0512601563618057
LAMC2,,0.010459153030034215,,0.05522456710806446,0.00146348064857749,,-0.022277990373628265
IL10,-0.02043194958479155,-0.029435320846546032,0.004938695923290106,0.08562387797776105,-0.030606865849718598,0.017019917354034696,0.05384197407340762
SEMA4D,-0.04065204641796515,0.06851096496202838,0.010370111215662337,0.06626141874660416,-0.01811471316742077,-0.05348268834911922,0.02377580286587679
