,MGH258,UKF251,UKF304,ZH8811Bbulk,ZH8812bulk
IGFL3,,,,,-0.016113807174937066
BMP1,-0.010827447220720335,-0.007076531751691239,0.09000782834388488,0.005222879938462089,0.03600420506192423
NDP,0.02276844750394572,0.057747424306739084,0.020339969094491858,0.05641021942474884,0.029698358976042404
TNFSF18,-0.019279987219288242,0.02022398455021092,,,-0.016617884914113062
RTN4,0.007264654396867679,0.033960178159225536,0.009261860393571276,-0.05075569761706019,0.003279038298278953
HEBP1,-0.06387300471740305,0.021591997215892823,0.0309435181277118,0.022006759411551245,0.07335331666507094
WNT7B,-0.01698506487420097,0.012595689438636832,,0.017618033638188486,-0.01899689594258166
PTMA,0.02345720239029773,0.009492755132247949,0.033306943417644855,-0.004796731539015564,0.03657899225060445
FASLG,0.09380102581445557,,,,
CEACAM1,-0.02358391789291431,0.006176556047823338,,-0.01605573913667365,0.10358002981991034
PDAP1,-0.08168634136923376,0.024189530906051738,0.06900990831093523,-0.010610980920913534,-0.033405624399664005
QDPR,-0.03810606074973787,-0.035824826238532975,-0.0020011300315698477,-0.000495848350073162,-0.04251205404764903
POMC,-0.05506436184188608,-0.026938124355957507,0.062459248342184234,0.03664971326311556,0.047571341484639235
CCL18,,,-0.03288630679908236,0.10348451103323325,
CCL17,,,,-0.023177467414002142,0.0743114810689408
VEGFD,,0.008174705651312083,0.006542659527229227,-0.01605573913667365,0.02232125859068996
TNFSF13,,,,0.025778661688720932,-0.000916617537532604
WNT5A,0.012996694759148006,0.041174210698269265,0.047858631959437604,-0.0026099486532273823,-0.03703598390259254
CXCL8,,-0.0203323058812503,0.03024691877246074,-0.015974499770523346,-0.03016344489278513
GRN,-0.054505453802626724,-0.0028821938358944937,-0.004496965695129766,-0.015232862712714153,-0.044222759622311085
MIA,-0.02223199120683366,-0.019311486099435414,,0.0853342869498814,-0.035002952480807
COL4A4,0.0038594568951539803,-0.032476167760039365,,-0.025707748815728102,-0.0014598796229922525
TAC1,-0.016985060434957754,-0.01768410242699601,0.006165474757220157,,
RARRES2,0.05076940721188603,0.05221682247491548,-0.0014784121590553164,0.023265919700884,0.020098315428175955
FGF7,0.09215306579724523,0.002093563925336563,-0.04602212855429696,0.06371878448163358,0.012841113070322081
EFNA2,,,,-0.015259905549938921,
HBEGF,0.04253955188878676,-0.015464043383615083,0.049422485346498714,0.044028548299404884,0.0002702299485700375
CSF3,,,,-0.00868334556027665,
PI3,,,,-0.011211003109340834,-0.01805119779337049
PCSK1N,0.055632640629453306,-0.0034718818370742663,-0.02910830504686736,0.003796237982193637,0.009476216058812914
NTS,,,0.15917979401250817,-0.01859129914067613,
SFRP1,-0.02471369197187137,-0.009402423574296076,-0.014220397655163928,-0.04369827629597277,-0.005031961583214109
CXCL13,,-0.018028689164459065,,-0.01797444547841607,
MICA,-0.035577982617724546,0.018017015374114074,-0.056817753952445385,0.04724107700618058,-0.05554439851097189
TG,-0.01967077587144711,-0.020615481464432373,,0.050329319361397916,
ADA,0.02289081497193866,0.0323062207038137,0.030992288991423245,-0.02351987272037486,-0.04064805937799412
LAMC3,0.047386155881037215,-0.018312950172856106,-0.013284109164012516,0.02192627504647719,-0.0119698447016799
NGF,,,-0.017847622820635862,0.09463775571774176,
HMGB1,-0.030043304515058284,0.06020700444074009,0.04806607703814841,-0.028365069331044053,-0.019112230710719214
ITGB3BP,-0.03417070487347289,0.007905555903352532,0.04104882758299792,0.0014014391881118748,-0.03689438763511641
AANAT,,,-0.01677939023340332,0.06084525716375969,0.012465223962561478
RELN,-0.01630759471203579,-0.020942346846340783,-0.0029339866427952692,,-0.0328641810992462
IL15,-0.023463174646268754,0.024688470046030486,-0.001806912385224725,-0.026493152780302908,0.03167827061234716
BSG,-0.007839801158619302,-0.0011646174836610096,0.0408148071285355,0.004254790971185013,0.011531229692160676
ADAMTS3,-0.059165938877506055,-0.01845608958122296,0.014619940450028627,-0.012687272066980941,-0.040718412682216674
CD34,-0.015168044603918627,-0.018108662358230252,0.025840483944087105,0.08829585255843315,-0.01772345599571475
PLAT,0.02167757590908882,0.06292629599864476,-0.026500311352106214,-0.06058770999346814,-0.02771157672162833
NTF3,,,,0.018024681115483006,
LTA,,-0.015160689868392911,,,
CKLF,-0.023368057172564426,0.01197131206022008,0.05467183042467471,0.040782584566570496,0.03190153451433009
CD24,-0.012609696902633786,0.06956141712709224,0.0006061147733097219,0.0036761284409222144,0.09749695442050003
HSP90AA1,-0.05247754344334633,0.05762237793214011,-0.0010259587503113569,-0.08588634858535484,-0.036439959895712574
BMP4,-0.020244084084183545,-0.016071219980222883,-0.006224606978126898,-0.025861358817252406,0.0011875672324267545
SCGB3A1,,,-0.02953642248958167,0.08431387666468855,
IGFBP4,0.03365438020488188,0.027319714842673638,-0.03610916377560174,-0.010798207109729507,-0.00039015799587577716
RSPO4,,-0.02450898668173293,,,
LEFTY2,0.028794351407652928,-0.015346886206562407,-0.017847622820635862,0.14450265414206015,-0.039132572228432194
PF4,,-0.01379070798857109,,-0.013986759928997448,
ANGPTL2,-0.06353992418232819,0.006660001199971913,0.04923930853292952,-0.011496956377178591,0.03923827909362531
LRIG2,-0.027219216187068362,-0.050709187168702055,0.024943874440126856,-0.046309935667892904,-0.060000576582630485
ICOSLG,0.01971857536793106,0.03824100484995282,0.0191598928394289,0.05681685227379379,0.006656849649039651
WIF1,,,-0.04088384159143557,,
NPPC,-0.06292531518250301,,-0.03010737330446935,-0.026463887458126743,-0.024931616232978977
LYZ,-0.005064209852041736,-0.008995029717815881,0.028361123746602067,0.024719856688413065,0.07772813256669939
EREG,,,-0.018359988122364144,0.04804527360441704,
SPTAN1,0.004606005493602192,-0.042309318917864415,-0.01862138967501001,-0.01815583489897986,-0.014366970733444407
LIPC,-0.005883481341089569,-0.020755752561305223,-0.03288240409499674,,-0.030602301280617507
COL8A1,-0.03355589131001168,0.006042720040625051,0.010703557255419868,0.055580728214063194,-0.0242989718196088
GSTM2,-0.020042692447771886,0.016699975034763254,0.0622238624755309,-0.032315717595093316,0.09313343997491687
SPX,-0.030434240875404858,0.027994515182811115,-0.015520345869908986,0.1913605967518322,-0.035260874431453586
MFGE8,0.0114272978501693,0.04293135230509174,-0.01398633928597376,-0.06826953517556718,0.002846160610041736
TGFA,-0.015050608759280899,0.09126824036143649,-0.005008333702866517,0.04125912968636592,-0.02950966498115528
SLIT2,-0.020244080844826505,-0.03595884155332655,-0.025424485092341492,0.07087078330922233,-0.03706719119349572
PLTP,0.028504965200919625,0.006976044830468187,0.03400207578325463,0.011021410277478284,-0.049050606033348675
APOD,-0.01876864198065195,0.041209771402257026,0.011335785943839707,-0.015645047409371834,0.01187143873023681
B2M,0.012615947233336002,0.03648613450177686,0.04160723525942237,0.0511308120139561,-0.02917996567539177
OMG,-0.0687621040113561,-0.006050424758985087,0.0071150891232598015,0.01806812669697396,0.00841813792610225
CXCL3,-0.015840938197892136,-0.005755079772931545,0.017691501354141652,-0.003391309525993932,-0.018506062423120046
CXCL10,0.04792928297999398,0.04681782955324154,0.00936672585776242,0.06644492110349455,-0.024931613522076176
RSPO3,,,-0.03943177158876054,0.00862877442726301,
CORT,0.004420726654280871,-0.02462933117662134,0.07651813028331513,-0.014636433373181788,
NCAN,-0.03334949896723619,0.05468951594349784,-0.013522105639113392,-0.03344127069846974,-0.10663045596446166
PRG4,,,,0.055331014360818706,
ZG16B,,-0.01659487567937588,,,
TGM2,0.09828189693967958,-0.0005976160411029049,-0.017066504299292466,-0.01542309295377344,0.04192042884241442
VEGFC,0.07852715971837096,-0.00603158544134913,-0.02074670663647669,-0.0017749813741030239,-0.024409801281754972
WNT6,,0.02777441757362885,,0.0021637981686370667,
NRG4,,,-0.023113058824415025,,-0.01960071785425875
PMCH,,,,-0.020535699063183043,
COL9A1,0.03189288059780775,-0.03811789200635342,-0.018105467789202554,-0.0021283867864947056,0.015369711274728734
GDF11,-0.06364542665386258,0.00331730335327872,0.01828808210908352,-0.06010961557631115,-0.03972802899274505
IL24,,,,-0.013763748153059797,
SORBS1,0.001990725955547078,0.03591090656289623,0.04486945854859633,0.048862645534925045,-0.052995001854700276
