,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.014337204402317573,,,,,,,,,,,-0.016842708956134357,,-0.03076590943058774,,
BMP1,0.025861766553881484,-0.04646301043836284,0.028028287711175808,-0.039058264916268425,0.010728985785298456,-0.059155214340877116,-0.030249565523584702,0.010172633391553124,0.022516269358781902,-0.02539090500662776,-0.06896168620141362,0.011570105708826571,-0.013872584589919424,0.011309585589013064,-0.07435622743886684,0.020634931794177382,0.06020609063444202,0.00688218036257458,0.01910404511187161,-0.0052793361451927414,-0.0033047898556748862,0.012923466049799243,0.007009959026934923
NDP,0.038391271815349064,0.04502835529640437,-0.011884310256772628,-0.035664425398750504,-0.010906664834744085,-0.0620070062734619,-0.05721972363893731,0.053842113164934625,0.011552159615633783,0.044289259627543924,-0.008175173115734341,0.05643063601365062,-0.005809531527391228,0.039768631940993934,-0.057663471936145974,0.01719268311326794,0.017355143818966228,0.06927672039517374,0.007726006095246633,0.004579711019798625,0.08223200920009331,-0.06814133983281627,-0.02458972564273822
TNFSF18,0.08107362642729646,-0.02100098537068312,-0.037579298343112424,0.05446747173668803,,,-0.01696690584476271,-0.021290318122770772,-0.011674763952453069,,,,,-0.03307881034606298,,0.05612626536558298,,,0.10190893242824496,,-0.0352719252098544,0.0644410202736992,
IL36G,,,,,,,,,,,,,-0.012286832985688622,,,,,,,,,,
RTN4,-0.03920791691340057,0.053663325150885156,-0.028937048309174304,0.03304119109615013,0.024226567667102177,-0.01665041113221372,0.004018257132480128,-0.0036301264282955084,0.01881663266710659,0.04325098026426066,0.16052146529725214,0.028368122237133083,0.016178189425469672,-0.03622599370849343,0.009080436592376381,-0.04670136113695031,-0.05261481251158428,-0.05280716302671844,0.031089528857119988,0.09909781490248995,0.05199769371475414,-0.050144633687517065,-0.013346968036200921
HEBP1,-0.016508783486276834,0.04615666570950185,0.02665628453947352,0.04207746562352965,0.025240478378560763,0.003723469914569772,-0.04916230130405873,0.012602509677465257,-0.02403267777950349,-0.00023994831493088159,-0.018560911484530786,-0.010123330082308968,-0.011048823246224262,0.060378731608448956,-0.03942220796005045,-0.023427173583918777,0.10147972494349718,0.03805677420042802,0.009196926402818379,-0.034008354998730714,0.03151902659644077,0.03491561636870757,0.024443824607624686
WNT7B,-0.01622976003574027,0.11690846594166689,0.00438205326822749,-0.01570923324242016,-0.03783821457458794,0.025270726742651014,0.03469290583922642,0.02369307418332689,-0.03346462409320398,-0.013054821170724956,,-0.036308848602784494,0.0120110806045328,-0.03641654152017371,-0.017740734974067435,,0.0618176156133178,0.036784738432628486,0.03654012550451976,-0.0012252467135504212,0.05217420906112975,-0.03482763046831745,-0.0037608375102848673
PTMA,0.03683419710214451,-0.0398164757384536,-0.015707576203280255,-0.025052051742102215,-0.016956356745671503,0.06515246779245201,0.008933941877574106,-0.04253801881784207,-0.069114828980377,0.009614016555136223,-0.1597499043612147,0.02806575020076714,-0.0021574742536419594,-0.017717980071353435,-0.031246439205543278,-0.04051660127408692,-0.010917967513285328,0.025366474210542608,-0.051504833328243675,0.003019940389846676,-0.009002817438799566,0.06105930204812214,-0.09310361893973292
FASLG,-0.016229764623851856,,,,,,,,,,,,,,,,,,,,-0.011389101652235995,,
CEACAM1,0.22481498989182552,,-0.023918193508525275,-0.012055891666800829,,-0.02622112334907096,,0.07093301575714063,-0.01836162237105636,,,,,,-0.047869761917356965,-0.05002724342392464,-0.03785021874959599,0.10894555332391828,-0.024958285200528674,-0.025750400305311873,-0.037125841063144316,,
PDAP1,0.019480168207569138,0.029552043376249178,0.023420257766495332,-0.033384572474543815,-0.00030036766340984486,-0.09273820725172469,0.009726495864166155,0.0033426146838704935,0.020460687745813895,-0.0156728696533827,0.022094924555443395,0.058513336222628026,0.009731923579404939,-0.019215300137235523,0.043662797999947406,0.07620635295001676,-0.00702410284274593,-0.025219386529557682,0.010501741607115285,0.049990474382777296,-0.012709448524091256,-0.03456869259192783,0.019335979260290435
QDPR,-0.000746627532510821,0.05427441639409335,0.023885530072653836,-0.022253198296819144,-0.009593464859738908,0.00110442443830629,-0.02826956424382369,-0.04845879293738171,-0.04040231638369148,-0.010546331940579443,-0.14277393046292888,0.03977487675371271,0.0064451710539577805,0.01069643933650384,0.0711678880031503,0.0018132873279049899,0.002018746609232645,0.0717366906386991,-0.0268164356631588,-0.017594561201183783,0.0355448732201597,-0.1273887738410718,-0.008531424137467951
