,MGH258,UKF243,UKF259,UKF260,UKF266,UKF269,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,,-0.017553687215943775,,,,,,,-0.02261216939516721,-0.015471715484396452
BMP1,0.07602665165277814,0.03784271257834803,0.00752503323708176,-0.01268561625825989,0.017168378361178252,-0.009154625426089833,0.011239342604132601,0.02603661503215131,-0.03056292723507351,0.03991693096664388,-0.011585755871247279,-0.04250424390170162,-0.06501020555924687,0.06121159610704677
NDP,0.027440280114251744,0.04757259266655911,-0.016741996414453873,0.12702285715531822,-0.03562258056639059,0.02321910127803141,0.052267379781584744,0.05886886636999926,0.0144241874755993,0.12897018429316134,0.004896593786392775,-0.02332452032564668,-0.02738501364109818,0.011821889249694701
TNFSF18,0.0683150457994154,-0.020443928015354672,,,-0.015232540451413593,0.03195724270360804,,,,-0.05071180123631157,,,-0.023319531169007295,0.035831798639819244
IL36G,,,,,,,,0.036928667450562815,,,,,,
RTN4,0.013079946843107062,0.04764095231506519,0.039117113792702635,0.13858008709455943,-0.029743156547162673,-0.04339919116508808,0.03687625083103814,-0.0551457549473992,0.07027922652147525,-0.0019570874109615796,-0.06980351507611716,0.012043840833000323,0.008777052531242628,-6.95802605438973e-05
HEBP1,0.025974313484328212,0.04810421247783476,0.04579987763548355,0.02303155747652531,0.0051816627526208555,-0.03978001409060396,-0.024240050752322887,0.006983943422518522,-0.13812879564497663,0.06387636603914618,0.028155893868395575,-0.012881914546544521,0.009152124905393879,0.02785413642070031
WNT7B,0.006822826656004864,-0.022732402219786986,0.026159853229517485,0.03996752717922735,0.026345493345683917,0.02003569860571402,,0.09905537598325272,-0.038069377838841185,,-0.0055209182186137205,0.03457210896572962,-0.04876302617537843,0.06039150893371521
PTMA,-0.0013186992400748131,-0.03492622124339528,0.04213874450417785,-0.08511108408085354,0.045847285243727914,-0.00374613065864686,0.028127263043783195,0.004955440661963515,0.030618275826461865,-0.0898792431293939,-0.01479212407431537,-0.01998605105418167,-0.01307493803218952,-0.02548981621086281
FASLG,-0.0181784476560429,,,,,,,,,,,,,-0.013418613561365037
CEACAM1,0.13896967976641586,,-0.02810828111115423,-0.016011000398063958,,-0.01192141278815224,,,0.034392244293072353,0.15985649179214556,-0.01848988772733904,-0.019200747692267987,0.07956726473100287,0.025527877334097754
PDAP1,0.02223969368928067,0.0012304844488780996,0.045411316960963635,-0.008956163688234715,0.04533429565924669,-0.050243196841590204,0.06341724176415184,0.054526358431479835,-0.03221489828701673,0.05219503937088486,-0.02072496427305505,-0.02264512034524165,-0.05578235537505789,-0.060710813339139115
QDPR,0.07682465712182894,0.04624610168631573,0.0002904049725837016,0.10210084532845516,-0.0018345741510953425,0.013587086010244193,-0.01622232192109959,-0.06663311332993412,0.09782716174086702,-0.011354560322854621,0.011397031754345172,0.06278877889454565,0.02627117673933259,0.0025389220101657167
POMC,0.011245828695999526,0.024535524349228014,0.01881740487872093,0.07167585035356289,0.09514932085401957,0.09943968529567009,0.08221433605906164,-0.028602089521500472,-0.061690916841672265,0.0021757897469456967,-0.0008936597332495274,0.06779402266310988,0.00951026050093076,0.033538314270657545
CCL18,,0.05565929000044702,,,,,0.011018282695846237,,-0.03758158169227408,,0.04338403806115831,-0.046886954398162206,,
CCL17,,,0.0011132582665036761,,,,,0.041765298713980305,,,-0.013117680406825035,-0.027717484705859274,0.00535079220789573,-0.012162466019815731
VEGFD,,0.042151494894947815,-0.01815098393999877,0.12528117001910624,,-0.00221892133693132,-0.02241637951516321,-0.013070210711855464,0.06468764338093304,-0.04847763286862195,,-0.019200747692267987,0.03753228548692202,
TNFSF13,,,-0.011237793091961715,,0.034490161725556724,,,,,,-0.025170858394871886,-0.030127958244615914,-0.03197041450478999,0.0007834963570117212
WNT5A,-0.024592855812671007,0.03303946335381316,0.01564155417090449,0.028645391518228605,0.01505941252953821,0.04217784317177196,-0.003508450446028291,0.029120351563497775,-0.041179447390473516,0.0685782983416448,-0.03282422079250062,0.0013479590868559544,-0.04202556907747204,0.03019207649694913
CXCL8,,-0.02445813205032451,-0.03316256172232958,-0.04733278166429776,-0.021012761743824018,0.009299472376933324,-0.005856625815007858,0.018121773070573145,0.050450688406322594,-0.042125674149727774,-0.07754476673947382,-0.103503534625631,-0.005241665353292476,0.0030514457301221015
GRN,0.08178953521485245,-0.01008238981708177,0.031308633359624166,-0.02004778745176326,-0.02766137425492266,0.04037670458177413,-0.02163696524857558,0.06631859872671825,-0.03982268080227716,0.06325366536410616,0.022450291058796763,0.04368585118999722,0.009409405848504231,0.05613876648850068
MIA,0.03446898536215515,0.054272560476214766,-0.034305291259972004,-0.03795584098039622,0.02752209244941803,-0.019100896212796484,,-0.017900252545754954,0.025654481713427213,0.019393691341978176,0.09172525224297529,0.05270911250020419,-0.01327434433180943,0.0031859875805125607
COL4A4,0.0436664767956151,-0.012266213488488786,-0.030452111194568258,0.010149396344084089,-0.014055273152790692,-0.017297855825945216,,-0.01736390905261302,,-0.03795894126585161,-0.034660621847993324,-0.017074733161126236,-0.02158789191419656,0.03918126157110798
