,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.007451387905289201,,,,,,,,-0.014132834857201586,,
BMP1,0.0074239078781435305,0.13423018836529055,-0.03462753302413003,0.04609246115345021,-0.023506415994483196,0.04966165832487544,0.05833068605958472,0.16260587688257153,-0.014118452813528465,-0.08447940906639784,0.08047621481359683,0.10412667881752773,0.03727206651693152,0.036354713927314625,-0.047698875420217106,0.07480821903226796,0.15640838466633844,-0.01589639975286789
NDP,0.02691516528270254,0.03353082655446691,0.014297959606208967,0.034472209233436586,-0.02416138445096493,-0.040421842515806015,0.07188667720562339,0.014963296435141668,-0.015918274793008273,-0.02255172320697072,0.02333895611205996,0.029364675109186045,0.01232078364516597,0.11611918856654312,0.1308565030677797,0.08045961156454264,-0.025627839274459923,0.10702823239768959
TNFSF18,0.021555534605423806,-0.004357371169535351,0.010834918371443111,,,,-0.03940661420851061,0.036438408516472,-0.03095692994851564,,,,,,,-0.0014455096125345714,0.10662610435130893,
IL36G,,,,,,,,,,,,,0.018391674792195986,,,,,
RTN4,-0.13566320075298252,0.09781385006894142,0.03821884034497548,-0.007360129860582814,-0.02432881734989052,-0.012237484838185174,-0.016463982696693212,-0.2283711570707438,0.0025534613088570163,0.05303983641567755,0.027284057289293433,-0.006209639686193403,-0.02290448273370743,0.008736421399102934,-0.026502699024995323,-0.0815411013187188,-0.12544542386175545,0.022659312132975423
HEBP1,0.009672330112625076,0.15197624855718014,0.007979813035144338,0.08482702297150953,0.05395984666248822,-0.0010033416385223965,0.04848391070301216,0.09734686143975864,0.008393273747946618,-0.00021788231760077234,0.05370249493656023,0.05500470088460834,-0.029877364675303466,0.1039423472247099,0.1191520142371804,0.03987072992089878,0.05971032957427946,0.09764419474420802
WNT7B,0.06708556399187017,-0.015012669909631461,0.03204055811813605,0.09253895944375665,0.02384005835837182,-0.027448654308601855,0.05621003563364907,-0.05499021976419162,-0.040661461438593366,0.03802050572968728,,0.029190606689475398,-0.031332026287674515,-0.020183965690165746,0.04987320599710822,-0.06637271219965264,0.08214724643536374,-0.04192634390088267
PTMA,-0.013160568946223129,0.008566880411569033,0.0445287046843253,-0.06177354067125177,0.02110017635311651,0.025462796310202214,0.030232488931532988,-0.0776772365771385,-0.01281776263924352,-0.01692855671309358,0.025860996602542225,0.07784395284898318,0.07631458041050382,-0.1524080990356379,-0.07606170059886713,-0.04127273374559176,0.013394749181148342,0.024382855999905625
CEACAM1,,0.04991144818426702,-0.033847225181079764,,0.08646785293700361,0.052367148658626336,,0.06365099417331382,-0.0368313463357346,,,,,0.04892052025783235,-0.045626234015357654,0.11142538838783904,,
