,UKF243,UKF248,UKF251,UKF255,UKF259,UKF275,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,,-0.019010176520538342,
BMP1,-0.023832854872514717,-0.11006072578381502,-0.016924631884667304,-0.10824844772816741,-0.1325289574351932,0.04516066917489315,-0.06685409701966767,-0.019445969539244577,-0.025467748422427255,0.02392435213005513,0.036784676190875595,-0.0888433182343517,-0.03712315563163976
NDP,-0.09077482762658937,-0.12794970582279458,0.027549572335136302,0.003763306582028643,-0.13698904212846733,-0.06694332820139635,-0.006057853072380441,0.20011313431711472,0.005819255971560744,0.0639828203018085,0.005332375596574982,-0.05666943584106223,-0.03871327876125816
TNFSF18,-0.026427553489232283,-0.0370881638818396,0.12000697000678869,,,-0.014339159142729778,,-0.07119567600879859,,,,-0.032066769119452006,-0.02285517767550832
RTN4,-0.06619293311016239,-0.01894496892213303,-0.006446327464706063,-0.10660812390229668,-0.06696975731902723,-0.042109773203592014,0.07978925896754673,0.13576820062252104,0.02712411024370725,-0.050360534695068196,-0.06741024905321023,0.048493191170077464,-0.05917082930866671
HEBP1,0.00672708293544959,-0.03138476219317117,0.02518962526383218,0.08199431043878885,0.06631190217749876,0.010708940547528982,0.055487517409137,-0.018426520222400038,-0.044501384106353056,-0.0671944238492288,0.044338467766518105,0.06409333443462875,-0.0003915535241813518
WNT7B,-0.04131986106797777,0.05073367629006329,-0.015709239525174813,-0.027940599171766656,0.03785286918165763,0.06701117894711302,-0.02628239781199963,,-0.02852234227783702,0.04636610295817403,0.12063770713235465,0.015435507556782654,0.0377569963182778
PTMA,0.04132721426732677,-0.12217512719194243,0.009238272890993205,-0.2024105096002404,0.16301003364309727,0.06624731516078904,-0.06281663495538109,-0.1639455231226724,0.08069610460709024,-0.1112721785154345,-0.043264755614884735,-0.05950602833449225,-0.011466461690851158
FASLG,,,,,,,,,,,,-0.01648751961084747,
CEACAM1,,-0.02360559988380738,-0.012055896488437145,,0.012661032900679594,-0.022552081255738165,,-0.01102443482131333,-0.02557929340705285,-0.0187637893835166,-0.017496425990933373,-0.022939961962643717,
PDAP1,0.012559758080359735,-0.07137172045167607,-0.04984063716599658,-0.07517016594984245,0.05967711870870257,-0.012587032342933527,-0.09926810588030438,-0.1331612828055044,0.07521570232541559,-0.016430484239739536,0.03018165338878621,0.07752222575536753,0.004058505772967408
QDPR,-0.005422344121633164,-0.010507815375657079,-0.058328362009583225,-0.07126739024417716,-0.04992530858529075,-0.12797764532285072,-0.06048110625107079,-0.12096610260597303,-0.010092607438849373,-0.0379911272245309,-0.0028968545724512022,0.0034757018609799665,-0.07190942094732977
POMC,0.023845063927067273,-0.0487035204413218,-0.021421404630910947,,0.06290386876135313,-0.016638026355228753,-0.026341196011521944,-0.06982652846357758,-0.060915577084463844,0.0023157204758819994,-0.002233264950250916,-0.05964824942332368,0.0241757385003721
CCL18,-0.017593374594013667,0.07527732876467864,,,,,-0.06385674963670884,,-0.018136139589527176,-0.021207107616904437,0.05576353774186228,,
CCL17,,,,,-0.03766099917260988,-0.017883723199517667,,,,-0.013312000374670204,0.038385536790287375,0.09472695730512196,
VEGFD,0.09665400068785539,-0.029457567657005336,0.02052429502750129,,0.02265148223177413,-0.019053594442966653,-0.017797176827483222,0.05097895648860733,,,-0.017496425990933373,,
TNFSF13,,-0.022229625841777453,,,-0.025977714351215948,,,,,-0.025543729225859808,-0.012856007740266899,0.010465154428328809,-0.024863173255581527
WNT5A,-0.009410220169946321,0.02454287748746991,0.05180197730493667,-0.128665165586748,-0.05363122546056243,0.005892751343747034,-0.011659006820427996,-0.01444276944098146,-0.009910095256523227,0.028413340302277105,-0.03237191369052565,-0.07310792416982413,0.0018711469955698665
