,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.046730400658304694,,,,,,,,,,0.01245498474033942,,,,
BMP1,0.029185402884972886,-0.04735458941721843,-0.016745499025591602,0.015386743748157666,0.043951886495137024,0.003838423703904117,-0.11484015561987053,-0.032332001000671344,-0.3393635700739762,-0.06666179581894228,0.0353752773889677,0.011868840159081148,0.02056091780858321,-0.057581862576440775,-0.047471190527617696,0.0025460068787510758,-0.04335244293146765,0.0687872524734617,0.009585118550365266,-0.049794325627904076,0.04417042070818341,-0.04436231404807035,0.08713776148146554
NDP,0.01998010223781674,-0.05718129971261785,0.03626731875603469,0.04071943414980883,0.07877119773921985,0.08048113325347753,0.20281646339820092,0.009732239220669292,-0.0024078811480174513,0.06987131562437557,0.015557790700878921,0.014488028781873464,0.027294345893925702,0.006072121650999189,0.16134162948208636,0.004276522253421053,0.000541057406189145,-0.025069801794199632,0.028788817362720952,0.15915241409043093,0.0682375642034792,0.06955238480788646,-0.039314555324592555
TNFSF18,0.06522252085592616,-0.01928562596957298,-0.03767106653267689,-0.027946057183763532,,,,0.004434454084194369,-0.06802464507966632,-0.05217021202739127,,,,,-0.05828954389539365,,,,-0.002847079362080808,,0.18566940856332106,-0.06299752713246344,
IL36G,,,,,,,,,,,,,,0.017001526399788244,,,,,,,,,
RTN4,0.06449647607174663,0.18053779404328985,0.042672111106939824,-0.007050121229342244,0.007443276027005916,0.07163571905027462,0.2362808281922843,0.16091273942075726,0.4263659155437454,0.13861860017409186,0.053786673417324106,0.10617183406550143,-0.0484166849233638,0.13787319812268578,0.10408437710420351,0.05988506380376774,0.05776164218947525,-0.020739977160271435,0.03291192839391713,-0.0036313354891669915,-0.031905390532122636,0.1563397375983751,0.015024334830331781
HEBP1,-0.013264489345311839,-0.07197687080886059,0.07796021363912706,-0.029550211432324447,-0.04618379915113085,-0.06973889858271415,-0.06991249853743699,-0.07132058886526856,-0.1604811416710988,0.0025206399291778847,-0.002525950038240396,0.02439626887660034,0.025240652863024453,0.04103431950769018,0.048585092752102654,-0.009279768010537747,-0.05883652350131716,0.003439440057996806,0.0953166922590726,-0.04728401926161718,-0.06854465893144211,-0.04402180910281694,-0.008574985685957293
WNT7B,0.1008076510866223,0.17623312369485206,0.06419043304882525,0.04809317915339007,0.021216833195852276,0.01837064065008171,0.03722831564864,0.05260118802603389,0.2047361874826377,0.0021242650320907517,-0.0071410698376131515,,0.01043286343475073,-0.0210222926947809,0.04661862343568643,-0.0015991223118668088,0.12937281983988802,-0.007193709699124675,-0.021833747920446445,-0.01954580839243175,0.19303151773497348,-0.0023262925357228287,-0.03288860681430379
PTMA,0.1162102507911476,0.0013053237731363374,-0.061153842862736105,-0.007673230596898536,0.1137052866022145,-0.022114357240746684,-0.21331711806202525,-0.12229304747478437,0.15724493639600948,0.07645473511614367,0.08729938073553496,-0.07599396738632226,0.050451616009630516,-0.03664781726362012,0.01196591923372492,0.02732586642732535,-0.06725701711729078,-0.0483981675266486,0.008918429806981895,-0.12661912525887836,-0.05365664508264572,-0.10891118880828986,-0.09943675335460352
FASLG,-0.006213278765339296,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.003981721923949615,,0.0640081214894182,-0.022965307958183332,,0.0038514856521106844,-0.006599256590980546,,-0.10205479334524296,0.035083314683533255,,,,,,0.0021761121103272317,-0.025658109951755922,-0.01848988461870755,-0.03508909102026048,-0.021128838496665525,,,
PDAP1,-0.05750207501971694,-0.022051419018369378,-0.004926896782832574,0.03476074850243631,0.03573983971594973,0.04553344329720331,-0.13748830358104958,-0.07136918087518224,-0.23934041435239764,-0.01877861421306189,-0.018419506604534237,0.038275473035028776,0.05544424037386288,-0.03979653944225153,-0.01325873188203188,0.05226030821398154,0.012129150357811988,0.010067272308482247,-0.043678085301125165,-0.039193196263340856,0.02387769156764985,-0.049162083868816965,0.03394633791600057
QDPR,0.10945531341216687,0.05129037128944072,0.010754666518720427,0.033457248111504946,0.053895644950273124,0.06394072599830852,0.23634982684903344,0.08513533804251791,0.27135068947423574,0.09779996443732353,0.14495458407910636,0.10934745703868642,-0.0008606685380774906,0.09468402771225438,0.047085993677826725,0.08842514154823447,0.07546381326645649,0.003299600059053041,0.08635777893187441,0.13359667624453447,-0.06513639344652011,0.13390991014069106,-0.022861069949552136
POMC,0.13480613283965356,0.08322236393629887,0.02350576124162296,0.06580136746150031,,0.08834690773271298,0.18101820793117662,0.012856241878634296,-0.03378371906110685,0.019209959752108537,0.0012475440101152215,-0.025352862829127545,0.06863310639529807,0.09010551782994995,0.01722773629416013,0.04451326898285263,-0.05111250565189887,0.13807206467802244,0.03162142022118239,-0.034564004177332214,,-0.010929363278916906,-0.05453099605328997
CCL18,,0.06758852789592865,0.0010299725728762275,,,,,,,,,-0.01697605213200577,0.1029794089381276,,,0.01584308176931183,-0.01354115088775939,0.030236545863315777,,-0.044941556754371455,,,
CCL17,,,,,,-0.0205437546265743,,,,0.016494805935502843,-0.0282035182495661,,,-0.004686416214209186,,,,-0.013117678201401453,0.0600595218200349,,,,
VEGFD,,-0.029140729123644616,0.06769691812986577,-0.04049360534340665,,0.06061375934613778,-6.616694579180578e-05,,-0.10511846125213334,0.029181264778307632,0.05638230264421067,0.012106426228606519,0.0014021865856446614,-0.01492473091080615,,-0.04546704486333973,,,-0.018438656186277998,,,,
TNFSF13,,,-0.02365213901891783,,,-0.034641850888467454,,0.023105077456129722,,,,,,,,,,0.044389951715999916,-0.02876884703169766,-0.023726269523432417,,0.0014477370103593854,
WNT5A,-0.023089462945029858,0.012268881309333398,0.019953090812570864,0.035957721191334106,0.0965615574334498,0.07309306408104226,-0.09354196282584795,-0.08103154286091961,-0.2322013844035424,-0.00045275739531881737,-0.008423502631719147,-0.0044965886876339265,0.054839241730234585,0.04705453599114022,0.045063443718346155,0.056943815817837716,0.0024269071380919197,-0.009656062287095776,-0.01786589336586219,-0.06372214279537068,-0.054616723256153896,-0.03443273014212601,0.1410814926659633
CXCL8,,-0.05792966386536226,0.0327962235540059,0.047892454018973116,-0.08071511568869055,-0.07572913178902668,-0.15300582242184535,0.02827062458892936,-0.1506917961393304,-0.08422029008115232,-0.005313648187222001,-0.07565977532545581,-0.007196624371596629,-0.012360753952060894,,-0.06682951067278957,-0.08355145184109551,-0.07181347773265885,0.010260086931379036,-0.04140504667008761,0.08077207604615214,-0.06549042089836679,-0.02683491546843798
GRN,0.08862704164729711,-0.07847832457755118,-0.00045149786697842284,-0.016266364082899342,0.11195488958876007,-0.012090645643119296,-0.13596229369842983,-0.12176407004594782,-0.28660834560664944,0.010846340046912546,-0.0707369529720831,0.011326153273328135,-0.001117412234466727,0.04430123740307318,0.05953714041990357,0.09728255498219837,-0.09095340906779374,0.044489361234129644,-0.06312829350629319,-0.0077672375582716465,0.04235327097940456,-0.034360707594618824,0.05863121006844908
MIA,0.04834885479594046,0.029726134979292645,0.0879294185736671,-0.010953561990213332,-0.0022691770204722934,-0.05350059293744996,-0.07513839255795127,-0.0003620618973418844,-0.1331889670784366,-0.06137282703209922,0.006538555678877567,,-0.025690881782742186,-0.02553048465319383,0.05931142004809863,0.011065258639671647,-0.02230814111098904,0.09146453977989626,-0.10996292888534163,-0.15372956160130696,,-0.03913106316338042,
COL4A4,0.016429723602642343,0.01099127239413869,-0.007717740637761037,0.06271098490883503,-0.0073499747912941105,0.02399113520739165,-0.08905635788648016,-0.051862590041333714,-0.04495774478223628,0.021221232029920663,-0.0077339401547465905,,,0.026650236694396295,,,-0.03339260241049075,0.005632505032085347,-0.004140788398272909,0.04171951190894688,,-0.05493763231911957,
TAC1,-0.025605735978448663,0.20482269071389875,0.24433520204923623,-0.0431635431115893,0.2617008252651453,0.33069572545894316,0.41267198341661326,0.2668487916091326,0.39340628237954695,0.3038309584986955,0.10377879998265359,0.11986443588548928,,0.10516987143177771,,,,,,0.263251824668039,0.17627806316944286,0.11185081101225193,0.08825308672384119
RARRES2,-0.04818446871619202,-0.03220711526170444,-0.01858593281961313,0.06247736044955239,-0.06301792228926376,-0.007840280919775053,-0.26372240299364486,-0.080500950374571,-0.3500261463460547,0.12191052320197072,-0.02809854801392528,-0.05435440645262644,-0.017359260567042997,-0.028252374160527675,0.04334096832760499,0.052249678595094565,0.042124142977873924,0.008093171773355544,0.012498272672994994,-0.012750624873010525,-0.09263463019887389,-0.07880652872926419,0.1116796471894169
FGF7,0.07865699667473312,-0.04575380197212418,,0.021000804514158925,0.025545889141913993,-0.019749495563457575,0.1734841240103713,0.05206693728054564,-0.08231958340275863,-0.001485274817343097,0.036632745725107316,0.020709434823109864,-0.00016228072120771776,-0.02344253499626502,0.011522549403776073,0.040351357358316346,-0.04813708713024683,0.03439868336715612,0.013145700794243547,-0.07234815776040518,0.12379966596152932,-0.05133924525623558,-0.013526004395442003
HBEGF,0.03761047414505817,-0.03767563379662958,0.049205195585412496,-0.0506808128384461,-0.02349662183059368,-0.028375073924554295,-0.15773720613817138,-0.06147450720840675,-0.13829364280772158,-0.14532462101351085,-0.05317217218014098,-0.06886660250301552,0.032594163440570645,0.04167608667011288,0.03524110866914717,0.10045936536208165,-0.056413951150900046,-0.017068074975469544,-0.0798119412600052,-0.08543842328462771,-0.0020435104562963754,-0.11534394093424824,0.03185098967764025
CSF3,,-0.029335206306290728,,,-0.04391211637535778,-0.05497541896560955,-0.024568551048074934,,-0.05444867376886317,,,,-0.028459419611929226,,,,,-0.04450891791234238,,-0.030291076156120415,0.044707175102426354,-0.02506214602712891,
PI3,,-0.03475192636461168,0.039911395525737976,,-0.08207010479669222,-0.04192231375634069,-0.09746780790073845,,-0.08477685415626554,,,,,,,0.004074555032576408,,-0.03193991800708631,-0.057536677308857,-0.1219274127525027,,-0.04541836912390027,
