,MGH258,UKF248,UKF269,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,-0.015031582887753967,,,,,,-0.02533210364449654
BMP1,0.057041343779317126,0.09327554122940736,0.11761170322984135,0.055722354355060816,0.1029806500695511,-0.06675981152216108,-0.059198944447615566,0.09459877270321698,0.10404903891944238
NDP,0.00899371361281347,-0.08375050681350105,-0.012367879962399976,0.03028645955801222,0.028875044594381602,-0.011246111282349617,-0.008506126043258663,0.02658411566847483,0.01339391771447717
TNFSF18,-0.02359141910123269,0.004670395229603812,0.04508320517084518,,0.0857020405925668,,0.018375488034741528,,0.019918516001882672
RTN4,0.043250954957213227,-0.09162140888873835,-0.0971927102258188,-0.023028024557751107,-0.06307060708500734,-0.03345541465443427,0.008908047987780436,-0.04135755869477768,0.01796588737271825
HEBP1,-0.01482881226280122,0.0049830157572178955,0.10388225004903202,0.07373516067091358,0.03239368476041496,0.014917496592588593,0.04239820303051789,0.006040741144363158,-0.009028736612043732
WNT7B,0.07083617220551362,0.020019773350779518,-0.03724918768061441,0.08351402679445503,-0.03576807971788635,-0.015028157442770794,,-0.03362344625947398,0.039756233986268666
PTMA,0.08864131398738281,-0.024377604156884888,-0.11115485848152938,0.03301008494670724,0.14835731020813442,-0.03167574396656103,0.0038336829832824955,-0.043340066036270185,0.0214978740024844
FASLG,-0.02078330719977841,,,,,,,,-0.00305326324732799
CEACAM1,0.08154352220177333,-0.01557393472740493,0.06429676038828155,,,-0.05071988973699956,-0.03644311778242586,-0.03015404516394371,-0.030568758444229453
PDAP1,0.015185693043884568,-0.06632814333760687,0.07394852385273343,0.042568704659204155,-0.06172655486770963,-0.030188133537054518,-0.01998576392907703,-0.020891836234845484,0.013275085932917808
QDPR,0.08117877885491978,-0.04756954663533978,-0.14685165411082593,0.013886871310417026,-0.06014354662721395,-0.011640576750430537,-0.057478120317079565,-0.17095004409842424,0.06159258995992958
POMC,0.03246422695463708,0.07443010665487697,0.0043995417432631774,0.034957069918021125,0.0863843839321658,-0.07138913522218097,-0.011380307263205481,0.045649640297953195,0.05074486196731414
CCL18,,-0.01943479905172945,,-0.023572078997884414,,-0.04348965382016956,,-0.02137971380129687,
CCL17,,,,,,,,,-0.01991381305436786
VEGFD,,-0.01943480522318842,0.08208264977584642,0.08219607992773618,,0.11991199908171019,-0.01159990716284742,,
TNFSF13,,-0.014666127680659318,,,,,,,-0.03244789623365284
WNT5A,-0.03815363873545894,-0.006929812396283888,0.10088935115543486,0.012233361113936973,0.13954328152456855,-0.004268164577289231,0.0278527659571412,-0.027926928440299235,-0.009620533789211893
CXCL8,,-0.0656894406732694,0.015118134179564743,-0.07444354499506518,,0.05392831558572213,0.08115733752795003,-0.0008523116442016682,0.03278495971802068
GRN,0.024883850173532243,0.16099419284560224,0.11572675494188683,0.020826497065691105,0.05929196197263157,-0.1392094451038348,0.040897704328378255,0.09941798610728149,0.03456835849826359
MIA,-0.009991910015427274,-0.0387208372958342,0.03136521799972159,0.06947741867802507,0.048132382590519246,0.007749258621664541,0.10500188616751671,0.03898983479421431,0.08547929310804814
COL4A4,-0.0037522837205933245,-0.02334103575793241,-0.014812509214129445,,,,0.18928793320379353,-0.027030638406359785,0.021221592218836623
TAC1,-0.020783295892436108,-0.030068673167906353,-0.08085793740267373,,,,,,-0.026178732181707045
