,UKF251,UKF269,UKF275,ZH8811Abulk,ZH8812bulk,ZH881T1
IGFL3,,-0.017845845856942495,,,-0.016603054853920805,
BMP1,0.0203441112711189,0.0716822238688503,0.031795434231891226,-0.015322950833649632,-0.013517205775703013,0.010810644202436442
NDP,0.07477725070509057,0.021445221059108142,0.010462514765692349,-0.012397654534312998,-0.06446789072519417,0.04344566680577333
TNFSF18,0.007017441212873584,0.032453428486964274,-0.014222981047197495,,-0.017122437409720328,
RTN4,0.008107915656396555,-0.09315009578241028,0.034785234861377134,0.06171563279321293,-0.02224267318683338,-0.012442874841999907
HEBP1,-0.0249619054367845,0.05958302752898645,0.007181006460421476,-0.03157623902520809,-0.043455974158114065,0.015602482584918762
WNT7B,0.024084090580257827,-0.05853009127991195,-0.04076885118771246,0.09126411936684897,0.009494497600186834,-0.02233890984864436
PTMA,0.009686544557839114,-0.01444891709211596,-0.003085768274035972,-0.015165585441232856,-0.04363297523048236,0.011149823933990352
CEACAM1,-0.01624641393757218,-0.03487320832316665,-0.02236936078904264,-0.017930261143607754,0.05674889881253191,-0.014826659356958415
PDAP1,-0.016067661081355513,0.060999579440844595,0.010751366987287476,0.03865530707238996,0.04619645995746878,0.005051436105154201
QDPR,-0.02016397984852553,-0.0536270573894998,0.0065240371287280845,0.007959922371413953,0.01431424960030926,0.018699167252292197
POMC,0.0720850091097579,0.06821190706613031,0.11523756110273714,-0.04305178445551478,0.04421170546644513,0.037334867271029484
CCL18,,,,0.02576240503263273,,0.010498876123027473
CCL17,,,-0.017738826495208485,-0.012720652432355728,-0.02189016874911383,
VEGFD,0.005676826206744527,-0.0171531820340408,-0.018899219260057082,,-0.02308737164464219,
TNFSF13,,,,0.045060892020331575,-0.002546887175445544,-0.016649344737564884
WNT5A,0.0018418158885566995,0.048522979787751726,-0.002151627777244399,-0.032630228419077346,0.01831381311455363,-0.040387396271372764
CXCL8,0.07966401679363944,0.04025231455662539,-0.03920541896680517,-0.027781541353201676,0.03699799286180063,0.027681350521299376
GRN,-0.02067966047719366,-0.004159707839789269,0.022804646220566355,-0.04177894487499783,0.02871393628102743,0.00013126568231722175
MIA,0.041835180268043594,0.05596806056874026,0.08867085669739531,0.024369751946335425,-0.02940023188242867,-0.006337506882958217
COL4A4,0.04088926741932101,-0.0175857564811255,-0.01851988367672334,-0.020827087290259498,0.02954759954101119,-0.0298808431720513
TAC1,-0.013441606465463949,-0.09599642951601567,-0.0242328852195377,,,0.060501209293309086
