,MGH258,UKF243,UKF255,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,0.014768749452222642,,,,,,,-0.020322179601052825,,-0.03345190362368122,
BMP1,-0.03155388186396533,0.03929608203489502,0.035762803569256436,0.05429174154456893,-0.03104759815836364,0.04057380066765386,-0.04377562369791777,-0.0247412958334969,-0.0015771226751518882,-0.04475728431853937,0.005101487264807774,0.053370091905281296,0.05062425439381419,-0.0014586728693151392
NDP,-0.013874538372752593,0.0025003187933052566,0.05970151452616138,-0.04760424292099278,0.002370262796184841,-0.03272687565384132,0.004195241698627843,0.0019360040052687074,-0.016830205746934352,0.01630919250049935,0.026477498426618472,-0.036716571743842095,0.04838692044293674,-0.04109512552414493
TNFSF18,-0.019279987219288242,-0.029623429912857945,,-0.005965854184882631,0.03752207003054381,,,,,,-0.020957905115030703,,0.0204031151068244,0.05751096043126957
IL36G,,,,,,,,-0.007788159430671604,,,,,,
RTN4,-0.023853102987916097,0.071389651101842,0.042220023981223084,0.01071742053024465,-0.0021946179631397987,0.0771064538956779,0.13297699046945535,-0.003181712779809193,-0.07743904015604897,0.01353161263420596,-0.027403251966815804,0.01580531982244878,0.0007689480352314097,0.13212181113741903
HEBP1,0.03145726003508875,-0.06309244478527332,-0.01687817298595037,-0.012438668204530315,0.02324831760165088,-0.05330768660473767,-0.11254551096655645,-0.025124849068682998,0.018629361935004,0.036707961269144794,0.029881527122798842,0.030917822986896132,0.030349790346328592,0.03501515363213629
WNT7B,0.06583986685900102,0.18511582843677024,-0.0019369632544638067,0.0364934489052252,-0.03181405779633059,0.0894549392060007,,-0.025423258847410504,-0.05701146296260253,0.033130532918906073,0.027949673182421583,-0.015332351195356789,-0.007360583422563924,0.04740833138005768
PTMA,-0.02041308807323766,-0.07890223685646014,0.03857921151840158,-0.03640726103642705,0.002893508735377522,-0.0302780235979413,-0.15864504648880873,0.022021727349810505,-0.047887044814547516,0.016284583186525398,0.01855445239053658,0.07082936634861094,-0.06216677042066584,-0.0605736697546162
FASLG,-0.0169850696758353,,,,,,,,,,,,0.03006289969919285,
CEACAM1,-0.02358391789291431,,,0.03421846815365619,-0.01745597720506937,,,,-0.004152606508397101,-0.002150305453876939,0.10298445455117458,-0.04454557880884066,0.044801804404638636,
PDAP1,0.03594794844183347,0.0008230055117971187,-0.05607131247610248,0.026160861335590785,-0.0009584485657660363,-0.001952374482011753,0.04760468429141851,-0.0068036446848070194,-0.03227541791066558,0.008440619333111667,0.032658245085201536,0.019170152132415373,-0.01651327587133044,-0.04493248895195002
QDPR,0.001347326884428357,0.10611397932948806,0.05670927268489166,-0.048109124650997405,0.009617450396997438,0.01895670678860591,-0.15144741148974356,0.00972698297073907,0.061313251329937056,0.05866774430128376,0.03693983934916333,-0.026718352646160144,0.042490301735763306,0.003005884701633419
POMC,0.03610678685257459,0.17877625975422393,,0.031715736311538525,-0.012878323978205713,0.04983173159356159,0.00445561390804626,0.001270755808307987,0.08493645034671328,0.028296285000455126,-0.047721177784469326,-0.001072287446877801,0.0032606196424915753,0.023108158224318196
CCL18,,0.03427247593810163,,,,,-0.05588919757230296,,0.03609148618264026,-0.029071425868859385,,-0.0374788250943282,,
CCL17,,,,,-0.013842530140455216,-0.013718240142176645,,0.026381484303637317,-0.03358400076770946,0.04975155697718684,-0.008238758985424357,,0.05220367956032418,
VEGFD,,-0.018864550505800843,,0.009019393337222308,-0.01474804504734726,0.10101015226042032,0.010260145334678148,0.03765734714093383,,0.05621197939899954,0.043657735119159186,,,
TNFSF13,,,,,,,,,-0.01504318767409062,0.0007946563746606957,0.05910336265092002,0.04077888957435124,0.007214615359892014,-0.016824714438855762
