,UKF266,UKF275,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,-0.01660307221009506,
BMP1,0.01868651020751409,0.023697514518810758,0.0043030562818379145,0.0700646306365018,0.06301396818744448
NDP,0.023119598209748918,0.009790341446023233,0.03997427756744745,0.08727314661258365,0.043236156342564065
TNFSF18,-0.016966906202296517,-0.013506325325882383,,0.013127335115254095,-0.03256831238320473
RTN4,0.0850508924363691,0.023422013686784843,-0.03041260150567566,-0.11840675086824888,-0.05168997114652843
HEBP1,-0.01170601796226136,0.040695682860914774,0.09287537407177851,0.024034370825046496,0.03690114537689254
WNT7B,0.05257858959862801,-0.024281398217695378,0.019152343823817742,-0.02190477202709452,0.02089495728859538
PTMA,-0.059260453811400604,-0.0115859873281632,-0.021932924991100465,-0.15450434596133125,0.002391532838453585
CEACAM1,,-0.008125286529994776,-0.015399749879281405,0.07666161732809197,
PDAP1,0.0033547348953029154,-0.025309125566709362,-0.006292539934169914,0.018886677765310916,0.05976811902029938
QDPR,-0.01604213915532245,0.021529875870852696,0.06095745235740168,-0.07944788017889885,-0.04263765786578464
POMC,0.10480910908953484,-0.015671671853105917,0.04138345717677325,0.05217974821029528,0.03654858296786326
CCL18,,,0.026055215433310356,,
CCL17,,0.01666073957630713,-0.022230505738322217,0.11393470341589365,
VEGFD,,-0.017946941142961692,0.036545232235803096,-0.023087395779263734,
TNFSF13,0.05061411671988103,,0.04278026105076951,0.04055286321124321,0.020884548083825373
WNT5A,0.007805477951856526,-0.004223065177261935,-0.019595751997775423,0.047665341843178825,-0.021286541221546686
CXCL8,-0.007077502803665099,0.01723502320479205,-0.05515780790602016,-0.03107930039271371,-0.00580863720422784
GRN,-0.04774247109160575,0.02087939463164039,0.04598107009755532,0.09121301568601468,0.04668901948799863
MIA,-0.029752655419764695,-0.03310910429240833,0.09131180534756318,0.19233036299665043,0.07784429494360053
COL4A4,-0.015655596122767918,-0.017586719205015824,0.0438862359900309,0.04128616945664125,0.01575112092224927
TAC1,0.12847526480122326,0.011784013604296685,,,-0.03845925154865047
RARRES2,-0.022555859387280365,-0.009142843587324692,-0.0031021720158479825,-0.08566615075616132,-0.013996506267039329
FGF7,-0.01882092141056835,-0.01083735803508143,-0.012762467665768785,0.017069797514509457,0.011175399934224737
EFNA2,,,-0.014636431661607292,,
HBEGF,0.02309445466319493,0.0065250130990402114,0.040226165821295554,0.007718972705981362,-0.0159363858513714
CSF3,,,-0.03680703166447104,,0.037855893800962104
PI3,,,-0.07576670451733146,-0.018599288001174025,0.03472114835084942
PCSK1N,0.057667154496034705,0.024264538757833624,0.011867372954704067,-0.013012413189437654,0.006097627202144436
NTS,0.11689088296375219,-0.006374922746139008,-0.017831714520283756,,
SFRP1,0.056343661873927586,-0.014680892491533815,-0.020401244715957757,-0.04754859228208745,0.00123065117673527
CXCL13,,,-0.03760516534701213,,-0.03378591433887885
MICA,0.004556520627837647,-0.009202486002032023,0.008296423932453993,0.07262402848841117,-0.026641753490762567
TG,-0.022060200514889244,-0.01697071743746214,0.03437081173803057,,-0.03723225244149127
ADA,0.07336089761756312,-0.017153791206201977,0.03365528017737109,0.0776973036335319,0.05290256026035442
LAMC3,0.03596322511879913,0.024276987406091365,0.05964909116255728,0.08498337167109883,0.04800547916838732
CCL7,,,,,0.02458113487384842
NGF,0.12023243683272963,,0.2373313415886684,,0.10401458706376035
TNFSF15,-0.02556095188144617,,,,0.03199815853616228
HMGB1,0.0006862814439459118,0.02754943936297664,0.044055088400836606,-0.05583714213999206,0.05496489034277519
ITGB3BP,0.016735122182119998,0.017682743808890223,0.014136357708981065,0.06532857501340729,-0.01527426532508441
AANAT,,-0.01526186536869111,0.0016985329204349464,0.029164915308751434,-0.025433024523171067
RELN,0.049168192808608104,0.007423048740748216,,0.025903047911752252,0.023037206359891333
IL15,0.04360387885756463,0.04986719881499631,-0.023003324157331497,-0.004654024382621042,0.01818714121662945
BSG,0.047301889004176,-0.02987043744034876,-0.027074018460602534,0.0932120730163672,0.06946782316747184
ADAMTS3,-0.02929582685780524,0.006542758692506855,0.05298791560011235,0.017813919470270126,0.016403475421039947
CD34,0.001482584041882115,0.07350957587387648,0.03214733514849523,-0.008333342349637247,-0.025308831635948006
PLAT,0.002205600191869014,0.019657792460207553,0.07546272254052526,0.11136096063722331,0.09525067844473357
NTF3,,,0.0719171914666877,,
LTA,,-0.014698766885168002,,,
CKLF,-0.03531697543758327,-0.0015907414756299258,0.08799409234579973,-0.010164202152089694,-0.004390463610221594
CD24,0.0410637940341097,-0.029545964816896166,0.04302519686132817,0.01458125156146706,-0.02295889513442656
HSP90AA1,0.06120063723478898,1.3501065627289691e-05,-0.07858053822520966,-0.05808671611022899,-0.020779878675330165
BMP4,-0.005550341711367611,-0.04216033191466404,-0.04847540257067487,0.014744848782557324,0.07307145457772825
SCGB3A1,0.00796872665208387,,0.002004699756438279,,-0.051107810227029024
IGFBP4,0.006202660004670142,0.02803547375636956,-0.00381078270537748,0.05366187645756515,-0.021097976580582503
RSPO4,,0.0483723117204957,,,0.06313931147543866
LEFTY2,-0.038016748838770646,0.02771213848119922,0.031064148299020527,0.13214520777847,0.035888162824739604
PF4,,,-0.013415302945233356,,-0.025122274262436517
ANGPTL2,-0.038428282400044485,-0.02960765846952902,0.02954049998958316,0.034593491223653794,0.060564918056385364
LRIG2,-0.010147984252240116,-0.00046070594831376915,-8.856510917157689e-05,0.03954899259310949,0.09734990561231206
ICOSLG,-0.009811656904851265,-0.007093091462677492,0.06538601117535713,0.04035561935378097,0.09037965107720754
WIF1,0.025419517385537008,-0.013192239291922002,,,0.022977122445468935
NPPC,0.1651643489580676,0.041440099636413326,0.03813513733583057,0.07126984436718409,-0.007570967810214205
LYZ,-0.002513738730062633,0.03326296663246009,0.05085563825212416,0.06245412263633114,0.004047562392358517
EREG,,,0.02516058954647595,,0.04337066518016128
SPTAN1,0.056135160731786336,0.019487388896935645,-0.007824099584965398,0.014956532841029668,-0.030580708225422193
LIPC,0.02472647823247624,0.003274423533931504,,-0.015572217390797033,-0.013357891291031822
COL8A1,-0.0431359339533481,0.04678689872820174,0.042160763915826474,0.06234045204359481,-0.021332536972116716
GSTM2,-0.015380518782297497,-0.005245144290464957,0.08101555342355729,0.0226166511110795,-0.0043701925001712405
SPX,0.00013945905386533307,0.024669978599284687,-0.016656813331575065,-0.09709868488285096,-0.001141674416326152
MFGE8,0.01254948004010921,0.024702196252929545,-0.02837022276487275,0.13917201859749243,0.01103016037430722
