,UKF255,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
DCN,-0.03716120353076034,0.012049739535203382,0.09459101189570476,-0.023579748825115064,-0.025409187181489493,-0.0692846269382898,-0.036440428310272686,0.013766627977288235,0.014749297544467877
RARRES2,0.012121474396959203,-0.0060778922058807765,0.08388753790590484,-0.06440894628857197,-0.06512828118025103,-0.027165542085800614,0.18473811206796129,0.07531278407551899,0.011570063612468514
SEMA4A,-0.0552204013334415,-0.00046580409598495685,-0.022394616959668295,-0.030040314292556936,0.005188250313508033,0.09499026835004867,-0.01817635031910943,-0.029678261016083174,0.042474154588288446
GDF11,-0.10219391473662867,0.014945925527254222,0.05144897758607383,0.04631170078094269,0.03593374096149339,0.07202339387466805,0.010233300579376261,-0.020074435162501496,0.011366976615348896
GPC3,-0.10430457217662205,0.060987309536632804,0.0186750541464157,-0.006754886370598477,0.00863830899428064,,-0.08894428695038295,-0.047065760017806255,-0.027455040398729282
OSTN,-0.032358417150132664,-0.019673781042283494,-0.015285248359484268,-0.02248560501154681,,,,,
GRN,-0.02428954086711439,-0.04254886558215132,0.09432999059238453,-0.04406890186718262,-0.010080524258597574,-0.0012915617279980554,-0.012996241699739145,0.014731295451612144,-0.06299987084816897
CALM1,0.057913060294236623,-0.032270172709593634,-0.0934498502289628,-0.04377706239338916,0.1304815953911075,0.019926065503306743,-0.09245879539958772,-0.0926115893517842,0.06752103590749617
ANGPTL4,0.1570163328925899,0.012809345287214856,0.039871398407455454,-0.05689414193007658,-0.10037623539170504,0.19548443154610604,0.19029045337636902,0.12980427748125828,-0.007966826622573493
BMP8B,-0.09376466494966043,-0.015007680026922831,0.03641915495888177,0.028675133653682326,-0.019434095102022785,0.052963129329444025,0.029894768311440993,0.06836546598884082,0.006421326953426659
TNFSF4,-0.042022285842655265,0.0031265116678817454,-0.023408153034693558,0.025863490949620406,0.0024454891616333247,0.053290954571114414,-0.0023761353956106785,-0.003745898073223345,0.05468127026015451
RBP4,-0.019782758630883152,-0.01937340192115349,-0.05833815426115341,-0.06274082800163325,0.11341515197463235,0.067576215059344,-0.021944178441487116,-0.003545422089868348,0.04595684457678537
DKK3,-0.07866400907652799,-0.08596852161182077,-0.09279446341762179,-0.05978740802597821,0.018716201933588063,-0.03586431627748846,-0.025244139134919668,0.023532896880608768,-0.09219669691295747
COL11A1,-0.0870032169976934,0.09654842075094282,-0.026810683857463574,-0.0319817491584381,0.026294323267052895,-0.008285648676690596,0.06822326440410988,0.056044107638016885,-0.01257706659140153
COL5A1,0.02569096946196963,0.0038962051975304,0.05541658892258282,0.05143082007853599,0.03840583458554913,0.03741229609054392,0.1158362827704487,0.16583942623466444,-0.031522990817355954
KISS1,,-0.015289576261245892,,,,0.007669560373975171,0.005640602686064189,-0.031470573714688074,-0.018460466215527434
MEGF10,-0.08223991224882435,-0.028175367870503145,-0.032875280966096036,-0.02380944687156572,0.01778865950729213,-0.0654524222835342,-0.034928704693590905,-0.044380172413726895,0.01074896316932798
CEACAM1,,0.04367041194930365,0.045984483465167536,-0.025471743569534768,,-0.04831010160311764,-0.021599120759133405,-0.017133951885044553,-0.014826660991910582
EFEMP2,0.04727001555241497,-0.004156014894406747,0.057303973853929636,0.05029349761609763,-0.06562166585351166,0.07364195595311034,0.12482229106856184,0.048529567949406875,-0.026714779266997533
IGF1,-0.04993424064191497,-0.03413128001510411,-0.013508201893376898,-0.02824228057047874,0.05044347446060655,0.017898670908148482,-0.05198309211002333,-0.0441388322912472,-0.05496373354291775
COL6A3,0.1548681753816895,0.015905929032392168,0.03285527542690404,0.007294362658789608,0.07166247606511504,0.01974445818761619,0.10056518259025604,0.11530350324271926,0.0013178492675546165
RLN2,0.0016497032921455482,-0.01243448454482791,-0.016965180100007297,0.025913356255410247,,-0.008852977695411587,0.07397576640408966,,0.032951015544082626
WIF1,0.04397692045567288,,-0.06737959969770412,-0.015818927842680186,,,,,-0.01716079283469864
IL13,,,-0.014562991986816895,,,0.20649903207846843,,,
