,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.011216643851283906,,,,,,,-0.020915612363447158,0.08714084119836825,
BMP1,-0.01813598050439739,-0.026732779013271306,-0.007849057470212637,-0.042506596303174576,0.030301501133253483,-0.023880147529694435,0.1475977691703221,0.03875553986458237,0.02549340419707457,-0.042630275954705935,-0.0661578410183668,0.03708284083251817,0.01412568399443073,0.02045005199042998,-0.004443433095256598,0.0697357557184028
NDP,0.035513313466450216,-0.01395541962745868,-0.010914428195666279,-0.07607268037359255,-0.04571623125702309,-0.021474630935992802,0.017841080175361932,0.03253199767271218,0.04961326289776474,-0.007352505115757611,0.008568178474893284,0.11570480982133255,-0.006257093221737403,0.03763333841017019,0.05914383695064991,0.10718604109743829
TNFSF18,0.03419213624748684,-0.03151831967417101,0.04383142213771507,,,-0.017240371262356703,0.04322329021560174,0.019895788791233528,,,-0.009355748688729897,,,0.001354767928787594,0.041050543273771285,0.02740769872520034
RTN4,0.019364087470823556,0.06573280761221403,-0.050937071935058795,-0.014422845269105073,0.01756686555353387,0.03263176431798075,-0.18924552415901222,0.04913170057751087,-0.09454457790388185,0.12178717838778527,0.034415181303115834,-0.038710885419866774,0.031063846603344138,-0.0232701452096521,-0.05243942410209964,-0.06767808382227618
HEBP1,-0.015518905469644795,0.0028992774149504195,-0.03862255725058174,0.04011559587891041,0.023067080136521197,0.03809817770637357,0.05901344827758959,0.048112605315224745,-0.002336414636098022,-0.04862563486905212,0.007610882085027548,-0.05173756371881307,0.012086684372325093,0.02203974521300201,0.149302675498365,-0.021756929817442826
WNT7B,-0.04837048851481877,-0.029617567527111956,-0.011251310590172117,0.001029459958224703,-0.04830365555101386,0.004305364245883107,-0.03540583310728277,-0.019211743456166178,-0.08892946098418558,,,0.07047593294503016,-0.03199836859641158,-0.02083043502203857,0.009746703970942495,0.08585330434764472
PTMA,0.007845843554901144,0.02283381957693567,0.036023820012913675,0.0009600009926631779,0.010845632473181762,0.01547122443240416,-0.09179998661462152,0.003509176487083472,-0.02476313093841896,-0.12182148965254988,0.04213948407359922,-0.004441799634355806,-0.06584695021756604,-0.012490746238860206,-0.10467269208258836,0.004771972014113088
FASLG,,,,,,,,,,,,,,,-0.019554258916499888,
CEACAM1,,0.04905963629555511,-0.018822264987379926,-0.01716386445094083,-0.024339462200271212,,0.0787699277273005,-0.026958327991694443,,,0.055863773301658204,-0.030539026179940396,-0.017930264143845263,-0.030993697027608572,0.04976977917730565,
PDAP1,-0.026750905689188073,-0.020133735229463563,-0.08265980903399818,-0.015706191724490236,0.01013887439632834,-0.028077415302423765,0.1446905123550681,0.029820245403164473,0.004913357528099675,-0.011239880372429486,-0.005762377376089981,-0.012472911682803744,-0.024765975317872613,-0.010979088332604442,-0.006138929212340743,0.03363117919496441
QDPR,0.006406226121809305,0.0333953449888507,-0.007583505548706703,0.013636033327397531,-0.06108229610770208,0.00019523505345265686,-0.1671606626275005,0.01801910896437133,-0.01694591588786118,-0.08299902721609995,0.008269346773904762,-0.033750508924675245,0.02063988998942464,-0.016022792573721904,0.09575736369220479,-0.07145007169323492
POMC,-0.00919903930654064,-0.03142497624743508,0.0079971456087697,-0.02584266068900081,-0.017288677230030806,0.024048899750322632,-0.03982178472510359,0.033948263383139714,-0.0172844850883201,-0.03120343192217886,0.14023616408063383,0.03216500801434807,0.06969907403831552,0.012911642586877383,0.03105552610357129,0.030441770334489644
CCL18,-0.02779284206275973,-0.025033666869240866,,,,,,,,-0.018764228557233482,,-0.02165267167133361,0.19216213571854493,,,
CCL17,,,,-0.016084700553357395,,,,-0.02162860455581374,0.004943796000107983,,,,-0.012720654560879027,-0.009169848335090049,-0.017723739380897344,
VEGFD,-0.031314409580728224,-0.0250336748186026,0.049051948275607354,0.1433761258348939,0.03961214272031512,,-0.001202648960292495,0.022568001012027984,-0.0032487606802086007,-0.030422593684088353,-0.07853097709517252,,,-0.029084196857673095,,
TNFSF13,,-0.00018934658839107006,,-0.01109486645547772,,-0.016719563580159563,,,,,,,-0.007041364930771931,0.004765835638625546,0.0016803858822087678,0.013518692843251134
WNT5A,-0.025865953401199515,0.01591349683471589,0.028173220286981233,-0.02719230205914818,-0.02496390908734142,-0.022477572917107187,0.14759869629426162,0.05131678193215823,0.09897995073124546,0.020077552913848433,0.06972847362865622,-0.04871996029781101,0.03403551889163838,0.02140063625335303,0.0007602750921490218,0.06373138427816512
CXCL8,-0.03333427245844916,-0.04857477399751613,-0.025242920453843704,0.041573911665116654,0.05004171640346773,-0.02378249477600128,0.040527390786245995,0.014356509693629407,-0.05312453557490385,-0.013437984533957198,0.12189712704022347,-0.0200832747510428,-0.019127509163885163,-0.039151946779216545,-0.03194553274666887,0.010559928001423927
GRN,0.0029786244869470066,-0.0642507439249391,0.04419903997831088,-0.007485300413045592,0.05568606620941567,-0.06800752642147592,0.13489808778460252,-0.005570812375482048,0.02535717206929079,-0.04501347702133254,0.012333117452657957,0.05544743869394766,0.01084389995528019,0.012490464858413345,-0.14326660899235302,-0.08804230691113707
MIA,-0.017965741707893768,-0.03473645516140559,0.030475214006432154,0.016613431884283887,0.03509221117058526,-0.030232195508234947,0.0897532136993199,-0.01893034162119532,-0.05725238122376262,,-0.017666426540943334,-0.0006269487307019733,0.051034039339610676,0.030166769198714347,0.07796882923068561,0.09196041047611941
