,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.008841117779288202,,,,,,,-0.03759553286930641,,0.13368466827825798,
BMP1,0.028400162472899754,0.004108972305962691,0.07885921622708894,0.052387747792458084,0.057135638501382716,0.08092721478627744,0.16335254323485895,0.09076625542503576,0.06441134267025064,0.013109928525110812,0.09313979414477325,0.14054072901821615,0.10253442808142343,0.027440421444377527,0.10557811446815185,-0.002481125256517666,0.010831650422409739,0.019076462072880433
NDP,-0.0068227518046398965,0.0535476343418818,0.05036003105506814,-0.03548100625046056,0.0192092570006963,0.0056717551862641435,-0.01617833110579392,0.10600268788310045,-0.002411368949983508,-0.008532561862915358,0.09144904254246759,-0.060959495324606004,0.011263669248443967,-0.042427705901940525,0.05174072852405671,0.0733673364705218,0.037577941286670774,0.08231606181163087
TNFSF18,-0.031125631720794616,0.03645149102254202,0.06994703494005064,-0.007266847357336616,,,0.0863899520947584,0.015764198177065356,0.09668163859996287,0.07573847481727014,,-0.009676789383386375,,,-0.025862209557720034,,0.02213182010293016,-0.02634856693378082
RTN4,-0.0850169785915434,0.04034453881959508,-0.013995803566116445,-0.06095000906331586,0.023341264304601785,0.018286688669120067,-0.11170994891734866,-0.1131384631038529,-0.00914691744771068,-0.036088400297478944,-0.008478640250213804,0.03936014371729594,0.004440268760201429,-0.08085167912576005,-0.13524696286696405,-0.011020255322864126,-0.04940910495202642,0.005412453027635146
HEBP1,-0.05153738958061475,-0.04595823731665549,-0.002063491684532202,-0.008511870649011067,-0.04043058883365442,0.00799100688804604,0.02092276016286128,0.06223490943613405,-0.0016867575686315718,-0.006028455364450175,0.0895548900966434,0.10876684995853891,0.046928411666085204,0.06900526433746322,0.012068514486617238,-0.04660196374053486,0.06433984309866084,0.053777376875023035
WNT7B,0.006585682137591785,0.15060241663280002,-0.030517062843962554,0.06565594947561675,-0.02996246954162807,0.06024490618923794,-0.008753634130612132,-0.007413174265839975,-0.03704845020938709,-0.03306740334629167,-0.05265190548039807,,0.10050738312752928,-0.010985348796316475,-0.019493047183633847,-0.02036666850899357,-0.04100441446820838,0.024054224930362373
PTMA,-0.0004378736919915321,-0.050470971628192716,0.05342767512421189,0.010748308537234168,-0.023594216270746395,-0.0031761691275545385,0.1636589919714236,-0.035253560416861604,-0.03125179505018713,0.07006935522808456,-0.022567415111273848,-0.014952725120432846,-0.10226103155862447,-0.0356941891038623,-0.10319957807319372,-0.06065714135444649,-0.056545746109001635,0.06447907897174464
FASLG,0.04297760912641891,,,,,,,,,,,,,,,,0.08546470609302331,
CEACAM1,0.03930531484448233,,0.10865299831129724,-0.03067289617111635,-0.017391337489243038,0.020088571442056443,,-0.022354803687082536,-0.00530541010603776,,0.017292859735080622,0.016527625734961245,0.035791871093247454,0.024357486490853734,0.029864651140050283,-0.013517654096144931,0.14085911249781016,
