,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
DCN,-0.020167609236877826,0.09779478303714426,0.06567553516122612,0.06056707458594773,0.0492983453424845
RARRES2,-0.04109841573798496,-0.04298364630270241,0.04039834342408467,-0.0723219039374942,0.08706288875201534
SEMA4A,-0.04848847072201393,0.024904458540519595,0.039411959386178176,0.021814367495181303,0.005097310537572281
GDF11,-0.005915451249488932,0.007424657978514119,0.04111427915373077,-0.06076240448008588,0.0005085769402254106
GPC3,-0.03730964559362966,0.07816176300274429,0.0944294085632233,0.025003684041649665,
OSTN,-0.020231508699029628,,,-0.046106051269234734,
GRN,0.001293529576600095,0.023241911457339247,0.08352628252696279,0.051725917015325584,-0.07698453480640477
CALM1,0.061845475996824356,0.09001940500408015,0.026864929247590028,0.030351132135917218,0.19418662525028652
ANGPTL4,-0.009878918930810585,-0.05167887490827892,0.10660073801393741,0.005885987718029616,0.06749164794317289
BMP8B,0.014625512002775011,-0.06008198410404601,0.06973873738401407,0.0322796892926679,0.09224203486852933
TNFSF4,0.01548396542800441,-0.019855372824929614,0.053533376817188644,0.020857346211101063,-0.04989244792420626
RBP4,-0.0272253363548394,0.05713843370761179,-0.0037605141318029496,0.1030557695568276,0.007210632866108176
DKK3,0.05458091590732994,-0.02744988325960844,0.0014868155438161146,0.06077930694243151,0.10349021068624839
COL11A1,0.10175350204582809,-0.0321476117623891,0.04252816295922385,0.040645241421740065,0.05010067990819526
COL5A1,0.07024036133341306,-0.0067637049407213495,0.0899086894168421,-0.005937314210195997,-0.03880306538741898
KISS1,,-0.01754666759668329,,,
MEGF10,0.05454150710281499,0.028390962543150565,-0.03138096528782077,0.026475824413346914,0.00887310548462052
CEACAM1,-0.02951498830648568,-0.014092736822374592,-0.023182385084119555,,
EFEMP2,0.04958041174303605,-0.01710246797578542,0.012227263999205639,-0.0019220652411387571,-0.003925790695707791
IGF1,-0.02094465451029281,0.02658038071457666,0.05675153100227651,0.0748645680623461,-0.0009999188195926616
COL6A3,-0.021552446646973696,0.038267451650251104,0.0780043116019798,0.02890919792992073,0.1596126052992163
RLN2,-0.017852918828614943,-0.01463268443141225,-0.0014272404398104665,0.012276467923809238,
WIF1,,-0.016311328438321258,,-0.010696888460302752,0.22840229618074112
PLAU,-0.031325575263874826,-0.030854728777395632,0.020332505338714054,0.020891653357566427,-0.03406546851315588
CXCL12,0.004305995280764559,0.05190268410148516,0.08101050017986294,0.06324695182593465,-0.08757566316302678
MMP9,-0.008528377442415247,0.07482225543600475,0.04290173628577,0.04585593612392354,
TNFSF14,-0.008332424460616543,0.020220399801021322,0.09358495481711955,0.014418518605676379,0.1122973236065144
HBEGF,0.035745057471477874,-0.008075229080835288,0.08306049278650922,0.03452180146453121,-0.04875647934025547
NUCB2,-0.010841831104811251,0.021346673756095964,0.05059736643164755,0.020247240608113518,0.017952346855994068
VCAN,0.012783564805595653,-0.02105343934345265,0.011724310612274948,-0.0006949494808672049,-0.14022793888692572
VEGFC,-0.013589514617319673,0.13529696338052158,0.09855277134567154,-0.015893483879001972,
LMAN1,0.0159553829019356,-0.07245149499541795,0.007541051720574418,0.01754149445955766,0.018730092880412604
IRAK4,-0.03294088531311116,-0.003558348944847932,-0.035894325572759934,0.07283721320267789,-0.005445087761778498
MICB,0.02848577065009801,0.06693299454174255,0.06110943035619584,-0.022202095619338603,-0.04573630323364922
COL1A2,-0.01224047904953046,0.07507226278700461,0.09373340652391408,0.08666216036786095,-0.06602786691905346
ICOSLG,0.01117309382542164,-0.026987196533564278,0.055497052868467255,-0.00441151601565847,-0.027433189850109063
GNAS,0.10903280273741923,0.015967353712917697,-0.03461467884046332,0.06515422571763442,0.14185903294481128
C4B,-0.023151099474719754,0.026114351122668817,-0.018992579891524745,,
COL2A1,,-0.01375512449898072,0.09020068991676301,0.12500709775430827,
GSTM2,-0.0016392187564601994,0.021969510263428985,-0.000586997239096065,0.0039364751493849125,
NLGN1,0.008350299249291968,-0.0355405530568758,-0.0069213549222362615,0.03533424206588478,0.08127450798360084
SCGB3A2,,-0.02363373262520188,0.03149914838304202,-0.004734869514685007,
LEFTY2,0.022741682811682564,-0.023862310602983095,-0.007493994691203111,0.052580724337559025,
