,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.0394889509108068,,,,,,,,,,,-0.03561752822826817,,,0.07898184634708887,,
BMP1,-0.04293767722069963,-0.07471995000390103,-0.00809762062457588,0.006924342061800971,-0.00924422699869139,0.03033819817379782,-0.13880307855093993,-0.11547682304493187,-0.3596128013575151,-0.07161474180596142,-0.00014363759095096574,-0.20212346801635742,-0.001807510011186551,-0.24444921751427848,0.014299630157328921,-0.06597579569984034,0.02414544835310361,0.002547574690796242,0.01712870668051013,0.013021029066460212,0.028228882661359346,-0.07144481840770191,0.005771465879210502,-0.09612314971157364,-0.041239039150985805
NDP,0.06772504620693366,-0.03605322921342261,-0.003677532358482793,-0.021619741080571287,0.07280251621167141,0.014174381455485286,0.18101402125046104,0.059817130604672426,-0.08083507280969855,0.08904267281252291,-0.03638795519017581,-0.08180496757861169,0.030616842008836756,-0.04482102370149949,0.1460363494956473,0.019183493466741173,-0.03987397206755864,0.04208179492270707,-0.02257701791239338,0.06822432726439104,0.11513902225080386,-0.028117995991518006,0.11521857786111471,0.07225243160483161,0.0541053309424691
TNFSF18,-0.03766337776512246,-0.053057025274170784,0.04125110876975131,-0.022193299150510166,,,,-0.03737954094216632,-0.04658068167046572,-0.05045876058162987,,,,,-0.04845501205268505,,,,,-0.036731728175520104,,-0.005253502500715254,0.05768135258885301,-0.10950900006165872,
IL36G,,,,,,,,,,,,,,-0.028039252462598134,,,,,,,,,,,
RTN4,-0.006247427824854728,0.3205202736519064,0.060066562984071085,0.13928944436176352,-0.017745786024272354,0.05641202175303598,0.22689435158880122,0.3292883722637399,0.45555828658487313,0.18312030752217706,0.140907632414384,0.4431514837437148,-0.028206694366681516,0.4458201447952208,0.006507313525633772,-0.07481679907923204,-0.011326224944717652,0.011681995330901793,-0.042687908309422117,-0.10117492213748201,-0.06106433828493599,-0.01739675747965479,-0.06942893719418188,0.36341788882792614,0.04431439366655355
HEBP1,-0.001487960139466312,-0.0845194939757477,0.06744512006576395,-0.0062319202071176106,0.015677775418010676,-0.00814964776192545,0.0014503761681178779,-0.09082623283232474,-0.10447680983900899,-0.09370224697527864,-0.08776765970478678,-0.19849583713168115,-0.024787513276140264,-0.028776608033192444,0.008903126303552715,-0.031944326005741173,-0.0409878440985994,0.03750682909248913,-0.008517915398935172,0.03017581422398139,-0.03725842820225826,-0.043577146474704745,0.050892474907459725,-0.05179791191448758,-0.06681659359176687
WNT7B,-0.03318025616127767,0.3376730741660053,0.00652640903704058,0.10781421723073166,0.02913513525531636,-0.0024080474748458583,0.06492538691144722,0.09110273475537421,0.31012153524978364,-0.038999056190154965,0.053699352396648484,,0.035336360143117765,0.10556417031228241,0.02237309018990363,-0.021410191985689362,-0.03572383677635768,0.009763709073524083,0.058004774773543315,-0.012889139744721069,0.01460796914927061,-0.07049486140321623,-0.01860400693796311,0.061787822532536035,0.018981730201156073
PTMA,-0.028114765739389418,0.03781998666750912,-0.038410799293866545,0.005526922949275604,0.12187451056969419,0.028794397414642275,-0.14316181468623415,-0.3462067387762329,0.12042225613214874,0.06275121458262235,-0.06653670136218456,-0.5487602110942388,0.024308325247205616,-0.44861005502467527,-0.007256835189068681,0.020995951789052905,0.018079099718475797,-0.013081865587223001,0.035755501935673034,0.043067371912350966,-0.021427162424795688,-0.19563925911625388,-0.0048946135722754925,-0.24225468498449682,-0.21235750089048466
FASLG,0.07317107236602524,,,,,,,,,,,,,,,,,,,,,,0.03954904538069473,,
CEACAM1,-0.046071089087332616,,-0.014713935397593409,0.03015835511787384,,0.06361003675107069,-0.004940970435207286,,-0.09621339806612735,0.027537026577639224,,,,,,-0.031187555239035786,-0.03203770902217134,-0.03189907526392344,0.03820703019420299,-0.033891752878753394,-0.004670381129282521,,-0.03914541645548794,,
PDAP1,0.03960259542903586,-0.10467256863753352,0.026470532981707713,0.01821135059215337,0.03624964885560603,-0.0029269473816524163,-0.0795900821730405,-0.1062514815432819,-0.286365615710565,0.02255390769767882,-0.020379042666163798,0.037338050421976125,0.007179609492158905,-0.2123535259315239,0.01833782814589494,0.03508042620374111,-0.004145808621098546,0.009094273164558258,-0.05607909512086604,-0.008265182960750725,-0.01666323120493158,0.12452421784736503,-0.009325851346938899,-0.09958386541373616,0.05954937295798558
QDPR,-0.043909320971229474,0.16772632941592375,0.014295188982707319,0.04495483950707453,-0.023292374088468824,0.02598963114904875,0.23971932733323767,0.1268132759381978,0.1559365292001688,0.11781199560668162,0.0647916493490796,-0.39141399955215356,-0.058609263871278974,0.08523212059495253,0.020111912195965358,-0.06336204548921145,-0.09692717077215496,0.006224021836104188,-0.0044420315110764155,-0.06688475693796189,0.023632144713218,-0.020578350990245263,0.04455402883048126,0.29964338456399403,-0.07873988265799756
