,MGH258,UKF243,UKF248,UKF269,UKF275,UKF296,ZH916T1,ZH916bulk
IGFL3,,,,-0.018835956006721513,,,0.09614225003888062,
BMP1,0.031907100178952486,-0.024270590303016613,0.03565193191372439,0.11028763482716508,0.010139252033643397,0.055705969946560796,0.049942799897409726,0.08027492539894845
NDP,0.005396858522476617,-0.004460042472913492,-0.024528783668603126,0.04332120334575825,-0.045797639590156695,-0.008024837166956325,0.05549359835308517,0.03599936172088486
TNFSF18,-0.02788690821191726,0.13170438061150885,-0.02752375536737822,0.126178787064499,-0.010647509681371023,,0.09009040599453032,-0.04422173633782704
RTN4,-0.0629240925403555,-0.060234666521357394,0.026823972482825906,-0.11707791584877447,-0.06304711597166193,-0.05309823424871364,0.03366532620970472,-0.09061366305981976
HEBP1,-0.07928536998274541,-0.022584781468099918,0.024503130624388355,0.10318875509078933,0.03819842599017668,0.00793335175486292,0.020135277401145842,0.07740514744840785
WNT7B,0.051624541432525345,-0.024416954043159324,0.015991869183629822,-0.0726793550957311,0.06311521585380055,-0.021877219852685193,0.04574512525633549,0.03504580990390819
PTMA,-0.07595120715622095,-0.04427443272713238,-0.01197836802079565,-0.0801702623543613,0.0009104473793143547,-0.007532421254401514,-0.06316147704001468,-0.027873025259725456
FASLG,-0.024567499637612535,,,,,,0.00531058446088345,
CEACAM1,-0.006272878097949885,,0.04608954004885577,0.0059617782877837795,-0.016745996129576765,,0.09700281826099652,
PDAP1,0.09959882484246362,0.07015388794072726,0.04138179654510589,0.12265486820295435,-0.01947064961523758,0.008017068443376062,-0.00748970645525485,0.011172011413429953
QDPR,-0.08832823787083838,0.04219926760233394,0.00751650753363624,-0.06554911302141507,0.001666558743608855,-0.007344814066630707,0.10179209918385346,-0.03894384466789097
POMC,-0.01188645401287048,0.08979553988641827,0.08981809435228717,0.030113464124948853,-0.012354528249030876,-0.0025225471009599687,0.0945948033279928,0.025194308158887607
CCL18,,0.003083301848559568,-0.016108067906404462,,,,,
CCL17,,,,,-0.013279517579130084,-0.016746441791875417,0.056116915940190505,
VEGFD,,0.02443958052290327,-0.005676052383379158,-0.019233092846644307,-0.014148202783512946,-0.019861941721300187,,
TNFSF13,,,0.0502397060785916,,,,0.055485008732544916,0.025022856882621996
WNT5A,0.0643314949591834,-0.0017975933673900861,-0.009627708756043093,0.056262249579375846,-0.012359751307972488,0.01872871938326739,0.036009813346227326,-0.05133561290443081
CXCL8,,-0.01782890256107756,0.021576307131466223,-0.011593806545531491,-0.008165080538662167,0.012524945258842096,-0.06004320676386907,-0.01179478641980913
GRN,-0.13070851764354868,-0.018270121680130407,-0.015352585807589851,0.0733285331586186,0.00741293650140171,0.0023468578714386174,0.047327389546558636,-0.06592089007078211
MIA,-0.03215673802588806,-0.008908846381494103,-0.029554331498340285,0.028355262760302404,0.019497739836264186,0.01508040762608171,0.04343507548651974,0.06577681949736665
COL4A4,-0.02845215811424073,-0.006009885092323116,-0.03301459089927784,0.06535507880674975,-0.013864227203243833,-0.030319616967335112,-0.013525268877048123,0.10165468746473297
TAC1,-0.024567486271446833,-0.04772508023514466,0.07147595789086615,-0.09743661539606345,-0.03776298453794748,-0.008237468027215932,-0.016873329291480322,-0.06817205925913593
RARRES2,0.07366840688336325,0.007223004514623082,0.025395826372468653,0.11883041012678616,-0.022828797229256168,-0.0012904668725739045,0.005423455750420087,-0.015402550003990843
FGF7,0.05626853339858625,0.05092933771430826,,0.09769280407253314,-0.022834403963715985,0.04333401947073714,0.0764624916480941,0.005322791694291908
HBEGF,0.04011019647882041,-0.03260796248132666,0.018640606733836232,0.08961864340953467,-0.014291186849684168,0.027539206570355877,0.060199859117077016,0.04846419657758531
CSF3,,0.008719380538482133,,0.019735475456654914,,,0.01570340820425812,0.01306225134752842
PI3,,-0.01758823331357587,0.03761760887666288,0.012873001016928448,,,-0.06310298718815407,0.047443793519271214
PCSK1N,0.06033458651236634,0.03445907505635498,0.012863537138443864,-0.06674325229007537,0.0028649032940038692,-0.022599002017847508,0.12663435453500085,-0.05129730677592486
NTS,,,,-0.02413702499278562,-0.015838267966539643,0.012831845324486347,0.04461009937622867,
