,UKF243,UKF248,UKF269,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.11686528826449871,,,,,,,,0.030379055150687107,
BMP1,-0.02917033375080005,0.013252091425838395,0.08689084219482608,-0.006304831719696434,0.05800428190998312,0.006687786187121584,-0.07044608474841153,0.026285202928845293,-0.043871773190128124,0.02711154986210657,-0.03721909882087657,0.07642954950846981
NDP,-0.05371436010469508,0.03172814674497561,0.04636468020627489,0.017833947037833416,-0.011944535068904118,0.009311649722072567,-0.17863998831598446,0.013175408185387118,-0.000871056021587321,-0.041394512676104916,0.04075306624642937,-0.061698075892572535
TNFSF18,-0.024096580822622858,-0.024102611009505972,0.01956725395311802,,,-0.02562519210986129,,,,,-0.02588725008251304,0.018931338419561863
IL36G,,,,,0.027791060652177787,,,,,,,
RTN4,0.0007604988429286461,0.09037366065620621,-0.08576397323695178,0.07303494136378315,-0.10329402782523303,-0.06146016124256293,0.025383586400617452,0.08776975171095044,0.08397237921195681,0.05270399255229504,0.09488902536092358,-0.18588999691637292
HEBP1,0.011282355899020189,0.06382465310388877,0.1167038415294927,0.006922157560110305,0.04292419781132016,0.05119967704034464,0.09347147975432656,0.03696297060674432,-0.0009235290056483531,-0.022469306542215205,0.029935007591059177,-0.006322714825434091
WNT7B,0.052452227164103714,0.0049346585089029595,-0.061921595397875936,-0.011246855396774986,0.0239881606030027,-0.0023448686890260666,0.06227347222410647,-0.07401453232880378,0.005158469360834021,-0.030656535274921688,0.014129987671171313,0.016908008927833867
PTMA,0.06220710629651793,-0.07045139386132276,-0.12046127975290637,-0.04506410136915628,0.16262349565619452,-0.0172272978230868,-0.01466228968626705,-0.07199323006019719,-0.012544141614543916,-0.0006916188417150645,-0.09247420390470687,-0.016533043836117055
FASLG,,,,,,,,,,,0.03024282291235756,
CEACAM1,,0.07261974642521209,-0.022135290633180732,,,,0.00745220884224192,-0.020128663295103787,0.04200734753104537,0.02070777848659176,-0.025172541213072108,
PDAP1,-0.020241940379329252,0.011246832119419447,0.06855698460911165,0.014737110068454632,0.012385530962779395,-0.016351210978883066,-0.04133509202460111,0.04440570293043287,-0.03440914404979255,0.012684372975996588,0.03741723982618326,-0.003124777410074331
QDPR,-0.034098924187858835,0.022684286700104295,-0.0651344153781529,0.03143832913518204,-0.049021802883297355,0.09908847700259767,-0.1282716665047863,0.011044055383989417,-0.000619496595547302,-0.027644854121662385,0.10603626656332824,-0.07340649299603275
POMC,-0.04549836599164015,0.06879723757166202,0.028053398727425564,0.036851526910240594,-0.03488764015751553,0.0449857560944293,0.006963295870714941,-0.009531214485912808,0.01826266369666723,0.01099681938785721,-0.020179548623315544,-0.05911309382840102
CCL18,-0.03231549620585831,0.051016743455115046,,,,,-0.04226499488136455,0.017775037539045798,-0.014198400359125066,-0.02255796475471393,,
CCL17,,,,-0.013920454173200043,-0.03872626304451894,,,-0.02942379063491727,-0.040562710601591445,,0.024223619587649566,
VEGFD,0.03085055526902934,0.05382060036893485,-0.002882183874882154,-0.010210821482018302,-0.004825133646985047,,0.020313155338127296,,0.01338287840354951,,,
TNFSF13,,0.008904420209558192,,,,,,-0.006496699619901748,0.04108842405560712,-0.03503333058076802,0.012483448462710116,0.029718852122475284
WNT5A,-0.0026133593703226996,0.049543337138415015,0.10383954449250894,-0.04657939103189439,0.027112335015110723,0.07011185281372262,0.08447095693322013,0.014414621274285123,0.04784631708816856,0.02890244304046718,0.05803082231584915,0.0041107663383322035
CXCL8,0.0037799576262392285,0.057555349008806926,0.005323800427035581,-0.00950876094533376,0.17653725732840292,,0.20556869886050003,-0.06358594976878523,-0.11571391157072397,-0.005816551884364824,0.06813272894898229,0.08634373763870193
GRN,-0.03916478354733179,0.031143490471553553,0.09538692461137559,0.006101381892097907,0.006773967459211679,0.10550891434372339,-0.03697331823230844,0.06330715510384223,0.00810491125278498,-0.00221592047658113,-0.030174748648118543,-0.10892742545945229
