,UKF248,UKF259,UKF269,UKF275,UKF334,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,0.02258469529321968,,,,,,-0.016113804456352875,
BMP1,0.03649106335183321,-0.011756993557272308,0.12101572066957215,0.0502372689144868,0.06316984586569131,0.08373762462710195,-0.0004269433669844136,0.01650722412100023,0.019928161894507992,0.021396008342807946
NDP,0.009514738265352925,-0.041520858473948576,-0.009917212142616124,0.05821072082563183,0.04783201137578017,-0.0001985954192597801,0.023213420561907446,0.01044543669854791,0.07565076854658315,-0.04168899055560729
TNFSF18,0.029265048561092893,,0.01498011952834728,-0.01433915937630401,,,,,-0.016617882110485174,
IL36G,,,,,-0.018536725081576975,,,,,
RTN4,0.0068535653467150836,-0.0381422982957795,-0.10899229891754059,0.029173161658050638,0.020108807318975942,-0.01077742539519222,-0.01773094379541912,0.01933632550349258,-0.017580232709222283,0.06656646251135992
HEBP1,0.012943689344240067,0.005630364556095492,0.08349078944011212,-0.0283636803594183,-0.021554801168256203,0.043160338320340955,0.0777881753432545,0.04287001815056311,-0.020375117689997516,-0.0263248592258825
WNT7B,-0.01103601886670738,0.05770386169345036,-0.07622949585030611,-0.020616025957214925,-0.02037399706279337,0.048886831711382986,-0.02238974793863964,0.006650016287274703,-0.034749335844706755,-0.008024145789576916
PTMA,0.02774416402595491,0.013343394271056085,-0.08919946184048717,0.016927890510819103,-0.037861756957608426,-0.1105844736026312,0.014122199082201073,0.003985799707573158,0.01709101252691305,0.02635382237683754
CEACAM1,-0.018743062263176583,-0.014991320409538962,-0.0245624328642696,-0.010156910300505766,,0.05995026829314357,0.06042320859564802,-0.018648621139704787,0.01722604687206898,0.12685717269693514
PDAP1,0.03731214303451708,0.01806580988030141,0.12245003105461985,0.019247407458446802,-0.03663525020324261,0.026041589794835732,0.05084037498825359,0.011006831430789083,0.07912035174005892,0.03471861240652457
QDPR,0.0022669118686956423,-0.04761082950914132,-0.08765029188793613,0.022172192453307163,-0.004326376932213436,-0.07052931433162327,-0.04665450989541611,-0.026181218021395024,-0.022625052408723704,-0.02746470507134631
POMC,-0.0027890209418051765,0.027508208690039417,-0.04639350927118689,-0.01663802662624982,0.0036667231230776832,-0.011250723363944512,0.09692580246350098,0.10215359123933047,0.04061553384047788,0.010061117609859869
CCL18,0.03660357691602082,,,,,-0.021652675632458034,0.029960649920200182,-0.04553869791841743,,0.00379528315604043
CCL17,,-0.015007679147750908,,-0.01788372349083021,0.06239394403869408,,0.08188011564864232,-0.026920455365041892,-0.021245120361479075,
VEGFD,-0.023389578211724507,-0.016720211864407725,0.06085748777459054,-0.01905359475333553,0.09392489356147597,,,-0.018648621139704787,-0.02240704468943296,
TNFSF13,-0.017650526285729436,-0.010351961194341192,,,,,0.011831664088013862,-0.015542138448154455,0.1155646806412638,-0.02372627806250044
WNT5A,0.010119314433418626,-0.007147107146052905,0.08418367640282663,-0.007953130161166621,-0.0017346399140462292,0.04691056532031696,0.03795243424206979,0.054005774085567844,0.016764948762035763,0.06752545492675224
CXCL8,-0.001193186610772827,0.011795239346636106,0.015956900311019973,-0.034711897050119976,0.020940898479569293,-0.03812294451820189,0.026644471627202286,-0.06879473993014126,0.08377879920329642,-0.03735822917181723
GRN,-0.0032581189161910358,-0.015671741069776052,0.06708377636100435,-0.024560329360344694,0.026404379741686114,0.045264912257591994,0.017191907608853453,0.05319474460329496,0.10450830030070335,-0.03967517458351664
MIA,-0.015808949874222968,0.0364504189391247,0.038813900376796,-0.03515069508548934,0.02975064303714889,0.03330987219188734,0.018682944610807058,-0.04934968060438354,0.05975396124464148,-0.023695252378738818
COL4A4,0.020155792821954885,0.008338127738295708,0.023493474849408138,-0.018671160623072974,-0.02411047425157487,-0.02737574744876463,-0.009838902794051087,-0.02985935832279164,-0.03272639056700376,-0.02496269577445403
TAC1,-0.04720380968966213,0.054575739758045604,-0.0912550783863415,0.05053764798709449,0.007989400076911036,,,,,-0.02639490764937159
RARRES2,-0.01873843454765738,-0.022565624943493616,0.1343424046279815,-0.04765997743042657,0.01282372749611144,0.05276399518841164,-0.02561341115963538,-0.007846067399237764,0.023807799030709672,0.01874237684121514
FGF7,,-0.014525714654272838,0.03612403043526704,-0.008520556348102682,0.057356392785467926,-0.013833989362457099,0.031853752042297345,-0.0049761015335336185,0.07469647229326623,0.004506866406129509
EFNA2,,,,,,,,0.07626943200460304,,
HBEGF,-0.0351207458636343,-0.06220907381505704,0.06613919064766591,0.0250139750181745,-0.027823673100371378,0.020684710571096422,0.006224026296680353,-0.016334944530676142,-0.0008382999516564682,-0.033514042685017786
CSF3,,0.030975816365336875,0.0007022583745200807,,,,0.027324896155982176,-0.07350798418604952,,-0.030291087057857814
PI3,-0.024606814610565488,0.007660628610625958,-0.02162101246682568,,,,0.01180216468689475,-0.007081240664656686,0.11861474587097127,0.02075975626635033
PCSK1N,0.011719268676866635,0.05057603682714805,-0.033568308485940536,0.022070246204641545,0.0037275119617654704,0.1112655066971153,-0.05511552137406057,0.01809917350451219,0.03305051130735336,0.062125434297647886
NTS,,,-0.02360081140837717,-0.02132963062848128,,,0.007047431747971706,-0.0018011281794998247,,0.01759161599909655
SFRP1,0.05229133669704468,-0.013094780157096635,0.011976365580506453,-0.008801033171144902,-0.020311481044058517,0.0023631051816871322,0.04561119120026298,-0.02255462917212016,-0.05636128975966005,0.012691369606785486
CXCL13,,,,,,,0.039631832517821985,-0.03659673360759974,,0.026393806040076368
MICA,0.04701050560121901,-0.012270756495667468,0.030751278304497778,-0.008406348632428463,0.04352865950415324,-0.02811265239734684,0.02350136122958902,-0.027479354020452318,0.05759853900281175,0.020354579784921122
TG,-0.02706391654587863,0.026004296077807586,0.045251877588815416,-0.0024290966679973145,0.1343794126520704,0.004963278940550182,-0.028696523043821025,0.036426739565053115,,-0.010012466461575843
ADA,-0.01530840682678982,-0.04421454683477303,0.09900033960579133,-0.03324607338036871,0.018614507028794372,0.02300268642618295,-0.023270857371008306,-0.00015785572650373918,0.04222265522916948,-0.022179515938761787
LAMC3,0.008474374305102707,0.021279441180926117,0.08566376622275268,-0.028803886229461135,0.02967070126321107,0.07863019305796463,-0.007057837579813978,0.046525102073814315,0.07031475492798579,0.006127186707284045
CCL7,-0.014877742917573442,-0.01021693801408242,,,,,0.19297511872143464,,,
NGF,0.028266270035484282,-0.02340961451875276,,,,-0.03217724303495231,0.05607272286150798,-0.017486022411114004,,0.021196161897482368
TNFSF15,,-0.011377060182717915,,,,0.10661915362390742,0.04137977817830331,,,-0.018810245029129556
HMGB1,0.0016534998711600663,0.013474266089687194,0.06461318426407921,0.018687677218780008,-0.03722969739651619,-0.031172967954170086,-0.05135544775280445,0.07493129534168963,-0.016657777738976934,-0.01564279913492522
ITGB3BP,0.05415486161485581,0.0032504960249121946,0.07792190212456575,0.003992678788546005,0.0317993499277116,0.07621741176151982,0.02367418881839736,0.017718086516517767,0.04629338306302903,0.01219109195537408
AANAT,-0.02158534148284614,-0.010351962299186307,0.004861356678500104,0.017045704092618782,-0.00796071631814752,0.03905701356052422,-0.028396195229000824,-0.02385206199409222,0.03030663960668099,
RELN,-0.008063270353634952,-0.01796868828075927,-0.050822808804647665,0.03645447959171657,0.014909353216575735,,,,-0.0029349042161190227,-0.022720737485145113
IL15,-0.030454242210603565,-0.027182994818259257,0.13370122256438643,-0.020310111894130768,0.07350750192892655,-0.020079546437321107,-0.009732207437575342,0.06685899340458484,-0.03272638641970659,-0.028067248597859022
UTS2,,,0.057606855735002724,,,,0.04655597528053847,,,
