,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.030244893826335637,,,,,,,,,,-0.0090759786090068,,,-0.01941002742831858,,
BMP1,0.001979921004366058,0.02123932586475177,0.07096952729570541,0.08736042795887734,0.021288260726205387,-0.03772054138723916,-0.0678033254145811,-0.32270623703848733,-0.008243343591385233,-0.015466956568066858,-0.021820780346805846,-0.005793063690951011,-0.11987629319706124,0.09161107242793995,-0.019526193895590436,-0.02317440412709474,-0.02766309492231477,0.040405984281474586,-0.0471920960676456,-0.02674532636619384,-0.012256752941267044,0.05920144708952677,-0.06862947186769038
NDP,-0.025013957330442965,-0.009113662989921322,0.025915406892878644,0.05395006945429192,0.012083910967720619,0.13771512739051592,0.021193725366834327,-0.05060099579577509,0.02193374674002951,0.014610002904647198,0.026281275706068592,0.022263967851840673,-0.052146486576285914,-0.08164049209659774,-0.026612746634246398,-0.007564392454153456,-0.0024208193795842207,0.005121195972772665,-0.04170253008151702,0.09482889684903648,0.06134795572127232,-0.03544048096468617,0.11912935801465849
TNFSF18,-0.01339645556173564,0.018054613913998367,-0.005390841382741131,,,,-0.007788833505958118,-0.06926618808422262,-0.03035124223953784,,,,,-0.02334200656192567,,,,-0.025181574596660875,,0.12907641239968268,-0.01942817149773352,-0.01544745382736788,
IL36G,,,,,,,,,,,,,0.041410266130356595,,,,,,,,,,
RTN4,0.24441682782172003,0.04923924495138581,-0.030694659437883926,0.0411853959691534,0.04095350009062299,0.21089293047582833,0.33973850423909724,0.42048556165434126,0.14233822597887447,0.1958075963092301,0.13586842264138496,0.005771023339108133,0.15861227326749372,-0.021745780899214556,-0.05177959125005632,0.002657764253998105,0.1070665116296746,0.009003917472135595,0.08344630412987171,-0.03279457236917083,0.013036256058492323,0.17634955422681592,0.039002916191945826
HEBP1,-0.038868098158165644,0.017255146134528707,0.06100688524540039,0.00242590538749769,-0.01688270062297536,-0.03428780593779418,-0.10178045280219467,-0.08368782189554123,0.016317147687446514,-0.03769697872560871,-0.08382926132650438,-0.011473703341943597,0.047012076573092275,0.02507141207249426,0.011343282099444893,-0.0032700269288951592,0.023934665836064652,-0.010169122274080131,0.026846116891784514,0.14905582513852453,0.10541748698120966,-0.05853064867841609,0.009814232593390178
WNT7B,0.31747235579953464,0.027224880674364717,0.00886396047284679,0.08670585452293111,0.02479685497093939,-0.009275062941223848,0.12417991351061428,0.3853239682039454,0.08374436367509848,0.13449793800863355,,0.0013104017105851475,0.05503240235526533,-0.02569727091856265,-0.0494644039865451,-0.007664554407096237,-0.012005775608176616,0.0013177923315530104,0.014703336438808386,-0.04694152173163751,-0.009029736181060814,0.010272432244033342,0.07576429751528589
PTMA,0.06170906354927834,0.029704185578846867,-0.01725531465337278,0.07058207653669209,-0.03125912595445986,-0.11725867000497202,-0.2883250742713654,0.11022047542814341,0.05345365425487117,-0.05839746721069476,-0.05888322771193438,0.014286758754662385,-0.1184932808077241,0.058763993059450494,0.03868838518323363,-0.04750429741881038,-0.008583313881204747,-0.010359482923895973,0.06068255381999549,0.05724978267313399,-0.025704945961912747,-0.0009197931007547415,-0.03752687123701704
FASLG,,,,,,,,,,,,,,,,,,,,,-0.01683431016675416,,
CEACAM1,,0.09271699860614109,-0.016377435518264327,,0.02588454913344137,0.007201662115387607,,-0.09115035841175001,-0.02337864106852792,,,,,,0.035564727278989045,0.023244470124712563,-0.0013812310222984898,0.034272166990710076,0.013918607290438909,,-0.02342247008692638,,
PDAP1,-0.08548370997493364,-0.008529775407276856,-0.012038254982760616,0.004659800067259164,-0.030986575630784646,-0.05489792128928595,-0.048376684846551,-0.23006390753867692,0.008146343694059829,-0.09705121212940614,0.03530204787948794,0.01566550066993908,-0.056385941900591686,0.029853560001539926,-0.04974751100511788,-0.04508277328909787,0.04930389223786947,-0.009124427843879334,-0.033856279793827534,-0.04016880543848414,0.04336501434661692,0.00676366640504347,0.05042795849727823
QDPR,0.09059261021793874,-0.03323697147024851,-0.013350184623911146,0.03440487031855892,0.018149287573715533,0.17582768184662254,-0.053865354838543746,0.06581165365721693,0.041787017509676144,0.01646630922131981,-0.05305982952070808,-0.004355531757532716,0.010383246859873735,0.004947883225015778,0.059846105230653646,0.04287892824425967,-0.056701855656400374,-0.08087187036099173,-0.029335865578033804,0.11744271506122102,-0.043448016045354705,0.0024719904078991705,-0.008622629641005105
POMC,0.12833583797207385,0.04530835489200109,0.015287399532960039,,-0.014974650565584427,0.09505806072769808,-0.02619104740278558,0.05102942241704431,-0.03521718137505987,-0.02449249887322161,-0.03440472267833173,0.03661253998466715,0.00826967500493173,0.006145762711961689,-0.050815819544471834,-0.019350525535163136,-0.03241993871077212,0.0007735835633999775,0.02313670414568979,,0.03283328104544724,0.036763457977427735,-0.007532071750068954
CCL18,0.004272743940396376,-0.015461140727637606,,,,,,,,,-0.04113382435121465,-0.028793725753104554,,,0.04003209161401681,-0.0060444940098163735,-0.013395385876667524,,-0.015647563705029552,,,,
CCL17,,,,,0.04887962485508382,,,,0.0005225243210899426,0.04737802945775675,,,-0.027151923172896077,,,-0.023050107611101225,-0.024865604642951015,0.034395587143996445,,,-0.015258411342859905,,
VEGFD,0.02618365835385375,0.016023133897812937,-0.009463467701693347,,-0.02678838923075221,0.043156733333524676,,-0.044621228837647076,0.004724042864675072,0.020884305225195327,-0.02684481897915785,-0.016786416178446267,0.01840610014882308,,,,-0.030125612825929154,0.08729575167431358,,,,,
TNFSF13,,0.06519017936054328,,,-0.016585457649969645,,-0.006721590000491852,,,,,,,,,0.04089595021807447,-0.008827590920583233,-0.01671797658295921,-0.005235439472155495,,0.00979340004756851,-0.02015252592841816,
WNT5A,-0.08432693854447447,0.01265376391948885,-0.011552308744755765,0.030144412918021776,0.0015296255459412958,-0.10486135577579757,-0.14075056467988886,-0.25930615517880745,-0.004135791575385028,-0.013516873340981094,0.017264702469747057,-0.012728793783295672,-0.012021974544556701,-0.06753957571076026,0.04162074947467028,0.02787476604566641,-0.000930294814387812,-0.015439783713234224,0.03949923663830018,0.023158877838019013,-0.020435609773921407,-0.03485151099217329,-0.05074082273147199
CXCL8,-0.07503350292633314,-0.04653438430482006,-0.021964110180293896,-0.033906631883588806,-0.031405127642722096,-0.05859156179182728,0.016650083882195552,-0.11575962661228242,-0.04423942262125187,-0.031038509576257547,-0.058727611084485945,-0.04703591050760132,-0.030502126146154322,,-0.055376730385031686,-0.06263063326966713,-0.04121469966940543,0.09040726244124564,-0.06393921237025679,-0.07985506244118452,0.0369601407218655,-0.040499937138250265,0.03429125558144202
GRN,-0.06808647352514699,0.026985836177736363,0.06585867548975016,0.05052472593318608,0.04730885576436025,-0.035157721132924695,-0.1719768510725289,-0.3102312756513704,0.027099292174469897,-0.10987069608389777,-0.032850457618308154,-0.004764021646817134,0.02155261780145734,-0.06524145514559553,0.022350331818882026,-0.02277975638891346,0.014201163986212956,0.05602541368126964,-0.04822443888786654,0.03552413623703567,-0.046515611842034704,0.12290104242601109,0.001889426664584348
MIA,-0.01751384261916147,1.80253305295917e-05,0.009647047733665712,0.01627840878117414,-0.026204468721394165,-0.013250349544825693,-0.050845265558212276,-0.11326410680814333,0.04095476204135661,0.050631399584572384,,0.09925104523396346,-0.03985317694175139,0.020728563033122697,-0.06015924223230692,0.11503687980344772,0.00708359934373258,-0.016882195860222732,-0.011760086818944759,,0.068853825926587,0.02261501736948678,
COL4A4,-0.004985894549234103,-0.040154406016765426,-0.035082598652669356,-0.013735258212723886,-0.023092764966981212,-0.05840710935899736,-0.04368279417321744,0.011643101630314201,0.08179201793928928,-0.006857566088837528,,,-0.00321336346148755,,-0.03976553764977807,0.0057969602319850695,0.010815906092453765,0.006848268956234497,0.041519619308361316,,0.007016300638119122,-0.08276241621955438,
TAC1,0.28642271886238724,0.03625923998064234,0.023749134768448185,0.08458888380906589,0.08262364191245282,0.2261542909744466,0.07806337361235433,0.4223305295772206,0.08690008170749909,0.04354411278918407,0.025665534178537817,,0.13422966073394196,,,,,,0.042459903404315595,-0.013090199954495578,0.02045062071959508,0.13237635537240658,0.03755813432570137
RARRES2,0.12498839851037946,-0.04242223081970051,0.041189523329249654,-0.06762542946399151,0.02884481372110276,-0.19826944858435325,-0.09872237172990934,-0.3507878514821651,0.00928799204773526,0.01428683106385595,-0.06393754326277601,-0.04582976431686222,-0.07775560695779464,-0.049863535695016274,-0.0036280341109524833,-0.020381713304086307,-0.006608623882765877,0.0030315992655955614,-0.006072478853066082,0.032887558064532994,0.0915274027439513,-0.11037185659975288,-0.006716170514539637
FGF7,-0.07383656244147808,,0.024647630168008337,0.03557814496440744,0.0020231014180807196,0.08106459787526447,0.012350438588913127,-0.037092986955520345,0.04658642889785721,0.0568617332169047,0.0013588713283750034,0.09056480512598347,-0.04908568446498143,0.06940416179675751,-0.040534283207434414,-0.005614816548508836,-0.041210369955675,-0.03406898871101002,0.04248885439635865,0.03428649032941402,0.09246925584061004,0.10361944643816189,0.09129573005452864
EFNA2,,,,,,,,,,,,,,,,,-0.028632378892333492,,,,,,
HBEGF,-0.019842515382329225,0.015439443027152873,0.027205187789842503,0.06463420370718725,-0.06748688140511909,-0.06787642835531382,-0.15626028746131668,-0.20684268728350613,-0.10264846078673284,-0.04372133379457973,0.03417271905151363,-0.014118779397288832,-0.015028965670944165,0.027829084874330435,0.02218657612520184,0.01654606992438263,-0.02161635579752968,0.03274404525720867,-0.028845689632758617,-0.012921158559200178,-0.05571537734344337,-0.033332415312059584,0.11649249137023598
CSF3,-0.06418008986583414,,,-0.03440506969548144,0.03175514615381042,0.010622351207369431,,-0.04863011518533687,,,,-0.025218673487789722,,,,0.006369173398359717,-0.03753259480794501,,-0.05423154161895365,0.009739941612046424,-0.016064753256255313,-0.024338313717762437,
PI3,-0.05216060155667346,-0.010863131928875567,,-0.07474353966282385,-0.049456988203034354,-0.03372456903011914,,-0.05475815154673576,,,,,,,,-0.09880610352280653,0.003033443230757354,0.004510929897115562,-0.013903438414049197,,0.08008771529787664,-0.08365697853757602,
PCSK1N,0.2165741754654562,0.045974498089273945,-6.562757598054973e-06,0.02639274196178086,0.013705668712791861,0.0992722976929513,0.06707659122149869,0.22088534730931744,-0.06851338060247293,0.053728553297137625,0.09272588588535113,0.04450165665937281,0.09653956935392173,-0.028440213697829196,0.1158339354962781,0.003010175408211139,0.07891918481049313,0.04709740791955375,0.1332016748314515,-0.04620419072145,0.06262031718719643,0.20384059286834552,0.08527250638409611
NTS,,,,,,-0.08825510842354305,0.0800676408911792,-0.05977226134570485,-0.045147750233861104,-0.04292423558666357,0.04631396433313007,,,,,-0.05377350162892577,0.04758476114836276,,0.06496540636656604,,-0.023789708963201484,,
SFRP1,0.0674680116754008,0.007882951847973803,0.04185595276737653,,0.07784545616114669,0.0975700710350035,-0.0957392046946539,0.013530791856060284,-0.019948864732129486,0.08947676459614935,-0.058124753398790835,-0.0168604839292296,0.07080579108184247,-0.017348977606623593,0.04585159102884241,0.02191254097819825,0.031128929628453414,0.013363113214568725,-0.02643753594342487,-0.11791291700510106,-0.02323689639674163,-0.005408614107467047,-0.036488185167937205
CXCL13,,,-0.003569684200551827,0.05874308838411125,,0.0234631619719522,,,,,,0.018169606317881837,,,,-0.05177526762875785,0.015684744071319073,,-0.0107037557531244,,,0.01715781532996939,
MICA,-0.0432482534760868,0.006154486986064734,-0.008463665074065284,0.06441063163725781,-0.016675326910377927,-0.009768052401336335,-0.07266637582411128,-0.11107476534832213,0.004441255519510435,-0.04067967618671205,0.003249698459573301,0.045315634348285214,-0.0835552287748711,-0.012889828549473766,0.01844895597984924,-0.013552506565381895,0.0015239399994415948,-0.023344508819364652,0.05539193796163678,-0.07018337341738551,0.00459700389660511,-0.03209179653313811,0.015866135684041844
TG,0.10603228129223875,-0.039229395583663965,-0.022270012508623302,,-0.022640616339248774,-0.03722924483490104,0.045108002150938686,0.007677869119045136,0.007796636552467193,-0.024005124206554533,,0.006074489184719555,-0.040786019821843426,0.1536416835436914,-0.05121170184138853,0.025075692246557212,-0.042962375950025916,,-0.04463339210576607,,0.023687448845120758,0.024705896554038424,
ADA,-0.04860762676648933,0.014145649473452402,-0.018021986303385022,0.055495421069275325,0.0013116899037288444,0.06127786497308739,-0.061530860027720374,-0.25624447016765234,0.03917448585386443,-0.04244827073820328,0.0014883262691358116,0.026274083597882383,-0.04876511500607526,-0.037181421303353786,-0.032211664235480615,0.06336887187695982,-0.041040558094755465,0.06027951007238935,0.004210456726322634,-0.0279191644994895,-0.08539595181582832,-0.005364322337845866,-0.0560377694216059
LAMC3,0.01816991936273899,0.026957383463535357,0.005730986872926675,0.12483049037160909,0.0113316589462306,0.09393275184695259,-0.10501428860074286,-0.19450418906096786,-0.030896444091419138,-0.05738132048375961,-0.003916783941565294,0.0010521597539714603,-0.019530999313410877,0.03672644797701376,0.033252505014627995,0.04727752851634577,-0.05372043934461495,0.028572850125814613,0.060727729080505825,-0.08293034315623278,-0.05762065280216339,0.15913717004400757,-0.1014735540306019
CCL7,,-0.026485432334445187,,,-0.016369129439700637,-0.058742451444910866,,,,,,,,,,-0.034546798244902414,,,,,0.008510834573705982,-0.06982207919984737,
NGF,-0.03697597418693351,0.0023352528171508486,,,0.033652065367595206,0.008283251030608653,-0.037078625085038064,,,,-0.020042300864295082,0.010187984456281022,,,0.028047960143760976,0.050571051610912326,-0.013752689129789697,,-0.043807193053835576,,-0.03232993521853588,0.06496765284349787,
TNFSF15,-0.020649310479808884,,,,-0.018227826234971947,0.052772393358126654,0.012680530478909614,,,,,0.07866256719527612,,-0.027573016901291898,0.012134872954786949,-0.03367924901791314,,,-0.03367685630467755,,0.05547839219663462,0.06988423197157448,
HMGB1,0.10783273937758611,0.05206499092284799,0.059391699193104906,0.07148574745955842,-0.015229515751037417,-0.015821596132939847,-0.07395121039995149,-0.2717132250749928,0.10257486825298173,0.002882615662404044,0.011801283516527237,0.0711635470557946,-0.009525753974689972,-0.04532333907319169,0.004980325880820317,-0.08839468298097447,0.06196302738246908,-0.0014141169117901893,0.02037126041279152,0.06911359239390664,-0.033762730536212454,0.09209510000494014,-0.009937006486104053
ITGB3BP,-0.10316318535625932,0.04923951648502605,0.02889581677391331,-0.010124140161023124,-0.028697253766240112,0.005802988546701642,-0.11956744833613271,-0.22766788940404187,-0.05531682780489912,-0.04007777217476074,0.04867390364687038,0.0015194978224624747,0.0041175958757209185,-0.03406531694822133,-0.04683628842999053,0.07167223517680434,-0.020364114718692053,0.049123982229499964,-0.035267507327546126,0.062445556687377425,0.050804811585931905,-0.012542866932529928,0.02061596594429257
AANAT,0.06393519471013485,0.0425726548955532,,,-0.01658545942010397,0.01586634781869564,,0.06222316849307171,-0.025708784382780247,-0.037906058577085275,0.025809954466739636,,0.00398444909673463,,-0.010198338199921515,0.10004186632044347,0.04152073981745375,-0.03899837491257503,,,0.05267217637862415,0.02850940226045996,
RELN,0.15031124994088402,0.03825480012067112,0.03721538027474516,0.004151193173151292,-0.018295341209697197,0.06481074702083638,0.09056416731373544,0.24842604908675134,0.05189695151956121,0.07223267151258542,0.023982365445968643,,0.13261416464430664,,,,,0.0584666128455113,-0.004006614185902965,-0.021434070288350912,,0.06330798748554602,0.08105748590672278
IL15,0.01322944363072811,-0.006991187521929524,-0.028371655224656157,,0.023636792032792786,0.022579054918069205,0.057259327489334995,-0.0922287585248324,-0.017810602695778426,0.023047108033061783,-0.042715776267700685,-0.03776264703142158,-0.033779450625531726,0.024279455593695383,-0.042840445336525826,-0.020790006396066693,0.04673916494992787,-0.0032534656006134644,-0.023142782503963386,0.11286826579219413,0.0249161221188587,0.017702538789267166,
UTS2,,,,,,,,-0.13405992307755865,,,,,,-0.050958573404891946,,-0.009258283469711918,,,,,,,
BSG,-0.09973126389288135,0.030857281645824505,-0.0237393452486219,0.04548568905644921,-0.030811088060693607,-0.02736278845683403,-0.038250066847840575,0.1819120609726373,-0.039102543443507234,0.033800066316776345,0.04426239303318845,-0.050531674424127836,-0.0645117445826487,-0.003926529052673848,-0.031721701256710005,-0.00916276257097722,-0.050600938129436446,0.04598876911912786,-0.03983586596440594,0.05123003014230301,-0.01894186813671289,0.07154909446179591,0.15200769607117903
ADAMTS3,-0.06633121947205307,0.027439305639269985,0.014261845631482523,,-0.010941066906080911,-0.02880227602320899,-0.04064300013964876,-0.31241276627249187,0.0087699493896356,0.02314108209831582,0.042210063538431424,-0.006290504434828389,0.016760690764881733,0.012532836099869422,-0.03922543746497382,0.1220364394283388,-0.013390175889020368,0.10165392319945661,0.08902839187177138,-0.01028349307784282,-0.029940163845060833,-0.002582796989698434,
CD34,0.12340364345971135,0.036540788920826094,-0.019774146834991534,0.17111701542355495,0.021864224279737665,0.08722279258915368,-0.041380786588834456,-0.1676922243617446,-0.03888226424101945,0.044219698003633276,-0.016852588984143012,-0.03945953271667523,-0.020398612066503705,0.08107008524486142,0.048119873695612166,0.0658892967815934,0.03074263603029842,0.04383192260838611,-0.012689821294472135,-0.09798583255675582,-0.03923278132636948,0.07740386694853373,-0.06927478790404469
CCL23,,,,,,,,-0.04991218053227898,,,,,,-0.02601816107302705,,,,,,,,,
PLAT,-0.14268958194014147,0.04141560457380236,-0.04284118232671373,0.04240475765895792,0.012065571315753408,0.0022321179434473186,-0.1837867945322708,-0.27450122160719315,-0.060689772227129915,-0.03767368151691119,-0.023529801574513814,0.05176580719770027,-0.04535906422397944,0.0022313885280365957,0.030841152743435178,0.01753636137597541,0.052154733049021976,0.06588810713302853,0.03864347001360204,-0.09205395618892775,-0.02298078086610387,0.10198818872614646,-0.016088701866810783
NTF3,,,,,,,,,,-0.03057941185877521,,-0.0342082135290487,,,,0.0946130589125158,0.008791291245998025,,0.02611068969955197,,,,
