,MGH258,UKF243,UKF255,UKF259,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,-0.01660306037110937,,-0.02018780295815172,
BMP1,-0.002055677142636338,0.005528375387348763,-0.06843849112269162,0.005189846105786403,-0.030737083273578172,-0.015360760067190244,0.036556226463716576,0.10085681344805529,-0.04333251996775506,-0.015544689449665553,0.02451163030662014,-0.018312503953433555,-0.04309983046591559,0.007243992024708028
NDP,-0.006177170641375687,-0.06989623927142917,-0.006415519742568274,-0.04307663839628774,0.0343931245484018,0.0029932709128416015,-0.004487350229094309,0.0012028896609943365,0.007979119128259863,-0.030613863141612532,-0.0019403061274386908,-0.005013027974212253,-0.01287911202173598,-0.03316335289602458
TNFSF18,0.019259209470967886,-0.02731100373181645,,,-0.010647508685444212,,,-0.04210518543889366,,,-0.01712244309949951,,-0.009683760497402478,0.03379098330664481
RTN4,-0.01578204545125985,0.027061229938312975,-0.08851795838702546,-0.031027183228205562,0.026989550089441608,-0.0014223278265920842,0.027005510073613292,-0.010157539950423015,-0.028609954972926246,0.03360717013533342,-0.031326818451579544,-0.00437049965799923,0.04463490179939818,-0.041645343064658565
HEBP1,0.03258957766431717,0.006104147310407471,0.03464831188162299,-0.037874903194631965,-0.029775892865413635,0.021655906472999607,-0.04261127156627639,-0.04289668576006703,0.030099087381028237,-0.020555310648268762,0.03596642599930315,0.05425060407370805,-0.00274928271065244,-0.0021731127498140932
WNT7B,-0.01994976679564672,0.004115401440364585,-0.04540621246873614,0.09404064867446836,0.06522909182181916,-0.013333398469260068,0.08126849765503132,,0.02757626991415522,0.03143399140964473,-0.03580441369065764,-0.010031719885586555,-0.009701324990632997,0.0034242443155151976
PTMA,0.02501288766633426,0.08570107377414093,-0.07921532162901371,0.062005019021941755,0.045597143510554265,-0.004396194171285817,-0.05062329826109642,0.07392942596514487,-0.11501333092303072,0.025598610143560317,-0.052311622827552404,-0.017482414749933808,-0.012042260692622835,0.024233988260186932
FASLG,-0.019949772435394687,,,,,,,,,,,,-0.01750887461843649,
CEACAM1,-0.027700433620713737,,,-0.03679410096483602,-0.016745994563221154,,-0.04831005815463022,-0.040885649546989866,0.009442451874302316,-0.01808102048799247,-0.02460316312672603,-0.016848517765784055,-0.007506851188398057,
PDAP1,-0.042015578571076205,0.0065045062757063225,-0.043330845180112404,-0.04367719245190909,-0.07454493729738394,0.02053285953097861,-0.05112366281448591,-0.06733637555805642,-0.03818104878590368,-0.00641068664426522,0.030597974327475946,-0.0024067578056153477,-0.008149183725563718,-0.039209371373988965
QDPR,0.0844014400992595,-0.06028774167111099,-0.04303173492324885,-0.01796063912828431,-0.06967605172309893,0.0041112503389788115,-0.13660047303342598,-0.039405973144187,0.05606872573045297,-0.002652451620452276,-0.08262249128709262,0.05980006934149721,-0.016083359408964836,-0.04689677950331472
POMC,0.02364659736626493,-0.0044563950363925965,,0.008560251523334015,-0.01235452709343616,-0.03586155145727569,0.03556529484706439,0.1347961511854398,0.04139761364763717,0.01818314045822867,0.004106938093041377,0.057971846190706056,-0.04768325799479183,0.014718896282462509
CCL18,,0.029099375709994192,,,,,-0.04142334922397281,,0.08436630647568316,-0.013641020575633368,,-0.05802201077237995,,
CCL17,,,,-0.007727061368857682,-0.013279516337015448,0.06919710327569552,,,-0.017965870998718807,0.1471713474710384,-0.021890176023208252,,-0.01586982825148778,
VEGFD,,-0.04126713662804341,,0.08477861621852274,-0.014148201460144862,-0.012105157105271394,-0.046668033259368295,-0.0037705660214498163,,0.025911961447040607,0.06293017171250968,,,
TNFSF13,,,,-0.014710415482627744,,,,,0.016010695539058224,0.03366825396391865,-0.023474382879241373,0.058966338651874735,-0.009851279725624556,0.004532908052510106
WNT5A,-0.03405925997196103,0.022052333099635047,0.03922040487196203,-0.05980297173247813,-0.0302911971019077,0.0003724897240342968,0.013676375236018508,-0.03357331430275618,0.007869378700762276,0.019527980641433216,0.049431040712744484,0.004366852710592748,0.03457468435377002,0.044475088018122916
CXCL8,,0.1144278250426948,0.14840021039433235,0.1591374885951698,-0.01709314359055205,-0.0112728486461583,0.005552081016070912,-0.0009274292773800806,0.004147095299393233,0.008804471966136129,0.04869141896955201,-0.005038231827917317,0.029399685299132717,0.04899197902706962
GRN,0.013075116321098292,-0.08460565171282278,-0.08248780418582138,-0.06940630959370714,0.0012813078644237099,-0.012972151749117755,-0.08489645123596609,0.14592286902566393,0.004253879309817465,0.011876848452763,0.06322040590478631,0.03694994325553019,-0.025000615589422185,-0.022021187237439364
MIA,-0.026112531407099772,-0.04413269215937667,-0.06051102081975392,0.046671678043718016,-0.026101065020634303,-0.013767066884897273,-0.021200071584477113,0.12165628284930545,0.06549351776999791,0.02602659661727329,-0.006002122745821866,-0.008743907703808363,-0.026032660212575456,0.0573981567660163
COL4A4,-0.023104267347009988,-0.04154257499658155,-0.022043922226875918,0.008618257978055011,-0.013864225906437726,-0.0231275775081177,,0.049790682862120586,-0.04747091265712131,-0.028950540929979483,-0.03372004667080643,-0.033955586684780506,0.01544464339715594,-0.04995788675242189
TAC1,0.07357876556459053,-0.006929534088070248,-0.07542378180568751,-0.03875641204669159,-0.020562309384607,0.02747855688770765,,,,,,-0.004080348592507141,0.019939801626343588,0.006563575534615497
RARRES2,-0.021561469083697635,0.04873532782402123,0.07763978259161929,-0.04670372596159514,-0.05163926794841498,-0.026167982698163686,-0.03858526933121784,-0.0007139494039450786,0.027594231430814544,0.0018006693933105777,0.030797428820249394,-0.06720247759264986,0.09525094329804316,-0.01231530867065156
