,UKF251,UKF259,UKF269,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,0.1371746072109859,,,,,,,0.14034504864192893,,-0.022198083486796357,
BMP1,-0.03887579744760207,-0.027800517492535363,0.05014449311406841,-0.028236033894730617,-0.021571978358028775,-0.03894765026507781,0.13165167342757916,0.0024494721501906384,-0.009445233480406877,0.09732078005079568,-0.054136705703974226,0.051407568267434485,-0.00999141636732915
NDP,0.018220056648571167,0.03776059284051561,0.049509399784688185,-0.005004689916338105,-0.007770663759218322,0.04215343923580728,0.129527229512863,-0.03885264050346657,0.025826103230167777,0.01905390277954082,0.017269884513535328,-0.05423238465813052,0.0047403671582133084
TNFSF18,0.012343468275897477,,0.030248837090889644,-0.013628221297554005,,,,,,-0.006264091879965502,,-0.026327453814020498,-0.0025507804396068244
RTN4,-0.014612044905571796,-0.012567452349545205,-0.10759051316867368,-0.039159378755921494,-0.01658659098088378,-0.043867993784048064,-0.0454446478573861,0.005865429135620602,0.008992007671567045,0.012279915650609367,0.08110668433662774,0.002546133315164725,-0.05470899109313987
HEBP1,-0.004696014008474406,-0.031065599115747744,0.04070561738548382,0.01605815355032445,0.00982066716698904,-0.024408434122732834,0.03251074574664928,0.10913264291044208,-0.02533243950735693,0.011651754051801383,0.0617215218460901,0.030322692686699054,0.06567737139522241
WNT7B,0.0173778274221876,-0.007702968823680581,-0.031305366100761026,-0.031857530677053394,-0.010405328268160385,,0.041320820447455144,-0.009230628431642301,-0.00014109670023671245,-0.003205152885888303,0.1264083845765896,0.12571554509720612,0.026182382772390853
PTMA,0.048807886345393015,-0.07145611478846699,0.00802644795869003,0.029420490702338483,-0.03265556134259371,0.08006682575256342,0.1615010869473473,0.03363935429430495,-0.012937254110753879,-0.02542208903036875,0.00970601992267549,0.08493209927983611,0.025966500422164942
FASLG,,,,,,,,,,,,0.1315618130377361,
CEACAM1,-0.025417917058506326,0.022704008093187365,-0.011627416042626022,0.031506094681725834,,,,0.06915826989602838,-0.014001058186129175,-0.03711960617323347,-0.014826658889829324,-0.02678687335073086,
PDAP1,0.023836055549524914,0.039489370230520626,0.041050989204207064,-0.0427257715599914,-0.006987925641257386,0.010193032603056344,0.11889007809781695,0.012870385122204904,-0.08365941197931476,-0.0633864703923668,0.03738907383263446,-0.030220583117792837,0.019562977238550234
QDPR,-0.015314279332751837,0.026802369751881352,-0.06253682438894825,-0.029838403998834424,0.039154479299300916,0.08551873799271464,0.07773649339725605,-0.04486898034589853,-0.011397590416596276,0.006275168120275198,-0.009678321322784036,0.04232427799832309,-0.06253096906014374
POMC,0.027775199494536384,-0.0068423046242314985,0.026419317817967372,-0.015813110299327287,-0.018026552158544533,0.010646848499362292,0.09715161249086952,-0.0004984459485426671,0.01682348024567797,-0.04161937366937946,0.0061211241049270995,-0.024300176446891447,-0.04747018433181855
CCL18,,,,,,0.1175027303735235,0.08457191589378621,0.08922671288613224,-0.03418965694567245,,0.028808799944160527,,
CCL17,,-0.026112857372652617,,0.048533388152625784,-0.012878879491556737,,,-0.01406396969725696,-0.02021140647018429,-0.01711122851351745,,0.05404831163796604,
VEGFD,-0.027467553793316096,0.05251955407946326,-0.016014378298238895,-0.018108914127942473,-0.009446813856827076,-0.034183059340860474,-0.003463988538651137,,-0.014001058186129175,-0.03483269299109231,,,
TNFSF13,,-0.018012064592650687,,,,,,0.007050269461239998,-0.003871648064913548,-0.021355387707315085,0.07096127807333731,-0.02843352923522455,-0.02605753490003573
WNT5A,0.012825729475294338,0.022240742204853416,0.012031532462634628,-0.008585337202124767,-0.01292619058497858,0.015854069895797695,0.011626395539088992,0.07569934793769229,-0.02884807781679909,0.05527382240117861,0.015134950201505517,0.07290578393970318,0.0877316274335555
CXCL8,0.012881426917667367,-0.011633403101405839,-0.02436232307580544,-0.020725343408496102,-0.008797283824599735,0.01049595912744304,0.010010716242061126,0.07513082741637166,-0.02577068643507077,0.07583410652322659,-0.055219850386580234,-0.05956974692780782,0.05790138073179644
GRN,0.015432064882864275,-0.0037247454943554396,0.10548399042444111,-0.0031289593247628084,-0.05841356906864242,0.06474421351952783,0.030765062887932876,0.005290890879707177,-0.012928442707613211,0.06665350726497646,-0.07718698359244985,0.07464695694768024,0.0014738071783807682
