,MGH258,UKF259,ZH1019T1
DCN,0.051199582221207296,-0.01233499043661237,0.012214643889748791
RARRES2,0.028781511316214668,0.06934334702666708,-0.05475277434463245
SEMA4A,0.011868085837846678,-0.028612672350676223,-0.0013592675535620317
GDF11,0.0449209976641667,0.02007663579655299,-0.06074719012405836
GPC3,0.10830867668154093,-0.021268165830772092,0.15698132896381425
OSTN,,0.04888567744476084,
GRN,0.012559344589102475,-0.0834152045801017,-0.027726376728648413
CALM1,-0.012995668202968455,-0.021597371741722913,0.055596123980376916
ANGPTL4,-0.01255567162586394,-0.012210403524682738,-0.03374481878104194
BMP8B,-0.019759901845700655,-0.021004404831458788,0.012947434539609242
TNFSF4,0.00717166653881806,0.041365828046817606,-0.053792535648188006
RBP4,,0.028415161388819193,
DKK3,-0.0171964212169287,0.027804773275929468,-0.00920393081719525
COL11A1,-0.03313723558906424,0.058494950462003585,
COL5A1,0.03380368576613811,0.003513826838304341,-0.05418318786168997
KISS1,,-0.021398940336984182,
MEGF10,-0.058811409808998384,-0.02462412686098765,0.009655152250853123
CEACAM1,0.02306324893966897,-0.003641257103593828,0.13903544894106706
EFEMP2,-0.02684211165504644,-0.038165574270915985,-0.06738668402235928
IGF1,0.04753030825618988,-0.04776935686042342,0.09286976863396065
COL6A3,-0.048882891921751506,-0.021144200666690337,-0.05263260442666957
RLN2,,-0.01740301943948328,
PLAU,-0.02069143606752806,-0.03087071096915857,-0.0790474890054501
CXCL12,-0.03568876018762498,-0.010244336562104528,0.01723958941213416
MMP9,-0.04509532941287749,0.006724057352609148,0.00550744979586349
TNFSF14,0.04463661961031245,-0.00039708829978516493,
HBEGF,-0.01868186531432382,-0.028067596716292203,-0.04654050561825392
NUCB2,0.025079036553059656,0.029556062301473743,0.04579964575576814
VCAN,0.029300169390108547,-0.054701819266410046,0.057244965995705076
VEGFC,0.10620067131496745,-0.025485351587496256,0.06301126833879371
LMAN1,-0.009647559402672269,-0.01880652085570799,-0.020876487521177312
IRAK4,0.02395151150648442,-0.017376563338159363,-0.01937936082767297
MICB,0.053134837256311185,-0.007654185998225486,0.018620710221848722
COL1A2,-0.015462910114969015,-0.04679747749114994,-0.047490088010197135
ICOSLG,-0.023931924268196104,-0.009136382634626837,0.000925616861485578
GNAS,0.05755434178049106,0.005054305396298022,0.15923151927170381
C4B,,0.050790315415071584,
COL2A1,-0.026914941280162863,,
GSTM2,-0.003152123485696901,-0.048263025308948354,-0.055740781816368455
NLGN1,0.05505639877006045,-0.022157309093175336,-0.031136589613557808
