,UKF248,UKF259,UKF275,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.015954315138516865
BMP1,0.08861489714994468,0.011210882430881544,0.003693012369992929,0.08836426569339091,0.0020601935500722626,0.028533620193489928,0.14888517635696505
NDP,-0.04443784265070857,0.006983377072116926,-0.009359465567323415,0.05421485377496956,0.006318705294356292,0.04371841759530602,0.005809671369511568
TNFSF18,0.03652804626913486,,-0.010336036015386987,,,,0.1288977384208779
RTN4,-0.015341471079901792,0.014164015751444907,-0.01525761664466824,-0.04922732414266962,0.02468143083807827,0.03611412311289941,-0.04620236608624839
HEBP1,-0.04711877341992171,0.012723853884583377,-0.013405536410078555,0.07847971031547185,0.03871417927067112,0.012897975398022324,0.011827182502067966
WNT7B,-0.05072176821803449,-0.02495040085018759,-0.01913722750678783,0.06395256721963659,-0.035377410951131075,-0.019769039285930535,0.06276189240179002
PTMA,0.05803867177949821,0.021510246443353878,-0.0048180647088977265,-0.06479531790631557,-0.03383190844617377,0.026309783696379596,0.07631460553912227
FASLG,,,,,,,-0.01383717207674242
CEACAM1,0.025731008863194797,-0.02881055981191716,-0.01625612225661287,-0.001301460598755048,-0.01982370823587175,-0.013120998889057598,0.0018060516734535812
PDAP1,-0.035526615521027455,-0.08325481076030869,0.0019236017141029493,0.016878062267731392,-0.03321205584726524,0.05521000685862658,-0.01377756925575828
QDPR,-0.05245594123370463,0.03263923324041146,0.025781936391856233,-0.03961829585555414,0.058396295735120396,-0.06743393743748434,-0.07018250501990747
POMC,0.0646591753003831,-0.015470005122217205,-0.011993118837780311,0.022193287612713903,0.0034477314742618116,0.047879722035938446,0.07072995174428834
CCL18,-0.027222391220333677,,,-0.019070590243026906,-0.036277142902261784,-0.01696195082632444,
CCL17,,-0.01669895680813275,0.008812487780105845,,-0.014063961498901677,,-0.012541842301672384
VEGFD,-0.014317572860817319,0.04510484323004475,-0.013734322663189929,,,,
TNFSF13,-0.020542896499603638,-0.011518566672560836,,,0.03826440252996602,-0.014734002349801103,5.763545384316278e-05
WNT5A,-0.031022296392927032,0.0012284486816115717,0.010146865401277542,0.057524359065576444,0.0095323905499698,0.008894317477139336,-0.002355292746632734
CXCL8,0.023019878094453793,-0.011540458106761013,-0.0006500338925712445,-0.03357677665823621,-0.05383325951720046,0.05609968610352848,-0.024065724070747693
GRN,0.05490782992666243,0.010234981555619499,0.020953726044418267,0.07700205567162266,-0.033973599077927595,0.022491143100416094,0.006685994942999093
MIA,-0.041668589185103314,-0.01712432027184114,-0.025337527872791622,0.0019571924244121425,0.06318499439897776,-0.007054069230146996,0.0538981523044483
COL4A4,0.05321919769260411,0.05665885135331148,-0.01345865427565257,0.18647106062822993,-0.014486752705305346,-0.026443347798409195,0.05269376923441962
TAC1,-0.022123534146458162,-2.491335171199671e-06,-0.04538085098616798,,,-0.02263746102649031,-0.01648752701375141
RARRES2,-0.013839239108263502,0.035719705123237765,0.053586231652243986,0.016081249471224062,-0.04151738756438771,-0.011470089898546932,-0.030823842056724136
FGF7,,0.01390435923367691,0.008571887521994196,-0.006905426995464802,0.11667068162830906,0.0060005431454724974,-0.023567442114939028
HBEGF,0.022797572550134065,0.014717853534465891,0.02032040786819869,0.0660484129914325,0.03226089885692445,0.008153870929632321,0.005439519981980273
CSF3,,-0.019903700482529502,,,-0.041862901913183315,-0.018810744218407414,-0.01320462513612299
PI3,-0.02863910330755846,-0.0002639282537333484,,,-0.10487363772371619,0.0069793047835749016,-0.028689263614150688
PCSK1N,-0.029903956703358835,0.03196765329597207,-0.001038696223138285,-0.010773217721797011,0.08744903618886021,-0.0678605107753206,-0.04212651442887634
NTS,,,-0.015374948041599184,,-0.03280975817250025,0.030014815355556924,0.13264832004491725
SFRP1,-0.013844488462706597,-0.014570485289733877,0.0803612528172253,0.02705512868167189,-0.008971080458762382,0.006568571439498793,0.024099098250583862
CXCL13,,,,,-0.0033659065768924775,-0.017935792077810108,
MICA,0.0990949548817144,0.007389484381485754,0.029016486003402682,0.09986215121234862,0.05804871585303712,0.11688225446214767,0.058953376304945085
TG,-0.02683954940723626,0.002651974958786403,-0.01298724430281742,0.03820333223789667,-0.01868748864014624,0.03383701061188617,0.03762719871711478
ADA,0.12063784521601663,0.03252841487195129,0.010173109277559706,0.04019476557557964,0.06557930208384431,0.003660872468040294,0.09888628480753513
LAMC3,0.10377670868050826,-0.03448489617348022,0.0008468737622039072,0.10906479819235204,0.013959936749295979,-0.030171792503100703,0.08871717311081648
CCL7,-0.01731574050290657,-0.011368327169634374,,,-0.02107863653498229,,-0.013837167156409192
NGF,0.01639881959573361,-0.026047741152720034,,-0.028340101125885937,0.0489643882606801,0.0550154256912378,-0.03172480199268415
TNFSF15,,-0.012659188321147246,,0.06933320089595947,-0.02054930369486562,-0.01168114921899897,0.024890498962666013
HMGB1,-0.041362905436555915,0.009448288132515479,-0.01900617097712338,-0.023077120945853537,-0.1057927881734563,0.0305649971831144,-0.023799326613857846
ITGB3BP,0.05352856692487467,-0.0034670383015132774,-0.044198203442742764,-0.002371238661140466,0.004838672412136777,0.022575931185927732,0.023774702901483022
AANAT,0.0019103148258312335,-0.011518567901915534,0.08130519277392698,-0.019862819141790528,-0.01849191189312354,,0.09744357963965596
RELN,-0.01673553201370366,-0.01999365435155693,-0.02571449919105328,,,0.012209270866137408,
IL15,0.07390064646296918,0.03107451232363604,0.0243066459062661,-0.03357686441412207,-0.020283464148049442,0.023422829811141764,0.039079840332639136
UTS2,,,,,-0.01574721635542922,,
BSG,-0.0004315397149909521,-0.017850318993063486,-0.015487496065419415,0.043233379672296506,-0.036271901058787075,0.04371205882334909,0.03761379941499389
ADAMTS3,0.02908019184417573,0.016669031253791034,0.015372149394033889,-0.02378370380348492,0.07905032359018256,0.03878029875762856,0.009820744933185412
CD34,0.0948467311745672,-0.012379999903826707,-0.019629957766802705,0.11816788948968195,0.0694318157849897,0.011298500234647424,0.052341981023707754
PLAT,0.0467316860595886,-0.0611345936585637,0.01740782204122842,0.09651785537149579,0.02249021815962289,-0.032850201979575944,0.05800831059047069
NTF3,,,,,0.06528460995098186,0.03656231417172222,
LTA,,-0.014570484608103673,-0.011248580220093913,,,,-0.019703637307801305
CKLF,0.053927937036446646,-0.020419292494620968,0.03415789717329594,0.06698257432087226,-0.024242450070369126,0.08830359601516301,0.0025949860304908695
CD24,0.027587928966801487,0.00215625072023949,0.0321670980656643,0.08644343911377193,0.0751575623726451,-0.04873514614909229,-0.07983986868736699
HSP90AA1,-0.008316262491074169,0.023517631789414836,0.08835522181915749,-0.030922423370839794,-0.04997432752970897,-0.001457564752880159,-0.09381968920773208
BMP4,-0.02035222055208402,-0.02519261402523865,-0.03226419463298153,-0.05826697420488912,0.0006656631263092292,-0.008213076314768303,0.0692626068176156
SCGB3A1,0.022904729662444875,,,,-0.0320825759031719,-0.024258061011007862,0.02758114693263932
IGFBP4,0.08489659455146023,-0.0026635026557345295,0.01610811064718495,0.11892930581990616,-0.021331984901214934,-2.8650368560573433e-05,0.10227736559483974
RSPO4,,0.05565069382980705,-0.013082783592102567,,,0.02830435805821469,0.07319162859806386
LEFTY2,0.05204266000755415,0.04359424591951225,-0.03221832582366985,-0.025382999492604547,-0.017893375451110752,-0.022216930242747016,0.09511669517254104
PF4,-0.017962299392632174,-0.009918641486105962,,,,,-0.01970363274823348
ANGPTL2,0.05008594739121996,0.00968241140349568,0.0068646936788102145,0.04326156970833839,-0.0010827506058826584,0.0050768073343013,0.04683732541775495
LRIG2,0.009355122800966864,0.023587633976290222,0.040815438903064334,0.02431703211363441,0.021421393061273587,-0.03149933349879645,0.04379549797442466
ICOSLG,0.06848784208751384,0.001429238832173196,0.009932873779772767,-0.021216974294599598,-0.026627857453278937,0.022340653484755002,0.03679257685233358
WIF1,-0.03232024223675291,,-0.010095674223366219,,,-0.01518661172884976,
NPPC,0.02039248333211619,0.003339738777067852,0.039403416949001,-0.02378365812545756,0.055570169174254586,-0.012120041962880997,
LYZ,0.09855462288354686,-0.07971926339795744,-0.00999923208687571,0.018070451440556762,0.05080764912299633,0.03383377327933913,0.001045568660184476
EREG,,,,,-0.019647745453584678,-0.0013378046069814976,-0.0008535127843605007
SPTAN1,0.04196479668262427,0.019228980243419205,0.0405155579769104,0.029725249481147253,0.09108449645058285,-0.01816430653403047,0.010416679513650147
PTH2,,,,,,-0.010448640140656442,
LIPC,0.08508722617033104,-0.017824537464692706,-0.024459596246047075,0.059703540220770235,,,-0.008018558737617377
COL8A1,-0.035781774925147905,0.009786914836682276,-0.01921349857073951,-0.03917798325429157,0.04046643185415355,-0.04331893996383102,-0.02965887927804606
GSTM2,0.013306443445945821,0.021551799335210082,0.014168640629332383,-0.03286995589522763,-0.012288531889047341,0.04391004504315008,-0.004511889376189573
SPX,0.002979706984433722,0.0028084720095085426,0.012930014150377759,-0.04254497661821633,0.0818266988344219,0.022861240316017547,0.03511801999880647
MFGE8,0.015891079679124048,0.042288859768073665,-0.0019824386309169753,0.03758338469558206,-0.040043456576366494,-0.0674623970953252,0.09532198767602448
TGFA,0.02307304983848756,-0.033300288197885226,0.03961262955212007,-0.03442834930871822,0.06561391452267185,-0.03862181858079526,0.07388067607259484
