,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CXCL8,-0.08117339084791879,0.021890079551287113,-0.021567952379518262,-0.02433585347080974,0.03881414931963438,-0.014454243902844305,0.16913668501507076,0.02104403975776109,-0.045196413850661546,0.005896913291972475,0.12293872749218292,0.06898191664551324,0.070848570138444
GRN,0.003765177292188516,0.009901859513920704,0.14914453490688995,0.06859970259495149,-0.04472552948293188,0.04601257850088292,0.023014776615449886,-0.07005998771433598,0.05790753243779709,0.07228043330935179,-0.012239807810667037,-0.08095721966600587,-0.02773194524237414
MIA,-0.021429888879512585,0.010181195590120774,0.024079159500514754,0.04864800384926286,-0.029803659461872696,0.002741064130629488,0.10446520163919,-0.06598242860960582,0.10538132813066657,0.031773225225446615,0.013583815553602887,0.042464090250262904,0.1260850493053283
COL4A4,0.03761477335545472,0.05725555510413621,-0.007330389258576371,-0.013038939482414861,-0.01018589566586906,-0.0019168841983506159,,0.00822970128440239,-0.03245514287530474,-0.050460987927911136,0.015623616044289405,0.06601315375013088,-0.007473842857435868
TAC1,-0.04155316919261761,-0.017485929150624434,-0.035934643674405665,-0.033283889784293134,0.014099049208499758,0.011502748253794664,,,,,-0.02332181041532054,-0.024691446785566788,-0.023186754279215686
RARRES2,0.09125273674544564,0.0395457778851651,-0.008889796287330833,0.05801646676057123,0.043839086660149094,0.016764763233721423,-0.02798218746762557,0.05681720642286834,0.05884078062408826,0.012883615073046086,0.056545126227838576,-0.0032586111898470988,0.03126337436315421
FGF7,0.06014901892016078,-0.05721133431586646,-0.03962026747307085,-0.026508292890478482,0.036639651016530654,-0.029184069522064243,0.0975762899294514,-0.003434367063857625,0.026101612173025073,-0.06001119142511228,0.05776122214495915,0.01585560815371407,0.06928944380989209
HBEGF,0.039559908636010804,0.04518836268813491,0.02695564244327376,-0.005851407281160556,0.0168622741639525,-0.012714473138423362,-0.051611542049226494,-0.13785127882952963,0.03529761134941597,-0.02247637478623503,0.03320841194679297,-0.052218707083576295,0.027618512193391922
CSF3,0.05655078886847158,0.07337900904664144,-0.06489674597943337,-0.013794947003974442,,,,,,,-0.019379408756106446,-0.019775027425277533,0.1376002805048536
PI3,-0.03930455138247846,0.01868013721033219,-0.03218820534309218,0.00897859766752238,,,-0.08174896547294844,,,-0.017360121829898385,0.042322266999980866,0.07799721470538674,0.06366207670878345
PCSK1N,0.008964921266575193,-0.06068503916634257,0.0006982147791377258,0.008928465097888017,-0.013808533218607788,-0.09536442345706446,-0.12499091132953362,0.042926582324533544,-0.026177743863880457,0.024354619562545275,-0.022277178513323316,-0.01266567522993651,-0.055101215706899874
NTS,,,0.11537511027487667,-0.016955649280886987,0.019166677012684683,-0.006211024830104492,,,,,-0.026446938071585678,0.02970794690626785,
SFRP1,0.05431369413604152,0.013956099259419721,-0.02486748573036894,-0.0022318204965818163,0.05063520927235541,-0.019367722023718614,-0.037706725797391545,0.05181366595375576,-0.05503896568060336,-0.022209797033390207,-0.04481532184055718,-0.028603630332446832,0.01783665127850309
CXCL13,,,0.045473012082763296,,,,,,,,0.05618309224183545,,0.10719264590576694
MICA,0.05836520575353465,0.0942692606493582,-0.015954920683446144,0.04529205776611222,-0.008132193480471148,0.07583736711103796,-0.02115739126565951,-0.11236482484633831,-0.0452607494867129,0.001520394665277649,0.07850970138136551,-0.02809727172484374,0.025644228390907537
TG,-0.026448338471148938,-0.039432491661141746,0.0015365821693154207,-0.01664926682781837,-0.028902650706870304,0.02164251882362011,-0.05112836576117957,-0.04584693848613655,-0.041797073505909145,,-0.01594955120152648,0.01883008449754075,0.04420901799494673
ADA,-0.03911277183681798,0.049998679099660784,0.01832472102959391,0.06900415086530214,0.017491655469028453,-0.0016794769486544543,-0.07483987023614948,-0.012890303472809428,0.086679426178757,-0.03668983603855959,-0.03494252609904327,-0.037850707636456815,0.05745155122710535
LAMC3,-0.02882276413891458,-0.014444743789464231,0.03270152241633331,0.09342204536252384,0.021968330971431214,0.0185127756437395,-0.083869620088696,-0.04940239865970847,0.05567851913734769,0.03602036311838948,0.015238189171306813,-0.05849738887513628,0.015598676933044881
CCL7,,-0.02850962846855794,0.010367119511268149,,,,,,,,,-0.0207223118555323,0.051940126128621505
NGF,-0.019114916764062198,0.027482971782039043,-0.04946275128303894,,,,,-0.025234366247101975,-0.018700793806885375,,-0.03327020987398998,0.026695485889078194,0.10194448385019558
TNFSF15,0.07125366091517246,-0.012900318314174425,-0.034309718222886997,,,,,0.012349020799832444,0.00027462557317256027,,0.11129784528184093,0.007777096738008233,0.06583929389173417
HMGB1,-0.050317207435304184,-0.02693290131829836,0.0005680200676883469,0.06265693558146418,-0.03824440999042884,0.05021954503443006,-0.03210499220860507,-0.010996915239036953,0.004172989333147936,0.041173890201070464,-0.03897868979707364,0.06327675416690307,-0.03951741855833548
ITGB3BP,0.033613316399600544,0.03195445899951047,0.029010183364847265,0.05284518602236224,0.021168828391163807,-0.018142617314806184,-0.005938089215468414,-0.050199398237594825,0.019493046246876884,0.023679115987132036,-0.01423650325889065,0.0069569565633426965,-0.02851718519448311
AANAT,-0.03426046585591671,-0.028886403995358488,0.04177178712094172,-0.01244341551534497,-0.025992322688304946,0.0112411719493778,-0.005285191340345992,,-0.026736580563131523,-0.047236714736371435,,-0.02192507010869481,0.01742848091875944
RELN,-0.03295825039036008,-0.017408192917280244,-0.061189269528678765,-0.03651288536864908,0.019114040454644928,0.017197856377063954,,0.06436920464631632,,-0.05076496255475223,-0.014536106219093087,,-0.013866511587195792
IL15,0.03558272127597682,-0.017083781055861273,0.10297402260171049,0.018964878999575913,0.03849612974738397,-0.015311152783973768,-0.0349115397093859,0.005845622386273743,0.05623894254282346,-0.022402777599684582,-0.029355313048465385,0.07595160788531632,0.08043113678040051
UTS2,,,,0.03201557706295449,,,0.050339562880821864,,,,,,
BSG,0.11928016242304314,-0.026494184078587345,-0.005244482321148783,-0.05354813155384749,-0.031145131591346253,0.043173041171761295,0.10379036333731981,0.0853350067020214,0.03377303084622895,0.0375124910712972,0.04408128828346012,0.019053177452089804,0.09234752686180489
ADAMTS3,0.0660523777088512,-0.01556689590230718,0.028155273732649345,0.016495084545902854,0.01872296683964974,0.03157612661217713,-0.1200056886302785,,0.10189925009539509,0.0545897137184049,-0.049715554304095494,0.060456281612042244,0.07304043226582621
CD34,-0.006670283246308423,-0.03480385175549646,0.04168509112047272,0.035465316353658474,-0.016890768890583677,-0.030224733788228444,-0.11945108876198082,-0.04946533860216976,0.08426801889897646,0.0494026788971939,-0.018204926557310458,-0.06345831923541435,0.043904102271987905
CCL23,,,,-0.014158631594259584,,,,,,,,,
PLAT,0.09112065379657724,0.03445132979019243,-0.0030619770116243387,0.06346545086326931,0.000637575645292983,0.03094443695336244,-0.1047826088856999,-0.034188325705010195,0.09303907523682245,0.00797659933416445,-0.07111565413050285,-0.06509808229348205,0.030320921707387382
NTF3,,,,,,0.051926322686862265,,,,,-0.010701283145276902,,
LTA,,0.005603632492519832,,,0.04401516250953784,,,,,,,-0.029507840178937067,
CKLF,0.0016221187349981143,-0.0748866528348258,0.010246576857735636,0.05971774844217644,-0.03426853007227816,-6.525265741214576e-05,-0.12094489340417644,-0.049091966113178426,0.10501572706279842,0.04659817777817709,0.007888266433978863,0.029492929977316982,0.030633825634726865
CD24,0.08985953527956919,-0.0022487958963247506,0.07995776848293593,0.0031475744375606494,0.030605527972739906,0.1103593567991926,-0.05833373041383601,0.10577757957837183,0.025777982343822926,0.03213928963496662,-0.04735939409150771,0.004202008300593177,0.03529351022587999
HSP90AA1,-0.03250419955406545,-0.010801916108713543,-0.08618395270784593,-0.05251797066934363,0.02004081526868464,-0.05040822234449266,0.05453341322806573,0.07253515966815079,-0.08039400388842673,0.04638232089259822,0.0033655024913769923,0.10222484701816026,-0.07020585458658518
BMP4,-0.04136935563261782,-0.0011473847655357242,0.04436287069471887,0.038013125299008535,0.03746959588772504,0.06932665345883163,-0.052564257051149345,-0.02912247319927191,0.09603911659735288,0.02551805230943861,-0.0017272922405649363,-0.049309608489845495,0.007592849549549524
SCGB3A1,,,-0.015519243265474625,,,0.013262275712143393,0.02712325541483539,0.05842507222710906,,,0.05170022192743821,-0.033577915273302984,0.011299908312779022
IGFBP4,0.030048656026068547,-0.0370537275165646,0.009234204196491633,0.06434748732369718,-0.012439775722258484,0.0614659115594762,-0.09427031815556226,0.012413053480013552,0.001797933862482838,0.0258222935195567,-0.00645089392089717,-0.055396316075835346,0.04324019995146662
RSPO4,-0.023350830560727266,0.015314215400885374,0.001254251106969147,,0.04141475127378401,-0.007959319883725606,,-0.07896679903431846,,,0.13940562814898355,-0.038917752405609664,0.09045550108536268
LEFTY2,-0.039112792238101615,-0.020918424397369073,0.016320672629474776,-0.00958411372151851,0.03004063828718478,0.03520100175226345,-0.14156802094033571,,0.11065047663408256,0.08727144784346177,0.010061976380371304,-0.024592082967550874,0.035039909542061695
PF4,,-0.001994602060885611,,,,,,,,,,0.0862619087344302,-0.03117782905281105
ANGPTL2,-0.027074787599633526,0.017555907588123462,0.018715102576012898,0.05484716665158882,0.0088226738639871,0.03495923331884417,-0.09876147796536294,-0.08963939279195562,0.03605786759478608,0.04360712986787052,-0.07358423413664719,-0.02748445717067312,-0.018087471699665687
LRIG2,0.03173251414622399,0.029100818390492483,-0.006616241478176967,0.03587472353714639,0.004735043981572085,0.047079611218795656,-0.006760586853645562,-0.01413885598509402,0.07834938386643489,-0.03446701489001893,-0.0028867319068667926,-0.014911127870488546,0.027333917266150313
ICOSLG,-0.034084011518911654,-0.031739177826810336,0.016450715889598528,0.056864025951314304,0.008078910451815363,-0.013194443193356982,0.007013427371822046,-0.060768542802966286,0.0086817521151658,0.08050356184809658,-0.03693400411837038,-0.03912575072485176,0.021881881423681956
WIF1,-0.054341114729348175,,-0.04242386766587227,-0.06550870576917237,-0.022467564244172056,0.0635921247695579,,,,,-0.015645715708879966,,0.06117109699996809
NPPC,-0.03485559572171446,0.02164171776746239,-0.06305848497684657,-0.009071656353580582,0.029896366083961245,-0.0331556487577158,0.20402952812847966,0.15789271549628664,-0.009913621168978046,-0.04481386623631407,0.06580675569313109,,-0.021712114483396886
LYZ,0.06669067829129112,-0.013270679284872694,0.0062265057138098335,0.05396252143763348,0.04622473346698882,0.05590223774292208,0.09281844699837304,0.048550422427125345,0.01040395645508065,0.05699998569314585,0.05422004848183855,-0.028128812994850715,-0.015081496555089502
EREG,,,-0.02288991338227739,,,,,,,,-0.02096285336347065,0.06106861161037805,-0.0068635369486936965
SPTAN1,-0.03253417648690269,-0.001974072426792983,-0.00806596876442467,-0.014753453166870652,0.044801493045169095,0.03306320916837525,-0.1766652226939211,0.02688665601615314,0.10722100316779344,0.01455142868662852,-0.061271731518513985,-0.02018119395756803,-0.043096763645189266
PTH2,,,,,,,,,,,0.031958326651451645,,
LIPC,-0.0026554620014437925,-0.03825147879493077,-0.03215569077971635,-0.020757433645295118,-0.004552434738401515,,-0.05182147858869607,0.05087087109415369,0.0030679805332697587,0.021544475675660407,,-0.03730907000290111,0.08983987639528425
COL8A1,-0.007543183949017429,-0.019599151964022527,0.05294048794438367,0.07007832651207371,-0.0061329198778241984,-0.00355329140058792,0.03537816856273936,-0.015566654563382952,-0.03208158598100226,0.005061043436816668,-0.025146477324368588,-0.08609827619986445,0.058391605472338064
GSTM2,-0.012615077105062026,-0.02326203384662038,-0.02181147962654208,0.011537605141016627,-0.0298329459131604,-0.016891669949442557,0.012530388228360563,0.044952247034334064,0.15200750048604827,0.0008291631907008429,-0.02471674862856127,0.0940816392214997,0.03489927124478859
IL4,,,,,,,0.04714711376371541,,,,,,
SPX,-0.026647226962849168,0.0743764012356691,-0.04465129114067423,0.039450281541329124,-0.007346585510078412,0.03255768522851969,,,-0.014762500288934867,-0.019561017862947203,-0.030991599527768546,0.02942536772178876,-0.04324228461679021
MFGE8,-0.01534421236732791,-0.0043827959801088015,0.026136255604948495,0.051320021068587816,0.03180149100793671,0.031427148375963214,-0.08475113244487653,-0.014208565403979035,0.0028231647934981036,0.0020231966246174867,-0.031355174312801146,-0.04410341124141933,0.04693630736524558
TGFA,0.0420009944971517,0.0030759869466320837,0.031785267266623694,0.06833794891829224,-0.045607580241335134,0.06822813073163678,0.09706968851468843,-0.012815498372660813,0.0768239492530391,-0.03193952145670332,-0.00031831765141472406,0.053774791493229515,0.023762506181213006
SLIT2,-0.04732203549327761,-0.022759018500397188,-0.030196131620509242,-0.030143047095001096,0.0433424113977674,0.04942020249516566,0.07851999592846512,-0.033502818505264514,0.06326157744707389,-0.006847174158924999,0.026064899231873745,-0.013388423883472781,0.08825233280600447
PLTP,0.03452799526393268,-0.04895061985919034,0.07506329732843423,0.09121057676191818,0.033432773722462526,0.084958466945613,-0.01665516939164703,0.06922203475007646,0.045977489910639595,0.04004391282626899,0.033241706606748835,0.03753263784787057,0.08632603388865824
APOD,-0.03856982121234958,-0.008238628824144915,0.03948143993914044,0.04928509955275422,-0.010788446817072587,0.057177962808421294,-0.0009296302857395373,0.05988466901772374,-0.13503140937099337,-0.06276454947829527,0.027682543998419726,-0.052716070048985784,-0.07075087890267456
B2M,-0.04878979215754558,0.013235771094434724,0.04365129473351158,0.07887390352759277,0.007228414736917521,0.10389857590017311,-0.012030021352984909,-0.11659433241213289,-0.018823670927112922,0.05000382662289118,0.04550155230123205,-0.04636591251098237,-0.03450882202238281
OMG,0.034020999484212486,-0.0013674601464107438,-0.005777226507588116,-0.0070992875900063234,0.025516612134451198,-0.012650404016757854,-0.0830082654409308,0.07838096126626272,-0.08445905552697215,-0.05302581706759809,-0.07123368477669334,0.04854762541973022,-0.06387749913572909
CXCL3,-0.009586374310739765,0.05082493493428622,-0.0010399502721408363,-0.0163376097442514,0.01788894629794132,0.008994442018177026,0.10190373320972512,,,-0.03326411726543277,0.07214371920880289,-0.004973247646707978,0.09747744564742139
CXCL10,-0.047193702348104716,0.015380454098098783,-0.012740561043746589,0.03438974539750253,-0.027651183402111933,0.01603918899655195,0.08071534207450981,-0.0198653705574648,-0.02696726495695041,0.07433333672192952,-0.022997528964617913,0.04936181662945489,0.020766443663848062
RSPO3,,0.014655753039617865,-0.041138970517047554,-0.020432748080539062,-0.005333787709551575,-0.01305735255189514,,,,,0.024425135428288704,0.018882124074831433,-0.009426069477318753
CORT,-0.026180395204994867,-0.02268629243552477,0.058781954381892605,-0.03536344839051212,-0.015556963012855921,-0.021576843152157136,,,,,0.02896193042198487,,
NCAN,0.008807139522181411,-0.10965366241085697,-0.04602085044227061,0.017755295126370998,0.027601333530870308,0.031067507126256,-0.11723250757743416,-0.10489884583611915,0.008765540437234964,-0.010115123406702077,-0.12602600794651328,0.05507480627433061,-0.0350078175722311
PRG4,0.09871355275729567,-0.028509632911360334,-0.029455355193715612,-0.01770031114736895,-0.029593442080555945,,,,,,-0.0006320637278314545,0.029085436096839487,0.13478097476358877
ZG16B,,-0.033088915714356834,,-0.019110330310230354,-0.005707697645190564,,,,-0.029722126410606817,,,0.020844598589105333,-0.026597885774324318
TGM2,-0.033089245458775444,-0.03871188675429245,-0.02714498252139514,0.06236964793513779,0.034630486812564254,0.003605783102671967,0.1588593393920903,0.020427705859267675,0.018645408857085828,0.018888819131090005,0.03841549596144492,-0.03956221714412285,0.03140314837340616
VEGFC,-0.003278404824864635,0.05240600844015478,0.0592195016332312,0.026603612116650098,0.024025581353878975,0.03752791793626762,0.005140006337560646,-0.06180879642579883,-0.01948578532820831,0.028312557836777896,-0.02872514489272567,-0.06341754125485127,0.0915541043630542
