,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,UKF296,UKF334,ZH1019T1,ZH8812bulk,ZH916bulk
IGFL3,,,,,0.019054724634451004,,,,,0.018229448752181812,
BMP1,0.04060352589571655,0.05739399655868815,0.014620475142461255,-0.005422075007788162,0.03990779840383649,-0.013782780370142252,0.04126454435648721,0.01455135271966475,0.03635823714872154,0.014890386729971946,0.08015977666691679
NDP,0.06380538538894028,-0.01989068688353523,0.007596527384811035,0.016459578299353333,0.026717866576898862,0.009945868340462216,0.003949090085355195,0.08020358397280743,-0.05970134634281536,-0.0241791967109774,-0.009103064112412872
TNFSF18,-0.021812092748189144,-0.010164944945328082,0.054323272917496265,,-0.018174217726744463,-0.010336035924290615,,,0.015567520457203922,0.05855132646160847,0.004344292251908288
IL36G,,,,,,,,0.0177982845470675,,,
RTN4,0.0015576575820447143,-0.007512715541888249,-0.009587749544818499,0.009061903246350882,-0.008277685087533862,0.06824102052252025,-0.07339581538652828,-0.06832806062075793,0.0996350311496663,-0.01184840977053034,0.012027343177945687
HEBP1,0.10681303605393519,0.03778830631465219,-0.014694621477119009,-0.02909279430458991,-0.0021654158897030963,0.02142705064304328,0.004569568957207137,8.45715868438798e-07,-0.0353154879284575,-0.035908810782084306,0.053090007954671496
WNT7B,-0.03939088404732899,0.04351929141747437,-0.015709236383796548,-0.018219638555542605,-0.003109686973491692,0.030982158361255466,-0.028549426858365035,0.037384054087546664,,-0.013907908210546058,0.01427752083206302
PTMA,-0.049783287199403885,0.04057210780065543,-0.03825737513819568,-0.01089728288225072,-0.005139070335618242,0.044552143453671894,-0.006891470104070404,0.04251845152786544,-0.028899869823686544,0.05333182720520893,0.02646229457623844
CEACAM1,,-0.01580393568753256,-0.012055894077618265,0.0609417260560715,-0.02391623540235317,-0.016256122113339978,,,-0.0008577807234260333,0.12571685336090774,
PDAP1,-0.05926596087480788,0.003008927275596331,0.00494826682056723,0.013788003140009372,0.028398082501024893,-0.035601301132401404,0.042218072122720086,-0.02331143138773107,-0.02137663891076936,0.02942444006918048,0.07547341903449746
QDPR,-0.023541964251460146,0.0271761649291621,0.03319219187291553,0.055742713675317135,0.013491603600105864,-0.001953612584198332,-0.03264523306689957,-0.0009015285404230165,-0.019267730207499965,-0.03884857547321392,-0.08868353769226525
POMC,-0.04118487125646433,0.0207561959247794,-0.021421400347270428,0.028401637623391596,0.036436812528092714,-0.011993118732079285,0.02952869717160099,0.09986535333976188,0.0087516956852296,0.01222517654241017,0.0032218587120523075
CCL18,-0.02925180985777768,-0.019721818518551773,,,,,,,,,
CCL17,,,,0.01044410817666562,,-0.012891049161972996,0.010079562729069274,-0.026135569413148093,,0.03071151828312087,
VEGFD,-0.03295823985167056,0.04901120343993718,-0.017267649499801408,-0.004716684703781008,0.09562571204663924,0.06684469377358546,-0.03497432942738184,0.009943198260367339,-0.014473098256792199,0.02685793175692786,
TNFSF13,,-0.01488272184950288,,0.007855018084059308,,,,,,0.040337574494969906,-0.046597687646977595
WNT5A,-0.019415208315749846,-0.0025613693404149,-0.052959742885848135,0.03312966111036841,-0.020416484977836068,-0.06987601065527652,0.03386959140678256,0.07926634785632013,0.11943212685081389,-0.033412347080981834,0.00704027008593445
CXCL8,-0.08187894485231702,-0.035980780183501204,-0.01616840350538735,-0.01665696833194143,0.014937939186255442,-0.0626194852788251,0.032343072532641313,-0.009533286792019991,-0.056239604152403914,0.07363296630460073,0.02436504069971657
GRN,-0.009300500416876148,0.040103877499359696,0.03821408927766254,-0.06415550902650063,0.007859465385376069,-0.03408379996843639,0.014081470343109394,-0.05091739105124565,-0.04846423350499887,0.0779726701114581,-0.026495872897264017
MIA,0.0001247063983952404,0.04780439941954814,-0.01535663988963903,-0.007025553547211511,0.03481909856739991,-0.02533752764948001,0.03371168661263684,0.08292154432323744,-0.08431642554289102,0.03977252121921104,0.04751494575120782
COL4A4,0.08610473544727508,0.037983121667440285,-0.025825294372399967,0.07399908665342614,-0.01206040717084399,0.08911292658169999,0.02366876374521119,0.06728422945422506,0.023789019678771745,0.026048928655487733,-0.03243501112613539
TAC1,0.03154375742609991,0.037509083786448044,-0.025076875205546828,0.09185305306731692,-0.03837595829271053,0.026120308338826913,-0.04284857924233317,-0.03901222864768818,,,0.00023644177095539194
RARRES2,0.04907538543003492,0.09431621876944878,0.0009655089215223037,0.05731927892347898,0.025327853439691083,-0.051614124360620905,-0.025538289179760202,0.08395059704309588,-0.05330192179988049,-0.01562189961102052,0.11138599991000453
FGF7,-0.014795013060163426,,-0.01948973538588769,0.015658378269208822,0.06643583240060805,-0.020898638880398786,0.014037003836669252,-0.007135799374496462,0.020005735195648328,-0.04350995177659363,-0.015811599609196546
HBEGF,-0.0006452604030056941,-0.011428922680684525,0.00040774709382125293,0.07146884115614026,0.027144671263030176,-0.04372597198316447,0.021307210463122794,0.08101367098491596,-0.11968389818658144,-0.024819871900258292,0.03903783201616354
CSF3,-0.033178194047192966,,,-0.028153800291011246,-0.012759678652740653,,,,,,0.01907290384211121
PI3,0.02235388291685988,0.044272027514701814,,-0.07042173758562757,-0.014367566572515447,,,,,-0.027113532755756585,0.10250886122167104
PCSK1N,0.06317670895964186,0.07011814277199682,-0.00737707853847012,-0.010534772052387658,0.012964702708400267,-0.0477411828783061,-0.04998799945546253,0.0053533071805159675,-0.05237237089718949,0.006655233260736262,-0.03919168022212347
NTS,,,,,-0.01568317994337776,-0.015374947906092498,0.001784826213237772,,,,
