,UKF248,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,-0.017257024803887827,,,,,,,,,,
BMP1,0.01823477243448092,0.015478434040371579,-0.09519210683236377,-0.07590193779439285,-0.09824182585629494,-0.03472751903225227,-0.05439046066734617,-0.13030774978732076,-0.19613469441137021,-0.020592489867869497,0.004659584514325385,-0.11683969221730563,-0.09276309388185419,0.02729068104626967,0.05454858516677241
NDP,0.010235932556766714,0.053187681368993475,0.11658127123267455,0.01618362843094312,-0.016432874659524217,0.05754556226392779,-0.04706423357833687,-0.08061700710888194,-0.07881331850400973,0.005957261111834735,0.05513737345504273,0.04930884672043238,0.07433494883842717,0.01596491643385461,-0.0953823679661805
TNFSF18,-0.006800574477828649,-0.02528979802809401,,-0.00010823355317365615,-0.025626163763692127,-0.023603328850613822,,,,,,,-0.04154598049428884,-0.04099808700194484,
IL36G,,,,,,,,,-0.02670784621401282,,,,,,
RTN4,0.014021637095015105,0.06092153828931353,0.18348763608713564,0.2767438396538963,0.17166015904790227,0.029561300635008687,0.14178681017787387,0.22803397547849155,0.26913730880163594,-0.005103634027221753,-0.0936065467567853,0.07896250000577973,-0.010080633713348879,0.19686493030441632,-0.016622270219647208
HEBP1,-0.004841369177448671,-0.027926465898645746,-0.04204435659353288,-0.12357767589969314,-0.06943608356243747,-0.018748317649486045,-0.022748097743260857,-0.13902704483478365,0.004760040377744934,0.04203924820926876,0.036314431824676585,-0.002869894135294187,-0.009924895516576236,0.04977535424776168,0.01609900324018896
WNT7B,0.02556777065871552,-0.015709238582761135,0.049727228706683134,0.09840620828368148,0.06668443905205075,0.025991882532471755,0.12039105276050058,,0.06524455780365968,-0.038902380457740665,0.10460140493088299,-0.022712599616152206,-0.041545937414228,0.03231858008329508,0.004166396103719245
PTMA,0.037476021503222864,-0.011697697795537225,-0.08341313338895974,-0.2460778138524999,-0.045112429795846246,0.04390788412465811,-0.05600761205518172,-0.2713226645852933,-0.2788329270824403,-0.018720905562778653,-0.05397525546312581,-0.057703757621231505,-0.06074042791519302,-0.10275095248476222,-0.11790907803870349
CEACAM1,-0.02929338767755433,-0.012055895765191327,-0.019268550931173616,,-0.03372257195586588,0.008266245005821656,,,,0.16132174752159495,-0.022723274462054355,-0.02263719251894545,,,
PDAP1,-0.026609501697408628,0.005969113158883892,-0.07390272264252219,-0.1180720922519704,-0.06904447405974107,0.01624717499985684,0.0035773628265389685,0.026554706087323028,-0.14846261577467268,0.0017669997724172673,0.0034523759923387578,0.010469946890439882,-0.05202977033561172,-0.025940505881558537,0.046013084336059926
QDPR,0.02979984769900008,0.04021838672001537,0.09333112420384894,0.03834175092903478,0.07742523973954513,0.008059936304005573,-0.026922600789540358,-0.2165449589174633,0.034335082043515416,0.038926952371211264,0.07548974082496815,0.014665425917932476,-0.022609192098170992,0.115237670530733,-0.1072104061787615
POMC,0.049921788179444086,-0.006434205161495258,0.056106140445275024,-0.031554090534275575,-0.033525699725682756,-0.016940571417210074,0.0017959995517931597,-0.07185606433431584,0.020609518712978923,0.07764705393915701,0.09111989616702486,0.014769991371055781,,-0.013897578571769296,-0.0006736489821336583
CCL18,-0.03655538006435063,,,,,,,-0.04487519982345776,,-0.01737565582602896,-0.039176720693084054,-0.047514208182408625,,,
CCL17,,,,,,0.008856568189322137,-0.03607623742721795,,-0.024398375751997648,-0.01546528042227458,-0.032802473240282376,,,,
VEGFD,0.04514558309343343,-0.017267651916911243,0.0009561294316776096,,-0.028910145635812293,-0.012931073334868691,0.04080523746046198,0.02561214515829687,-0.012572799294248089,,-0.022723274462054355,,,,
TNFSF13,0.03931329383867301,,,-0.000511521611782675,,,,,,0.05782363399989957,-0.00015450274428499013,0.03233096806877694,,0.05102643535375366,
WNT5A,-0.03210367543154664,-0.016922722248920132,-0.14342748179394305,-0.12195070970901355,-0.13233065107901867,-0.06028955572466986,-0.03319043014763666,-0.035479674621253295,-0.0006885203945692223,0.04354576551294493,0.001990289490412555,-0.030565438143048736,-0.017630242739107998,-0.11075021412209995,0.08948491230527901
CXCL8,-0.03315108567000805,0.0034382831559044997,-0.04449015104726415,-0.025572524542820753,-0.04920998824686668,-0.06384380095800349,-0.024642896936721122,-0.07533687823639504,-0.07861851908605226,-0.031287218389041555,-0.11053109887105032,-0.06410619196860268,0.006472839346282616,-0.11185751626368254,0.022842655289549887
GRN,0.03100128815916259,-0.03339977081603781,-0.014457515178056688,-0.1312998901816091,-0.1454059775144601,-0.0296501080919341,-0.05790908580085667,-0.18766486538118968,0.022777527464996807,-0.025298350917483555,0.010173558208794805,-0.0696608946730167,-0.028791276349717086,0.053765939367349,-0.07097332475385912
MIA,0.013052941395393534,-0.01535664203924748,-0.026793109846146242,-0.03045874726757128,-0.04929628406088614,-0.011458604776998125,-0.030095357528027056,,-0.03581156221399199,0.05982308811760134,0.0946311007526079,-0.07671368816367015,,0.0014482162008140757,
COL4A4,-0.036139832769176566,0.0792427083788908,-0.10899161369076196,-0.04449058807057218,-0.0170055170386812,-0.02190871825685003,0.045916105991351444,,-0.034738543924242936,-0.030312678741157617,0.033838650421812576,-0.0035667243191589448,,-0.06158221283076293,
TAC1,0.06943076886183724,0.006487969449937489,0.13939525983914142,0.1910247571994357,0.1683118094546194,0.14622151159039304,0.04696545961706824,0.23022254725017907,0.3403579816156095,,,0.09636687603448689,0.029839634762758655,0.12104839475973615,0.003961319247472385
RARRES2,0.01241934200087482,-0.03810538183899773,-0.07392596433996347,-0.09580260284549223,-0.13627842723345082,0.0799695305764863,0.000299135577664249,-0.09306014493772866,-0.10501832404693515,-0.009647356576684668,-0.11557375978946674,-0.0607740375806187,-0.11944776884558378,-0.20296346906171717,0.046453159653465304
FGF7,,-0.019489738114043084,0.03758834491429919,-0.030704561564038974,-0.029658998061861157,0.0017615667687418766,0.02270935864860853,0.00896821312711994,-0.006802069203320265,-0.03543667721406722,-0.01031436699552886,0.026882525654840915,0.0897958374663574,0.01490995732226703,0.006082568071288024
EFNA2,,,,,,,,,,,-0.02159695166473212,,,,
HBEGF,0.02420888734968261,0.06587260342067196,-0.06367739968045222,-0.0913400451337963,-0.06660200532345795,-0.07057012673317839,-0.005151661999019837,-0.08820717459888472,-0.038757803720994174,-0.01958180299600946,0.010073174973243289,-0.09701633630481916,-0.05177885110836189,-0.0920092230877347,0.03756808474779805
CSF3,,,0.018837632680728685,,-0.017991509711366847,,,,,-0.018385912688986344,-0.0840642966696298,-0.032453507686205814,-0.03734035379514869,-0.06477744191454615,
PI3,-0.0384578010666459,,-0.031447662870199414,,-0.020258677397224208,,,,,-0.022025437822617847,-0.13214630792750906,-0.08015783215367196,,-0.1294125115995307,
PCSK1N,0.02290860830960443,0.1139324505534384,0.10265122552281467,0.15077946218193417,0.12318864910980992,-0.027937016690940848,0.05694552231509712,0.26656099658749327,0.28025322659002,0.07643823375239224,-0.0031286656687682015,0.07566755156564056,0.045803175190240415,0.20958358351809775,0.0715901585726769
NTS,,,-0.06175519610666121,0.06497874541317068,-0.022113729658527773,-0.035110167393643636,-0.036298734376468314,-0.04345601705332048,,0.054973197234286814,-0.026311787291983937,0.0010573548926580262,,,
SFRP1,0.03360575528104504,0.012680511925087524,0.18661248020362337,-0.05576983667588832,-0.041144601816240904,0.04468995116199363,0.022219389449917377,-0.06402083339122859,0.0641258153918119,0.10275303365111539,-0.0019139691102004746,0.040233330981134435,-0.0562876705231167,-0.002878775729305743,-0.0322883005801817
CXCL13,,0.04092026997155324,0.04768694031192958,,,,,,,0.029460107443285078,-0.04661077664448485,0.03362399809407341,,-0.05254330469062018,
MICA,-0.04897200123509184,-0.04315212751781051,0.03165060818841974,0.025305075030872672,-0.05619517587407475,-0.025842783303274986,-0.0015414161269190901,-0.06338440455196832,-0.09929698699459717,0.0007714846029119933,0.008512334063828285,0.05830526044620196,-0.04649897704693532,-0.051824529843285394,-0.048628166784665305
TG,-0.012199876719968344,0.023074058744876,-0.028468132153774087,0.020547186592198206,-0.021714142557672057,0.05516216470396287,0.007629087907029351,,-0.03664980306202079,0.04379336047008403,0.04700540847282974,-0.0267097355251961,,0.045003391996286564,
