,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,-0.005219760951762326,,,,,,,,,,-0.0228894351636302,
BMP1,0.0019040526458872673,0.015866598064694478,0.059240125157231954,-0.04813145351132932,0.0038166718446756473,-0.038307123168209785,0.04644194797526928,0.08725058880224379,0.1073400214133895,0.0695498723779743,-0.02767261631852968,-0.026906068334682023,-0.0034569060954792617,-0.014470892155704157,0.08374189316075016,0.017168368751126203,-0.0011973289019489848,-0.015024844732741932,0.03421822960692382,-0.044771979649176806
NDP,0.006912552468284058,0.027383223438261196,-0.07695800604225926,0.030355711531024135,-0.009701033097536815,-0.018252374145966373,-0.013637931216113336,0.013654919051415554,0.047060543745645375,0.023775613062543548,0.05773915433582374,-0.04562105446211088,-0.01046560623570389,-1.1126193181916388e-05,-0.02269148685248883,0.03292989194798316,-0.005053047240209012,-0.020133048922649777,0.06397162342962726,0.03699503114825403
TNFSF18,-0.018998241040218765,-0.011724515133436642,-0.024102610928542118,-0.012472655050922415,,,,0.10301304122918636,-0.004292388875972398,0.02035484114144927,,,,,,,,,0.07206948626209793,0.07255266660360367
IL36G,,,,,,,,,,,,,,-0.018234102566634772,,,,,,
RTN4,0.014775424732925412,-0.0029090339348767044,-0.001778159178208069,0.01458893201752207,0.08649733031013528,0.005174163129421907,-0.0013128662720428028,-0.01262060456832308,-0.20861818800778706,0.021050830565321987,-0.014996754669433145,0.06137687862176697,0.0004911145842546959,-0.006732440148080885,0.04123007404531943,-0.028050998063512127,-0.013855386293740684,0.07641272260901319,-0.04519538419089518,-0.04597223789520104
HEBP1,-0.020759609693749587,0.03344643899356325,-0.009895635110735566,-0.023372366939553205,0.03463988032161543,-0.08217078661574719,0.03298329804310207,-0.005772001678784224,0.06944017249801153,0.08034518130063116,-0.008787279643687421,-0.023641981317146014,-0.021545206798367564,0.0027344517055872455,0.022651477000536473,0.06186540533902339,0.06554913868584264,0.04747671557641621,0.09872742339047935,-0.05645535781076658
WNT7B,-0.01673685531497648,-0.021170010022981176,0.014298685591957879,-0.015709239525174813,-0.016505590034139213,0.056862398629074544,-0.02117038413550615,0.014960704047281602,-0.07286170594161127,-0.022776128523529983,-0.018885874741635868,,-0.02224231166461114,0.014326234073352635,0.032035234715360066,-0.03299707517658016,-0.037716784419581505,-0.025144472326377537,0.043235439157193016,-0.026079724507946375
PTMA,-0.025714227034371328,-0.04451887516647963,0.00920711392280382,0.036332863661714176,0.004433256112483379,0.010788499833251964,0.016262456806281585,0.03199835947237424,-0.08253088064623502,-0.010911051382436294,-0.02111392712265055,-0.08189879924271333,0.020026631794015436,0.032659898218719015,-0.18941854750122344,-0.07108966590415343,-0.015726456401420293,-0.00914505194623576,0.02053269391246905,-0.027967745203924744
FASLG,-0.016736860046442602,,,,,,,,,,,,,,,,,,-0.01985199930857283,
CEACAM1,0.01721799287780486,,0.028229478250999047,-0.012055896488437145,,-0.04365639516564554,-0.014343782285972643,,0.06557978833236158,0.00947216214025105,,,,,-0.01604875818724446,-0.0184898886987867,-0.018272026099354695,0.027782570843991737,-0.012720442502131531,
PDAP1,0.03843189699094742,-0.030602576519169783,0.04667447417377704,0.00611303385646008,-0.003332873546485926,0.008164696536597195,0.031609027137269374,0.021633527160916245,0.13918269613531467,-0.032560935282383734,0.0650833030588807,0.008865049931226342,0.023232291315955333,-0.009614167592650748,-0.045102394470112356,-0.0006499174765344742,-0.0041266099878463774,0.032952252915649974,0.03497906513573489,0.027415181460069403
QDPR,0.019927507238803332,-0.026129270760730648,-0.009021297065960217,-0.042212310696003376,-0.016007848736100495,-0.02811464352338042,-0.055319486542862784,0.01589285082296386,-0.14668158524028052,-0.014768491957636954,0.002704853073339454,-0.06934283586286091,0.08004580227313024,0.035499442839318496,-0.003273192991654721,-0.0038126145296938736,-0.006196032273799955,-0.033680189741066735,0.04407808407245458,-0.017673103674265344
POMC,-0.054259684257020796,-0.03414805712909938,-0.007458436002465942,-0.021421404630910947,,0.026585830747301226,0.025620041449040478,-0.033194894324276095,0.019496071202563373,0.06651865556866755,0.023048032900257896,0.02321480988524265,-0.0423837643034455,-0.01984815615876158,0.12505065294369766,-0.0022364767790099102,0.015739997995968376,-0.027300605905422298,0.13649477322569664,-0.02462763373997652
CCL18,,-0.012996606394135319,0.017730467797328408,,,,,,,,,-0.04751403916569962,0.01925265776970208,,-0.060281057748103245,-0.03383626951081908,-0.01634611581161888,0.018430715270926285,,
CCL17,,,,,,-0.025303786598701947,,,,-0.03203233725481435,-0.023375418691443686,,,-0.016657370360617214,,-0.013117681096020134,-0.02637681678187309,,0.027394344942789434,
VEGFD,,0.0176993139507508,-0.019143689463841658,-0.01726765295281577,,0.04329845611651904,0.17457497945411643,,-0.00933077078657041,0.014794898186972301,-0.017146152299059428,-0.02597865288707958,-0.02863618446151217,0.020944629853204014,-0.03408192585321042,,-0.018272026099354695,,,
