,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,-0.027894583474554688,,,,,,,,,,,-0.016327889979901186,
BMP1,0.02309382272842837,-0.010107490113317715,0.051586432321335626,0.07877031287289224,0.05917900149560929,-0.018698687908780497,-0.04290978186630381,0.1522534495188156,-0.01271423845114614,0.12969466465183904,0.08875246049458302,0.04178390936209303,-0.14028655944237417,-5.0406297194342485e-05,0.1276314140214051,0.03099071462813042,0.03960243327021877,0.011959439195286399,0.03960589875550461,0.00769768026728019
NDP,0.05324330919381186,-0.005932569481072188,0.03297836788379674,0.03358144750702641,0.0017662584620804147,-0.06301036286581096,-0.006219179432146199,0.010791436836926125,-0.02900453545602994,0.013737054303154719,0.01957623408859621,0.08879660819313612,-0.015508573223624868,0.04925659890141442,0.018758838967530007,0.026185711956722982,0.009571184278061598,-0.025011337815413936,0.01553723967216925,0.061774700028045755
TNFSF18,0.03285764428385333,-0.02665079315805643,0.0038421737158418597,-0.03750887598190295,,,,0.127241902384808,0.014119250874899616,,,,-0.025257697788900992,-0.07370897067977836,,,,,0.04724845268598854,-0.04196907928033164
IL36G,,,,,,,,,,,,0.028441797593882993,,,,,,,,
RTN4,0.023732005413405047,-0.05321361130048766,0.07151278703550075,0.002474591263144828,-0.009035196059069876,0.008811229055728294,-0.04035480596691572,-0.17133143857321467,-0.03546903749866773,-0.07625390407871391,-0.0457947359224878,-0.07639438347244587,-0.0197407260819418,0.07486920524354355,-0.05221774914432848,-0.04615603982329754,-0.048951976189987735,0.040465010812922725,0.06133333547546539,-0.07800893830982661
HEBP1,0.07934210427315613,0.0014122306690529049,0.029532727123920768,0.026755239932801326,0.014729816720207133,0.010055871458345201,-0.030010288630771622,0.1532087334151865,0.006683310805045451,0.04797765371325988,0.05761376765680244,0.01568806347236125,0.012256308385434365,0.0355102946969857,0.06631408038128682,0.016734822826768164,0.025850904146083056,-0.022697984951747373,-0.027892160386839514,0.04023321870913823
WNT7B,-0.008430725455738908,-0.0299602272216304,-0.019974489944593898,0.03234868578117395,0.0051059500768274235,0.07695272249632287,-0.025180550301082665,-0.057666441702919666,0.06657775837157939,,0.0035684690966722625,-0.01585214308265205,0.02513685901978212,,0.035217078885821096,-0.04096261786526975,0.044955723377858435,0.03315289212283155,0.009272039047592188,0.07484671216262123
PTMA,0.03410430060196095,-0.040943115408262155,0.00023521207000001538,0.04730444338616314,0.012897567103420196,0.07104781273765548,-0.0308207805188982,-0.0740743062611584,-0.017239319421626622,0.12179235690110982,0.07639550603831398,0.06649412181718849,-0.0292625937506744,0.026768542523682205,0.00042628041097856424,-0.0693489026661627,-0.014004819085521154,-0.05051757497003167,-0.004142017030008954,0.029866038196129152
FASLG,-0.025943824062697577,,,,,,,,,,,,,,,,,,-0.026220780742115833,
CEACAM1,0.0679287760821964,,0.03561647642405404,-0.01788085055503273,,0.052920177466816175,0.004055172366230617,0.027058380786862932,0.06376841904649061,,,,,-0.05182991585956663,-0.011838734206452636,-0.022953375142695492,0.022697344982709457,0.024690537804942826,-0.013400956561638273,
PDAP1,0.07544152350077683,0.0118875412771808,0.02220951673913981,0.03785073130180927,0.023549260266628864,0.022030585237896815,0.05486096005026016,0.14336611973046318,-0.011391406534322855,0.05426921089196276,0.0371361531993702,0.06097393923071883,0.023537849587910047,0.025626549000003974,0.010263115313631811,0.01728589832566178,0.00889406241216507,-0.03709599025355565,0.01693162810335902,0.047905234092875504
