,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1019T1,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,-0.015367756631368119,,,,,,,-0.02075359129025033,
BMP1,-0.0397259390658081,0.040470830929867425,0.021319443998424857,0.037602002976361085,0.08639332317946075,0.09328885225419535,-0.013615569533220543,0.006572392491041471,-0.052557261536106924,0.021607648496800826,0.01468729488793251,0.05906295513812165,0.08097813520144183,0.023207552590796442
NDP,0.004173987304106517,0.013498979870638991,0.03576016625479808,-0.0047419464210054245,0.05620717161344976,0.04837001975379239,-0.027647305776918655,0.05457438384243806,-0.004482810374192139,0.03787440137382468,0.03373376701460162,-0.08076628257304866,-0.02040081688188134,0.09838427808973989
TNFSF18,-0.011322465525765978,0.0794792191585344,,,-0.014612398805000421,0.046607388248751366,0.012083285168171275,,,0.05215999728173881,,,0.012761091852367344,-0.02430872667203258
RTN4,0.04719722647825719,0.003715694893827192,-0.026102880504832005,0.012344402558652112,-0.09446905390017392,-0.1343112270205296,0.029373696175075945,-0.050129491387261874,0.049004975369549994,0.09399274138571728,0.028202246412657245,0.013088605583364036,-0.02981790648435054,0.029546925607219873
HEBP1,0.01768199776824337,0.040040205178993364,-5.465391998013768e-05,-0.039796837596957686,0.009617527564960614,0.08586947326795183,-0.012514549605394313,-4.315227742315497e-05,-0.088424311555634,0.04409210827543878,-0.012725787552285567,0.04671972277358816,0.0508577069277099,0.0023934151052164
WNT7B,0.0036245743170816506,0.04755592746863694,-0.027676911126945047,-0.010451317992005986,-0.02171184463518156,0.01083595233757849,-0.029319545726239786,-0.03298918857104725,,,0.037052684557252615,-0.03260715405358437,0.006260907792928322,-0.007367150788619966
PTMA,-0.011052596965881466,0.10746687034731042,-0.027227143270045568,-0.033925997244934496,0.07333416424167591,-0.04947674943179154,-0.007838966243401432,0.05251022589876335,-0.12724080630151244,-0.0932704899524242,-0.0029823544997894555,0.04391234299791208,0.008655610897784166,-0.06338576808701835
FASLG,,,,,,,,,,,,,0.004553401597745835,
CEACAM1,-0.016804445376299437,0.0011750690603733788,0.05531303093550627,0.10616991483715375,,-0.03003068516681927,0.041874512367615434,,,-0.03908445855276946,-0.02349195896932292,-0.02164184237404494,0.0595160310795193,
