,UKF243,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,-0.01897358975316714,,,,,,,,-0.02112308954051683
BMP1,0.028288722927343968,-0.03865210800565518,0.09275484955267896,0.005971955881137963,0.04483575201110655,0.035540777595066006,0.01986066728796189,-0.013199956235755579,0.012486109731824449,-0.03294587084634271,0.03422614144911062
NDP,-0.04285354745317961,0.0030490937235640443,-0.0015199329184553423,0.0029380192332764264,-0.021319110112167222,0.04553965050037243,-0.0024989697553699673,-0.03783179987841579,0.06510915941622537,-0.010243427578527567,0.017525048137459958
TNFSF18,-0.021274479815389543,,-0.000979309761894557,-0.024481586364901105,,,-0.053999491970643715,,,,0.011216176734443774
IL36G,,,,,,-0.017456439689832196,,,,,
RTN4,0.0014033547533306623,0.028528214733194668,-0.15800650200241204,0.02005197081092908,0.04558016203948132,-0.02254575740437916,0.0517381797343101,-0.059784970406019274,-0.0844591828067043,0.008759696359542574,0.04304254975532469
HEBP1,-0.08354704939292328,0.026451331602482905,0.03602030081077331,0.007918032990766995,-0.06465648374723164,-0.026873363429139072,0.02257772767329353,0.01756249739798214,0.008441613822959581,-0.011372721174807072,0.0162453759531945
WNT7B,4.0937119552850805e-05,-0.01940955768615347,-0.06882752339209328,-0.017591692397400764,0.035836842567088134,-0.019186638923665466,,-0.03613092725678278,0.035856200668098054,-0.004993650254300385,-0.006935521522540872
PTMA,0.020401911464592137,0.0019287535455562589,-0.08161608909717885,-0.011441361970153208,-0.049128316223628454,0.024121544083820026,0.024235143874157383,-0.04430569442799544,-0.0037199671356624303,0.0167339536490928,-0.07464171319241933
FASLG,,,,,,,,,,,-0.01832004835224412
CEACAM1,,-0.01601100054808102,0.01713360455657045,-0.03850370300482729,,,0.11304180258161628,-0.009920779123634926,-0.015175142148689657,-0.020203551542994837,0.007851106711966586
PDAP1,0.004484708747791109,-0.05219912981513253,0.0954160308750633,-0.0069175965306311135,0.05406765181327504,0.007106899234025338,-0.0648002156310172,0.004370167545006404,-0.02702654426126062,-0.04640864054763297,0.0372294295202762
QDPR,-0.02168126204315612,0.03976129839282722,-0.1462906679996796,-0.026380604802959333,-0.01595846599671472,-0.05773415545963244,-0.014009299352418828,-0.04773308674458666,-0.016198328482722756,-0.02444036583219306,0.052974864153311964
POMC,-0.04016976831889773,0.06411214852713129,0.0022715003295270364,0.05229341698983601,-0.030925022044427864,0.019417966211119332,0.15149811877720684,-0.02404049748127752,-0.024387835052952864,-0.033050356272031976,0.016675454222904264
CCL18,0.030712543813461102,,,,-0.049068702916972184,,,-0.02297411390148135,0.052313141101956784,-0.05862541997365006,
