,UKF248,UKF259,UKF269,UKF313,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.013231781339424776,,,,,-0.017079230261307206,,-0.02969161956431725,
BMP1,0.11010056179962732,0.015823406222017573,0.06575320431128209,0.10306771730705866,0.03360552804245959,0.04042188457169161,0.05114572102648556,0.10362393262903408,-0.00804373654275815,0.16561087076774714,0.011600014580187112
NDP,0.0043479650908901935,-0.011428025012437894,0.0699835387003771,0.09939011183593617,0.05805584086756782,-0.013713528585913059,0.00907453392421276,0.06990458367485604,-0.06322799210973605,-0.036161018385997036,0.0645673187827586
TNFSF18,0.07125777626457203,,0.0004160292867227564,,-0.030036623615406467,,,-0.0176135087023684,,0.027761510206750113,0.07099108131729921
RTN4,0.01154058433688798,-0.02292271852458058,-0.08826430500873486,-0.01110146639209249,0.026761741869692598,-0.0929782093636953,-0.09797128370809062,-0.12940686394979645,-0.04002802584450446,-0.004272980403630037,-0.013520066685093658
HEBP1,0.05969886984266524,0.028263645596075415,0.0322447694584419,0.02486396846454737,0.06954777584164215,-0.019749719017073515,0.00951472884147324,0.04715692050930786,0.022998775657972113,0.06295218446439979,0.05632123904954012
WNT7B,0.012948064661608926,0.057740026267026075,-0.025903686285406048,0.054963447982143414,0.05862176141918251,0.057266605511894095,0.07294800613096693,-0.036831271592430076,-0.020366673885378588,0.10237498434268681,0.10992919243725624
PTMA,0.0218344747333382,-0.012723254583356047,-0.03218147192282332,0.09904768319186984,-0.0001765578049018468,-0.04855037289788365,-0.030330757663147818,-0.08461602607446012,0.01764315590466145,0.0847614131178499,0.07725007658002078
FASLG,,,,,,,,,,0.08493121657219585,
CEACAM1,0.0452672443490326,-0.028461488473507195,0.1615571658725066,,,-0.029370502229436227,0.01630523167223439,0.09291429215365195,-0.01351765766452986,0.12730771611923553,
PDAP1,0.05467767676172465,-0.007186695065827443,0.1089491641872292,0.06884017608447392,0.008335024284453249,0.014926601516953599,-0.013296936001212007,0.020701149360527055,-0.06370597867533903,-0.05606456038134083,-0.03064524220844467
QDPR,-0.051745210316057964,0.008039887940861662,-0.0878737055078346,0.09077818697804355,-0.03973819694968705,-0.08127497167359718,-0.02490779195456465,-0.07221283461885895,-0.031110538202003987,-0.013023896815900682,-0.04476647675625333
POMC,0.004635546327647669,-0.026504492849403104,0.07490191359961826,0.04170917829909354,-0.0006871837581960619,0.15057933265529033,0.11068540972105337,0.019128822865425818,0.0963004356071199,0.04401849124210143,0.0765217677983099
CCL18,-0.030424328991877924,,,0.01613946934171416,,0.2208391316380176,0.004408047257704016,,-0.03809453482955292,,
CCL17,,0.10569269517510621,,,,,-0.015632242091168775,-0.00030866320123667677,,0.06436481010841567,
VEGFD,-0.03042433865302737,-0.018379068365944475,0.049305377110521124,0.0019587680427568263,,,,-0.0019154015109329038,,,
TNFSF13,0.03837046447842561,-0.011379006680974281,,,,,0.027867174772418932,0.03794795853743893,-0.015179423569579693,-0.005770976420403701,-0.024036020099156695
WNT5A,0.02642360824692694,-0.021072322306473386,0.02192630426537953,0.007137038875622907,0.042091482025284295,0.04218573341509271,0.001279450007135186,0.08188335125198273,0.07567904713243774,0.012395055840331688,0.07639796005297343
CXCL8,-0.07479445324107818,0.027101893090120305,0.050494167651690895,-0.011881863346490832,,0.0008508383722256649,-0.0777091549945876,-0.01666702959800745,-0.04277306095900351,-0.03355887908930311,0.050965260888836655
GRN,0.12832358873142316,-0.013061709326892018,0.03000311108472658,0.014407421991489857,0.038384620572920906,0.05981442154207715,0.07893161359160282,0.15808558790766572,0.04559983370873811,0.06421521979941867,0.005286390014285062
MIA,0.07068918996451909,0.013395141967255643,-0.014432364418153222,0.005406075317073263,0.056691877795579285,0.07174446214653586,0.015278428767342265,0.098722670042953,-0.00019070754479387448,0.02230607039671617,0.008568506406793588
COL4A4,-0.017527180460845088,0.02628694331139597,-0.013038938378821755,,,-0.02632825616797755,0.07753026642042748,0.06553827515697215,0.0019766357892807966,-0.0616045786737832,0.10624512090820867
TAC1,-0.020999285358206273,-0.040368260463381565,-0.03395060071212644,,,,,,-0.02332181041532054,-0.017184746319587135,-0.042910690772844186
